group,CD80,CD40,CD52,CD3,CD56,CD19,HLA,CD45RA,CD7,CD4,CD16,CD5,CD161,CD27,HLA-DR,CD57,CD278,CD11a,CD244,CD184,CD2,CD29,IgG-Fc,CD28,CD71,CD26,CD49d,TCR-Vd2,CD94,Mac-2,CD328,HLA-F
progressive,0.302771849551506,-0.0961847270383861,0.133895567576894,0.162523833177718,-0.118224485329537,0.173198850031654,0.0639172900457796,-0.0012825491605434,-0.0343308765396528,0.113394318386421,-0.0912934153250329,0.242139240124953,-0.0094801451627708,0.0380214074105092,0.0238240748196894,0.25472301889784,0.0289323214876212,-0.173584647435633,-0.0479662571694657,-0.211823738207092,0.200183912828452,0.0140444098440952,-0.0327652893648103,-0.04824312512635,0.0206092016294175,0.191663555211201,0.0193272574158469,-0.0787167899545372,-0.0278382215195056,0.0442766963420149,-0.118903549676676,-0.217506071378476
progressive,-0.0443826243354168,-0.146326740163011,-0.162431091207176,0.0344700911669239,-0.380637207167328,0.026494895803142,-0.219994163378299,-0.532158999458455,-0.42561692622481,0.173579017711045,-0.142056965662486,0.139545649531768,0.0065376049921428,0.0618010472188387,0.0310211823799816,-0.549484880211251,-0.054656875655394,-0.572902221012656,-0.297456403565471,0.0791297487182211,-0.174052155881167,-0.167021382419828,0.0027501986934847,0.132310054511455,0.505520313667335,0.35225236830479,-0.0900368529421884,-0.0226280006831925,-0.50456870274166,-0.0629193525167198,-0.362309361827145,-0.0665634450548125
progressive,0.0686947230775702,0.0463181851850966,0.113428834814517,0.037430661283919,-0.339460666091888,0.0172666613779631,-0.0491707211032819,0.0032827673436945,-0.311786761102829,0.072141829950974,-0.188669198869964,0.0333956056993447,-0.10853662315607,-0.0011446583336328,-0.0356807516495652,-0.0985947982657286,-0.0479760140983704,-0.173110423147026,-0.249728472213365,-0.136561837004477,-0.204494947944789,-0.0400183867793909,-0.0690709190294756,0.0090354306264952,0.100665462522728,-0.0989747872626461,-0.178284740424674,-0.0513120291707814,-0.189793293411629,-0.0764267157306577,-0.261231642937933,-0.13647621424943
progressive,0.0495466316198726,0.111988636843533,0.11532997896867,0.06978674301516,0.101726352377045,0.149049479296957,-0.149934063037453,0.112794428458087,-0.0846446371377163,-0.050038763447788,0.0280163700250776,-0.0958557169994493,0.0203339321121649,0.0801816398139796,-0.0341283010839499,0.120790745944683,-0.024329415835139,0.133362172559989,-0.132509003278425,0.0212525467524713,-0.15969523456393,-0.01704534022645,-0.0020898131456286,0.0986383567435083,-0.165638379121334,0.0485470554813759,-0.0099697469362935,0.0013396170473014,-0.0516089325781138,0.0304641810712496,0.0393600573463598,0.125528046296223
progressive,-0.374072118968784,-0.370825933121672,-0.264777385667954,-0.177079822630762,0.0787262498333262,-0.41904077743192,-0.390919450611759,-0.0755799278644236,0.129381060373117,-0.133272553388541,-0.123129131009694,-0.053066770199135,0.0225395260916829,-0.127266746551969,-0.100208735643708,0.15267853242255,-0.0376204518793826,0.0179041115383448,-0.0272277706723654,0.0184428887432888,0.208305658505791,0.089159288212372,-0.219803717117041,-0.129230210956498,-0.181165610475355,-0.441605535533512,-0.0019830602881092,0.0702915721856093,0.0105096276217833,-0.389348830668973,0.125760738804499,-0.356007750516617
stable,-0.0288340742843767,-0.0814367085817002,0.296676373047408,0.501373294702519,-0.462680832231911,-0.0516915743497701,-0.200102993809299,-0.493591035809506,-0.418017950762436,0.446509997688074,-0.300878389935834,0.529628221475198,-0.089465413542045,0.387122529109753,-0.0385593611128618,-0.210590462872647,0.190272417987667,-0.524249031361857,-0.481539772648959,-0.0814135565895201,0.196884362841445,-0.102127495487164,-0.0742297839354444,0.236687385657201,0.186605185076814,0.142230730620029,-0.0079172356540072,0.0934062039493965,-0.390534436931955,-0.0695771925684227,-0.570743622300705,-0.10635157411174
stable,0.0102908334924257,0.0698171991721757,0.050518333855482,-0.021392399977397,0.0621129746394759,-0.0021804400162077,-0.0189937776057526,-0.0833232622574956,-0.0537131822554645,0.0177534087403022,-0.159353334063473,0.0665798036371676,-0.0621553348669452,-0.105262670938341,0.125514561681387,0.0386127291285937,0.199863650896028,-0.0213103807438224,-0.125432897174883,-0.0165552390072556,-0.205216089726812,0.227551068993556,-0.0790217886857136,0.141867865049481,0.216428309150101,0.0557852908216291,0.179385380679922,0.14932166585212,-0.0601658253294898,0.0405871114182079,-0.207471504693505,0.0276652247548055
stable,-0.0317690699278628,0.134886025403845,0.0204365192196916,0.36401102144564,-0.349269201993001,0.0290231524575685,-0.105727128721829,-0.42972604243799,-0.48046617807074,0.240839773950483,-0.308158576965024,0.316315150918427,-0.280184803303001,0.341284310919094,0.145074539151467,-0.0819423643019453,0.465570999934921,-0.0933943858992369,-0.481326265475604,-0.100063743065171,0.0687072255474049,0.100092832749454,0.106822229407041,0.228813568372012,0.452030053380003,0.131649342531012,0.0773323385272856,0.0560500763266,-0.351267757037644,-0.0864182665732287,-0.433637912443076,0.0806585849322238
stable,0.0845856344986588,-0.0198966476656774,-0.380641989818595,-0.488763836000902,0.428223862967156,0.007608308116596,-0.233423804493876,0.391799578522187,0.306749495307547,-0.367156006555207,0.508817277040706,-0.594662359116158,0.117696745883011,-0.426234431681595,-0.111667142453516,0.226200567910553,-0.246853430474132,0.330440731856501,0.367388954347941,0.118496059223173,-0.410724109020432,-0.166167176828557,-0.0757989834676335,-0.272819243039595,-0.203644976836395,-0.233930693852171,-0.304028542539553,-0.164270667820577,0.286557303722626,0.0700987483990948,0.616945811546058,-0.0202930435914615
stable,0.107028545041058,0.0949230766235085,0.279595165801845,0.428753954648717,-0.368338565383947,0.0297807533968841,0.208163251386219,-0.320206258161096,-0.438536128013521,0.489712111848083,-0.102214406963797,0.504473725588163,-0.0047023217409857,0.217493878829825,0.0907338450148331,0.0906527057776132,0.242993987958239,-0.181914468876648,-0.14937890450156,0.0202348316258895,0.311997073017506,0.196045707583496,0.0126733207323441,0.256099690350162,0.198587299843503,0.306176898503351,0.284458074694205,0.0327343174887267,-0.462173038893459,0.199505215674726,-0.493895241455762,0.0353810772278617
