group,CD40,CD3,CD56,CD45RA,CD7,CD4,CD16,CD335,CD31,CD5,CD185,KLRG1,CD27,CD107a,HLA-DR,CD66b,CD278,CD11a,IgA,CD66,CD244,CD2,CD29,CD28,CD38,CD71,CD304,TCR-Vd2,TCR-Va24-Jz18,CD94,CD328,NLRP2,DR3
progressive,0.116663848676576,0.211198567394128,0.0599471580292901,0.100579584979263,0.0303271354639002,0.0752623532580747,-0.0277908165591553,-0.0043488009985959,0.111148390366138,0.111910850882687,-0.0124197908272048,0.0526773925022055,-0.112098013663027,-0.0940829846692637,0.178681710625371,-0.0738436378997858,-0.0843694992927303,0.19102211392603,-0.0585881625034686,0.0390648410022775,0.140229133441845,0.0353089917909244,0.0558371549854323,0.114892659571924,0.130747646065894,0.0494689881657543,0.120988170893434,0.0233403016770536,0.122802079743508,0.0780796921402469,0.153589185596136,0.0593618031861028,0.0698616365367619
progressive,0.137759427013441,-0.284344244225218,0.0103763757568315,0.258705591772838,0.115869360364315,0.0255192741928825,-0.0292701523582254,0.0567115548810069,0.276902168891597,0.0294269066022396,-0.0851727611061657,0.0523673022403219,-0.210909332293431,-0.0887684344560603,-0.0339388814451038,-0.104345918336824,-0.0733606798505624,0.151321114098146,0.0292606846537825,0.021231751081118,0.0350064843203187,0.103673064276204,0.148490316001001,-0.0311663447144273,0.0872569431636346,-0.0131013391547576,-0.0800866421628811,-0.0859523055006794,0.0395106846708397,0.252354168023543,0.153304106549537,-0.131102327957093,0.186694514507461
progressive,0.114189592070575,0.298340561883569,-0.33132402208393,-0.371328398478325,-0.373695710884967,0.200883404833581,-0.281932589939528,-0.24692312912761,-0.0653218155325653,0.464621660880526,-0.0669157703685212,0.107962230327896,0.147195981344355,0.0528799967278866,-0.0402569453344325,0.0483670376321659,0.142150339341387,-0.163992045109961,0.0048458762716516,0.0939395929518534,-0.26764573790048,0.122981278587913,0.0290432312796693,0.126631933969627,-0.303067534563,0.0167334825065531,0.109320032616361,0.0389097873165606,-0.111291048531243,-0.159701154731536,-0.137108387811776,-0.0580295259990694,0.0014841856589106
progressive,-0.179846739549249,0.12930215522641,-0.246700261883326,-0.261863538547935,-0.175049857453852,0.246811573857813,-0.516144809385267,-0.147346405108331,-0.252569126562928,0.207254569449583,-0.159775310725094,-0.307916436238033,0.0940422653205443,-0.358449742018846,-0.0458704471766669,-0.438960115149612,0.358325487898606,-0.252623073334543,-0.37870492904099,-0.366100950736539,-0.431339246998544,0.148854087640057,-0.066511529971041,0.164759791606397,-0.135331509171675,0.181482762067954,-0.360524534853474,-0.150407641672545,-0.393776123435563,-0.318817862099777,-0.305796844192244,-0.265693452066962,-0.291082568259813
progressive,0.358516769372061,0.11382526273289,0.0043151208067639,-0.0411392416720232,-0.103449412471626,-0.0267059300375881,-0.079642804600067,-0.358081084136988,0.104539525674867,0.0521368993013858,-0.0663275595969085,0.060590743398781,0.0783153865818599,-0.0319036513166262,0.0890365012579126,-0.179083150858599,-0.162562917688447,-0.0219648378666292,-0.0913123103800464,0.0479399963867728,0.0753332631117095,-0.115210257441248,-0.0235910241004065,-0.0816994078907918,0.123250617307652,0.0472751509871006,0.0761571845315224,-0.128627599327143,-0.0449861627918995,-0.0193241540142467,-0.0370627557035306,-0.0321566927059303,0.0172154627404777
stable,-0.156005926678235,0.468556717349497,-0.471187882593528,-0.397033656995911,-0.3763264650844,0.490309899220987,-0.316650776214513,-0.221607587237911,-0.147446966641457,0.629607828786861,-0.0830467013396449,-0.135858157234198,0.329798865313036,-0.0911970411681314,-0.0948078058048337,-0.0038508467479353,-0.0127515959695765,-0.603773488967797,-0.0707820419651423,-0.0684740891319205,-0.434920151129789,0.212620274709823,-0.180495878951312,0.257393633147618,-0.49239329263315,-0.0146532022766363,0.0346470022695026,0.0007349720929728,-0.0152156012219502,-0.405210128109835,-0.597842095349333,-0.0680005722437421,-0.0489402078721666
stable,-0.043570641367066,-0.31509448697672,0.140391377735203,0.291960983281914,0.0410326589189755,-0.219126456862832,0.129757546166883,-0.0117846589785985,-0.281938006652057,-0.384800042749838,-0.0373978227021705,-0.0057772684304758,-0.220530205451235,-0.0813503645371704,-0.361426781865694,-0.0217325782430653,-0.532445924845632,0.222538191207007,0.0182025630822906,0.036241773872449,0.181260141807298,-0.418853255368283,-0.443385902667999,-0.196416183015498,-0.133259610571559,-0.398592082967631,-0.0579438109675999,-0.0342872659043634,-0.0334986987447034,0.0182700666720775,0.255314097320867,0.0168404344185983,-0.0710400800030824
stable,0.177338188431113,0.457456612841362,-0.511835281035517,-0.575954094892364,-0.499822790845113,0.462531737339732,-0.420457364130106,-0.17509778136365,-0.358558141309167,0.560280681204878,0.0074512068846824,-0.14965761378011,0.43983567946169,0.0433219372056326,0.121745406813992,-0.0595379666511027,0.419664305155903,-0.0909735218718351,0.0980487460078572,0.0568286820582812,-0.467596235354777,0.301851827718725,-0.0338927732640435,0.410002089634311,-0.274482130624707,0.316999894300681,0.154783050471605,0.043307952118555,-0.107215752982136,-0.571476758981471,-0.602854882870625,-0.0318985450193075,0.0640880436546852
stable,0.0188462929565914,0.400333702395773,-0.374922825823786,-0.396816139875423,-0.542178394712238,0.291971904178346,-0.318771651631523,-0.287855957928458,-0.0014714758829221,0.412013947618597,-0.185846432484069,-0.0028225904919833,0.268140735511032,0.0574909557618594,0.0855850804485931,0.167268653934175,0.0691982007591461,-0.248705410135324,0.0215096927142133,0.0193120997541225,-0.311876930035923,0.266530941704293,0.100311836266164,0.196610379261898,-0.291138004382248,-0.0683606317679297,0.0707822339125319,0.254680966644961,-0.0610613588694117,-0.313459180233494,-0.420863701939485,0.0537337746402158,0.0406500708883581
stable,0.0954722717701657,0.395743686077837,-0.291895804441817,-0.39512878521075,-0.345311383154752,0.452899838381965,-0.0890262318660291,-0.207325355668397,-0.0488182736454622,0.508203314302557,0.0703639911601713,0.0703057134401987,0.264962280408893,0.0671371725338694,-0.0033015981326074,0.0860792441569009,0.195167896021683,-0.294631321765693,0.0439501809148809,0.063627424735378,-0.196757882471631,0.317425201471778,0.105926834518075,0.244690583154788,-0.186666274132535,0.116077292408426,0.0154436225358996,-0.0640218266728744,0.0514115900978613,-0.401783866936667,-0.384299867461651,0.0658193333875627,0.0465548379414784
