group,CD112,CD52,CD3,CD56,CD45RA,CD7,CD4,CD5,CD27,CD95,CD35,CD57,CD24,CD11a,CD244,TCR-A-B,CD2,CD28,CD38,CD127,CD71,CD26,CD193,CD36,CD207,CD305,CD319,CLEC12A,CD94,CD328,DR3
progressive,-0.155075319898279,0.123426062672437,0.418643686656044,-0.268805170313121,-0.258284602838945,-0.183789362089283,0.138749786209895,0.438991842832973,0.216905374204572,0.0319111373193687,0.143901099743425,-0.190061317426084,0.167904151728186,-0.348705947345803,-0.190405487294565,0.153303250979195,0.338440295843104,0.212788409637357,-0.0543261681439796,0.152388422442988,0.0428877535224287,0.122977427905171,0.190797382358792,-0.0167802213433212,0.15213921373483,-0.0684293936395679,0.0184069448203629,-0.0140783273986258,-0.266954133460344,-0.378444082776661,0.060528948807496
progressive,0.0108899029610738,-0.0542986379899581,0.147159947725141,-0.404634650839757,-0.512117775103545,-0.534410214821166,0.138878479013675,0.126863029722691,0.182317715369792,0.0660932945896366,0.244516699349063,-0.422829370453332,0.182407026805454,-0.563430494044927,-0.286340016141988,0.169685227351931,-0.216667771919263,0.135613638334741,-0.0117369749177134,0.0341224716691231,0.652218563863,0.396261570801479,-0.0524287123723669,0.37893342737299,-0.0312304258211353,-0.102093825123424,0.0007359268364681,0.0307049189650511,-0.446983477153808,-0.304557711835792,0.0102210939010123
progressive,0.148782640866966,0.28787205498235,0.346719966812824,-0.244129800268738,-0.437057380325821,-0.474723571522922,0.184928099822523,0.34170290971259,0.200677880201418,0.106936754033755,0.242875015569078,-0.160522345751215,0.0934588998140378,-0.22403893089702,-0.427547931730568,0.103680801240269,-0.0169060657590474,0.159613860605976,-0.393317041429895,0.0709753250310625,0.0997846664288938,0.11136834449288,-0.0295124382428903,0.0388628106333472,0.142062515625684,-0.140514895896979,0.07679955506436,0.12879900024246,-0.113766186900565,-0.195603125563968,0.0713818678076095
progressive,0.0863738016089234,-0.0078263149371369,0.118123067583897,-0.0811895221005665,-0.196074077901143,-0.125118450991004,0.155085078321089,0.272670848476413,0.0607443498305999,0.166210361569354,0.0177915943780741,-0.0672668824760022,-0.0728440667976004,-0.111742308341784,-0.0626349327245421,0.0612596164550187,0.164382929586477,0.0908309574767029,-0.0399099245586557,0.0218093075337426,0.0952737920488185,0.0315260509007042,0.0090711189980307,0.106191786119217,-0.0396025615169553,-0.0179232591712154,0.0019689695197507,-0.0147321742763179,-0.0587763480080812,-0.197349775875478,-0.0382278621869132
progressive,0.0373649836731809,-3.13717281597101e-05,-0.110596644571436,0.0463463738558535,0.0391486332040221,0.405174299040403,-0.313047490368407,0.120081603864508,0.164744070689972,0.230318752314471,-0.514628074000004,-0.021249556627786,-0.351248334497021,-0.0487902420959018,0.151255067341479,0.214328284913743,0.142712869195847,0.0294653602229085,-0.131767936389889,-0.0822493320672414,-0.0359250970319823,-0.0509664595084856,-0.109765156321508,0.132810033754376,0.0848441567681289,0.0272273589367793,-0.0929645647180961,-0.39301605314464,-0.0229609166516966,0.341020484524007,0.0555518924729025
stable,-0.0265948379337493,0.414859681361516,0.557161221389064,-0.464563233210771,-0.448941329428793,-0.377630198860351,0.563282872945967,0.682941665315589,0.419258534393386,0.137155890123686,0.0108826605321313,-0.175428492863925,-0.0306765069757898,-0.562398581535435,-0.433597323193451,0.339316577483617,0.286950103363013,0.334684441061045,-0.444542325324907,0.160242009994162,0.106368624093907,0.257445890584385,-0.0235459007767866,0.0503942388213175,0.0522503148725174,-0.0920508699426683,0.0304999153555863,-0.0005163514190675,-0.300500021698651,-0.574811052480879,-0.005406766445422
stable,-0.0051513368653387,0.128072137052757,0.371367020997431,-0.426746991572395,-0.287184753916602,-0.399708072343158,0.348571320915271,0.570189524564053,0.465782689083288,0.271584936204099,0.0058866431384622,-0.165632345079363,-0.0659115458827829,-0.488608824401521,-0.37780588611638,0.181025805188557,0.392576035209126,0.289929063323943,-0.328795781228221,-0.0380615347381565,0.285170994370651,0.239585357581276,-0.0449869297891483,0.155142800384076,-0.0052515607715335,-0.161711227545376,-0.0382460419143862,-0.161207626238353,-0.252911394091259,-0.537054011038918,0.0531063329123825
stable,0.161740188654497,0.0746157528653025,0.0359231029471679,-0.282120250662453,-0.291817380136903,-0.193836961008893,0.108474685862694,-0.042444895995827,0.0946014138915899,0.007336870395228,-0.0788871850454835,0.0798833492586298,0.104768542555395,-0.0302448736054998,-0.053313754910385,0.156157130842556,-0.0591246278420486,0.059487196768734,-0.272546172022183,0.115557342427679,0.0182154834822564,0.158135056609895,-0.0260629524638775,-0.169069385783932,0.166086720109693,-0.0452862849407471,0.0465378748911845,-0.0025530204511252,-0.125765384450125,-0.127432739468587,0.201331378571442
stable,-0.07975084692274,0.201602029444562,0.396608757891939,-0.442298740049923,-0.387237864900187,-0.322309130554584,0.415311669708372,0.551433968686735,0.24403714890922,0.28029226283016,-0.0557865242686412,-0.296448815990833,-0.0457030247376268,-0.303908074489767,-0.296606702166203,0.254623514825379,0.3656762194598,0.178767160787471,-0.0613310383031341,0.0441721886767538,0.175751179247279,0.203896332298047,-0.246629682253857,0.138664992646908,-0.121876046402284,-0.36172258286187,0.0273920657458447,-0.0928764254306285,-0.214201070954661,-0.421585422058257,-0.021106116520737
stable,-0.005676099029777,0.352383681638362,0.518607316942766,-0.33371026815266,-0.263161609745305,-0.487603588764323,0.477651694621968,0.544822634386815,0.264657917293045,0.215330324019029,0.15833034074066,0.0871718210554467,0.0980337251246846,-0.182287435006838,-0.155671909176566,0.31929660595195,0.391658660453577,0.293319941081119,-0.32632143770565,0.091698761255455,0.0350568200766089,0.319147198117833,0.238195142046756,0.125293861940164,0.125816013746408,0.0331274291484777,0.0812469359059344,0.136053957046249,-0.374804025612536,-0.40626247372973,0.146670933125784
