group,CD80,CD40,CD52,CD56,CD19,CD45RA,CD7,CD194,CD14,CD16,CD335,CD5,CD62L,CD161,KLRG1,CD27,CD66b,CD57,CD11a,CD244,CD41,CD38,CD127,CD71,TCR-Vd2,CD158b,CD319,CD94,Mac-2,CD328
progressive,-0.0514521856291794,0.235732915035015,0.0163590344668577,0.313601726326859,0.0897479518860129,0.249181970148169,0.216174516720914,-0.219763341214893,0.172660871777158,0.150797812383091,0.130979949469628,-0.335512027221099,-0.0010908480931361,-0.0419221678905992,0.187908189970163,-0.135781779941515,0.0068866033110563,0.162292446092631,0.435495987776138,0.245523959122376,0.0226664830984638,0.245659079163315,0.0005294079963435,-0.0899772394660738,0.117045537502607,0.19824329757538,-0.0635867827506414,0.498112019709616,0.0610388996007587,0.524531012424255
progressive,0.0264847020710815,0.112863319956826,0.142319097098117,0.38280419524481,-0.127364247123402,0.532868269258295,0.438318242134488,-0.0816050762097017,-0.041782673745212,0.0987955814240599,-0.118033627210098,-0.149031753881056,0.0512269173062577,0.0040609936717115,0.287468792955484,-0.0802392573178131,-0.170381881587805,0.561313623773714,0.592048190491452,0.32046072952648,0.0127755229533792,0.0465527205075033,-0.0251410111749339,-0.582061851168641,-0.0092488371413599,0.249981296894672,0.0622443573162782,0.504939556789405,0.0237357448000488,0.33614009322941
progressive,-0.0942496492104321,0.0066574931167646,0.0426945886544355,-0.20356164234219,-0.162444560819299,-0.348487280492294,-0.512434096540505,-0.0202484579216691,-0.0632233915742038,-0.226979900851945,-0.214400879690769,0.331387164247343,0.0957965628926957,-0.0302993181659222,0.0401600814563777,0.0289665428483578,0.0033978956029805,-0.115718014070953,-0.163375502645006,-0.409414786309943,0.131197531756384,-0.381479372602946,0.0437769778453149,0.213404075980902,-0.015610751069879,-0.202666062878963,-0.187035615055988,-0.152083500140528,0.009118822922735,-0.203138321236113
progressive,0.187563668992078,0.0085653425600909,-0.0450684014119664,0.144858024203884,-0.0447825297454074,0.105159811390341,0.0787261551765239,0.0115091185682856,0.025527670195712,0.117142171531275,0.401956951366904,-0.0963657987804721,0.0818347221361312,0.0812748442694875,0.188430548833029,0.199034918051969,0.0672653863885743,0.121671673735785,-0.0690317516904932,0.154285149394119,0.408780376056342,-0.101925151198362,0.09758665143481,-0.0216951595447256,0.0929209688490932,0.125225243757138,-0.0442332567598603,0.156498104981124,0.088924393035544,0.158116523716121
progressive,-0.095667778326481,-0.0604238038218192,-0.0021019057867005,0.229030801293354,-0.109397450372138,0.0979821723693887,0.280228104816709,0.0944001146291631,-0.0151134179625863,-0.108623422979287,0.099334033815137,0.149292375859319,0.0341675742068327,0.0291403873042472,-0.0117102966589179,-0.0641934963269601,-0.118430442074796,0.310755263518532,0.130466214835258,0.324069325112954,0.298730120339161,0.0834822524751528,-0.160490541226655,0.0352554773296154,0.323467820177799,0.414067630135704,0.298353569492796,0.236728591680109,0.0204887809149105,0.305159264541539
stable,0.160838117002999,0.201722886806458,-0.158977446044309,0.57732964531647,0.167183566709855,0.535165157457556,0.531124645371181,0.112207080201674,0.0703047789177335,0.402828751350129,0.321306906718863,-0.484474777702574,0.0444445464490881,0.195478431294019,0.276941016449204,-0.251496160189244,0.0835363322464954,0.300407832983153,0.686621370534732,0.549477136061279,0.17208175261509,0.524789850264895,0.0355117555199771,0.0152769009365223,0.0525202737199613,0.310913564325025,0.143176422165934,0.546058615885497,0.157477174816254,0.678491507544265
stable,-0.0896797392811517,0.216082137005815,0.097445580402776,0.0218593268483333,0.0834587170997287,0.114354866950253,0.105217979150238,-0.0240729055987747,-0.0605761220854595,-0.0165962207854018,-0.0944502462319589,-0.0402219238288671,0.0986375594360248,-0.152259293047889,0.188516152764362,0.0820683920859701,0.025958256344925,-0.002820138676187,0.179663849712777,0.132393218250177,0.164291841269811,0.20064096725709,-0.0015019469915923,0.176824043803441,-0.0924577976365997,0.101514074697516,0.0867959685127416,0.125077264130765,0.0928945261695804,0.094265261759355
stable,0.139718990042897,-0.25094821000259,0.0472574455425521,0.32379254813733,0.0098052295848477,0.206036643278055,0.121412959632512,-0.436597650130193,-0.0644045491636295,-0.05542855946392,0.0761854813827404,-0.0407213271641179,0.0096757121510374,-0.0347737896107,-0.0445012208727218,-0.0774849437372313,0.0299286881717185,-0.0628482169861995,-0.0169062313492565,0.14234317024567,-0.0792745139335273,0.237346924703577,-0.0886938838331029,0.100122057015636,0.0030879715124689,-0.197349583188204,-0.0414958690618523,0.206744388966123,0.0262688479108397,-0.130293799723073
stable,0.281376727553475,0.0426739463273105,-0.0778364185153749,0.389486136167929,0.155699553734217,0.221407361236601,0.396978336634796,0.254245414400202,0.201199888933979,0.255398303194227,0.31681440913238,-0.191838071006635,0.323224051728979,0.238215452682118,0.180123089543977,0.0494838383140182,0.150339247379761,0.16584752916399,0.135869911307137,0.318770367812137,0.0290603438276902,0.0122618752677557,0.0084373982342542,0.122883280103856,0.170113600363578,0.103683947329188,0.223993688278192,0.476676071433557,0.244649441866685,0.306696225380811
stable,0.0040827368942369,-0.104389943305246,-0.138021299794488,0.631389017934547,-0.0195059531451542,0.263929577523709,0.594609557570674,-0.0968307225885168,-0.0097533375397976,0.0628983514303334,0.312706978288644,-0.420332340816483,0.268337433382596,-0.0364937702636168,-0.111749870510157,-0.10161908953586,-0.0172653135065201,-0.0998218870317236,0.193144448571441,0.155192468385628,-0.0556658683334759,0.22109128489687,-0.0010472986503848,0.0159391418511487,0.0047156206144205,0.0699756020102753,0.0506867733883222,0.672724960524459,-0.120902284363663,0.40213400388461
