group,CD275,CD3,CD56,CD45RA,CD7,CD4,CD16,CD5,KLRG1,CD27,CD95,HLA-DR,CD66b,CD57,CD278,CD58,CD11a,CD66,CD244,XCR1,CD2,CD29,CD38,CD71,CD158,CD49d,CLEC12A,CD94,HLA-A2,CD328,CD88
progressive,-0.0234244276752282,-0.27271131868508,0.362994426836712,0.0897691976404843,0.139557992448742,-0.14351599137037,0.0613949132458035,-0.373911307355955,0.0860975897533657,-0.217783533614307,-0.0183302596902155,-0.0650489430689097,-0.0005133441403249,0.136346981654151,-0.0207657345529185,-0.0934032491564265,0.232345050752428,-0.087096108437966,0.0739908961700775,-0.172406985722395,-0.181752334029921,0.0298643658074325,0.0453656544587618,-0.0547606065788591,-0.0427696297488896,-0.052101490332823,-0.0113638786518319,0.0954963082987938,-0.0777602076148664,0.207923913948071,-0.147307781680983
progressive,0.0341194079310537,0.0442412972273269,-0.401128252603946,-0.524614397436043,-0.438705179590476,0.209378933617534,-0.133111431994271,0.135416588497782,-0.306665172529344,0.0611980054010855,0.0311178981485838,0.0385501178243616,0.140278951007558,-0.539519574033731,-0.0099605651653496,0.219025938482567,-0.583452530763057,0.0423040248131038,-0.311434337914856,0.0507180299396222,-0.19475179927018,-0.155345886988638,-0.0783592613397975,0.569066302682791,-0.0082237028992161,-0.0628891262335509,0.0600598153772739,-0.518068090366267,0.0900540693508959,-0.363622224022118,0.220170070406102
progressive,-0.087752822353677,-0.0865791419340076,-0.0176342213553253,0.0590056579309523,0.126125191227873,-0.057988285639094,0.0132948360366283,0.0895261775048801,0.0443455385664165,0.0050042416908854,-0.102398120382909,-0.12319264056245,-0.0340022498740545,0.0216610296823702,-0.0175687345597048,-0.0251536069736761,-0.101573495972307,0.162934265945882,0.144449116320596,0.002109987504626,0.153818826116849,-0.112491779779125,0.111974383775639,-0.0638199214481983,-0.10863047800844,0.0448320301388121,-0.176906855924637,-0.024411188662253,0.0328868844490938,-0.0054055858019149,-0.0817011416692455
progressive,0.319408992119305,-0.153515912603128,0.104152962685055,0.240845790379696,0.0814866614822503,-0.202037441482519,0.49432360850658,-0.149485414603664,0.155229867128534,-0.121674729408721,0.0942148930708334,0.128420588818835,0.406070065365937,0.166129890214917,-0.257382925103158,0.317590540302362,0.15030791273278,0.487797360522931,0.358998406082437,0.0720577332736203,-0.149910796087548,0.0648539471849479,0.185360519284103,-0.0480808210521787,0.229962978281101,0.100476849827968,0.29440051999118,0.268122904389301,0.226988164548399,0.255598352098726,0.32431322135568
progressive,-0.459107167011093,-0.242442867858563,-0.210156265245448,-0.244686856765091,0.225038659401659,-0.0825923468069813,-0.43125993534986,0.112482314113937,-0.226079790641958,-0.118847927361548,-0.450304355188196,-0.316546640930885,-0.342183911074371,-0.134923763375252,-0.221873031092299,-0.421690833915369,-0.233922446971776,-0.292069047602954,0.0192669776543928,-0.202648528582676,0.231610832931101,-0.1430860286821,-0.0863631104000268,0.0803878452691421,-0.0401214925560526,-0.0820609233508047,-0.402650322990824,-0.0325151235805905,-0.179218589222061,0.0204877244745203,-0.423015016411321
stable,0.0656300383474406,-0.335275024721847,0.526957320528804,0.446592830001004,0.481869133882589,-0.341125853101948,0.311418056008501,-0.481817178967996,0.216281994020026,-0.225870239531585,0.0063608947515178,0.189142666604363,0.0309826026503258,0.244506640407295,0.120526683031768,0.157090723802018,0.634614335274363,0.109082472457927,0.447857143800625,0.142803978165435,-0.0432981271400679,0.288976922324774,0.472653588715251,0.0488817805438803,0.174776541817425,0.186739314060697,0.108394275982046,0.490122563565107,0.167361299227598,0.600967886677846,0.136481468122284
stable,-0.0874149545645386,-0.477194433593474,0.522848381605514,0.262695700910325,0.403870192219058,-0.430777761994559,0.312366742561072,-0.619185707674448,-0.0016160573351215,-0.516539504759898,-0.301896255097636,-0.41179705516007,0.0130430617791951,0.253098153112186,-0.570978063230853,-0.057286810785099,0.471948014207001,-0.0390330596550796,0.434622665958674,-0.050789733249804,-0.43187906412687,-0.52311286564103,0.105903262023116,-0.604390374034129,0.176188926644716,-0.441336583007236,-0.016537065022548,0.216600848123388,-0.0449300978645298,0.531684547361161,-0.0777907764233484
stable,-0.108596862729988,-0.0994449690773262,0.190064180244417,0.239801231529737,0.331436191076601,-0.337361193068548,0.0217922889342269,-0.266653817197313,-0.039103261908078,-0.0086076095103169,-0.0855040186015307,-0.152119712952763,-0.0262474914675663,-0.121280811867789,-0.361771801412136,-0.160883829590777,0.025729643659655,-0.0840723345358884,0.13707652888966,-0.175868387023323,-0.0133836947951477,0.0438279609133764,-0.0940459889721679,-0.153270883416289,-0.0090508627017481,0.0869366972341916,-0.0215320781443962,0.348102895372666,-0.12770199174474,0.35854105790821,-0.0097998370610284
stable,0.0032858759999898,0.0323101637346653,0.0477307163759192,0.10535500822321,0.303492101751511,0.188254346511174,-0.0467957149492664,0.147201373114956,-0.0475021912852648,0.348372791703186,-0.0484776575940805,-0.206989606402006,0.0244988104665735,-0.172048962286258,-0.0010026264875136,0.0251247365609686,-0.100034202698514,-0.0369556418502221,0.0729164508929072,0.0301992836025469,0.281492795478661,0.0418791322077232,-0.222725910619749,-0.0659313733305892,0.0243788963655751,0.0487553502531215,0.073280134768945,0.0691990795740854,0.0127885431909544,-0.114646621862151,-0.0034938104715277
stable,-0.165231267681604,-0.374525887679433,0.435740123700062,0.262888653471209,0.508375699315636,-0.402606573370909,0.0493112210358578,-0.503845883642768,-0.123447133949796,-0.147322826421224,-0.15656549897127,0.0077466546859731,-0.0784153774141539,0.0095049112263139,-0.165904634432934,-0.101409772948508,0.20758188238548,-0.0241138544714719,0.158266554230628,-0.058001559143621,-0.308263205479064,-0.119067523230931,0.231226828669389,-0.0206268230603662,-0.0906586478551095,-0.182844036098095,-0.111631739028063,0.563629812848777,-0.0595342536512286,0.44378199637768,-0.0886785425912634
stable,0.122956245537376,-0.23638542679696,0.464158122121942,0.138141494151166,0.394142814220951,-0.172845339435217,0.21181027227044,-0.19594669013474,-0.010340126986362,-0.169208473057998,0.0508661604409498,0.010629449745165,0.216776273475859,0.039838456749561,-0.0817335724304069,0.0531691779279696,0.0333263292068287,0.208114101705865,0.187378789239504,-0.0151840353907696,-0.077989526662489,-0.116268229244851,-0.0710680347137088,-0.150127104926553,-0.0754553584934133,-0.256779473354287,0.13425203933251,0.428842534726132,0.0434855083474981,0.344889813814017,0.0359277029497959
stable,-0.0031988930085434,0.369586910288791,-0.289907139768124,-0.165183151365929,-0.394823342729489,0.233839201123458,-0.331748922107026,0.514120939270507,0.0078148413612423,0.179985786756879,0.0520870506979041,-0.0577204067050804,-0.102845362525833,0.0091639984153809,0.0044520359846121,-0.0372632564351341,-0.223613423523931,-0.0188249804075579,-0.089624531046863,0.0411687748595822,0.529043039652455,0.0264516504969971,-0.202715414492133,0.11912661622854,0.0212335319618967,0.0122620220211186,-0.0454606952385663,-0.51757204501478,0.0380329465048977,-0.441299440272045,-0.05564755172363
stable,-0.0163282232492012,-0.0191947061589383,0.328628422270013,0.386066274584938,0.282798287322441,-0.405715606595792,0.335044880969039,-0.441233073834813,0.41902680566804,-0.235711276715248,-0.188790087757221,-0.0950255293764739,0.0813557449194156,0.324026982935643,-0.239053588366491,0.0483558016362723,0.435616312843882,0.0492013462411913,0.404258761277958,0.0670881699330881,-0.210294127238298,-0.145290876961967,0.0058183404154563,-0.233854842542569,0.0616189463034161,-0.0549000536693971,-0.0068854514052869,0.665022719048472,0.0845412570854481,0.342768585438321,0.0705328092937587
stable,0.0594639243063201,0.353364854131781,0.48660629995709,0.360372351644685,0.365469880536137,-0.123383587828669,0.121891545017291,-0.180022294824326,0.244887644010939,-0.128338092782531,-0.0002781910853028,0.120346146004899,0.13631379448998,0.219722779631457,0.0605552679684693,0.179196454214649,0.485497099410953,0.0400040785168672,0.361899034249952,0.140093814191945,0.0317205743195032,0.15452997651189,0.0983236262567373,0.0422726221751134,0.0496620433252978,0.274021689567378,0.163680612031437,0.320222367477611,0.149425033729739,0.125765298965473,0.19219177053332
stable,0.262709958141329,0.157788365648196,0.0144926634936727,0.059550917895037,-0.0388015623049942,0.0219300198022157,-0.01103203126405,0.175551198849868,0.457601776297248,-0.157953448303983,-0.0480311997992451,0.0206921373792095,-0.0142756084012965,0.457451334795001,-0.276298289099875,0.139817524046324,0.143559955204471,0.269580707753686,-0.0430561849355569,0.542255950037906,0.448956134224148,0.0046368056443933,-0.433140580056205,0.0466137487847548,0.407997361571352,-0.122360206084817,0.000954789964731,0.186438961017164,0.452561861818695,-0.049608390028124,0.172480963610814
stable,0.0677766042142891,0.0975078719323615,0.152337824583132,0.285834379818979,0.319651774608955,0.0609213681323962,0.246380277528426,-0.009153029529197,0.149888888325821,0.0765230419828923,0.151615596276733,-0.0460382264552041,0.200863810222779,0.0031902261594314,-0.0214170626613477,0.0930732446521436,0.0812856680147933,0.130810772471952,0.293341293155001,0.0779815780078194,0.263388155202175,0.0963532344306408,0.024413373898954,-0.126123442419844,0.0194535793503743,-0.0244900833955135,0.151815170136669,0.228548902618731,-0.0424408186272388,0.334895404901109,0.165773377461345
