group,CD52,CD3,CD56,CD19,HLA,CD45RA,CD7,CD49f,CD194,CD4,CD16,CD5,CD32,CD223,KLRG1,CD27,CD95,CD1d,CD57,CD278,CD11a,CD244,CD54,TCR-A-B,CD2,CD29,CD28,CD38,CD127,CD71,CD26,CD49d,CD94,Ig-light-chain-2,CD328,NLRP2
progressive,0.101306837331608,-0.142590998523279,0.237043157964908,-0.129982182160355,-0.143236447381849,0.0355046582028626,-0.0114291109014185,-0.228154215883152,0.116299784103845,-0.0210238215927935,0.179971654690234,-0.141445008853657,0.0933951922548045,-0.0331200213137012,0.212710614908289,-0.0204437440607015,0.0253512986668478,0.163406436465671,0.218894227466605,0.0867737573388662,0.159693126402822,0.121553008178029,0.0040825362430253,0.119507354931249,-0.0799751652844834,0.0005164394117744,0.0809425995400568,-0.0468966900352025,-0.0449662935993394,-0.0090914245522448,-0.0720548349495937,0.112791317837399,0.228769792307911,0.0531351017704905,0.0776514378278727,0.16133050617643
progressive,-0.157374614640585,0.0447878101772168,-0.370738695899261,0.14592465260441,-0.152232698252927,-0.54601587561199,-0.391317738257184,0.0875232681279088,0.080179353951741,0.231434321554756,-0.033966163573366,0.137360828472221,0.170387775134178,0.0705619020936262,-0.28240943366811,0.126199304677425,0.053317477433871,-0.0874598182636125,-0.590601505107614,0.0178846260814089,-0.563426743757087,-0.311129499582544,-0.107932098634621,0.107004107806702,-0.190707504480451,-0.114554864170195,0.180604035080204,-0.0326015121453373,0.0575820150212395,0.60040420323644,0.410191822110645,-0.0235506053589044,-0.477903245705399,0.0321971583377954,-0.301037947841136,0.0992232783443661
progressive,-0.108524726658264,-0.219886370057343,0.200956361778114,0.0362282144482956,0.148216716055593,0.410259509574421,0.516771054529315,-0.263748958247485,-0.0522722287386457,-0.205568590327902,0.160691756855515,-0.42797268024277,-0.144518539049655,-0.121367983335598,-0.162235537780658,-0.159275076914525,-0.0488955576521752,0.0214619426311521,0.0854318290427127,-0.228455659051282,0.12444332115353,0.409675045500864,0.124186566018778,-0.0900909953396463,0.17800619862986,-0.171504156188648,-0.200000355484494,0.335238078368128,-0.119439455000025,-0.224640799282464,-0.124725811357163,0.0071893282581999,0.0985736819685186,-0.101357111889828,0.120730763299702,0.0248501371930546
progressive,-0.0095323311043295,0.0443198114335522,-0.0680204838812622,-0.0186907749609335,0.0883541717613031,-0.0657566588548791,-0.122973205459533,-0.0592727685069639,0.0761949216216635,0.177038011967342,0.0514948772996144,0.103883009371042,0.0375908947711128,-0.0243374630983952,-0.0534692933315138,0.138084808046081,0.195951886399603,0.0440868577262959,-0.131301878164214,0.148994733922274,-0.117219032266939,-0.228834610285706,0.0541323833644896,0.161077005185646,0.0917127487788257,0.0479678328911522,0.30191118570037,0.0652008141339742,-0.0187282568413715,0.318656301411869,0.210893364354975,0.146260984800264,-0.03049897356374,0.0187450736388755,0.050298027347832,0.0797979337983797
progressive,-0.0763901580688942,-0.028365716704202,-0.216480717114904,0.0238211903396281,0.0609870363810863,-0.034535477071829,-0.220419007162676,-0.218084894838942,-0.156140176292814,0.0562077877686422,0.176932680753049,-0.290472429748619,0.0574820042655106,0.114642799301809,-0.241343343543028,-0.0680634374064279,-0.174558738351204,-0.178827769727972,-0.127466136306176,-0.139590029435979,-0.0854905944416842,-0.227238823267887,-0.407073227299979,-0.207846645274476,-0.156714768346538,-0.328180095057353,-0.180934754265196,-0.0458432174132122,-0.104939945223126,0.10770832912571,-0.0370495337905301,-0.255657391428936,-0.0656466476082064,0.0130566067088718,-0.297149026401125,0.0042587558478103
stable,-0.375431507742185,-0.522087043672172,0.474155029750634,0.0358507947843302,0.240170629708733,0.483621626515241,0.411869025615776,-0.138538222108376,-0.0533907362581059,-0.531184272759065,0.358177955781615,-0.643245509016687,0.0036109593034342,-0.0210922692529699,0.077764644357973,-0.391574663582253,-0.111095561090017,0.02298985018455,0.211675438016214,-0.129649213070316,0.611896146463161,0.47246492178161,0.0748826901708658,-0.287984405404805,-0.246347001113563,0.105104769867129,-0.301565760043852,0.479833785404378,-0.136365364481435,-0.109184689493302,-0.232507960669821,0.0795421666861643,0.336692811748775,0.0749408928074466,0.592726326770651,0.0274591438308879
stable,-0.157317600250822,-0.32074558044178,0.517519484740493,0.143298917945913,-0.0405286507944026,0.2061493172512,0.21976126016456,-0.267860970966063,-0.0893021566267052,-0.249266121530189,0.277750990722621,-0.492086423644745,0.0641433299765182,-0.0087251239553662,0.0947690490731958,-0.458681087872905,-0.185494389000754,0.077407167269453,0.315234134744327,-0.566449285927135,0.365480637156751,0.319245058097265,0.0051510421425434,-0.0934564561313374,-0.404472611284059,-0.51771401860467,-0.251741102120969,0.0312505843437355,-0.0440427954658181,-0.636324799260838,-0.214937659204048,-0.488598170284686,0.201248176713006,0.158867145389014,0.480269770710317,0.097484511916501
stable,-0.459653249592349,-0.504313540967063,0.185227145523079,-0.218315603834108,-0.0163283292093042,0.389765823899407,0.188977893604626,-0.434201289071551,-0.445637736815738,-0.492560085578769,0.391305398669846,-0.500213502013819,-0.115943503334951,-0.228223991224515,0.0227097563542115,-0.536395612534404,-0.236581316360412,-0.0918956639417026,0.0984466567585209,-0.287973348363909,-0.0127891698289712,0.284015023535491,-0.0557951523992342,-0.486734121369098,-0.348543035038073,-0.188625154449043,-0.49439258234034,0.452422325649199,-0.40761304310151,-0.0521055377393136,-0.216480747042086,-0.129863446676086,0.152447480149578,0.095155043694555,0.34132687921827,-0.320651672534615
stable,-0.327458847418593,-0.552268881333825,0.443162891204665,0.0223030017640119,-0.276137380643357,0.536596382868295,0.522650836437841,-0.0649749623577075,-0.009812644564865,-0.481409889433286,0.46869894787769,-0.679976778986307,-0.105859134601207,-0.0580693980132129,0.0789255901596188,-0.347978344490715,-0.295280201463278,-0.0388491207604969,0.104673516915767,-0.486435091090819,0.333041313905156,0.441712965833897,-0.0501993009317612,-0.424415489382924,-0.556830344676603,-0.225783565116805,-0.372061640011627,0.189172731275328,-0.122806763669904,-0.315900410509873,-0.304490118974759,-0.277873353776075,0.267937548261458,0.0358191817947254,0.537094265293583,-0.0306900435789746
stable,-0.219053641220528,-0.357847724422999,0.498986084698978,0.0467269257395448,-0.146921194033778,0.330783577696645,0.323746141739015,-0.0960014836110644,-0.139456975217326,-0.411181813707707,0.0804065825579714,-0.432836917734559,-0.0269687921589492,-0.0350409088123753,-0.117219365485729,-0.267649023462979,-0.202121571686809,0.064704538171684,0.0476970369988702,-0.210609848176398,0.240226269596536,0.179852958099304,0.0681468847881985,-0.15322643953461,-0.176069835095903,-0.060819082611781,-0.222550343903434,0.0807322577424466,-0.0153381278011476,-0.108046202234984,-0.160051246617336,-0.163611902626437,0.432741689259821,-0.029987658771014,0.377339572980299,-0.0325678174317579
