group,CD275,CD52,CD3,CD19,HLA,CD45RA,CD7,CD4,CD16,CD5,CD27,CD107a,CD314,CD66b,CD35,CD57,CD278,CD58,CD11a,IgA,CD66,CD2,IgD,CD28,CD38,CD15,CD71,CLEC12A,CD94,Ig-light-chain-1,CD328,CD88
progressive,-0.0016912608695394,0.195042742151235,0.175566712226854,-0.0824734806959976,-0.120413763889678,-0.0485843487410169,-0.182721392231641,0.12184846483879,-0.146550437441336,0.415957381656684,0.328419556611677,-0.105004416171779,-0.0750425064115541,-0.0740659342462658,-0.150614613142385,-0.220080596003334,0.0558897167230594,-0.066851641867436,-0.280798694381171,-0.0293854967026681,0.10093341622653,0.0715031223915575,-0.0567169840961761,0.179186118350135,-0.0559107201615422,0.004322279333121,-0.107913508029412,-0.144804338739983,-0.12903942090044,-0.0091683394373492,-0.167866122808368,0.0702288470220616
progressive,0.0680431152941741,-0.156161335488607,0.0702137882039694,0.053018366274565,-0.229420128147724,-0.540693702759619,-0.455716903626379,0.205917360217152,-0.180289910918385,0.0947325246070234,0.0773710913024171,0.133235407530166,-0.110576510956437,0.116503722631856,0.222808879222262,-0.476798721955672,0.0388148557086667,0.217427077444026,-0.608414446623527,0.0322808179211496,0.0348511166969978,-0.229973653818632,-0.0489215433954585,0.118851375806498,-0.0928563397525057,0.107710046215117,0.601761187305289,0.0172769757374218,-0.516647734377737,-0.0464985659899343,-0.400741785944821,0.210815012808252
progressive,0.0790237150042449,0.0743817426791297,0.329871896592167,-0.091831966328016,0.0209457973005533,-0.290237508106719,-0.0897187549619433,0.117697055251054,0.0368576693462559,0.317867314433386,0.237843480886972,0.101339152876518,0.0760481134356455,0.26375469559881,0.271075462004487,0.0147106690836664,0.276078707842266,0.168994885291329,0.0247997081037672,0.158732288885251,0.162541902827379,0.0952791033718751,0.249310881028824,0.19010494696182,-0.132802410496309,0.0778108963013178,0.0381683784915751,0.244329854490292,0.0120707984913112,0.0514239588652774,0.128442612102629,0.220201931223128
progressive,0.020228984460813,0.0506533451888351,0.31028289345775,-0.0062710274110449,0.100676418106015,-0.0365890321375949,0.140996807034544,0.0544832899412942,0.0371043416325323,0.321739895303922,0.0331344348027292,0.149684705552938,0.145799566279308,-0.0113404575809432,0.0558692381206963,-0.0548902561106074,0.126774250901844,0.041625752944974,0.0863611073990257,0.0199973234971464,0.0571745625405239,0.127564480286348,-0.0197348390104938,0.111261253718243,-0.189270848406245,0.10971766573134,-0.0065621858635933,0.0685940844906704,0.0928508566352314,0.0567481870248654,0.013907665671281,0.132065917882293
progressive,0.510582159315365,0.47845022616374,0.345165637526045,0.511818045070472,0.512179316736068,0.321688647820944,-0.0553434338230164,0.287948415327063,0.455312924674165,0.123127732667479,0.242618148201367,0.557186615104795,0.553497749304614,0.520803356208323,0.46739287857866,0.424148639121137,0.341526098924977,0.599113484712035,0.379431807068633,0.518709357076264,0.478994485693995,-0.274932145068471,0.48272832174644,0.354082679718841,0.376171154907731,0.487985356945626,0.262926176134349,0.523047617778293,0.0821353595661361,0.505108600316047,-0.0775760755290857,0.541044929538111
stable,0.014420102860811,0.292483751876033,0.33913939306835,-0.0392161248141288,-0.266432652571023,-0.331310214001203,-0.278382048885133,0.463384903983484,-0.277833683173049,0.570090737539985,0.243950769923854,-0.04781500089435,-0.110842877299247,0.0308280894199266,-0.018827949736206,-0.252446652937491,-0.067949533026616,-0.0125257687305649,-0.611113687333403,-0.0181094455295707,-0.0677515126807404,0.199532119915077,-0.107191759243172,0.24349767107164,-0.565778390687712,-0.0342855541586123,-0.0189692116586054,-0.052366774340654,-0.261083599747878,0.0017095868847281,-0.477408063807,-0.0393951772423196
stable,-0.0469574107147716,-0.016060632521549,0.0871603936414974,0.0708399206068472,-0.0019915380692755,-0.167148895713255,-0.104313091585299,0.0153842852109279,-0.0301693426498793,0.049820155521869,0.0642326115032844,-0.0048110659138016,-0.0679189898833651,0.0320255859241334,0.138439184898744,-0.0148274118930547,0.0022964275695848,-0.0737229252888535,-0.225626433430053,-0.181701135375069,-0.0549422804743873,0.0791359191757129,-0.160073277820086,-0.0852916199700948,-0.0146528042449907,-0.0452920685773654,-0.078296390203022,0.0831813579416154,-0.0277128319003383,-0.143917079908222,-0.077929489450848,-0.0306689603633334
stable,0.263449593789394,0.462524628666387,0.567997991858241,0.0811405237204831,-0.037764249178117,-0.393246873905965,-0.310613892396678,0.504085873823084,-0.42483812396703,0.560288735264839,0.619764342887196,0.165510784313995,0.0700642683452593,0.167123136271584,-0.0045028029652205,-0.028094295102738,0.503927198536012,0.27889772748476,-0.0489986064493524,0.26612205992814,0.137666536884779,0.496146981692912,0.1706507573851,0.564683237926316,-0.248082695135752,0.175524072577724,0.282142273946414,0.016321668481565,-0.1830996038318,0.138196680406495,-0.434594255703628,0.115954098124383
stable,-0.0284666390799123,0.17423381054149,0.415737314007818,0.123304823474811,0.170504203179465,-0.386677126691838,-0.232932444505443,0.299084651342477,-0.295068912620002,0.393770019532444,0.283718289621201,-0.0078498077499426,-0.0785648740156305,0.11266201559364,-0.0475941483712302,-0.0551116247116569,0.290467076498091,-0.0793515820114154,-0.360814858137745,0.0565206101113092,-0.0554649907543365,0.404533992229429,-0.203604442668953,0.0677546489112301,-0.092644611221674,0.0068338484236583,0.246747435402653,0.0143085947247603,-0.0502357374259119,-0.0152323205685683,-0.372370354458209,0.0829963397003995
stable,0.107135774337744,0.307469932687152,0.385517506497948,0.0622401484774793,0.0500277178527149,-0.406929887012351,-0.260572259263028,0.451325593386446,-0.213380515816394,0.423344455713358,0.208425714087243,0.0165262941810317,-0.0928982626213949,0.0313832951804168,0.0780497350873868,-0.181612240080327,0.144019229879378,0.0542117541535667,-0.329908903546267,0.0200150165547898,0.0244170518773815,0.33657208752415,0.0352503137173986,0.167286833805409,-0.309645998366188,0.0878858273208105,0.143069836611884,0.0494421122380593,-0.236837940707767,-0.0160914695567235,-0.329335438983399,0.0252547639434266
stable,0.146394152856118,-0.0630555765437788,0.127597854367758,-0.0321396627748535,-0.0445392265630374,-0.223587943766076,-0.26879474597231,0.315652445232251,0.0647730609688315,0.270761864644771,0.0416712296062695,0.0110163253021522,-0.0345746914322434,0.198852608257065,0.0467121774812454,-0.160317955551809,0.111317316904265,0.0502479958052643,-0.101814525061491,0.0388239146369191,0.0928770321938806,0.0360068329624718,0.0699593011438252,0.0952491010548213,-0.0975990964761407,0.11444912947553,0.145317071347493,0.191260800575695,-0.371377156799902,0.036769768044819,-0.377472392580019,0.111542606492037
stable,0.127207541080294,0.290470305489694,0.303743374877039,0.258069383398546,0.0020062553035791,-0.085048063806817,-0.143576572126003,0.264163426770889,-0.188520136668977,0.478190085491462,0.267912040688645,-0.0239884713773654,0.109168944578341,0.0356483495755375,-0.0811113335733643,-0.0223220307052227,0.0586539393566427,0.0755848207524758,-0.121656819382766,0.120549684621687,0.10369882071803,0.369272788743936,-0.0472377904429866,0.293225544896362,-0.119080349179072,0.0397563550311249,0.054937369019628,0.0914031162482332,-0.42372826394736,0.0504554160754141,-0.299260415197501,0.0694653167008144
