group,CD112,CD52,CD3,CD8,CD56,CD33,CD10,CD45RA,CD7,CD4,CD14,CD16,CD5,CD161,CD27,CD107a,CD66b,CD35,CD57,CD278,CD11a,CD244,TCR-A-B,CD29,CD38,CD71,CD49d,CD94,CD85j,CD328
progressive,-0.0083122057321287,0.108311913081711,0.351637337816502,0.049137375356603,-0.193472553625657,0.126870110892972,0.167106558487678,-0.128779490215499,-0.06974347362181,0.175942918142321,-0.0586104959204291,0.0203019035832737,0.434335274343642,0.144864457931527,0.171680164603214,0.123423870141904,0.265284334802415,0.135646101088365,0.0435309544800042,0.229103048815228,-0.192200290266091,-0.103881472315691,0.1825531096303,-0.0994145867665738,-0.130128716790312,-0.0074319375102972,-0.0409590441977155,-0.10051039059713,0.1703552248026,-0.178198598521579
progressive,0.0329389877001056,0.0856305973381004,-0.0747903369677486,0.0755854174720488,0.398745106114746,0.0227677013524573,-0.15897888196247,0.495100598614546,0.541072301077961,-0.146050643232774,0.0137195235108936,0.164060982418889,-0.0917515133765656,-0.0204192972654275,-0.0820202958918897,-0.0815333165314219,-0.097369759875048,-0.182063743922403,0.413360174228947,0.017995985489797,0.566135951692424,0.323792014924754,-0.0920904026926301,0.0765826599155624,0.0790081547519913,-0.626921867296989,-0.0189900916612207,0.48500352421466,0.0009017939425621,0.387593613928041
progressive,0.0429614241501754,0.11546705284866,0.163866247881571,-0.12733769632421,-0.0207881424593652,0.0668454636422064,-0.104180556160965,-0.10270050099295,-0.200947470938631,0.150462210292805,-0.0979906634312461,-0.184213332139864,0.141858365849004,-0.013476252830242,0.0620223874274533,-0.14337175851336,-0.127236237186444,0.0798337600203864,-0.0493632026983681,-0.083236945331737,-0.0387086660966374,-0.233763150458158,-0.0509834503673434,0.184728066801015,-0.24842524112948,-0.0194185959717115,-0.131001751299891,-0.144860095220289,-0.127531341064144,-0.240109190504613
progressive,0.119882126461751,-0.0388508898427678,0.125230375312619,-0.207208616857289,-0.112761984065487,0.13264748260461,-0.0151032446448901,-0.0682208934723414,0.118297495814478,0.363069654015662,-0.0469664747713773,-0.0041405446326523,0.246705908057431,-0.0988565347368007,0.0907374186695129,0.0262495981328042,-0.0210513199968938,0.124018239869387,-0.226782995931095,0.249840066698343,0.0004217050215593,-0.0587394570473196,0.027561161159895,0.251366033255604,0.293367494764582,0.392618869075114,0.203173628140992,0.0432169815207156,-0.0511194340847244,0.121104407574266
progressive,-0.171451896511796,0.117643980598913,-0.0047770370756205,0.410723801526909,-0.243853735362391,-0.0305163286601055,-0.46187871362778,-0.0199376816398208,0.365876457327454,-0.282292285740282,-0.149292628697649,-0.265691599104709,-0.0614997373063087,-0.39035239258496,0.0443685350075817,-0.470802769284268,-0.495144972777866,-0.507530396997716,-0.165627968546678,-0.101312315086158,-0.203159368727198,-0.0281880219702531,0.151217583162988,-0.179827662822812,-0.257210510814293,-0.0183140988597337,-0.0129685847412856,0.0369532067991734,-0.150609302102616,-0.0191321457122964
stable,-0.0126024834808718,0.43105454652047,0.563517233981526,0.0449521556664494,-0.475853690297792,0.0955886207193531,-0.0132809955640496,-0.43664004445325,-0.372212263494501,0.56697878870786,0.0594224807683694,-0.330276945458271,0.687903022386952,-0.0020170076109203,0.413451413182535,0.0233946499203114,0.0201756763733236,-0.0011559891257901,-0.15040870693462,0.141905032386786,-0.538533719520156,-0.404858907687637,0.357815406873151,-0.0642200773640165,-0.43640052833461,0.0363794907151592,-0.0642175727398926,-0.294178214588669,-0.0225852437919578,-0.556093902048218
stable,0.0664755678512359,0.270941703947469,0.34614523289175,0.316184163875317,-0.351049312332094,0.0999382456870099,0.203540063423897,-0.203104849043539,-0.370464961237171,0.328332937585555,-0.0098425288038546,-0.146005645205294,0.524903064777067,0.0614851130046724,0.307947549788596,0.0623532114103482,0.134270270230411,0.0902079879783269,-0.0499062941391855,0.489555273119465,-0.374041981188579,-0.383295639442999,0.238601201403189,0.45283600004371,-0.096820995921885,0.488807151168624,0.465924968361254,-0.0920493936037423,0.0836711683173532,-0.392073049102588
stable,0.473488428780293,-0.0691055924634469,0.0599531306257893,-0.0236234097214742,0.113497851197698,0.197221906428229,0.164106801464569,0.108279816947105,0.0297836934828738,0.160723850485977,-0.0185712913808988,0.0668503951114643,0.0177430940946503,0.268136808114961,-0.0962966027626466,0.285577184877803,0.194903794262354,0.0828451648761222,0.239666133830915,0.326120258158363,0.0499223571966504,0.0317197261638912,0.0937294760556441,-0.0623359327733606,0.106917713730267,-0.157688032990508,-0.18602928706735,0.021962705005077,0.436745895472222,-0.0738695473504901
stable,-0.0917582895522492,0.24960067067963,0.456920818950565,0.0268933579636988,-0.410994167573319,-0.19610991295349,-0.0415629924505251,-0.417024374791768,-0.385289406700293,0.400750245121889,-0.113137537672516,-0.490513581938327,0.555745928101214,-0.263608222861435,0.295566637751006,-0.0451372982238452,-0.062380750917197,-0.0753108402544403,-0.123184716194753,0.28575946023326,-0.269271249806667,-0.444032433204323,0.220138943196523,0.146551152168268,-0.130408635748337,0.203307402905669,0.29310607771012,-0.408683149320147,-0.166092924015869,-0.513952387741415
stable,-0.0085886485663757,0.0788582174730709,0.142469447139775,0.100452392004714,-0.192817107025244,0.026809153616151,0.0419218316097465,0.0372135282819427,-0.390446174059611,0.157614273580345,0.114151039024938,0.038271224698153,0.24011443131627,0.027544481268336,-0.0355485818387237,-0.035516133048111,0.0756992596536701,0.0019037093931303,0.0026861645129888,-0.036607086467749,-0.133016912046827,-0.0477570586244336,0.0058354211250641,0.024211466675238,-0.251301238324248,-0.0966638592046583,-0.133212845159673,-0.356477383461535,0.072885751617243,-0.170765293184679
