group,CD112,CD52,CD3,CD8,CD56,CD19,CD45RA,CD7,CD4,CD14,CD16,CD335,CD5,CD27,CD314,CD57,CD278,CD11a,IgA,CD244,TCR-A-B,FCERIA,CD2,CD29,CD28,CD38,CD15,CD71,CD94,Ig-light-chain-2,Ig-light-chain-1,CD328
progressive,-0.085172141238946,0.150700358594945,0.355237728151604,-0.0785309696844482,-0.344739020005697,-0.004710243993272,-0.258212964957905,-0.202180903092668,0.18714384884612,-0.0382451139644631,-0.12070271490828,-0.0905285616327428,0.397377534105034,0.165535461260919,0.0923830702183237,-0.210151106810706,0.019487022020659,-0.3881086394009,-0.0914931540670877,-0.169202877421052,0.151631304094642,-0.0090866823529759,0.177347331537968,-0.145169747571702,0.242090805254035,0.007138627885289,-0.0605878208382515,0.0744845840655437,-0.223428605188104,0.0168290880898016,-0.0439099525864751,-0.194067963345944
progressive,-0.0143880187717152,0.126442494609698,-0.0390148196716119,0.129108087365056,0.395683376611614,-0.0814339431591893,0.460709718341218,0.423003032226006,-0.167473850727164,0.0172085137949699,0.126660982584659,-0.16762054807055,-0.0981672701966912,-0.042353361638639,0.0843571506700695,0.45377271624975,-0.0014278411815249,0.576741015645284,-0.0285895439277009,0.345676078925081,-0.0727472823874499,-0.0477410861062359,0.19826395000863,0.140181033575022,-0.149423227671619,0.0485286163242545,-0.0956230058411239,-0.616860617890849,0.502264002485429,-0.0045618397085263,0.0824568555369405,0.371846034919266
progressive,-0.055969453290497,-0.205921190644748,-0.433689420448996,-0.178744080485774,0.267847073610908,-0.149626321801119,0.392790739152459,0.350132823043685,-0.174577090949127,0.142847559678803,0.411281000063765,0.213150319207042,-0.444914183009194,-0.163395846915603,0.1267900703061,0.0848888556222124,-0.0088665491164433,0.161282108460466,0.0605828373543435,0.301801371835012,-0.105142857148903,0.105037602460812,-0.161560708770119,-0.122399208043179,-0.115219672423753,0.390272272724167,0.0446689535599744,0.0462713738995898,0.171090089030355,0.0741730424384751,0.0845440157029895,0.242704112238476
progressive,0.112225146645769,0.207126245351702,0.512604898247766,0.119951057517355,-0.265664961430909,0.100373964671599,-0.353442041344975,-0.164525086864169,0.468786087898974,-0.0269368586183604,-0.214128612650628,-0.0818040607799074,0.534143145465438,0.265498273302563,-0.0312927585622634,-0.271608038378968,0.376852599619511,-0.166480980478972,-0.0029716921166964,-0.382485993650992,0.157551645128436,0.0086337807383883,0.342953022264754,0.138733419031119,0.353089529238339,-0.197971842526194,0.0543069605561096,0.203474342139966,-0.0151915971665577,-0.0547142092026482,-0.0213221563838262,-0.0054144451353585
progressive,0.190774930925641,0.0207680840417281,0.380153315969555,0.0304158024082147,-0.0302058456473473,0.330506960704071,0.0926422861615761,-0.360024897824742,0.152490539143629,0.0553100296025742,0.123745084641558,-0.133965137401078,0.0392790293014745,-0.0282777273613738,0.189479520910581,0.0835940707868408,0.18325103640082,0.0510051837295115,0.182193466512093,0.104109826200023,-0.184370084475793,-0.0746830144358634,-0.240694839091504,-0.023375440329254,0.0341686048250852,0.243244612613273,0.233765255710755,-0.132182929247219,-0.0702080109161944,0.153291953294254,0.204681308236178,-0.211716755772787
stable,-0.0572631951264707,0.418440307513652,0.552599144575656,0.0250017921446052,-0.466887118230358,-0.0051639125626033,-0.426118698030603,-0.351325755370303,0.544684321774608,0.0208503063383991,-0.393135267252268,-0.157197549102989,0.668512797765316,0.395120911778399,-0.0797933732169592,-0.163053986996026,0.11841868575158,-0.542265440424012,-0.0734989567437973,-0.417158895092244,0.334019592850371,0.0041286170504281,0.299132434038451,-0.0957667273919558,0.288768932192418,-0.474478966344581,-0.101449521639874,-0.0461151776515006,-0.270745324915494,-0.107577706078788,-0.0683953038207849,-0.558979702054234
stable,-0.135830134804069,-0.0374263497975822,0.0439730585917322,-0.179344673984423,-0.0070855451078029,-0.0619506267334313,-0.16322126634501,-0.0315035154042337,-0.0049950808902642,-0.209403823977305,-0.330441876393156,-0.0899043793630233,0.0203258844642127,0.0322273577644759,-0.0429420383458469,-0.105778123276834,-0.138260440422537,-0.0751454161417049,-0.464436375746185,-0.0372598769928671,-0.137824488345841,-0.324642880171854,-0.0636175060916515,-0.118271854328213,-0.0180949282735776,-0.206313099482576,-0.409216607792887,0.0302502297557405,-0.256854360403214,-0.494033637485833,-0.42593366294557,-0.0798882340000374
stable,-0.17632585663976,0.11343551464839,0.0736021213133419,-0.155392716291936,-0.115423039146489,-0.174253404498695,-0.0837527857082384,0.112531221672254,0.169402470605559,-0.142152854308409,-0.137436383611142,0.0498855693792973,0.234816118170462,0.010557899619251,-0.165491385259132,-0.328622018124154,-0.0770746278290547,-0.255281704363219,-0.0385163028105349,-0.140784755883877,0.0589398975486887,-0.0556377751134772,-0.0877526384868006,-0.0570615989932015,0.169831655868672,-0.174452269608376,-0.082871928749508,-0.227697750337323,0.0829082149011982,-0.121149200224358,-0.157693539702622,-0.194950573663576
stable,0.0997741394469215,-0.485406627604485,-0.482523392204755,-0.0666306803724815,0.343132244072215,0.0209271354170011,0.124313013529094,0.147677309477464,-0.252904549166358,-0.0186359872067704,0.273686394123459,0.162346629258448,-0.52874269025411,-0.413084532181934,0.052951296546532,0.112295633196284,-0.227271298640613,0.214837839302334,0.0550212749623292,0.240094948920148,-0.216361264200188,0.0872788121756211,-0.380889381394487,-0.162033885953075,-0.376536049252927,0.236010711982076,-0.0065303359452018,-0.11467959665526,0.261521126949238,0.0516097104258263,0.0756441107163908,0.499146917950502
stable,0.0367635483514805,-0.0422129132604078,-0.124654182470202,-0.145326168919801,0.454534083244478,0.0051489012774835,0.067230364969907,0.372703806098109,-0.0995306921287016,0.0175401822521308,-0.100327321977419,0.255864276420792,-0.186760198484247,-0.0438059862123664,-0.0260001626913674,-0.0018449143656987,-0.102947133766927,-0.0322510824374369,0.019034717661988,-0.0081935990475094,-0.0820117059172405,-0.0656235608040704,-0.0173937261335857,-0.083280403431272,-0.125779090933524,-0.100353275518847,-0.0062797476711586,0.071918238278252,0.621405290195688,0.0019804795562118,-0.0309096856028917,0.0421557380805632
