group,CD137L,CD3,CD56,CD19,HLA,CD10,CD45RA,CD7,CD4,CD5,CD27,CD35,CD278,CD11a,CD62P,TCR-A-B,CD71,CD94,CD328,CD80,CD3,CD56,CD45RA,CD7,CD4,CD5,CD27,CD57,CD278,CD11a,CD244,CD38,CD71,CD94,CD328
progressive,0.123027025412314,0.542375609839996,-0.254185344309895,0.0157940144858117,0.138490523158678,0.0752696827132258,-0.195432761274153,-0.022752799885559,0.353519498999325,0.452669061945207,0.166457046135971,0.0680347171763635,0.0996467490202518,-0.183832041649185,0.15287484132433,0.183497322058215,0.230473900203206,-0.184160014487582,-0.203569905692482,0.0206827643742216,0.428663085528417,-0.342174385468263,-0.347841197735699,-0.115824310376336,0.295706894424823,0.435656105585132,0.174517295003897,-0.210797377608924,0.0334948420655199,-0.294941377036863,-0.0839744363599475,-0.0780921216056298,0.148143123318231,-0.280918993146176,-0.277043509009211
progressive,0.0504267962899385,0.132968112170505,-0.428747121666992,0.138706073565964,-0.196027075949002,0.180702109455658,-0.563593201142484,-0.496867514237031,0.228088390918306,0.101656871408371,0.10077324425465,0.252201735576508,0.0723126810346355,-0.582181933242996,-0.0777393992046771,0.141900644893953,0.620251487225846,-0.513112609457023,-0.392799195242931,-0.0616494263752411,0.0536075904907956,-0.44562677763925,-0.552605953389367,-0.504679894173667,0.187016706880011,0.136486273127008,0.063729954950967,-0.488468649831919,0.0145949471199147,-0.601475664062673,-0.319673293536562,-0.0984372843960064,0.535750991580984,-0.534765531115156,-0.410407038324078
progressive,0.0080045845233912,0.365862946666918,-0.403038960664652,0.0491740095334543,0.0416797781039841,0.096447760692634,-0.343362887431182,-0.285173746233085,0.126357963974504,0.35429040836759,0.148474379826934,0.0552008899213199,0.167219207964907,-0.111578435072118,-0.11778725129179,0.149784951048165,0.123600669764598,-0.0617935669686778,-0.0579211788637397,-0.0736763898000846,-0.201958206507027,0.271839195539892,0.0915981502787292,0.0352891818636221,-0.0761274279225532,-0.0805862185058999,-0.0609099840709194,0.0853521127233595,-0.0476298657175218,0.0518765730489038,0.160103781873923,0.205908512969838,0.0323100985018018,0.195778378889777,0.0822391736755808
progressive,0.128579402110902,-0.0323904772714644,0.0302069700884911,-0.109116154923255,0.152922306566586,0.161821453836064,0.197425785076224,0.136179532963555,-0.0981648668875345,-0.146364753412527,0.0883528555422015,0.220295737311201,-0.218979806322071,0.178530861385337,0.288289386591709,0.0559306155629613,-0.155090042928899,0.174589631347682,0.210510245391086,0.0269017546849983,0.291185458110474,-0.205461848731781,-0.358835202632,-0.285244151079973,0.403532733293694,0.288613297278462,0.141017595202071,-0.0925806016497378,0.43652718165441,-0.136027076228488,-0.386874550225647,0.0117910412866259,0.312094115548276,-0.244704171305411,-0.186895847179232
progressive,0.512067149274622,0.323949003893633,0.125929059879835,0.469479978029594,0.500565695755148,0.552736545087893,0.256693701492716,-0.137480850632134,0.179549977280391,-0.0417159323438517,0.0529231416042998,0.47470751513997,0.274172344811474,0.334948395926973,0.134341507929697,0.0677315835988446,0.0683012096414202,0.188926737013289,0.1394705694679,0.154337669578774,0.21852473739718,-0.0817896562075937,0.0103638028175297,-0.0903911954761008,-0.139314328174422,0.0926664446377644,0.192648382684029,0.0482093465344043,0.191482466387739,-0.0294710289583064,-0.0632526822673153,-0.184124397807164,0.22127583064713,-0.0721804923466757,-0.11377619020211
stable,-0.0106864732348957,0.536950993696554,-0.511546085725959,-0.010579364922718,-0.201187263778146,-0.0681930207286691,-0.51516051458169,-0.447673550903916,0.489441806295801,0.609265897155482,0.38326152632259,-0.0538254274408518,0.15738927067247,-0.531421950564268,-0.0899468064460716,0.294714556670641,-0.0169919152273772,-0.313564204186377,-0.55734775161464,-0.0442492428957895,0.468493687043535,-0.444214601967919,-0.36900137339514,-0.340169333062027,0.508287600632066,0.636542403502266,0.356662571085627,-0.250718745615141,0.056556350709268,-0.567701868489679,-0.412301991628984,-0.41360253425615,0.160569796304921,-0.403320194434055,-0.570683683511441
stable,0.11348477154623,-0.260339728693946,0.480079860749909,0.0310500159418122,0.06803145109724,-0.0092332872151846,0.23823750608576,0.288297420138208,-0.175281427902259,-0.374461590699144,-0.48236285005955,0.0158375827828002,-0.311116809338236,0.324429052900328,-0.286991582041515,-0.075921052574241,-0.328868799179679,0.305935779898298,0.3482434940882,-0.147798652861352,0.392273882519188,-0.481603209047559,-0.317603515120568,-0.38277227894026,0.320959538637342,0.498908521084439,0.40815019462928,-0.297924852127018,0.420539782746911,-0.464617136969028,-0.475456101938979,-0.079350485940367,0.516679096616095,-0.284200094810075,-0.604057709267103
stable,0.0163705640181692,-0.269695601578466,-0.0741598441107301,-0.128670127012506,0.0358169802010543,-0.0061632218366015,0.0148663190647035,-0.16852201640109,-0.0390457249060378,-0.100780452295215,-0.206023051338713,0.0733347963357009,0.0254044412980153,-0.0845311567462824,0.0198512823858727,-0.0458608079053519,0.127912238051152,-0.222409258416205,-0.0788425323053619,-0.0256343529762755,-0.0468731866018035,-0.0353191772438664,0.074730798305921,0.129298987059109,-0.0235032518851878,-0.100168343738159,-0.203776514630954,-0.0127321125530015,0.0924895533948657,0.03171809678007,-0.0270125156044223,0.19148390541322,-0.157721687463454,0.0804767720603458,0.0450278285176685
stable,-0.0021923711753749,-0.443951995423593,0.302992241135491,-0.165548698492561,-0.195510587999535,-0.207342943604156,0.339388605554679,0.365730642739656,-0.366444125466487,-0.398130332851206,-0.130897991830612,-0.149522349287926,-0.495919428469076,0.216852780354337,-0.0376086777310868,-0.493912254898415,-0.486442760312849,0.0463001081020338,0.282076082493853,0.0645084159715427,0.519639541461438,-0.499964164722359,-0.345532659828995,-0.432705246724161,0.448316514392399,0.592053665980065,0.464462214841001,-0.136828110882152,0.30068489516407,-0.253599352726194,-0.421007388597173,-0.11845845207881,0.249607259834656,-0.445543032993905,-0.515702048661632
stable,0.109183417266253,0.119881280038545,-0.383554218522932,-0.0633244019425197,0.147026400317854,0.0272255372094432,0.135690983844449,-0.445258582940922,0.0779762505499983,0.184895567009476,-0.122001700445933,0.0190647413543537,-0.0191709239430503,0.101319614014726,0.121001628994794,0.12081707513618,-0.110712824050617,-0.408330556564448,-0.0558480033474466,-0.0718591949673263,-0.142686540853484,-0.0764034948001588,-0.072313217451143,0.106517534318585,0.0503649625647316,-0.0809723908296694,0.0201988949233207,-0.274881245877612,0.132218394761955,0.00843475848265,0.0917727438380807,0.28708091682505,0.162807081794622,-0.140361861593935,0.0636287862545882
