group,CD137L,CD52,CD3,CD8,CD56,CD45RA,CD7,CD194,CD4,CD16,CD25,CD5,CD62L,CD27,CD95,HLA-DR,CD57,CD278,CD11a,CD244,TCR-A-B,FCERIA,CD2,CD29,IgD,CD28,CD38,CD71,CD304,CD158,LOX-1,CD158b,CD319,CD94,CD328
progressive,-0.0834067514490937,-0.0067856619036605,-0.192888145389058,-0.0700994794323785,0.179045310069381,-0.0651997153433719,0.0976894488237143,-0.109153102950122,-0.023315132313529,-0.0007269457650581,-0.210968918316655,-0.335911294309916,0.0361038499686072,-0.116170357299381,-0.013853182075836,0.130493306466777,0.0950618181979562,0.0170827639745231,0.181701734429657,0.233431935889861,-0.0223087458273564,-0.188444771449788,-0.12025013065715,0.0954841629247508,0.143870395778017,-0.253590204870012,0.180524916714522,-0.0169400831770876,-0.0480269785734939,0.158674693161163,-0.102267050357328,-0.146838418011449,0.13269588127031,0.0580599620877643,0.151584923256727
progressive,-0.050030833561069,-0.17459522768299,0.110110824558882,0.0512654138928597,-0.123675807259257,-0.345462080886185,-0.0535656679363855,0.0629027735919044,0.206839418521574,-0.0336787598828261,-0.0285767511180027,0.228428997528871,-0.0599818621142394,0.0375521574677053,0.020712793563785,0.016830899225687,-0.434418377956126,0.0105463461628984,-0.272167389211591,-0.178976409355135,0.0347007534450874,0.0387645496285852,0.103035251620456,-0.258836475309674,-0.0148171285428876,0.103583337943026,-0.0044830538939595,-0.0491218687900682,0.0540622467428326,0.0343308669756029,0.119869845624745,-0.154299782162831,-0.0961365250536236,-0.29034794000004,-0.236686646369096
progressive,-0.22491370508578,-0.122777149392012,0.0610279675852021,-0.118796599941999,-0.252753362755913,-0.294651098259354,-0.348313251569141,-0.232102787268332,0.0068637055977109,-0.367753033248813,-0.158297595912276,0.0567718474807209,-0.192821325536449,-0.0300695057237896,0.100176433091398,-0.0207552040492425,-0.0125132060162121,-0.0250968937659521,-0.144515453640976,-0.290926900380829,-0.015521619844883,-0.168266309261354,-0.198931972482366,-0.185308826379657,-0.199497048665335,-0.0497820742815522,-0.294790134886016,0.0773917403641978,-0.105672952186371,-0.199981611534331,-0.0200737621724301,-0.0955705191552966,-0.146394396207839,-0.238097514025982,-0.191800197101739
progressive,0.166383722903287,0.184481139902908,0.0821872264648632,0.371415418881294,-0.0585932843417433,-0.0544263732316053,-0.0816418378722171,0.22296345452408,-0.171839429585774,0.2392657869995,-0.0537998921162477,-0.0049257763411372,-0.0062388766433767,0.0613898166818461,-0.0954794019328602,-0.0941311183456862,0.150170915076727,-0.235471934820471,0.0097155395612166,0.178592261999958,0.118458651651268,0.152566987870911,-0.0523118403825049,-0.077872368311193,0.180219083839939,-0.16964779538777,-0.234116113315918,-0.425474967235334,0.238146406628474,0.215628630840692,0.170099923280838,0.0789728295407128,0.0705949614859941,0.197756374341389,0.0500226010276753
progressive,-0.357020650802588,0.0698648386116745,-0.155994969331471,-0.322127650686516,-0.259269586794188,-0.36674591250935,-0.0570681039922367,-0.174982514542148,0.023363671645399,-0.34508802225203,0.0881914764786666,0.208772048801552,-0.0260562985701969,0.0328266054723271,-0.272756152218915,0.0690816492855048,-0.247287424780035,0.0472603014458134,-0.11939150666721,-0.184027514862938,-0.0619632344461957,-0.152646758059544,0.13557096090422,-0.085525161784372,-0.498119659541254,0.0308669894089877,-0.376860055715853,0.0523642607250888,0.374603905951253,-0.123123821424977,-0.293837461876203,-0.132310380457995,-0.456589799408804,-0.0782828567722273,-0.252168458381877
stable,0.127137898674649,0.527472009074769,0.615461129331043,-0.0097261062722614,-0.343139814370965,-0.367611014976607,-0.237047560412113,0.154919996005674,0.619150339036006,-0.309299319466261,0.171223885290529,0.676046193998617,0.386108104401561,0.460017160164225,0.180697844253028,0.0968406429324755,-0.0730933791673618,0.245130428142774,-0.394717486303768,-0.308650652951306,0.429658696903326,0.123710955676596,0.347266875127824,0.0449607599828254,0.0571341226587717,0.359545292952182,-0.326562149669213,-0.0098564906042683,0.163608661036435,-0.0881026164474757,0.0776029139672767,-0.211688116870669,0.0990464757354555,-0.137784442080697,-0.413027285971732
stable,-0.0800513650878217,-0.0666693696635783,-0.370129459612426,-0.11956979646365,0.340159472957701,0.156061551024299,0.337350673382782,-0.246313219274792,-0.352887232628162,0.293214607074234,0.0091669638320145,-0.404592623695115,-0.121434377069698,-0.382877429393442,-0.163520443228007,-0.289256757822461,0.13529788769752,-0.26272278694438,0.360243606258861,0.3007985590398,-0.143703079249361,-0.093218034654363,-0.298731433513009,-0.324393114322059,-0.051080708862643,-0.262757761388401,0.134650715076148,-0.542395880376968,-0.0150106263636933,0.109523971623558,-0.0103943476405866,0.290745944489928,-0.0170801148586489,0.193208983914427,0.321737852349709
stable,-0.155360489383367,-0.399065547007753,-0.458228890456202,0.099988494021565,0.483125915749167,0.564121718493927,0.478626105004534,-0.362663228916002,-0.604591715189358,0.403292750587248,0.0083843660850641,-0.678248497457416,-0.0720010296123818,-0.451257631660849,-0.254890738462789,-0.133458008258647,0.171992100336945,-0.297777723997934,0.18261596669861,0.400320686136425,-0.27652475277729,-0.114349593485532,-0.399825903757905,-0.0601449330912704,-0.0218139327672696,-0.580748069411792,0.397319503937708,-0.197930369016204,-0.217062621075564,0.115267327524076,-0.0960792518819936,-0.0975215404840931,-0.0714982200431023,0.43541162321862,0.6005596590453
stable,-0.0763559514799416,-0.36277727946267,-0.474279842992561,-0.118758297065269,0.389168593948375,0.54693634729822,0.547120895325266,-0.118541648419005,-0.506188687397058,0.483716164050939,-0.159649473879619,-0.573735998189879,-0.0442408225859602,-0.30358250192368,-0.270089629905206,-0.316383607961747,0.0255384422711133,-0.465813961796842,0.44194173726609,0.448107140664714,-0.428300379294653,-0.0777279659736976,-0.522448021537144,-0.243340747531538,0.233948168286914,-0.355129024282794,0.265564852017952,-0.354015691948607,-0.148294196352428,-0.117082420544151,0.0046524218849148,0.0289454528767555,-0.0017436278395029,0.175208787387777,0.470336955605316
stable,-0.079196852242616,-0.0224279067105375,-0.0215338668525726,0.0658987431131335,-0.0391761859692225,0.115506861069929,0.0672702446187831,-0.0360187330104393,-0.141634883807683,-0.0793854502324032,-0.0364202550641934,-0.0465203843054867,0.279268792017713,-0.0798418697255531,-0.360946579788973,-0.142061338413528,-0.131280439536991,-0.247190115825408,-0.134760939345859,-0.167203920004945,-0.0109490953311737,-0.038082099435975,-0.182981184948418,-0.176243143976131,0.11676096897729,-0.0912938875391404,-0.234377668138971,-0.276742589256434,0.0504114118650536,-0.106458832030391,-0.0807279584224852,-0.173350886931355,0.108649177212255,0.0279829194255485,0.171436589465046
