group,CD40,CD52,CD3,CD8,CD56,CD33,CD7,CD194,CD4,CD16,CD5,CD27,CD107a,CD314,CD35,CD11a,CD244,CD62P,TCR-A-B,CD2,IgG-Fc,CD38,CD15,CD71,CD36,CD49d,TCR-Va24-Jz18,CD337,CLEC12A,CD94,CD328,NLRP2
progressive,0.188602158983845,-0.236103156488634,-0.431319226992115,-0.132573894254807,0.28433624008972,0.05127261961577,0.161703470419548,-0.27913060148279,-0.128924571476356,-0.01615282633931,-0.480037428091378,-0.302224350922381,0.0023732272947938,-0.139321824728123,-0.0319570600108109,0.266372884077868,0.15539265990187,0.0648342950645233,-0.0896587274234168,-0.332444342555519,-0.236648061433711,-0.0330847946222052,0.0321974155538557,-0.0327606906973488,-0.107010916625964,-0.074199781034939,-0.0596662099152062,-0.159510771999683,0.0343952861542897,0.249400270523558,0.259634339898976,-0.0309847493969844
progressive,0.0375425937865793,-0.0290927062692874,0.0247983234161805,-0.091105430917631,-0.355155990397316,-0.007544034891125,-0.521127365725206,0.0383358306326093,0.0363889230507856,-0.105782567749431,0.0636293869264586,0.0894682753834826,0.0405887331966481,-0.0252784868481068,0.180414048890415,-0.4546563954872,-0.1879846468229,0.0780861076900055,0.101050160301232,-0.220293193320057,0.045403474599323,-0.0344344053854675,0.136615898649027,0.636615633326922,0.424787070086948,0.140416337147336,0.0436724416119387,-0.0250548571093835,0.0290793201409818,-0.369565067178542,-0.239998126957103,0.121060864110922
progressive,-0.0111767043560877,-0.219552859312521,-0.297803209678221,-0.0911112472562275,0.146000105691025,-0.128083129923416,0.267218890227161,-0.24616043642654,-0.140143864029048,0.167871403399924,-0.357041981300123,-0.187317239321633,-0.109796249503874,0.0332279920777945,-0.188446471983575,0.131838080474697,0.238727632134689,-0.0419381073273072,-0.211417506932597,-0.071050406756969,-0.117749064233568,0.219273088083372,-0.183599411825745,-0.33341418704209,-0.0149286911934024,-0.0872373307286478,-0.0558904565254537,-0.0584932653661626,-0.123093177795091,0.0353593142815653,-0.0979462680061347,-0.0540341022161461
progressive,0.11014744879446,0.0150200620819441,0.0621101874667977,-0.344729186098598,-0.11103347798878,0.268186261078344,-0.079500675929955,0.0584431245834057,0.346747371270779,0.0621898101989398,0.226464003170837,0.221934898108519,0.222849754654271,0.0670666521805356,0.237152081735398,-0.0841301518010986,-0.0683087777326706,0.0895411507927465,0.220827898610758,0.0691891786574005,0.105795922634851,0.219109457574924,0.0826636587337741,0.488807330179559,0.0340650168075595,0.385857934920838,0.150908672510961,0.141806549503707,0.378567603306877,-0.0483998047269159,0.105320570533996,0.185634963609196
progressive,-0.0043890583879311,0.0090664294381562,-0.106313783745017,0.129948385833644,-0.450287797163836,-0.274125311297187,0.273267828776641,-0.0216058811925696,-0.223063610578699,-0.42848814400647,0.0611149631417228,0.035134991379378,-0.419534559036834,-0.214047469349333,-0.405559404257411,-0.198391091599288,0.179752847794922,-0.224246017769212,-0.189208054732853,0.171217854044008,-0.0290707120463109,-0.133239679025422,-0.409775653471063,0.127662996256243,-0.0409754987862339,-0.0035569176596244,-0.124741397032734,-0.0153369809128328,-0.480936535063523,0.0948640287972109,0.0435017548240941,-0.0631406845262317
stable,0.047100207012996,-0.462070160421805,-0.577145241919446,-0.0529076323277929,0.40972897508482,-0.11074428682368,0.29009299237433,-0.104692707751887,-0.608963968326256,0.295757527611543,-0.719056112651969,-0.435040011334568,-0.0395964646534668,0.0361883306635926,-0.0149841355351311,0.504283216561082,0.361182414174731,0.0817598553433113,-0.400565803348172,-0.330633112024933,-0.0250016157379462,0.417122350630334,0.0173686186011177,-0.0353192134616084,-0.0388374825470242,0.0338787157123704,-0.124495929009937,0.090641813394962,-0.0213452171258514,0.245848411434194,0.524296917524418,-0.0577991854819133
stable,0.0016400468064129,-0.0254558551592832,-0.233047849254902,-0.0607789527681965,0.363742209078139,-0.100447602691352,0.46126220212824,-0.11980450631084,-0.258270629847526,0.435077240863506,-0.361550842114274,-0.359196940009237,0.132122167276927,-0.0454358359892403,0.127763087909646,0.425893658677819,0.29980475069823,-0.106803664832608,-0.119835902853405,-0.190931784068084,0.230955541408546,0.332171642401697,0.307958961702813,-0.345636590972496,-0.174328189109743,-0.156296100567098,0.245824978174464,0.160567528285356,0.186266717849753,0.389282055203707,0.403244968460947,0.127029133703516
stable,-0.1681400800288,-0.278379399166819,-0.346728261349311,-0.0165471084735893,0.3805294413115,0.0851180249698935,0.205498722779133,-0.592599359177099,-0.460103982083232,0.202829180449594,-0.498111392363931,-0.292469454690414,-0.198973356627756,-0.137965564765842,0.163871581935332,0.0524069281721417,0.239780031266119,-0.0779458360950018,-0.408531564578113,-0.224073076343582,-0.171526860015541,0.360232296990194,0.0170573988249253,0.0529048314717913,-0.153020894943308,0.0782229682820613,0.0038531160854003,0.0789030399222051,-0.0379019168231523,0.350574197932221,0.285588006182416,-0.0672657163553804
stable,0.0274920016823932,-0.306099524596399,-0.446855153090074,0.176085470618612,0.457928604413943,0.16799690209458,0.4510349867344,-0.0189275927497626,-0.523077368898795,0.285912863945273,-0.596517940193036,-0.302071905974343,-0.0204360075589835,0.159768444810427,-0.0560030042340437,0.215113858624526,0.438970027242314,-0.0908100426624732,-0.224055153150951,-0.231618346322248,-0.0420181054176635,-0.0715627061337808,0.0397408640442421,-0.321630250284995,-0.125955932570299,-0.154742772828008,0.0268536356048584,0.12318545949275,-0.0125532877459281,0.335267324041907,0.391918041801585,0.0449419606725194
stable,-0.123297898818472,-0.266713966860917,-0.426777713416036,-0.178169843380845,0.406673882416552,-0.0959450003099358,0.535228297592867,-0.16624202711617,-0.383889022085798,0.0789498533937091,-0.470291545437073,-0.149158285664702,-0.0658802451786422,0.0904928361571439,-0.104189774553446,0.261014683698239,0.191607061473313,-0.160648009483354,-0.237175545831514,-0.270390323454462,0.0298561329754262,0.275446077070567,-0.0577057199882397,0.0749233542309072,-0.0546726994825478,-0.132130077980223,-0.0878588684458363,0.167298196601362,-0.0850189455718979,0.494651551295196,0.383361046371787,-0.0155838967908668
