group,CD3,CD56,CD19,HLA,CD10,CD7,CD4,CD20,Podoplanin,CD5,CD32,CD185,CD107a,CD66b,CD35,CD57,CD278,CD24,CD11a,IgA,CD244,CD2,CD127,CD15,CD71,CD26,CD36,TCR-Vr9,CD319,CLEC12A,CD257,CD94,CD328,CD88,NLRP2
progressive,-0.140149137975535,0.0855888062707706,0.049982117259911,-0.113812635616037,0.216389704541031,0.0414583148599679,-0.119117947499171,-0.0337730370504348,0.0234398206909372,-0.0788320368383335,0.0543200559763769,0.243647620650637,0.0221409495251495,-0.0642436441327259,0.0992670490443806,0.158128615664109,-0.156991552417951,-0.0218175826449175,0.15297341134701,0.018317370980859,-0.23982435764456,-0.0339732368599095,0.0130539611350649,-0.0306884132959912,-0.115133386274319,0.018273106143217,-0.0609091906340164,0.258107494634914,-0.0389140888225518,0.0573346784449917,0.0118479937535832,0.203768004205348,0.10548688945031,0.0023344769093206,0.127345529526382
progressive,-0.0514485859114637,-0.132346847546492,0.107943512440638,-0.0213330837877813,0.0604079932453336,-0.23181385421523,-0.0817810207496023,-0.0898362668054565,0.162989586844115,-0.229225971351525,0.104289698186477,-0.0197892825790058,0.0999547678678777,0.0812206472745053,0.153383272974127,0.0750487306543473,0.0494870532577572,0.208981090762233,-0.167003317728276,0.124885475936578,-0.0828176914430825,-0.360303334035039,-0.099042229808645,0.129716432479105,0.580532261271574,0.26776424285426,0.49525544445096,0.13400103610129,0.0579390332719402,-0.0719675714692867,0.0505076779797919,-0.0182514243092788,-0.0117435748918034,0.320950032852236,0.189390111194953
progressive,-0.316465805898883,0.246527816628828,-0.0546696137365174,0.203056908507386,0.169673768506007,0.412630038407697,-0.161371521912363,0.0772783696682007,0.0633564835570836,-0.297191858976698,0.165995317935514,0.110783070213689,0.162479061990738,0.124535654082262,0.0687689936664471,0.0711874252231879,0.0424626354020958,0.108049704913625,0.142779084046849,0.191276608366641,0.437504726268786,-0.0234833600861752,-0.0881328747773302,0.0305037369760926,0.0046997702021744,0.0310165037083658,0.0489558279260088,0.15571533033563,0.087842088958439,0.112674177301835,0.0540623492613611,0.204152992848661,0.365102180406575,0.112593972304286,0.111454500930411
progressive,0.101893978046269,-0.112259349018948,-0.0345128884466018,-0.212632672023323,-0.0197507120041957,-0.148153977722665,0.123563340577051,-0.0384732409072086,-0.0736178985600373,0.167513318408553,-0.113889191619638,-0.140541139340127,-0.0569574721592257,-0.155352016263697,-0.139510621222162,-0.448940439126248,0.177620073289713,-0.0427123855191825,-0.3841474282038,-0.139982625768214,-0.228900172288689,-0.0560164556751928,-0.0354299851065989,-0.0909471939678934,0.0564765796059866,0.114178014499939,0.052668030925848,-0.181132851180221,-0.0188203869276455,-0.0519768798543418,-0.0391895564429123,-0.16349934316243,-0.149542856878767,-0.0671014005315378,-0.0419888608163657
progressive,-0.114813615231294,-0.0525061264578753,-0.559910488725106,-0.537300758911373,-0.540438366059708,-0.148475622960914,-0.2842526488357,-0.543733455374443,-0.46380869855838,0.0895882513210775,-0.487133017381445,-0.451752911804309,-0.556043889936629,-0.607949118726947,-0.608044661270301,-0.159449683359745,-0.217929456269668,-0.502480256294349,-0.360604803182951,-0.45200363556423,-0.19530272365104,-0.0031637400765541,-0.539440343421275,-0.453215204750031,-0.423634904702397,-0.542604432690218,-0.0654097995699847,-0.450325826568711,-0.49491702183032,-0.672099095785702,-0.506021635276275,-0.331931640723184,-0.130412838647585,-0.496348305345412,-0.506298177095482
stable,-0.439381137785008,0.340680256859622,-0.052665281500175,0.137389984081712,-0.104383176466252,0.308955210211049,-0.55759394362181,-0.0978619684973157,-0.172554029994222,-0.659450167406943,-0.156833353531708,-0.0663664113055138,-0.114692367009044,-0.122704773005785,-0.0887324517887641,0.10639205475698,-0.134989223640547,-0.0703520346216841,0.499346265316541,-0.140075569756693,0.304364237472964,-0.249338114267416,-0.166220359637469,-0.0699596822829128,-0.180813518064922,-0.338201418414515,-0.0817476202050492,-0.146551016852111,-0.13483367447394,-0.0908889178221859,-0.107985947913008,0.192196956661401,0.426240836936317,-0.16036294233787,-0.151302869186165
stable,0.210271851904558,-0.056464231075484,-0.0987255479700919,0.0188490932161044,-0.0267279687057537,0.0018799402084434,0.26608659210446,-0.0774237002581011,-0.0819538107141606,0.119472304720206,-0.0476543504213532,0.168256773458626,-0.164054676195464,-0.191491757264687,-0.154422531016614,-0.0420604601771396,-0.0164435931072188,-0.0905334994831808,-0.112002062574917,-0.162021725226646,-0.126008549058237,0.160567497667818,0.0337148571956256,-0.192821439135243,0.161709387798462,0.00163618971222,-0.0694180926522642,-0.0033750657887664,-0.0057302965250655,-0.169424729579025,0.289600800770894,-0.14523976078572,-0.0747909021676454,-0.104697735730494,-0.0927270391433229
stable,0.447441391562586,-0.244017572509293,-0.183772409700332,0.0340931683197202,-0.204901078640514,-0.215495656537091,0.374067884670981,-0.029471041249285,0.0751202448635351,0.459025039371948,-0.0497460031537045,-0.174721040039403,0.1221407917149,-0.128466578256832,-0.106136353879496,-0.221770397614599,0.242235694544099,-0.147819384816218,-0.155882938606545,-0.0191266012093714,-0.210234093340217,0.465330944572104,0.145681968895784,-0.134228054044243,0.257406236330786,0.151491536578583,-0.0623839831925009,-0.0175189236879665,-0.0999541411214261,-0.141267131628932,0.102318401266761,-0.327718635228208,-0.3569073048381,-0.0397978724945836,-0.0553297966972267
stable,-0.601185987406659,0.57601431431243,0.110161195540053,-0.315093682807122,-0.110177120130983,0.506185036071126,-0.516221723592941,-0.0297878160732752,-0.0676741847760678,-0.695401674452734,-0.14249921324976,0.12008602304381,-0.0512207486197716,-0.189855244640566,-0.109091389939484,-0.0067842154901627,-0.391598991502834,0.0141183848350575,0.207958957759699,0.005134742329119,0.48353435805284,-0.402653389536902,-0.212487783027726,-0.0388122603899171,-0.372256148982838,-0.284801476797439,-0.189243765483602,0.100099812323736,0.0432303219664654,0.0308963061608369,-0.111016523269738,0.4498522828061,0.57423823366918,-0.111330481145743,-0.0517089713411752
stable,-0.387044518406019,0.519376636100881,0.0474134740759615,-0.136160427817119,-0.0489576316976101,0.542976187036696,-0.362117590105783,-0.122182339038612,-0.120349311285911,-0.45266641042458,-0.113686807554542,-0.102900370578882,-0.0544838355044514,-0.0384555354839204,-0.105394372775724,-0.247872588410855,-0.121239140284809,-0.126096274115733,0.0917689601626845,-0.0366763622191904,0.0637428558887397,-0.215506238712222,-0.0243696370398883,-0.0279642060704556,0.0480103048626585,-0.121990619848812,0.0102558854743492,-0.0902917202563957,-0.0166433056675243,-0.0588527890188939,0.0103080161831823,0.525530648151381,0.313038761122299,-0.133129564061723,-0.0271123232856591
