group,CD3,CD45RA,CD7,CD4,CD25,CD45RO,CD5,CD195,CD62L,CD197,KLRG1,CD27,CD95,CD366,CD244,CD184,CD2,CD18,CD28,CD127,CD47,CD154,CD52,CD49f,CD324,CD11a,CD54,CD62P,TCR-A-B,CD226,CD26,CD144,CD1a,CD73,CD305,CD133,CD337,CD336,CD138,CD99,CD150,IgLambdaLight,CD82,CD360,CD224
critical,0.356628989153408,0.0339062166023329,0.356087284603249,0.458313337053701,0.213040391305382,0.061618532497131,0.323347598718714,-0.096221802716387,-0.025924606407106,0.546184028373509,-0.345914661041996,0.461285148828604,-0.101688348885253,0.107711707051099,-0.272748945910557,0.490609608623475,-0.156827693637323,-0.0351269869594902,0.403058515878163,0.644059635343022,0.603633681242607,0.0621555010034871,0.440570046895807,0.182388221654997,0.236061095598826,-0.129333238219734,-0.257656017416428,0.0479066909109957,0.389056622794413,-0.0778922259583491,0.48778186643059,0.114000909453918,0.0146406507089525,0.253951122433765,0.200543332514146,0.151139792079819,0.0954963499369426,0.186567343231381,0.0782059948860467,-0.273589561854576,0.0597872756229009,0.0387587905487194,0.141595911904405,0.0315962798776706,-0.0215762194276343
critical,0.461574603468202,0.18536514950694,0.426210020293521,-0.0767832954126001,0.185970563696383,-0.223224327798131,-0.37905399063294,-0.386684842117098,0.691077921592623,0.490696123885986,-0.411101860146798,0.429524518164949,-0.630621720946789,0.10017025047161,-0.476898218822163,0.255795056379102,-0.534795507783794,-0.533017382467198,0.0734136057488729,0.522643691303969,0.419129421127619,0.113947855172793,-0.0951782224142472,-0.348216901659829,0.112437836301934,-0.628397056663126,-0.28033851713871,-0.0126470071467352,0.539420688555509,-0.592604639936894,0.42506919112817,0.224746274822717,0.0271272319877388,0.0737701573455607,0.0336435821492967,0.0070524739062943,0.017153891973893,0.046176094685384,0.212222725599215,-0.165479768619671,-0.185398928100781,0.042489505511875,-0.150566123867366,0.0889415583356116,-0.453688895139568
critical,0.558068858174091,0.612522340569564,0.391353123767461,-0.0614853045409956,0.0563160055643064,-0.645654604908643,-0.339441225728648,-0.119671605928767,0.36204653527209,0.360934891914857,-0.134716988194359,0.44270611667426,-0.640288450777578,-0.0007446637389646,-0.260271402195847,0.183535312076959,-0.453279916403144,-0.398593314361822,-0.295128281660613,-0.165905958813348,0.119302601890975,0.0224005654153465,-0.0977630821155409,-0.388920903276393,0.1083864646816,-0.51633865100026,-0.416380672575961,-0.0414783698625382,0.522193998682838,-0.416831601314615,-0.0962189302412382,-0.040415989992887,-0.138354272985127,-0.0013119050257729,0.261970647126036,0.162907121262062,0.155316925362193,0.0218923598026554,0.0846502189306769,-0.518403834958311,-0.341056441265617,-0.020750404879696,-0.418193005518213,0.221278726914656,-0.336219781045571
critical,-0.01897613981627,-0.201151415469445,0.144541957035986,-0.144818542145261,-0.0643386740510004,-0.0641837306289938,-0.0401456098319573,-0.0318648451458665,-0.182471572801445,-0.217905550043728,0.218908172628057,-0.0939266200971459,-0.06929856683582,-0.165266861769729,-0.254525414553472,-0.0633684213737274,0.193999606963336,-0.0697211188008914,-0.0561143292460886,0.152402476122994,-0.014286186307414,-0.303217062613628,-0.0514197786868877,-0.123622391502223,-0.277112513946185,-0.0130401796116367,-0.123145654841238,-0.338696809409826,-0.0503089647481699,-0.162354930682591,0.209189162646366,-0.279958361325486,-0.121118387019739,0.11828141975223,-0.004650725295915,-0.211457223187877,-0.19804131009861,-0.323053122035279,-0.227492385797357,-0.0889914921734991,0.0074872602422357,-0.3018214910991,-0.325099308952649,-0.350435262284196,0.0144385501806157
critical,0.214464431995724,0.238163382522369,0.140657282921414,0.102869693731801,-0.0022621052192206,0.0974694062110193,0.117401704201649,-0.0824986702421282,-0.0618800508615886,0.259172572740525,-0.201884694193825,0.105355533614357,-0.0155196487171533,0.191159385979834,-0.0054483014446661,0.111590947821871,0.032902189523735,-0.0926017939538332,0.0921337275154225,0.32271605991026,0.362391615209935,0.0979160474622641,0.27888880821005,0.232860037418323,0.273743034757402,0.0058725813021393,-0.22519620411785,-0.0079523172376944,0.302239777691141,0.217056706616666,0.220722779534555,0.178925380850163,0.255939284751873,0.425725996393989,0.0265004641589371,0.136409299930024,0.184009717661763,0.183827909156578,0.207856227338509,0.012164756297734,0.0674645604670712,0.111984822550919,0.0739810196451486,0.118379794928087,0.176889583874634
critical,0.0332657551952085,-0.071917165132568,-0.165984920016202,-0.157566364657744,-0.0317227630418258,-0.214744948022428,-0.0772976638376117,-0.10186611844516,0.29721875763526,-0.0169505732876144,-0.267704423975458,-0.346678376685293,-0.0769352713905719,-0.113288986735905,0.0232808069237122,-0.0146159429759744,-0.103291720811667,-0.221737507977311,0.0288952443946085,0.213933026525062,0.0704452394495821,-0.0340812535190528,-0.119875819574318,0.0385968466045321,-0.0921162401310992,-0.123946604494602,0.0111701387885282,0.0256791305800724,-0.0979679703525323,-0.105785998162036,-0.0323828176843909,-0.0437610271457048,-0.0920143564393865,0.0659039336936877,-0.0521258822584456,-0.029006840367703,-0.0773946532273297,-0.132419426540015,-0.0656436682758689,0.151896845165676,-0.176563476663522,-0.124877212360297,0.0500200462482774,-0.0390620753115431,-0.0217227573323655
critical,-0.141554957392131,0.141476794761064,0.0990200555334821,-0.012256905682355,0.0381641729020921,-0.121107111298254,-0.0782073427106855,0.156253861723882,0.0951203594136912,0.460073622338896,0.201118903561635,-0.0833212656664269,-0.202047273165625,0.377219459809652,0.213330101445499,0.417710082318125,-0.0797842587209243,-0.142918416681364,-0.0170463035252962,0.515998550528419,0.240000000083346,0.420532983702509,-0.0762648368422813,0.014021818019705,0.436922937936502,-0.080115097495497,0.201616305776876,-0.154701138923225,0.0170274618664558,0.272628417295798,0.350241851471452,0.420859375374538,0.368320288961372,0.380601351433483,0.245791146312766,0.420304408634362,0.379671311446361,0.405096603960457,0.411571100930231,-0.0649774280126261,0.315511793323577,0.376207137880952,0.188757157060485,0.390783924594744,0.0232477293315003
critical,0.428856905620552,0.569130909428965,0.409598400419214,-0.0026183504535054,0.0065798714843321,-0.494025191368376,-0.254698147949816,-0.196635402638555,0.434020105790781,0.36290329907448,-0.0214274193629061,0.130733195545838,-0.608580957898947,-0.0203446356000411,-0.0484337013305712,0.146535940062988,-0.149331473510571,-0.303821115807127,-0.274655253654921,0.200410558325839,0.212497504160966,0.111974999263183,-0.09354985742561,-0.266341697894918,0.0852961523634416,-0.273289234664135,-0.184993917964743,0.0031439743550091,0.466085384342578,-0.170504792052375,0.198899595835766,0.0807223507353952,0.0997312815790032,0.027464578435319,0.353026670582207,0.099240138526963,0.0745830707972402,0.0634597224596955,0.0968016293708779,-0.18939765826242,-0.30201236973623,-0.007623754281862,-0.209234796105994,0.15977315873626,-0.195922596225788
critical,0.378410534756124,0.718088606875543,0.44411540831555,-0.0545411445261604,0.0692797416241048,-0.648049371019895,-0.20791844476055,-0.136164336098344,0.281631702867749,0.588738284313872,0.370920197457849,0.569375954641024,-0.616077797734629,0.541773971716027,0.449359888810984,0.607054757146333,-0.109938342541014,-0.298049706032466,-0.16556961380833,0.467671296636437,0.391817407008488,0.521388577272614,-0.0905910990179846,-0.22654258827064,0.518839705507005,-0.398955513305252,0.0612172473527147,0.164081367684905,0.450308399814705,0.111486702707615,0.359947923387861,0.517209004168815,0.635647217795896,0.569120857655661,0.516167571947171,0.503871551843267,0.525291630538818,0.532716589858035,0.552353882929674,0.25538229739358,0.092799691696647,0.556447413332486,-0.143280774810993,0.564180678245765,0.137063034148493
critical,0.432905568261758,0.578811436608805,0.440426657564488,0.227848858463299,-0.100090128702648,-0.534861709209238,0.0680067308502205,-0.169193504149885,0.390426257543357,0.460871882898146,0.0610054281371244,0.398826240854614,-0.531848754663047,0.0658338302568407,0.0591883136934423,0.28559168518074,0.0291859673433354,-0.17504745313664,-0.193256648726826,0.51152949630291,0.368365352823086,0.0649105071526298,0.0280424583305974,-0.127227135587482,0.0690696917100194,-0.196163004657433,-0.0560005478275118,0.174168736584653,0.476006049965154,-0.0566092138046078,0.39059174768463,0.0689168753540718,0.0495871211659279,0.101911596690785,0.237591284464923,0.0074144448759399,0.124535282937921,0.088211019959181,0.111502461558733,-0.109999597975045,-0.107442315285293,0.10456204390137,0.0329336963427213,0.120484228922978,-0.230287155548184
critical,0.263378989064101,0.792021330100514,0.729927867832325,0.184117209796715,-0.229071637770611,-0.750592592123334,0.0576889213139789,-0.0453067883911832,0.375655533884464,0.471096292362967,-0.0909135180381089,0.515924042257111,-0.775632381940201,0.138702464145902,-0.0282564829847766,0.274413494447263,-0.261459666277415,-0.228860573681281,-0.316651887856357,0.160108087061203,0.114062585626442,0.0925379607337009,-0.0478899024247208,-0.399420444388015,0.101067812802861,-0.101073818754058,-0.174191556340845,-0.0551009762864763,0.282402252165333,-0.481597836564172,0.165160486353387,0.124627720123314,0.027749767133197,0.0803717853929211,0.55423381047119,0.14141139524613,0.171217105468616,0.127102214846692,0.163324043272345,-0.365019866513452,-0.369744623669147,0.154078910702185,-0.444331424477401,0.353827078243402,-0.529070034452672
critical,0.249503290714682,0.516126279100421,0.460292935839168,-0.261762449381239,0.0122968986325031,-0.522846399374021,-0.0444861891536795,-0.511299133402889,0.111028084606702,0.31553099648102,-0.302899164880258,0.36661009647824,-0.505937216717773,-0.0782000419937678,-0.300451039008524,0.133370905449294,-0.453009941674928,-0.426409941322031,-0.279163387026707,-0.0866983284135422,-0.255306455676463,-0.0279439535525421,-0.109447453529387,-0.17325391642093,-0.173632646421643,-0.65046783858029,-0.521782123981812,-0.563706473002488,0.296839027041496,-0.372444845576401,0.0738431402994202,0.0258507193852128,-0.136661076269351,0.0600671289851889,0.0219123122565058,-0.299435823442034,0.0366949584787186,0.094991873833585,-0.105090107763366,-0.448515143558674,-0.375568959338312,-0.0896451011856125,-0.303344324679816,0.0977161305757899,-0.385416557878487
critical,0.411645457536758,0.45838143003939,0.0422493700458155,-0.343879432284342,-0.148808480768673,-0.561852925474434,-0.526252881413814,-0.255207915914515,-0.278065965320288,0.0966384629012893,0.236210613629706,0.207972087139371,-0.643383228150692,0.044574779633203,0.0367895922393928,0.146205218767178,-0.37229955286322,-0.390797792663249,-0.328856090402276,0.364894338792188,-0.0438190063315241,-0.0168441041882739,-0.25455244583147,-0.127489701988053,-0.139390889028413,-0.183343004465403,-0.261640884166795,-0.0851535398785551,0.286806335391413,-0.111668631248664,0.210620733494707,-0.0890468267448913,0.0802170699577893,0.0922036346933869,0.222436034742134,-0.0647118609705702,-0.0053887701262453,0.0502618173918596,-0.0556006361259774,-0.408043898827803,-0.379216959065696,0.0440158340736958,-0.353805462030466,0.242974436493539,-0.227310655827427
critical,0.264977834213798,0.711126779620943,0.450293557778643,-0.177304086298267,-0.175331197662754,-0.695012051636526,-0.173064814844609,-0.220043165879234,0.654379541285194,0.404048445285887,-0.145340218677356,0.255002245884038,-0.671493437120514,-0.105446247516774,-0.139645848377945,0.257277185346483,-0.429064538144397,-0.399415357852869,-0.18949746245915,0.133376286238781,-0.135145745270554,0.0303878857606961,-0.228237884645851,-0.393715008362729,-0.0016936352144949,-0.473370626325637,-0.105668390789077,-0.162080851801162,0.194672680487102,-0.318389044499573,-0.0194917456340502,0.006592473302679,0.0019147442585264,0.164733553493241,0.254948833313907,-0.0266203449284604,0.0129091547752241,-0.0318053918993567,0.0255169922176296,-0.250973628635651,-0.558670096580751,-0.0009102591393145,-0.222807707140813,0.21508294390522,-0.28577068569792
critical,-0.0760396839539678,0.115983556349728,-0.0108848499112778,0.129509256383627,-0.0643863380117833,-0.137774272919238,0.0817700393280701,-0.153046140292507,0.367721799438463,0.0482490789049545,0.0888337373682625,0.0038889762933495,-0.125204670966378,0.0488675750111194,0.0440660799949031,-0.007867746737069,0.0254617792561839,-0.0659108183046494,-0.0937943331055439,0.0925487444419521,0.190193985542049,0.0270015303610802,-0.0088475528073267,0.112047671019176,0.0143914011865533,-0.0243755976163484,-0.0179792461494384,0.0510070976134441,-0.0814452719145476,-0.0106401648373323,0.394098347229788,0.0787812863549939,0.0303126881997433,0.055738639088386,0.0641468317528526,-0.0092226118560021,0.0596646518838299,0.0510548380436054,0.0470796149479209,0.0538180762737617,-0.0067842775171391,0.134164223938763,0.0755634479068483,-0.0057216436098965,0.021352509327978
healthy,-0.320108795239863,-0.199780059572584,-0.0352261830951128,0.176014124427206,-0.153086535409783,0.144465062900495,0.0287061891114767,-0.0307057987920584,0.258937281946304,-0.0395097396718861,0.0321745409250294,0.0457314491470294,-0.0256572246670869,-0.143199140792775,-0.0287767504692082,-0.137412786711113,0.100185483169791,0.112939720032685,-0.113060164450614,-0.0105468596026518,0.0774826938287258,-0.0697138682798586,-0.0045966116362091,0.125430101655165,-0.0557877879728704,0.0516931886454547,-0.0977322826372837,-0.115450977101791,-0.303896252407734,-0.0066187374625619,0.0010528396309703,-0.0871953459122478,-0.0110695858583622,-0.161191149434528,0.034764410009461,-0.114134960111513,-0.101201287676144,-0.0854931612169161,-0.108675728024745,0.250442306366091,-0.0079068360440105,-0.0795388630051752,0.172040191606959,-0.177019004807093,-0.0461951842246161
healthy,0.363972239492967,0.527589182463391,0.476289360932667,0.0716989217570185,0.0244657707122234,-0.436798799361844,-0.0359951513238019,-0.203854270365723,0.342928661044174,0.34141421006335,-0.0404522426767485,0.497814624646478,-0.479009421038888,0.0779199409590264,-0.0061595903955756,0.113355302934142,-0.271709503012063,-0.377311198375757,-0.12720773768318,0.0890333069099295,0.0919261718767513,0.128159041460114,-0.0598455815912643,-0.17530220099654,0.119210582725606,-0.30353661599798,-0.242436053524247,0.0922652636863712,0.384122025568387,-0.38506394632065,0.1381451415703,0.131262439022414,0.0911017939777043,0.0056993908971793,0.349750312400135,0.13406704569763,0.166089373726189,0.103721107419049,0.188307011207826,-0.435251228340827,-0.181193479686855,0.195211281537196,-0.24015735319779,0.102637348453821,-0.200449282432233
healthy,0.345452673720545,0.391367135321189,0.427340580660183,-0.0106516089171347,-0.176239507371451,-0.505034992746346,-0.0860879457825095,-0.350229345184411,0.49337653941273,0.153530976019329,-0.235486112297735,0.4605167996727,-0.506934021304303,-0.0578864288122936,-0.182490665686685,-0.029483323435068,-0.35364454699396,-0.274122019939324,-0.147751370156385,0.0769994565745758,0.0641267099315199,-0.160259996181026,0.0481102929126912,-0.0940665083754593,-0.0192917821771809,-0.189142251302169,-0.361346526524718,-0.0386972755519871,0.35184979539503,-0.358680867995732,0.0106113004004245,-0.152526662378882,-0.0081361189662632,0.0699478563306167,0.209056572378595,-0.0605643964863387,-0.123464103244548,-0.108337218719967,-0.0955463858708667,-0.32214710477322,-0.267870949628343,-0.083100338611237,-0.167333121471829,0.0482812104225896,-0.308292802773506
healthy,0.301268767165537,0.392881261212017,0.805853187438923,0.570537350145288,0.435729506832123,-0.245847985956951,0.155391798650423,-0.0488807220413639,0.656743258142178,0.376480141846743,-0.576229640478177,0.755629615711309,-0.0713352567915316,0.149490998750359,-0.552415149884281,0.156333239056975,0.106988192990351,-0.39416680094311,0.627267726555829,0.563655811307265,0.664518436818262,0.230399284459501,0.645593797923011,0.52634301982416,0.157422411249958,-0.470171661821091,-0.103789328489571,-0.0189526445942048,0.223229146801799,-0.439095172601214,0.611747768348815,0.172998870802063,0.182893638969845,0.15483888717614,-0.05335659918405,0.329044671389238,0.250480352540426,0.247944624508853,0.253776207083525,-0.013708447833572,0.12260716020495,0.221820551904196,0.540531823370849,0.23463305319015,0.357006268256227
moderate,-0.12974200544838,0.310448040334333,0.370344695014013,0.148865818080298,-0.0422825838738872,-0.370601580828436,0.0670085507437872,-0.165473276619987,0.147454170422387,0.139321239827508,-0.0724672569918271,0.168228298986728,-0.244886832107664,0.0200199763378578,-0.114822303688461,0.0768326464502207,-0.0718154191334241,-0.107190427720796,0.0608438100866153,0.451495397021737,0.204492883363995,0.105314996291717,0.0652874537000701,0.0201937501043077,0.0337145244163613,-0.21565441668098,-0.0965002155996192,-0.0022331081263398,-0.173993041606362,-0.124118772699273,0.429758151982372,0.0204306039977233,-0.0188233285802784,0.064452254055362,0.222662506785813,-0.0215882915861701,0.0211510708299477,0.0272918999259182,0.0664681191698821,-0.16715061006644,-0.140981753558532,0.0142357602804342,-0.0627781555692704,0.0723000136745649,-0.161635393458341
moderate,0.0266932431296229,0.0028580728428663,0.0116152183607558,0.0783878829715296,-0.328880554207148,-0.204815471199116,0.192346239042321,-0.076943776773237,-0.125752497195794,-0.199681412472072,-0.0410036362515487,-0.0344006180978205,-0.305635889225317,-0.0221625983849162,-0.0868121095706377,-0.0607275787238589,0.222013267759584,-0.0769136306094687,0.168887300651413,0.214294861639829,0.072915002100439,-0.0817713702566367,0.0447184786554724,-0.003945670680746,-0.0820228044495709,0.0877382626689247,-0.0026581917806169,-0.0731951670766357,-0.0096497891677692,0.182584132167432,0.217616662084736,-0.131123783750085,-0.216795157081937,-0.0131023888391641,0.0355476034673328,-0.187652849914785,-0.231615011877603,-0.143186154451683,-0.1864225882161,0.162217015022272,0.0619523633334867,-0.110964367294693,-0.026829618910298,-0.0842118990945562,-0.0430590347378362
