group,CD275,CD137L,CD52,CD3,CD19,CD33,HLA,CD10,CD45RA,CD7,CD16,Podoplanin,TCR,CD32,CD185,CD62L,KLRG1,CD107a,CD95,CD314,CD66b,CD35,CD272,CD58,CX3CR1,CD24,IgA,CD66,CD62P,TCR-A-B,CD254,CD2,CD15,B7-H4,CD193,CD73,CLEC12A,CD94,CD150,Mac-2,CD85j,Ig-light-chain-1,HLA-A2,CD328,TCR-Vb13,CD82,CD88,HLA-F,CD224,CD258
progressive,-0.140462939669578,-0.137412977827511,-0.317471463179861,-0.520564011443409,-0.303853691791627,-0.288052249221668,-0.368121638231316,-0.0827293827181252,-0.354125786417607,-0.367901711867752,0.048705843608701,-0.148222835853215,-0.0981204364572617,-0.254353639377883,-0.170100081257171,-0.387301515473687,-0.220230038832916,-0.207560573403242,-0.140933864761221,-0.150867872354849,0.0825790013882362,-0.187193813022593,-0.139951290339732,-0.127199651392057,-0.211829193402408,0.12930141726051,0.0122497467389,-0.0642856972747523,-0.425424017293739,-0.391582690223366,-0.183472971759194,-0.2451010034456,0.221806828016668,-0.0311053374028965,-0.231642826101122,0.0042444674903873,-0.080277442378746,-0.290642489269248,-0.106985871478104,-0.122302085760662,-0.171292947493346,-0.147508754327129,-0.182304558483601,-0.0949490863355676,-0.0954405857016842,-0.189309383712265,-0.170915887250336,-0.15504383431802,-0.114150708697726,-0.222404751110862
progressive,-0.537811541477023,-0.456477133566286,-0.553506275523659,-0.463896775785885,-0.264422840080499,-0.539369311453217,-0.46001472147743,-0.532706508118745,-0.219382463612867,-0.216965441345358,-0.64492469352613,-0.587009961578529,-0.509290229761515,-0.498117147817591,-0.45674063588509,-0.57068018890669,-0.334236350415056,-0.527117176980334,-0.232527141164186,-0.4568053139524,-0.634972447978464,-0.576251439642072,-0.45542188715596,-0.54351988564119,-0.556349286661146,-0.568517562405316,-0.457673370850466,-0.4695990873643,-0.494613895525667,-0.491149398816989,-0.520561935365828,-0.0538659336244722,-0.605693538412834,-0.462122629041265,-0.535419510149115,-0.234142213932226,-0.627370283640281,-0.5212069862757,-0.475343847542364,-0.487556872462725,-0.504865951606195,-0.423937058921435,-0.471968019001717,-0.462374218819767,-0.466573636543025,-0.47653749097354,-0.545474937467237,-0.492572308782614,-0.52939238935754,-0.493651237271965
progressive,-0.130594405029061,-0.205738950037995,-0.1377991018014,-0.287397689842543,-0.0878257712088778,-0.114334784682803,0.0797877304525916,-0.260495450621748,-0.550252987554453,-0.401528490359693,-0.242022737797679,-0.178126718825841,-0.256251186386483,-0.21951238669668,-0.194645316640836,-0.0682404054441841,-0.223792787276241,-0.150583549977758,0.360416615226514,-0.189116859711196,-0.245228648505675,-0.177774902064791,-0.177065465406512,-0.143767541080665,-0.240352818413123,-0.208765130483176,-0.252825333976107,-0.181538189985695,-0.105714194402636,-0.319399425917901,-0.219164853115149,0.0584041624499787,-0.215223148736326,-0.175154453177901,-0.17190955751557,-0.114713150497214,-0.159498257850015,-0.178554684007448,-0.119485417541895,-0.208908618475293,-0.186692885131096,-0.197899563194976,-0.186912907638567,-0.225794242225569,-0.250879911690933,-0.0448773163260058,-0.239512619416739,-0.159964899453726,-0.0688284066352865,-0.267135499939859
progressive,0.109797019751746,0.0733229935198625,0.111344579520855,0.0857428013505781,0.164279626820352,-0.100981500550446,-0.14146521092862,0.14318369910758,0.0939625249118907,0.131524737683988,-0.0878627473574191,0.0039887608523504,0.107623665298773,-0.0194540173111179,-0.0160141090720867,-0.0890430133333792,0.0066042380161901,0.0099944503650893,-0.17162838482726,0.122468958862728,0.0133102778753333,-0.035895367529728,0.0017816938936568,-0.0387030101823695,0.0202175093238675,0.0041025107504919,0.0402530931590024,-0.0003944922823427,-0.0240264297302284,0.067179591064416,-0.0069109239590896,-0.0781997979738519,0.0037326329308325,-0.0682160097536173,0.156198980523775,0.106061052118995,-0.0155819714069718,0.0287676983664922,0.129114590723049,0.0938819456708783,0.0365900216382474,-0.0258700859602879,0.0763160487018998,0.0359438908437349,0.0312949805267912,0.0029494912571065,0.0290046699299153,0.105581699668492,0.0515597202102691,0.0375853170249824
progressive,-0.351733667097412,-0.372349445898102,-0.314753269329912,-0.0614743248520613,-0.48564028645156,-0.229284060592516,-0.160318219610082,-0.397935033749754,-0.0326118010848351,-0.129546233417327,-0.352444464286732,-0.387160659791128,-0.307550088479125,-0.486720749468299,-0.186986199794417,-0.330971217492711,-0.485814850731603,-0.390489801095082,-0.210019737551677,-0.197130253992288,-0.332355514061719,-0.171568530499177,-0.53678108848576,-0.400951306620791,-0.258858091301142,-0.305706314313858,-0.301819597022885,-0.205997885802958,-0.166924708893119,-0.285045389102004,-0.267521104496125,-0.116995900021892,-0.424873668576913,-0.27500366670413,-0.433301390609204,-0.456710979129436,-0.334183112918942,-0.259109201657329,-0.322269984801807,-0.20237249253618,-0.410938798283004,-0.46070886026239,-0.289152631939707,-0.484475312116861,-0.596686704507627,-0.386820726155503,-0.429705525228465,-0.260598347530831,-0.284478631496528,-0.469062226500673
stable,-0.110252663393129,-0.169643983457244,0.0082705462553781,-0.291422534140999,-0.124880117217013,-0.0145451921124221,0.0048857082152134,-0.11195860537397,-0.383983454205792,-0.629230394085342,-0.0941769064450324,-0.11302360773211,-0.209888478387401,-0.186846324249897,-0.131005102731217,-0.253717708739767,-0.0664399711458505,-0.122445059000676,0.179762771384726,-0.0095541729026702,-0.078459165334007,-0.0995995335803149,-0.101807842363465,-0.127464869386755,-0.195000043565002,-0.0735349041645112,-0.258104975712751,-0.118213891730528,-0.138392843414649,-0.383002958905523,-0.130936674525955,0.169310652492229,-0.147710973663775,-0.139114270358372,-0.105965280178273,-0.0728145842920931,-0.0244950418311945,-0.118377576994252,-0.0950054714990429,-0.121072580225166,-0.131666165567977,-0.246581930256233,-0.153948933050678,-0.0878825842744582,-0.0975326238107064,-0.0384140891688272,-0.189630896855054,-0.227822385768238,-0.059530918467575,-0.118656892522365
stable,-0.0556709216338411,-0.0425186813654585,0.119846358435447,-0.32310644789844,0.0476524153049455,-0.0571566726853507,0.237007194292525,-0.0397869820600447,-0.35307741372655,-0.346010859549275,-0.057900877491238,-0.0807647523733931,-0.0296495497169727,-0.0300749778394994,0.0061031767799916,-0.416436161633305,0.170029848105016,0.0427211864453886,0.262769605652393,-0.0356000557646912,-0.0496866787674716,-0.0627220293400827,-0.0764460079697779,0.0540453042592169,-0.11045456619462,-0.0678602249092236,-0.109701325287635,-0.0432328390624268,0.109141487895506,-0.37808509210091,-0.0536120936625375,0.463526091842097,-0.128686836805508,-0.0590620319031881,-0.0588687671807162,0.0513252983470773,-0.0176732183282344,-0.0027139025534014,0.184345858486666,-0.015094498208603,-0.0357620519564372,-0.0157710487811636,-0.054545067196484,-0.100354771566191,0.0449722234275367,0.136271143533355,-0.109232840554523,-0.0182334131306809,0.129579566353039,-0.0188692396600952
stable,0.039907209616774,-0.132918860231757,0.0184114621082873,-0.301291688315688,-0.111295011035716,-0.0259388041999958,0.166315473339262,-0.0927336391624427,-0.447777743851841,-0.47449247999785,-0.144486144126936,-0.10514387658653,-0.170896746133116,-0.0616127382647466,-0.0765324851814259,-0.283948530680903,0.0808029672001415,-0.0042124369053158,0.333685446989262,-0.0369891956584504,-0.103006466484472,-0.0901113178115656,-0.123790821409754,-0.040996387210409,-0.10860528666774,-0.0870111527736292,-0.104867693911326,-0.0833759310040176,-0.162909727168596,-0.344181481343574,-0.105008572598255,0.289815687152013,-0.151200013817902,-0.0973693692029257,-0.033385769425896,-0.0683783011493874,-0.0262892565737421,-0.0436238164022529,-0.003010211621132,-0.0600027809758415,-0.120985888331362,-0.0633270852736388,-0.0954040936984406,-0.125929361934836,-0.0931211631774486,0.0921766416661213,-0.117084342992422,-0.0734153995094164,0.0208371283033042,-0.0866140190881375
stable,-0.0805980655313589,-0.197285122746451,0.0340259451068342,-0.248522460758288,-0.0686095875648184,-0.0598650337315037,-0.0711391236221523,-0.0473507161598837,-0.296787310291034,-0.468032650072601,-0.167404154838179,-0.141644273161362,-0.201606732567034,-0.206730492314427,-0.219377274996682,-0.0357605031952677,-0.195149183287208,-0.0499860688912097,0.266195496224246,-0.178779247134848,-0.0061048874445666,-0.161522059972053,-0.0695595845724699,-0.194987375644811,-0.178932467638638,-0.0907079867668389,-0.133883105917497,-0.112261461571608,-0.0310284399174724,-0.268915132486699,-0.196812819287999,0.0471438631648507,-0.0817822386562709,-0.188002145240371,-0.129688991385244,-0.0838017389603521,-0.0934918659519776,-0.158056620581029,-0.159553490394424,-0.0990781810485746,-0.178826374415848,-0.159205537133596,-0.2019916148091,-0.137002340759385,-0.159447020430431,-0.181418018872547,-0.188645840530349,-0.151362107934183,-0.111703303012574,-0.167336055168866
stable,-0.067448889571375,-0.185140061287687,-0.0371415777941305,-0.291962313955754,-0.189050802170366,-0.0648751017898741,-0.0178991263401794,-0.151395632635305,-0.137920592579783,-0.462354742661558,-0.163413369153918,-0.238739331614356,-0.244369686652898,-0.214875433067963,-0.21785273817042,-0.287013508798449,-0.158357585975716,-0.165376150211234,0.109748499303507,-0.145436894554112,-0.129062691813377,0.0033777414559656,-0.300452232183141,-0.201961488727319,-0.257120080539189,-0.0473452847420215,-0.236714952045165,-0.135974757120411,-0.216344027151733,-0.321767530979137,-0.14188624917508,0.0460483930485597,-0.105329387755388,-0.246395037485725,-0.13214115126593,-0.143565486136109,-0.186751098600773,-0.137453742775448,-0.255257531687146,-0.225609412413294,-0.168451707127869,-0.263562605391475,-0.154615424735306,-0.20578324602421,-0.24669650385895,-0.159074830843453,-0.201555252207353,-0.139573146668906,-0.0900541291971901,-0.150130821296191
