group,CD273,CD30,CD40,CD154,CD52,CD3,HLA,CD45RA,CD7,CD49f,CD194,CD4,CD16,CD25,CD45RO,TIGIT,CD326,CD5,CD195,CD223,KLRG1,CD95,CD66b,CD278,CD58,CD96,CX3CR1,CD11a,CD79b,CD206,XCR1,CD267,FCERIA,CD2,CD226,CD29,CD28,CD127,CD15,B7-H4,CD26,CD204,CD144,CD304,CD158b,CD158f,CD337,CLEC12A,TCR-Vb13,CD82,CD88,Podocalyxin,CD224
progressive,-0.0725235737408908,-0.224366295739934,-0.0772030522290489,-0.0977241729276745,-0.126599809700982,0.123897845109627,-0.0857020577585638,0.0782778712310534,0.0689797888587156,-0.178818840512787,-0.269330644024799,-0.264067613101482,-0.184309268254174,-0.283319904574706,-0.122207091410005,-0.055811984013709,-0.227896081500196,-0.330420796722987,-0.164242410193621,-0.0616283332362561,-0.254141580965101,-0.0394929173181517,-0.0499379503732956,-0.289324670130114,-0.22091704541235,-0.221200354244308,-0.0768413358459636,-0.205245135241796,-0.210214727923114,-0.321485073865698,-0.0196446349275157,-0.166114249391271,-0.204305205746172,-0.10846334437581,-0.217198673213144,-0.20694846200392,-0.169450098760992,-0.350768491939603,-0.11280259251678,-0.267393396369158,0.0897768449680164,-0.269419389833402,-0.249335818349078,-0.116823919514991,-0.269288962956295,-0.299433862727782,-0.374457319105833,-0.104781917709176,-0.279969401032424,-0.194753964776644,-0.19562869686684,-0.315835988465576,-0.161496661959998
progressive,0.003724701740425,0.10083049615219,-0.0077339831374891,0.0233693399656059,0.254487441210559,0.174316075124046,0.148989789754241,0.0577415945309795,0.0812622241886705,-0.136019002300805,-0.0206173680552532,-0.116986407480535,0.446199023368201,0.069702863382743,0.0074748575541982,0.16343333112532,0.0431057262862351,-0.241465463402341,0.0540990636119181,0.0730389438121091,0.0154291022180127,-0.0218932503944737,0.448555478359014,-0.0592980563128014,0.0811148828532052,-0.0391509122733338,0.165614784014574,-0.17383941797927,-0.0067129695769552,0.0817647935552637,-0.0097479346152884,0.0765623624478474,0.120680126731707,-0.146345682048938,0.044921368573269,0.0644719906796992,0.0047361905559897,-0.0019257014516784,0.363326836235459,0.134856423936426,-0.0015686724229042,0.060364768461841,0.0962500053057712,0.0437702205667802,0.0125223858116112,0.0861918749919553,0.0176471692513392,0.424321505007706,0.0978399920370502,0.137180759455247,0.276752540616711,0.097954941030119,0.11761505429407
progressive,-0.0153131333621606,0.0541440232966256,-0.0365171500977105,0.0687431920638637,0.0678894050461006,0.274271599565472,-0.118898792746065,0.478081877558247,0.25367960770679,0.0734993826161445,-0.279453515660629,0.129931389964763,0.218941427368062,-0.105914891117375,-0.0598968185361078,0.0575217489012438,0.0290319887289543,-0.0319655257228388,-0.0455542291670423,0.0803209773361687,0.166117290684645,-0.32476140979632,0.231654410136405,-0.28360571783058,0.0788170501359372,0.16192442572291,0.177180992877987,0.0085690944616115,0.133856026199877,0.0490895157965418,0.141066836935285,0.124820609493671,0.124200978166791,-0.0304236351788359,0.0915090203337409,0.0396408502042964,-0.104598368017025,0.283916645611552,0.239595665556837,0.111275438545995,0.264915787036499,0.135688664566644,0.160052438178372,-0.0470480348066442,0.0385115207269971,0.143917194998002,0.135839144453016,0.120684644242434,0.188108551840603,0.0284161266609831,0.176400573792099,0.166517613032069,0.0356250844888697
progressive,-0.135084759877179,-0.302084710391507,-0.0491620092211352,-0.229295761571665,-0.274431509443985,-0.213081126904352,-0.0766057783167747,-0.159027921497646,-0.200226875111153,-0.193265765237827,-0.377557593088638,-0.167486690300151,-0.0156358705823148,-0.359985689155069,-0.177503702824647,-0.354474167531725,-0.290562506998586,-0.125051385519993,-0.262402302130214,-0.501064375607013,-0.206860518926024,-0.074133594539027,-0.0696077513778105,-0.146068851224352,-0.209466707618111,-0.351118315442847,-0.270569022788259,-0.164780825121115,-0.287057451999072,-0.296195859997397,-0.345666508898484,-0.167898107292304,-0.231351083441205,-0.053169862499222,-0.226635607162774,-0.223887511177563,-0.181108193856036,-0.243169079628958,-0.153982755945175,-0.263632330869591,-0.235471793495136,-0.413100117104956,-0.299667471200781,-0.399326218055856,-0.339586340935409,-0.308501675296211,-0.350055573623604,-0.144426677731811,-0.204999448391259,-0.286720770831988,-0.221242367944536,-0.394635618547881,-0.272806609974285
progressive,0.130473980871754,0.0181982602799552,-0.150265812552523,0.396903494648104,0.0084108652730677,0.0937926170325175,0.058598212617309,0.412215833344306,-0.159874783046802,-0.393728199958742,-0.18698478497193,-0.228319742375625,0.233890462606012,0.12273628045921,0.408130590201569,0.2543276486666,0.370128769769541,-0.416411099294258,0.350342426808007,0.0312458121757016,0.0877432876401184,0.124897373658362,0.255339525495436,-0.064074373631063,0.17839955718889,0.0373864115928191,0.11305735252532,-0.0255999020808925,0.0659657285952872,0.363052441702774,0.0578088557335952,-0.0375164602942027,0.145128649362108,-0.365937865444933,-0.0453802043322427,0.0039493990858218,0.257743997016743,-0.12236177407808,0.2743356787781,0.104461645753466,-0.0732882318757378,0.0560018037835995,0.0295597429736369,0.169617488428229,0.462243567338023,-0.0087776468245794,0.132218648526082,0.066464963885454,0.0235135277105567,0.154926121103674,0.0994906009116207,-0.0450162362994422,-0.105976173524244
stable,-0.37974751512926,-0.355077877796461,-0.38875817028759,-0.161497601535134,-0.358386870612722,-0.109440860995223,-0.251045548042311,-0.110478991072009,0.0733256017820413,-0.398525016070781,-0.249528503726047,-0.280626330439045,-0.170707733899132,-0.282472961441297,-0.132475903331231,-0.32370345063221,-0.0758806685116041,-0.285206384352502,-0.315759441139069,-0.195607990619716,-0.350923655816662,-0.211169822397535,-0.0941295644191013,-0.34274974596734,-0.392537766418016,-0.337741605049928,-0.419304235533378,-0.504356057695061,-0.377142010071571,-0.277761696421631,-0.386608432425779,-0.380218545917257,-0.297528662566957,-0.357360408733584,-0.481514727627047,-0.443982500045585,-0.323045180110158,-0.272888048302754,-0.130531230009372,-0.397901412456217,-0.305867811896644,-0.34646225200705,-0.451006553847715,-0.235266094594811,-0.117527381679829,-0.434615465450092,-0.363311131336151,-0.125701485469628,-0.39972049148007,-0.400371154710947,-0.316902876194206,-0.396945528528339,-0.41936108847607
stable,0.167954687583546,0.17774036637859,-0.176191398833204,-0.0143294144315542,0.222325246400913,-0.0732567888145809,0.283990496708155,-0.107133976448808,0.0067504478580676,0.370063163618362,0.091240931213391,0.32961259231489,0.0901131487156309,0.150237173144736,0.106609867637197,0.128566050937174,0.203568262293967,0.291912514387352,0.0757802553203474,0.0417207240147328,0.168857398997665,0.219511898509676,0.0517135199554207,0.108732351688974,0.255495917814386,0.182138073859209,0.135601227610803,0.287824128295643,0.00275441110765,0.122903691556099,0.0907740827652093,0.0583677878683782,0.0556886553829685,0.464679389552494,0.284675125910127,0.404352721989665,0.256460862158165,0.287734954199927,0.033903980528446,0.0781162262063412,0.392248034202033,0.129217767992589,0.122165058110928,-0.0392287118755428,0.0814976147653206,0.123082666541355,0.0919218614268662,0.0702231285226265,0.182431366175619,0.222435824353926,0.0899562252719709,0.130033137206302,0.315000189524786
stable,-0.101804834912651,-0.182334833724249,-0.142693838252619,-0.166332380961444,-0.278217459279562,-0.0306371749040108,-0.281632772413882,0.139091387047327,0.277730205554987,-0.334903868649153,-0.378861021747328,-0.404876739492843,-0.167513323277058,-0.269419084593365,-0.14213166604209,-0.171320558610955,-0.159544235462813,-0.343682929090922,-0.16365031895577,-0.169313069393391,-0.0451629800891824,-0.510405640396447,-0.101997117033394,-0.39860651156438,-0.266891475607051,-0.151191742671233,-0.180740172317456,-0.268009995280445,-0.155568873337148,-0.105139770420937,-0.116679395362911,-0.0323631720707993,-0.139757503507053,-0.28775109821162,-0.251929016446114,-0.363704177042284,-0.342098324087141,0.149025306570144,-0.194835720454728,-0.155015770523537,0.0068217351715282,-0.0683519675354051,-0.192873966249339,-0.0661533713686061,8.53950169732391e-05,-0.192388720007656,-0.130267022024768,-0.133626982264595,-0.14581554927632,-0.399018090906149,-0.236062841281191,-0.187433649797889,-0.26345915310389
stable,0.0455735427415746,0.0364235303672104,-0.0172739094289794,0.0798960603633557,-0.13755377942811,0.257547038933349,-0.0684060281290182,0.375808558376516,0.627140597135544,-0.0033909240616749,-0.363901461045851,-0.124245784486128,0.0878594954572618,-0.119918176175172,-0.0543393921512385,-0.0872139397878922,-0.0106312840607963,-0.0450959602144338,0.0984208839932427,0.0290851904523268,0.0563125095400709,-0.424159389264897,-0.0243805318594399,-0.304661163911002,0.0509721490355831,0.0865483638051065,0.0716285088182716,-0.212876805075577,0.125341663573316,0.0492959718964588,-0.0488543280323026,0.0337350257640349,0.0858673408665162,-0.258739525706028,0.0191770559055505,-0.19738239460566,-0.389018669257544,0.0588744002320698,0.0114347526809896,0.0351698053061904,0.0506378567833677,0.0782473376678666,0.0627334659514982,0.0547952572257244,-0.0276358021310436,0.0952346993335055,0.101951706831277,0.0503063220916494,-0.0073032899252441,-0.0053232808676533,0.0538614060136385,0.10602152958928,-0.064927713955252
stable,-0.143460559731647,-0.139444788027633,-0.111900840555397,-0.0477812614729065,-0.0494090357892623,0.297273622935311,-0.0034159003229495,0.206828505896982,0.442818099307506,-0.203390982142417,-0.180648514902695,-0.0477359712582384,-0.256899012794182,-0.218618460419622,-0.207083629094542,-0.101085336074607,0.0159278116927551,0.0126107404357597,0.0152482233244572,-0.150733411157504,-0.127933063428438,-0.128119355318561,-0.282314818130578,-0.0948367324597261,-0.155996568844021,-0.158474124769525,-0.15551395514474,-0.14986611972194,-0.0981898327659026,-0.105927422243512,-0.243368047548458,-0.0921524302312418,-0.17461543516069,-0.0554544775941511,-0.222493500661544,-0.306220040417022,-0.231217177477996,-0.0264813265548485,-0.311785118718037,-0.176248665016548,-0.180707032164928,-0.143824122822045,-0.196210569166798,-0.0492130443420557,-0.173861149654449,-0.200214116528577,-0.126530336955464,-0.250189421246834,-0.106077283882142,-0.111509628051962,-0.21868398951906,-0.140207496102774,-0.253532340192996
