group,CD275,CD8,CD45RA,CD7,CD49f,CD194,CD4,CD16,CD25,CD294,CD326,CD5,CD185,CD62L,CD95,CD314,CD278,CX3CR1,CD24,CD11a,CD66,CD254,CD29,CD28,CD15,CD71,CD304,CD94,CD82,CD88
progressive,0.0170325822990727,0.411293917450161,0.0226337261121818,0.061654894067518,-0.125182845941066,-0.144173227042941,-0.0998824086823008,0.0993416521075719,-0.121264879272855,0.0211961781691,-0.32395475644917,-0.2092466203447,-0.190473449375648,0.0718463963208247,-0.0391525886938289,0.208228945033423,-0.0499815797906397,-0.0270333374301462,-0.18287228970918,0.102669197358125,-0.003728612120317,-0.15913904045323,-0.053681245824159,-0.231345662830256,0.0855666824208428,-0.0226881240382001,-0.234667756376645,-0.123396379176272,-0.0977741482463964,0.0880248400951676
progressive,-0.37294881061585,0.0527503772540989,-0.0771534735235382,-0.0183016150864224,0.206435776620203,-0.237043514209314,-0.0696970272910297,-0.357507439570841,-0.251645576757536,-0.240201088654323,-0.273842197624407,0.0762258484665284,-0.39350035794065,-0.348429582921003,-0.045443205746434,-0.399659917065357,-0.199893652915598,-0.324935015375281,-0.360016302899912,-0.0701844348551154,-0.351197439512397,-0.432426336620257,-0.219961364790184,-0.100171459226715,-0.366020125933673,-0.21359880922695,-0.231533437367472,-0.376036505567971,-0.379085826877605,-0.364122147188904
progressive,-0.103957202882886,0.0035207536606628,0.115750255874934,0.266750642755116,0.0879607911309888,-0.398401653519891,-0.0648325716740985,-0.0155416672008718,-0.271640098614802,-0.112326793257865,-0.108900641860384,-0.0393185119990608,-0.0496665276892137,0.0177248013984562,-0.33717799616777,-0.088319457758215,-0.380308142911168,-0.10078427525709,-0.0104619543791537,-0.0605653510073347,-0.0188103214210556,-0.0813336032701564,-0.0784361643368477,-0.211575039837658,0.0048390525413895,-0.488199866915788,-0.171281507541954,-0.127993124605721,-0.146193018967597,-0.0535636051827364
progressive,-0.0333416855732478,-0.0541391204137948,0.0069556667209338,0.0663236908863362,-0.0610365362170118,-0.0505571023315464,0.0800753819771769,0.0164866108756624,-0.140898834932331,-0.0465327216190659,0.0797330278768253,0.0044584666922604,0.0235545456962298,0.011453427261723,-0.0440730321501935,0.0695856981254608,-0.0444126394235374,-0.0328668512309388,-0.0642417367957001,-0.0758490346006055,-0.142096554802097,0.0125115015759321,-0.117865723505787,-0.0429271748490005,-0.0660854805080605,-0.326932758021876,0.109455494633593,-0.0658313418639839,-0.157114839090453,0.0136901522272248
progressive,-0.0528534306841952,-0.146621953866783,-0.005602027180217,0.288306906477741,0.252361379967284,0.284689679338567,0.325004585868744,-0.149863148262371,0.002515087714328,0.0245563037409872,-0.075661682218083,0.370438818941266,-0.13563830442211,0.0761867654235943,-0.140973907395926,0.0732751848014466,-0.195723769598886,0.0084638564458846,0.0523371211046633,-0.0682252812083546,0.0242204327594675,-0.0469969507898598,-0.0159827244254354,-0.0852523507357234,-0.0893819314430451,-0.527229543942581,0.105317626845361,0.0397106964583446,-0.0296127741455148,0.029025811563291
stable,-0.1034015635648,-0.0803234625749543,0.199412399760539,0.394900934808999,-0.400512178150517,-0.300402057881945,-0.161909806673096,-0.199901856147538,-0.15481118039604,-0.0958281654314374,-0.218761330427257,-0.173644040924053,-0.143070316209775,0.11234211380969,-0.401000797560289,-0.232286455188523,-0.392889519506512,-0.174159789615426,-0.0775461901362164,-0.513403148290527,-0.0734663553923512,-0.123264197835339,-0.467783081347802,-0.448222709974374,-0.104373632224134,-0.257501045721236,-0.139950359640811,-0.140758761846146,-0.260765823174094,-0.131515518064346
stable,-0.0985382611371487,0.187461894107078,-0.215015317773471,-0.0613510109400765,-0.0199965826831988,-0.232913916494942,-0.173633270429236,-0.0284504030879347,-0.351376919587181,-0.170081616081291,-0.199293090879449,-0.0046344233380158,-0.110324954025003,-0.167810509740602,-0.190579730892195,-0.136260805816428,-0.284874159903754,-0.15136651474887,-0.115479876632371,0.0665654736934559,-0.078040450702567,-0.172632550346723,-0.0153295816340129,-0.128982014457228,-0.122762270044284,-0.30343844121032,0.0318146029325117,-0.0881538795235519,-0.120659828612694,-0.141805735537883
stable,-0.137543225782675,0.215126999565649,0.10309568634817,0.377954974117648,-0.274843921997906,-0.250821678046791,-0.190213607774671,-0.2176465415717,-0.241385991044698,-0.0519298147428566,-0.0914306286438972,-0.0306011853873089,-0.134536270419755,-0.237223312996067,-0.237157335976976,-0.101385653581834,-0.17257716662606,-0.0789543490483179,-0.141635150887092,-0.116617770650025,-0.0987472525561479,-0.0485684152070703,-0.257019242127184,-0.094492030225875,-0.155382880253482,-0.320913559764927,0.0491040761894216,-0.117134762202472,-0.186358238596337,-0.135411155306247
stable,-0.0120984970787285,-0.150416494078558,0.191926787269702,0.512862102972744,0.0610229429428331,-0.287552822183988,0.116590714560312,-0.0471892601002897,-0.138739860800877,-0.0234421965094429,-0.0679595548435537,0.130644200489309,0.0796888365737048,-0.137570884009953,-0.360168710305841,-0.0651229989590882,-0.177920168499594,-0.0139151146319722,-0.0629197554770607,-0.015950074175427,-0.0347998967169537,0.0201813378995754,-0.0788435630999548,-0.223059004299052,-0.18964541533459,-0.282941639775699,-0.0175460210569078,-0.0390971907961494,-0.0414151207841352,-0.0461179100705832
stable,-0.301291056607233,-0.179232037896904,-0.266129897566542,-0.0795194519668197,0.141239634580092,-0.162200505378504,-0.175567332584199,-0.172068288394022,-0.111164086188358,-0.358599867410322,-0.434902167551988,-0.0507822795460305,-0.302795697153505,-0.366392723400489,-0.0997623456417422,-0.197166954538378,-0.426127080557532,-0.25716049403809,-0.15375033529894,-0.101505096449693,-0.295755368327811,-0.23975245364625,-0.0522328559490106,-0.193785128865632,-0.169172344709672,-0.281362584625183,-0.404499202902603,-0.277540449589551,-0.262912521142587,-0.21963665529532
stable,-0.185637122327522,-0.161775496134701,-0.158137789836329,-0.181207819405485,-0.187958728090313,-0.216118025565787,-0.373481279081575,-0.153850842190851,-0.312805507862456,-0.238402805815917,-0.0410076313229322,-0.350114732806862,-0.24556174245561,-0.107341540465313,-0.079530806383497,0.0023889893933166,-0.164954026742583,-0.366100742040438,-0.203587200688061,-0.298142007904274,-0.177261146235562,-0.242875641833301,-0.249669376813256,-0.30075581849545,-0.159468261638242,-0.21312076894554,-0.0595313214411631,-0.157870267406578,-0.275998210135665,-0.239755495296074
stable,-0.0340651919481769,0.0475312983839148,0.390462622717943,0.231270495009542,-0.2906918996182,-0.401098746586877,-0.118543431970115,-0.294474115976621,-0.18484551982419,-0.129193089336668,-0.0724272841115867,-0.296600887859521,-0.12906543535619,-0.102366356674198,-0.518692954530115,-0.0816849623495789,-0.200477565504187,-0.0765169169802996,0.0052955675479177,-0.39295664691977,0.0327494751677194,-0.0808407963641632,-0.372278641221632,-0.228025158434302,-0.277977537029763,-0.331069630504413,-0.104296080743662,-0.20040542044948,-0.312418148807536,-0.252961693961662
