group,CD47,CD3,CD90,CD45RA,CD7,CD49f,CD4,TIGIT,CD31,CD5,CD69,CD27,CD95,CD314,CD21,CD11a,CD268,TCR-A-B,CD2,CD226,CD29,CD49b,CD81,CD18,CD127,CD15,CD26,CD304,CD73,CD319
progressive,-0.492579131857018,-0.356850307706986,-0.264875277733643,-0.30208479784392,-0.276402307016029,-0.238314295970922,-0.329251225651118,-0.358083631698225,-0.350552331330756,-0.17205938730723,-0.370638168992256,-0.24942960975286,-0.285343356149583,-0.160196368217687,-0.39069175556296,-0.263954345413389,-0.0435171058880633,-0.395670072956786,-0.144972335938303,-0.444183792679113,-0.306028333760036,-0.362915792508961,-0.277519096261284,-0.283793365357035,-0.0008206669965392,-0.0200410373586499,-0.243284734971535,-0.183814317308622,-0.159732102093141,-0.15364626915215
progressive,0.196323232442965,0.143603060007139,0.187083120542222,0.129086233572552,0.0903073438680525,0.315647643095152,0.241873454908326,0.141607181937801,-0.0124100375656665,0.364961723150906,0.166487050518152,0.0452437057270424,0.179204779417756,0.234396091754773,0.221827543310875,0.389827584855459,0.266101635773445,0.150500150173959,0.224111206762605,0.247762278154798,0.197879304757519,0.0485261549260857,0.221315841667743,0.217358413523207,0.260259297590254,0.357793403529422,0.274014403868815,0.0755984382561068,0.138742776347999,0.285622308371834
progressive,0.197636207064816,-0.0835833308686216,0.152047648904292,-0.116881730806574,-0.116264273323977,0.516842349469796,0.165006150549031,-0.0208675832813086,-0.129978931630254,0.122366065721762,0.0036273386174136,-0.107494427857848,-0.0529506489403706,0.0389557719447188,0.0081359831449314,0.199749411566764,0.180060611386466,-0.0953124801894839,0.238473957597088,0.256823002785748,0.301898335174286,0.0582568894302367,0.0890173931060538,0.203696063592012,0.270267772447089,0.0434806779148531,0.462362270811986,0.06573242344291,0.063559293543431,0.138571226794533
progressive,0.009278710956163,0.0587656562165525,0.0724285188447418,0.188631186755501,0.21009412636121,0.175650682159217,0.006487141479341,-0.0599678653636546,-0.0105483657269495,-0.0928100361320308,-0.0256997892607458,0.0350725251303035,-0.256992757955869,0.0652687638070204,-0.0475137929412452,-0.0910771698671498,0.0377764437881736,0.0304930677426174,-0.0833952113345235,0.0397301154410776,0.062204203803364,-0.02931994091032,-0.0157325278810093,-0.247592146419102,0.180900723811447,-0.162186963942929,0.152544919065964,0.137751881649895,0.0785259502032618,-0.0494753128776608
progressive,0.10737135057772,-0.399266885587514,-0.350526391668601,-0.101303324842259,-0.270852516690982,-0.181801434443163,-0.376470862123559,-0.0833636437814577,0.0892920058989955,-0.190942741816059,0.12982404518011,-0.397633537142946,0.153079345150505,-0.366563488473448,0.0590297185952841,0.0109185124537783,-0.47754262498044,-0.317340557858531,-0.072951844340268,-0.0511221893701999,-0.0773835383378224,0.0001242967738312,-0.407516337411199,0.119422591304892,-0.0680925353656262,-0.150599888643302,-0.092353075978548,-0.393989823881389,-0.416530015963532,-0.413628840509696
stable,0.0123859631388706,0.286065940318297,0.168269055226386,0.413377916099571,0.561090417070612,-0.192158095970665,0.0868130658512528,0.149142795049067,0.077325408039249,-0.0867095043532868,0.0904409937657163,0.0800311608827959,-0.195346858070049,0.0871054716083785,0.187366520618996,-0.21163932070752,0.183051976084519,0.40448354989324,-0.20272726440825,-0.0281954193726777,-0.212932492125891,0.175095240981839,0.188236968667536,-0.0630843548243599,0.161928071733909,0.203218164276394,0.11034724208242,0.0970780124469787,0.0823438076542147,0.0764060489790474
stable,0.0952055386826829,-0.232183731644672,-0.0004960146993417,-0.353846089195983,-0.298867923822356,0.295537021760477,0.0593550638203876,0.0721459408622313,-0.0318671281483405,0.113345130250164,0.0543165188513272,-0.16516825569832,0.374954502096384,-0.0069737500985365,0.059391801394161,0.376952411863819,-0.002725400519348,-0.32074540989657,0.508512644891303,0.223618905111034,0.385906617485,0.0204811552113744,0.0472050967826511,0.330805342170617,0.381300511049523,-0.0458184083366732,0.407146236444676,-0.0825349027106653,0.094339575332615,-0.0194234868913586
stable,0.063338310409811,-0.180195614169349,-0.0547969243767394,-0.483288227645457,-0.32894521450815,0.250048706160017,0.101084078327372,0.0005792352703918,-0.0745076962630999,0.223937288277717,0.0846521242869219,-0.187530592378161,0.507243161638379,0.0167314907423504,-0.11687255566811,0.406747761717509,-0.0678442457885591,-0.295498942940323,0.514176477449831,0.202483451946143,0.328966130279639,-0.0858158960635796,0.0063710641580127,0.358887659804182,0.306328457482321,-0.107219257002899,0.281983291192084,0.0469356431536759,-0.0865541824156098,-0.0323461147300442
stable,0.0836277929237458,0.311188332219909,0.117183469497166,0.343193759386119,0.563765443486147,0.106062289587647,0.0007801428195727,-0.0090291071087449,0.147056740022974,0.0414614687434037,0.123591416942151,0.302642695383503,-0.285740831219933,0.10118364497897,-0.057867020145925,-0.0870140359803089,-0.0208452286824784,0.270159891661204,-0.0843560829216558,0.0789225353575773,-0.113720708438745,0.0864445087217931,0.191898904318879,-0.0972758709124151,0.139117386194716,0.0573584366464209,0.0983188610614671,0.157031928803476,0.138766732927035,0.0651844180181198
stable,0.0548881560954711,-0.217505873802295,0.251332867643761,-0.117967375118513,-0.278940018777978,0.333653252287101,0.0116665229110359,0.102419824727396,0.191819606593965,0.0002018681671773,0.0066150709695155,-0.0646164758764192,0.0631303195128875,0.159726932074367,0.0066354208482605,0.237680989991644,0.0018451250173934,-0.104244523380925,0.0363312071601389,0.243439246359107,0.359432157647811,0.220435233151852,-0.0471877617288384,0.26134157584562,0.0273371893367502,0.16164447214945,0.206805606180922,0.0580790149378854,-0.0035935879023979,0.0514970578827706
