group,CD47,CD70,CD34,CD45RA,CD123,CD7,CD16,CD45RO,CD335,CD31,CD32,CD196,CD152,KLRG1,CD107a,CD11a,CD206,CD254,CD163,CD29,CD28,CD38,CD26,CD193,TCR-Vr9,CD305,LOX-1,CD307d,CLEC12A,CD85j,HLA-A2,GARP,CD328,CD88,DR3
progressive,-0.0571173800160071,-0.0157202080347992,-0.0218361408371871,-0.130917451389099,-0.083132405875222,0.0758516300360978,-0.0011275308438051,-0.0720892135510644,-0.296450708305625,-0.0636714840360017,0.0242946594524695,0.0602581563624107,0.0098782008461944,0.0340748222761456,-0.126945323735248,0.0788169012650403,-0.00103989377309,-0.0540586027082916,-0.009873185935968,-0.0396718039671559,-0.055635213638706,-0.148975793623609,-0.0501887538887403,-0.0339983294369485,-0.0423977372014117,-0.0283025282370368,-0.0260766059496471,-0.094764518625902,-0.10945162949216,5.38323478308277e-05,-0.0407895247397598,0.0007392555308568,0.010647142346466,-0.0114469493521834,-0.0302836449335055
progressive,-0.175714336020838,-0.483064370804606,-0.156379640776728,-0.106789883152076,-0.179631329977492,-0.284015583622997,-0.181933107701602,-0.206948312574536,-0.0848754308891536,0.0742828502332057,-0.247128228671474,-0.10143905681357,-0.401460686035638,-0.213315657922332,-0.222823137433257,-0.27176362445652,-0.151810585662284,-0.225748711330685,-0.057340876442192,-0.210436460276758,-0.299458950982691,-0.0458278304747779,-0.272027811213167,-0.210044250482668,-0.348891533520038,0.0049857370359012,-0.165331371800052,-0.215577078101803,-0.229417030974735,-0.282107500917554,-0.294222741953601,-0.408034206323598,-0.232623862116633,-0.225562573744907,-0.404554588228
progressive,-0.202332069428553,0.0060936794462852,-0.114395529360218,-0.468792888120144,0.0045959984258359,-0.39851093969156,-0.125816013677168,0.0493591780493533,0.0281959333194177,-0.11311787429886,-0.12784849823155,-0.121864025950785,-0.0561036076654228,-0.0986330226874596,-0.0845048264392316,0.0512929697430576,0.0478691792969321,-0.0886801509938797,-0.022013616866923,0.125751219720181,0.129417448267977,-0.127687991970622,-0.13243985058494,0.0110864670815693,-0.0706538567883107,-0.267113155730722,-0.002913783982625,-0.0339499010500073,-0.0996401388292142,-0.0607416463305636,0.0234790806502535,-0.0499578216350932,-0.121209021347895,-0.10461057717845,-0.0510522416029248
progressive,-0.250329660140923,-0.136443653595504,-0.179234129831548,-0.429179238895944,-0.219601259030584,-0.371105863433364,-0.281816922289069,-0.133352632451268,-0.174895242125986,-0.407540033527726,-0.362985223224258,-0.194930703432734,-0.248210738023233,-0.190759707531334,-0.227373610357603,-0.147465747070209,-0.159050833006638,-0.190856421086728,-0.110288615972362,-0.0810394494719541,-0.19304715523796,-0.286807633566511,-0.0588501935089951,-0.191618466470777,-0.178638099186688,-0.370437841084494,-0.238688169945518,-0.17786529284799,-0.185276110389144,-0.249787548986456,-0.162986664272078,-0.275429742836752,-0.202998223752621,-0.270952824590212,-0.209872364855345
progressive,-0.423046908625443,-0.119349739665091,-0.439267559977574,-0.281501865805908,-0.415422729251172,-0.183394882759456,-0.415000881666276,-0.486754251281548,-0.432342287040937,-0.0882290058287693,-0.470517339511413,-0.569214841498722,-0.351779842738212,-0.409551413313141,-0.445824114202973,-0.488680540445375,-0.491664640701048,-0.470904460500518,-0.440631234045798,-0.338414134166362,-0.596393902998269,-0.559822402676219,-0.412865292745922,-0.451410254029967,-0.436471663231167,-0.422213114349174,-0.532816913713423,-0.417982219992921,-0.502730332613555,-0.443662962710477,-0.416132386671732,-0.257722115328475,-0.513653092318671,-0.449035480588699,-0.163521310953186
stable,-0.198979751081527,-0.172565316083608,-0.0261180214869476,0.0655578225251316,0.0304453556279793,-0.27924537969573,-0.0609561315122166,-0.18439419083894,0.0925702100254314,-0.109180779229104,-0.16233428881164,-0.021848423197344,-0.103730937614477,-0.153636753365621,-0.0618027232397675,-0.259831510425308,-0.0581074779358331,-0.0261218437591866,-0.0103996306733574,-0.212939108968207,-0.171000530747356,0.0096068399868866,-0.263424531356027,-0.0516522323622835,-0.0945555713954211,-0.220146328822216,-0.105555610280824,-0.0393336143088356,-0.0768792506382179,-0.149498440253328,-0.106964727930923,-0.0765552981182989,-0.106656490572108,-0.111895212439491,-0.0208131080843843
stable,-0.02873910207518,-0.143933079273183,-0.122413008926937,-0.246058365072993,-0.0872142383166833,-0.371650635681673,-0.213654955006955,-0.147423067092857,-0.110864864810716,0.0660956971431221,-0.194824591905366,-0.109091661253335,-0.169745078653509,-0.180899555749514,-0.169123753883099,-0.0349406410389669,-0.13741111365409,-0.112738204966992,-0.0771179148688463,0.149205165678719,0.0038638411223477,-0.102576166506077,0.0428055874689082,-0.179331878777253,-0.0922648533238349,-0.183415108066761,-0.184304879060596,-0.145567730543512,-0.199201843547148,-0.184022566569763,-0.184678690340907,-0.130347483758995,-0.120235430831793,-0.223754680106245,-0.214119593243347
stable,0.0333868827294056,-0.0781704177858146,0.0098437635578735,0.046799697821408,-0.195762366651468,0.205534466039257,-0.150295813710908,-0.113207333736955,0.0609268887764962,-0.179867503322518,-0.131634034314839,-0.134148436734545,-0.176107703923673,-0.136118925163547,-0.134643277250907,-0.138064940858603,-0.142910440346106,-0.0290436243378775,-0.0485412059674644,-0.143549525411866,-0.08426110267225,-0.0714337644194822,0.0082330671520718,-0.0104784958020582,-0.074310198435618,-0.0382197673187588,0.0365758071687551,-0.0951575938427861,-0.0801401259804456,-0.131778908354076,-0.0730011594215936,-0.119081772150304,-0.102541870940352,-0.0885643418718219,-0.0312696383407458
stable,-0.0253386855803075,0.0187397618606895,-0.0561746792082049,0.0177948240972006,-0.0179530150689753,0.0859940228939684,0.0369917765130262,-0.0282888392792708,-0.211246788312979,0.0587686925985371,-0.10268881572131,-0.107934761140941,-0.197451691691082,-0.112522024191979,0.122361090854594,-0.136242517992536,-0.0904496268498529,-0.150388110180645,-0.10757145207093,-0.20923258712194,-0.210029461622277,0.0061201543872862,-0.127305869244771,-0.129286186294496,-0.14207215784879,-0.0156144739627567,-0.0833845376671456,-0.092830049329119,0.0507943967877121,-0.212643868744078,-0.14538047697972,-0.19420029947333,-0.193275019850993,-0.149206020181344,-0.166792989152778
stable,0.183486054815087,0.321256978352509,0.0488098423583347,-0.0410008615998165,0.0655185469684723,-0.106111439795315,0.0379078114929884,0.236741961579452,0.118112150413884,0.170179345742752,0.109150470689065,0.07246089017128,0.175403815132965,0.240087758884679,0.137945502157957,0.43874686293085,0.0351644082706825,0.217890724575991,0.0740599478642227,0.478776269423814,0.326578585368614,0.140511463658129,0.293511847692314,0.168382335652183,0.121567517590114,0.160828096899372,0.134312813050095,0.111161148742208,0.0827030183048305,0.187581650746374,0.166695726476387,0.190979718605674,0.0493116163263825,0.196811257871326,0.233281356168556
stable,0.105770294496029,0.0449385165271653,-0.0010822187802815,0.037500874249749,0.124612474808091,0.247074794693947,-0.0004011629814916,0.0171206504760089,0.192875164910158,-0.119747804407278,0.075779775680019,0.0310195619629555,-0.036081222559873,0.0393935215497019,0.127636322772695,-0.0277611116415669,0.0777471243253477,0.0726345613954637,0.0021916442931876,-0.0274864133509039,0.0348369373026596,-0.0097269472323037,-0.0724931272754896,0.160708093962127,-0.0741915651206767,-0.128582168441605,0.0620933591133756,0.135663248633727,0.0125437459353415,0.11060128387288,0.110907465351441,0.0533717517290993,0.0714695013719883,0.0271157822886206,0.0498704993379256
stable,0.0262958621924434,0.0344969623659477,0.159475318073159,0.105832317621819,0.138770059909004,-0.500894665946149,-0.0576445154082325,-0.125832195760416,-0.0282662782223283,0.0339769554497205,0.0341492920189768,0.0378655691773061,0.0371527507679926,0.0657775423716491,0.226824938936668,0.222549667340974,-0.0413131955278676,-0.0947230490579829,-0.0468611144403185,0.168317880568138,-0.0714994140853321,-0.0491984464209621,-0.0134234372421371,0.121289716254408,0.0507934612010084,-0.235056227048966,-0.297206766948957,-0.0267303169319568,0.0835847789951544,0.136413138735689,-0.0334641541942616,0.141068458291337,-0.111919892803187,-0.0728791810717494,0.230110052731971
