group,CD47,CD33,HLA,CD45RA,CD7,CD49f,CD4,CD16,CD335,CD62L,KLRG1,CX3CR1,CD11a,CD66,CD206,TCR-A-B,FCERIA,CD2,CD29,CD81,CD28,TSLPR,CD26,CD193,TCR-Va7-2,CD158f,CD85j,Ig-light-chain-1,HLA-A2,TCR-Vb13,CD82,CD88,HLA-F,Podocalyxin,CD258
progressive,0.0286363843827273,0.0805163594846937,0.0174105144404587,0.144109680323056,0.0852025932611064,0.0227111500717676,0.0653341118251958,-0.152268996568888,-0.152205221631871,-0.015239423711294,-0.0438272440785577,0.0168115644257372,0.176589185879866,-0.0494097211455425,0.0045503327218187,-0.080966989953798,0.0172689912548328,0.0854962212970941,0.0866867823012192,-0.0712825195162278,0.129934017633016,0.178385885664182,-0.0459113213226799,-0.0208960735952851,0.0455972354969219,0.102582240844342,0.133368058446528,0.0233464015115064,0.114937444828792,0.034288465633929,-0.0041095964236664,0.0127846166461393,0.062272510787414,0.0887427527171341,0.0588661170781734
progressive,-0.215292036614246,-0.24658902878827,-0.297784740575201,-0.0692794802426489,-0.1870528401077,-0.306493843841933,-0.277487966706231,-0.247350223387791,-0.204679723077435,-0.352654969117521,-0.156638224788975,-0.266559345795945,-0.381246069109659,-0.427357748654088,-0.18529344694298,-0.199038720266602,-0.0974857653832725,-0.207204252151235,-0.333732360942543,-0.0783509846852749,-0.25211174495897,0.0468154293429877,-0.346346978236016,-0.217786275614631,-0.15503848264285,-0.204867712396678,-0.212275251337844,-0.27311394662016,-0.296057566111889,-0.293153094485093,-0.234132686502637,-0.271661112721131,-0.308269759311793,-0.208859837424649,-0.203864460424407
progressive,-0.0544533043679046,0.0664811944380715,0.112941678796749,-0.434020712864874,-0.435174826547233,-0.0156560290923911,-0.0836504750281445,-0.086893503990842,-0.0358084525632963,-0.327773727487408,-0.116743763565627,-0.0926656134005939,0.0387104894199844,-0.067994653196304,-0.0645888755129714,-0.155675906002822,-0.0997800562256924,0.050886632313584,0.0129885255666789,-0.118962096899463,0.0571300993269705,-0.0377084879713882,-0.116608052106723,-0.0017971979224359,-0.0068156331308553,-0.0597621547772895,-0.042897716988544,-0.0197635931754639,-0.136980811298257,-0.155843822285969,0.0112290920199569,-0.10349455139828,-0.0518370758895462,-0.088550262287297,-0.0972295459096621
progressive,-0.0988959699564072,-0.0965207688723346,-0.0558230322230732,-0.34025338820999,-0.117914978608878,0.216566520585672,0.129741746953063,-0.149441840880861,-0.0041967250820402,0.0439408420198509,0.027490736988437,-0.10693257548909,-0.018444851588304,-0.119280664384343,-0.116276252886105,-0.11672994547017,0.0415073087392938,0.101039796859931,0.0976737773375228,-0.122437389599158,0.0359176394460014,0.0598150167510161,-0.0341115678588292,-0.0417783926595462,-0.0750253537868064,-0.106271906812573,-0.0336788672599443,-0.102762979529018,-0.0001762733346702,0.022871866131371,-0.0376880641938175,-0.0827375969480031,-0.0766674477971794,-0.0837721859395962,-0.009071328369658
progressive,-0.204832470678837,-0.409007142143362,-0.325691237113669,-0.185467114145044,-0.350511380717786,-0.108093144893032,-0.427751562863031,-0.307275142143242,-0.41771610236757,-0.317859139593544,-0.462855150288291,-0.333673639884838,-0.47874901216821,-0.110171917218706,-0.417896269058766,-0.555875916280287,-0.418922295654406,-0.426917170705548,-0.303301507918977,-0.325156731519072,-0.512383392768528,-0.436134408922533,-0.297857239684164,-0.453033807302173,-0.418442167709698,-0.219873871514289,-0.448735517498857,-0.48009343792903,-0.449160730084738,-0.415756296545344,-0.268555095799825,-0.391786699058549,-0.509044119254848,-0.407001191377649,-0.418973612292774
stable,-0.0820143300850599,-0.0476672047991893,-0.0041771689689173,-0.430852012332388,-0.521798972560539,0.187259225379653,-0.0697035110431312,-0.17853432970861,-0.167520070630108,-0.198193741623621,-0.136979798272076,-0.23810093503702,0.198890562577502,-0.105449960828277,-0.168123037217892,-0.429900148145268,-0.152090438211765,0.257168914345092,0.181066581570932,-0.232477066919108,0.0814296714572256,-0.344689253057311,-0.112972791565598,-0.155307569930967,-0.0682386285173769,-0.26876284736692,-0.175192592172222,-0.321900478633332,-0.184427705808166,-0.158348119769238,-0.0692770108368714,-0.222005008488843,-0.258120991724798,-0.248865482279208,-0.180334692703757
stable,-0.101814568466644,-0.0815543868395396,0.0513118734980593,-0.263191767761482,-0.320097840082579,0.0278449583911112,-0.177118269299508,-0.155366847372045,-0.0179249442797723,-0.528423280267343,-0.0118180997074374,-0.192774348402683,0.197463648839879,-0.196424828325927,-0.047517240476757,-0.351461881903118,-0.155250316368548,0.169224819247033,0.0856222637550764,-0.136676480694271,0.0063854863505956,-0.053223730169358,0.0096067384862811,-0.101669071077092,0.0389744554713244,-0.191633014885339,-0.106126823219165,-0.0938632373222406,-0.192616260373639,-0.123270553412235,0.0113657160822324,-0.227162947074714,-0.150420943354446,-0.166599873167059,-0.131433183022809
stable,0.0654135790754242,-0.0990187506873841,0.0862833459373244,-0.410725623616681,-0.229430463718745,0.296539860119389,-0.0783295106055288,-0.199781395266633,-0.120279402606286,-0.396033684840301,0.105385458859879,-0.0822307564798248,0.34523184125802,-0.0925843069770838,-0.146963732393115,-0.301209298258983,-0.0628156967207983,0.379745294066147,0.277616608551025,0.0109285234025116,0.20277585912285,-0.0090260170619579,0.382647936254668,0.100570441118462,0.116583114841831,-0.148989031050202,-0.128960647067747,-0.0452934316487678,-0.0611581407036427,-0.0383631742403314,0.0438970540702945,-0.124246906485223,-0.0792970827197718,-0.102497032534128,-0.0502720857084314
stable,-0.268485414784258,-0.108807161296575,-0.122728908762164,-0.184154935778506,-0.393401614589451,-0.257088412595626,-0.406507323976937,-0.28407889747661,-0.0559400873715825,-0.248962708655255,-0.17975090313642,-0.285922948064401,-0.239042469555637,-0.184003356333174,-0.116893345415321,-0.326573148414237,-0.22069003521096,-0.278791361862925,-0.219469863904965,-0.284413260460371,-0.015762467085981,-0.0824564448109187,-0.507119007213936,-0.0762449179751784,-0.102175422636165,-0.290815812538716,-0.206734099780626,-0.259179521393933,-0.267293303005642,-0.22296454368569,-0.214926155169087,-0.261753171648127,-0.24048744066727,-0.348006631151656,-0.163797566083049
stable,0.0732088767459515,-0.0601873112673861,0.210991531729719,-0.121726797039212,-0.295251454954177,0.316193225529502,0.0918571208359535,-0.0280454294155242,-0.0983627854861907,-0.282180972944149,-0.0161072712490721,-0.138733567557601,0.245663322837318,-0.0870169652294764,-0.17264111752911,-0.199020050142279,-0.0114318766793811,0.239158847790513,0.326253823537,-0.0755185221770247,0.227667674207123,0.0742636177895373,0.0584716891769823,-0.0316921405021866,-0.156142791475747,-0.0927928443249997,-0.0754738562495688,-0.0548911548587916,-0.0578129104221364,-0.0443462547898486,0.0207534112747552,-0.0842449200922093,-0.0452551173034872,-0.136748367463586,-0.0380854944164768
