group,CD275,CD33,CD10,CD45RA,CD7,CD49f,CD16,Podoplanin,CD32,CD27,CD107a,CD95,CD66b,CD35,CD58,CX3CR1,CD24,CD11a,CD66,TCR-A-B,CD15,CD193,LOX-1,CLEC12A,CD94,CD88,HLA-F,CD224,CD258,DR3
progressive,0.0204149846735181,-0.160872925465347,0.0165229831579352,0.0680404628049281,0.0300821263159263,-0.0256290064386039,-0.0241538991307956,0.0375819223451953,-0.156585309977485,0.154640608489421,-0.0233515765841494,0.0152391595113421,0.0639882082274894,-0.0018236209203145,-0.0023919290288277,-0.0037585866055846,-0.0271584302779231,-0.0010226928808631,0.104574264953139,0.165335900940381,-0.116905519722684,-0.0650615743235599,-0.141903009086435,-0.070071081501146,-0.0070121494447117,-0.0881783948022844,-0.11018787614866,-0.0344604718492359,-0.0757232396213406,-0.159362596047806
progressive,0.519723284131217,0.574236141465384,0.483781451466736,0.1575780603898,0.0782530558435337,-0.294315183361127,0.699180970303235,0.473130322317312,0.505362915187489,0.219104457026628,0.592282157233507,0.250723736598876,0.754371031794939,0.638651725651277,0.45370291060646,0.413044086749699,0.661277180868349,0.0808314912635265,0.484529699773451,0.40986949591134,0.617312572269035,0.481891474055091,0.446247973193997,0.672736030893541,0.408111686421541,0.536550274399121,0.405005271886781,0.464219166992061,0.413343396573554,0.400566878900266
progressive,0.207256940794468,0.186128846478036,0.0979720574152546,0.541407359747365,0.490054029903938,-0.274950040828332,0.126732408346726,0.0942716978455865,0.175608767908609,0.424723881050461,0.102303334266773,-0.0294473739878135,0.141150885350939,0.131732379164441,0.154385392674987,0.150035177770851,0.125917306971448,0.0349836165524767,0.129700063703041,0.405937246821051,0.155001711400372,0.0885689057507907,0.103052214699409,0.198098027817033,0.188680822204419,0.175539446077659,0.10001092086815,0.0936050269819551,0.120371910975551,0.0973620742191578
progressive,-0.0165555714666381,0.0266113819993486,0.0902338158748834,-0.0978920461708108,-0.291998969654859,0.159567439572033,-0.0028882957669186,0.0126982050153003,0.0408869964277295,-0.114914330068285,0.0555944349142166,0.0396292968405399,0.115683788942349,0.0272928561012406,0.0695362765906798,0.0808229392578975,0.16124223899814,0.0943203990736473,0.0435462968415258,-0.175947683549484,0.132285811260147,0.0218253702188064,0.170279461209913,0.116365148018825,-0.0312465599532466,0.0052174619071957,0.0845212101575443,0.070162225211442,0.027930855036241,0.0441255715233328
progressive,0.0969290831275522,0.330277461894876,0.0961174750161187,0.0850307696997233,0.219603457317094,-0.235693676300169,0.278997908965743,0.149012409556088,0.313616381264771,-0.0073705836257485,0.24888089489375,0.303660742827844,0.304355319181682,0.072307863883185,0.350747485231186,0.139313841499779,0.185837424041887,0.456788614238576,0.0738412680795048,0.0522458521582414,0.150352293265344,0.217431249762394,0.268901795097641,0.376428318296276,0.0906170877125776,0.169646605030554,-0.0370777567983434,0.131326366724326,0.200354456831597,0.104837259298514
stable,0.0264302444002065,0.0211511187257209,0.0814083360884622,-0.264879538875657,-0.44199997793034,0.151109299185717,0.21707831531455,0.032351031971234,0.0259388999384985,-0.203450982043966,0.0522982042273638,0.280158511513772,0.227888151574139,0.151451932464574,0.0278436943229962,-0.0163183792742019,0.0462929384969965,0.208059997101034,0.0593221407164304,-0.176761967982386,0.136119171814995,0.0026398761856743,0.0761569812471607,0.169927837850637,-0.0523015395951383,-0.0094521158399543,-0.116092199543487,0.108231466372052,0.0054021776148227,-0.0786754291324293
stable,0.0470799468342591,-0.0358654834379505,0.0481885105675658,-0.236812948846225,-0.376371281419902,0.0848530778116133,0.0054518872135423,0.0848740806886304,0.0870976357397359,-0.0500288103882886,0.0811868683270533,0.330869766969145,-0.0776438908863709,-0.114796039932048,0.102250474647766,0.0179690236746902,0.0645778226078685,0.344335980955179,0.0533407194792126,-0.114305255932531,0.0217328239437241,-0.0088247361020326,-0.025789210094235,-0.0068602125554752,0.117674929369966,-0.0080426853527784,0.0005123152911089,0.153758693931088,0.0830379810570253,-0.0548402772031118
stable,0.128911036654143,0.123253099302567,0.128536272317552,0.371533442934155,0.522486376912073,-0.260930197421348,0.0187537297265788,0.152116908351669,0.110052341769517,0.41460517690327,0.120195454650946,-0.155559589891749,0.051987624600905,0.104130467533576,0.0970223761319673,0.212457369948283,0.01261532182177,0.0470452259939463,0.0999363241631204,0.270411135292738,0.094581744934278,0.145822172428108,0.0086163541322513,0.042164764023713,0.132737373969458,0.139606876619952,0.116510338344067,0.0402836178926082,0.144009985549748,0.131196630714424
stable,-0.0458328955840489,-0.0133062613323012,-0.0173131696852559,0.0887156542444934,0.20702332497874,0.212525831460204,-0.0699827774416093,0.0469186542506033,0.0934804755781632,0.367232905187216,0.150139884234921,0.058296016773084,-0.0746587168913552,0.0725389743077881,0.190628277333278,0.0865534064897225,-0.080067736629444,0.251376280748573,-0.0430540829877744,0.115513237599544,-0.165032016922209,0.0586204556936124,0.0331355508414409,0.0926186186108126,0.147334384116179,0.0911890079658081,0.0360898467095737,0.0960449128763542,0.0746130184554864,0.0465444161033607
stable,0.0708005969700556,-0.0999471244779915,0.0467638147665684,-0.205714286005068,-0.278237806379401,0.363017227656365,0.0394148108967866,0.0122446171887269,3.29003623010517e-05,-0.0067827312001872,0.0163256847449807,0.0228012933964935,0.0493775613915319,0.13546733478198,0.0072409521293432,-0.0044083220312034,-0.02080046241707,0.23026557871314,0.078165062899431,-0.0018664552256184,0.121468401777135,0.0013800892323035,0.0724448240892769,-0.0392169587935432,-0.0033593080835364,0.0741261858227188,0.0276716831060889,0.126442301691443,0.103677707198143,0.0572221979499548
stable,-0.0473121616370168,-0.0054734301971079,0.225783069798412,0.0143275291872817,0.0499432417715504,-0.109332974785969,0.0861778243802019,-0.0076724910275091,-0.0789128534081422,0.241446662974167,0.0090591889767097,0.0159944697931511,0.0910431923801165,0.0910573184866969,0.0049547359857538,-0.0601303439223015,0.0735697600872423,-0.0056443896380699,0.0552365018686273,-0.0734059013609978,0.0283334627996414,-0.118577193190396,0.0616581028792405,0.0410631021764798,0.0633893636523638,-0.0110446342518907,0.0264913137334158,-0.0884754181893359,-0.0256139883607151,0.0545898254714
stable,0.0967838814714924,0.050136100176649,-0.0583674676171919,0.145603243828805,0.420146767988327,-0.441943941631423,-0.157746231344498,-0.019946880940195,-0.303946945610745,0.132811127993267,-0.16552432683067,-0.628278689391112,0.0044227104950496,-0.133714996777827,-0.234562747249056,-0.0373674215878485,-0.126371498302583,-0.280929317755333,-0.0462620916274346,0.26632365104224,0.0562752003737071,-0.201360074392074,-0.0598086180202621,-0.0409234807909845,-0.176969121852819,-0.0508898334758254,0.0751126337281577,-0.405103850634359,-0.212366772913015,-0.222219921117355
