group,CD137L,CD52,CD3,CD269,CD90,CD45RA,CD7,CD49f,CD194,CD16,CD279,CD294,TCR,CD32,CD27,CD1d,CD66b,CD35,CD58,CD96,CD178,CX3CR1,CD24,IgA,CD79b,CD66,TCR-A-B,CD137,CD254,CD124,CD226,CD29,CD49b,CD81,CD127,CD15,CD144,CD158f,CD337,CD336,CD307d,CLEC12A,Ig-light-chain-2,CD85j,Ig-light-chain-1,CD101,CD88,NLRP2,Podocalyxin,CD224,CD258,DR3
progressive,-0.275587791564344,-0.433649927714781,-0.495815243428635,-0.437969171906854,-0.158673213159168,-0.440022849698878,-0.48347473828994,-0.214434736784274,-0.109142594201316,-0.0077008295042442,-0.424455134128602,-0.415491987014861,-0.304911060208138,-0.305415858501135,-0.430959838007344,-0.420163303200771,0.0405901630009235,-0.209861087182073,-0.321537948694534,-0.411384304758564,-0.445163669007509,-0.241500662988979,-0.0153469519143,-0.146250237315107,-0.456589224238701,-0.096429347419463,-0.467522961039168,-0.380194882413283,-0.188370316688781,-0.475431584969324,-0.519151514726088,-0.38924359598041,-0.437499930661551,-0.453107865874294,-0.166320773963991,0.0058745370487958,-0.372897423634146,-0.405220661178372,-0.378368377614536,-0.297241530156452,-0.362996587265026,-0.167947668865474,-0.125149242541212,-0.4044883450791,-0.182863506524457,-0.251196805157207,-0.338651450721315,-0.171975543533521,-0.433690338007808,-0.219831915977793,-0.379857718451827,-0.302340621395337
progressive,-0.420971985920602,-0.219500175356375,-0.140968575010093,-0.362870767751793,-0.483431134561216,-0.203235560789781,-0.0833202017593446,-0.0509649509063065,-0.199747026790189,-0.490077215107701,-0.188030679438266,-0.362374103450405,-0.435993320395374,-0.468130005225961,-0.185103072428622,-0.37496865593253,-0.506826725905578,-0.408527515669916,-0.489919574763149,-0.3396175546714,-0.255396008060808,-0.430839543856414,-0.44964147306915,-0.456403977773663,-0.284506946816488,-0.414865330076597,-0.389411309062041,-0.328866231949369,-0.421544998147889,-0.184576358882919,-0.25314439983977,-0.15681195167685,-0.319265056547288,-0.170590988248612,-0.143322942926859,-0.469410730030231,-0.319069312105649,-0.369548323794351,-0.41825552906298,-0.420738814348098,-0.378072850232527,-0.435660000577034,-0.48851698415543,-0.354938303460185,-0.373511056011188,-0.412789776448531,-0.474027774469413,-0.404314249740938,-0.421739031181251,-0.415522551738869,-0.404362583338998,-0.417194149867537
progressive,-0.117227125844671,0.0120977508627878,0.0265612834050306,-0.138794520227299,-0.186527666555281,0.035921474157805,-0.18807354011936,-0.0412589943968092,-0.104589739104441,-0.368163688230189,-0.0937391733515766,-0.152554688328819,-0.186286449206195,-0.16112971899581,-0.0710729658953575,-0.145665444095,-0.356097375246331,-0.245348135765043,-0.184995870400613,-0.157480758387085,-0.193109096796955,-0.207897418536238,-0.182708280873895,-0.232875636920029,-0.198947748068549,-0.306444415899263,-0.122381553889109,-0.136798361224951,-0.23266066322433,-0.0824773304677219,-0.137554762436926,-0.063271546339569,-0.16488813742507,0.0236613311215656,-0.157895258423376,-0.289990396983938,-0.180418038550738,-0.214684410505997,-0.213675868595915,-0.244546819548388,-0.171122059400098,-0.283346031400013,-0.172896870316863,-0.167623554624109,-0.271377662204766,-0.306692988309079,-0.238142152241009,-0.205359049182345,-0.185849477535317,-0.169535302825844,-0.10727892338561,-0.121971344047299
progressive,-0.0684886056796612,0.0676490285047076,-0.101949792968476,-0.141960254486031,-0.0981510149650398,-0.351082455739253,-0.266262597504152,0.0318135664463086,0.0480329719657244,-0.0543802720335498,0.0570031972503211,-0.0812804827238,-0.088380892356338,-0.105073345140928,-0.0824156315334702,-0.0554276997375166,-0.0096936369738731,-0.0271275795037169,-0.0243009460775592,-0.0737669928196918,-0.0999359006361175,-0.05276929092415,-0.0301089558836372,-0.0378032767130298,-0.144987388708742,-0.0213558342708466,-0.154737753767647,-0.0376239531487656,-0.100633513911624,-0.0247284985851465,-0.0735608975900379,-0.0041204298382601,-0.0873694919950647,-0.115971795867455,-0.170552150734055,-0.018841399230976,-0.022492584848617,-0.110135749271904,-0.162132884453004,-0.105813962277916,-0.0125698455354375,-0.0305515887870299,-0.102277080962751,-0.0450322069127275,-0.0673309257586658,-0.10592500892522,-0.0482501520832327,-0.148056122487173,-0.118034308386548,-0.0317707771118989,-0.0536856524911489,-0.124305347455163
progressive,-0.271823137610277,-0.190459371405689,-0.0737438917464028,-0.190412435574303,-0.181321830900561,0.060155101387569,-0.485751954065545,-0.226186911986333,-0.444827623966511,-0.0915761599621423,-0.338041236592548,-0.111839975772243,-0.134074546604052,-0.122391405743045,-0.0892029608039309,0.0029769762135413,-0.101307548362871,-0.22522629410058,-0.24836380028166,-0.0955775538892834,-0.300510280566257,-0.192629959111447,-0.236486250917368,-0.476944148304072,-0.164914321488218,-0.218542827898888,-0.406931595509358,-0.442779511536433,-0.101473522395082,-0.243096413144472,-0.14861245146627,-0.208886186023548,-0.0014915612859751,-0.288132688503345,-0.432553991105515,-0.0437005842096883,-0.207228051370738,-0.13815521586574,-0.228524525037092,-0.176734707151129,-0.235784842047289,-0.22305716211698,-0.239390214214216,-0.266680288935425,-0.307861775018731,-0.274438386564356,-0.313417007837663,-0.164418061275438,-0.376701801560717,-0.354222577666509,-0.244003990844661,-0.160047413603649
stable,-0.289423069542114,-0.352061782798603,-0.134925887385532,-0.278129470235304,-0.23055179906404,-0.0851856497457895,-0.0524451938291793,-0.414857815865339,-0.207855304900715,-0.300883058791759,-0.378291213194438,-0.307987379478298,-0.306231937732064,-0.344805899741261,-0.188202660000403,-0.319799796869614,-0.278195764704617,-0.212002229072082,-0.388701335909072,-0.296289451456396,-0.34290270424438,-0.380350139526393,-0.11630732392502,-0.345255278971263,-0.325501938646857,-0.21203150978241,-0.197272452498166,-0.284936490952304,-0.248368199779236,-0.316561253509808,-0.408678975578106,-0.446465219486899,-0.273454461629078,-0.273630605025772,-0.245244068387746,-0.250360430248492,-0.409832988814751,-0.416121167919866,-0.379863763039488,-0.297647599964735,-0.401520899797831,-0.276049883199201,-0.297713607253329,-0.309034486789452,-0.309347931200453,-0.212124172548993,-0.357254692055805,-0.317906809992838,-0.377929570378014,-0.34938422266845,-0.320957908730279,-0.307213605780571
stable,-0.17394586720434,-0.151032969462821,-0.450645153605743,-0.163792141555609,-0.185178872913682,-0.314148070658156,-0.440421962713247,0.0501909799210154,0.0423291832298761,-0.158509702723798,-0.0837641547527635,-0.185183703304595,-0.255672695600656,-0.177481264953996,-0.263314079574085,-0.150848459932149,-0.184281689531182,-0.214959108165704,-0.119344366542569,-0.10747788425271,-0.167783731225501,-0.196323650826585,-0.0847675142792469,-0.214811347118749,-0.201943886574364,-0.205568270323269,-0.380800998397106,-0.136024885262419,-0.150302556911039,-0.139358751464072,-0.0562672775917035,0.0884379224358638,-0.0313391261279843,-0.132300179968057,-0.0819210115412358,-0.222507298633393,-0.186894887156919,-0.206183161917575,-0.218451270427812,-0.25252320807107,-0.156844432707324,-0.0952203482048581,-0.15363457505563,-0.177310998276541,-0.134012135182658,-0.158003156565896,-0.242166912307438,-0.253016783100789,-0.199426031885487,-0.0911102619646014,-0.225270886429049,-0.215792240691289
stable,-0.172723833473258,-0.0905853150024846,-0.252982634305606,-0.103559389275435,-0.182788778080955,-0.207603948346175,-0.383870918463448,0.0496564357328003,0.0831898105661003,-0.143896800940259,-0.105064178707759,-0.157975894458186,-0.215045222772025,-0.0715224165627326,-0.189028859880503,-0.177963110828435,-0.0824623697336977,-0.0899566004764037,-0.0815940688393763,-0.113503441179068,-0.240769759999924,-0.147319751958488,-0.100216176998561,-0.100389946476047,-0.159617328752558,-0.0331151027996374,-0.27911046855345,-0.0978444600321776,-0.154993407201278,-0.15641154840533,-0.0053834504495631,0.0335386345877316,-0.154011247132132,-0.148132111875835,-0.0519069080410807,-0.16479056027781,-0.120662158444405,-0.181958746034637,-0.108497543086749,-0.162817144356005,-0.210712905981719,-0.0608952306588388,-0.19630573376124,-0.166085868742236,-0.151077102562144,0.0063615755489226,-0.130400496749616,-0.19757967334586,-0.175848357715154,-0.118874186338301,-0.144128191561316,-0.14332717624699
stable,-0.301581770231596,-0.1166494908171,-0.245935935402813,-0.259475896152043,-0.197499422010399,-0.318497456994197,-0.425354669567061,-0.219260307258555,0.110655744360935,-0.424382438786562,-0.223634296249205,-0.317567264058702,-0.361160978480508,-0.419053637203318,-0.133886372452907,-0.284689989299152,-0.302405219196394,-0.355345795667808,-0.310567930518938,-0.324601383589343,-0.368622710033427,-0.353221889818247,-0.24560132879411,-0.358126775757307,-0.334855043465526,-0.2283513149102,-0.259868278124189,-0.349982808462956,-0.255657469297174,-0.266537074214434,-0.250359692603745,-0.163672683731582,-0.14064945854869,-0.233225952466325,-0.217583953867213,-0.282329720645351,-0.263556885331136,-0.366124720776517,-0.335831986751626,-0.405324326277886,-0.367762378607212,-0.28806839281995,-0.333521660414691,-0.349969701392305,-0.400142544273559,-0.309035103887419,-0.356007152584417,-0.337089683879487,-0.368625233061255,-0.302961449263654,-0.304744171746828,-0.301048623212554
stable,-0.172885785843611,-0.116711515082991,-0.0259686566594179,-0.309036340125789,-0.102196129713305,0.0079611071117237,-0.0086004056109279,-0.242861359182266,-0.313368381982425,0.0030207665058405,-0.307226730107187,-0.269321072372291,-0.217149255823619,-0.286576142694583,-0.259076830547721,-0.275024890843678,-0.0050168632737186,-0.124999806793363,-0.128625156490175,-0.226692691400103,-0.210274530956112,-0.200158835236065,-0.0183154918490997,-0.128351411439776,-0.240478537437802,-0.0994772948884737,-0.0860791332287947,-0.165618467144749,-0.175740753941806,-0.215694127501923,-0.259023360166831,-0.317426956475153,-0.22190351367163,-0.159088841659802,-0.109869124825478,-0.0597553094595259,-0.246111541716811,-0.22358497140179,-0.213625935182398,-0.224961066423654,-0.263936264954334,-0.0962026571882362,-0.137267822558472,-0.17249795113355,-0.18148606347958,-0.221684597030265,-0.254224662758634,-0.19985932746146,-0.221092868517575,-0.263151842398307,-0.221287573759679,-0.209603348410875
stable,-0.248100288971108,-0.236615783808608,-0.375790624618182,-0.141911866626243,-0.246291063538289,-0.0604459576445676,-0.216892235515536,-0.413616673592751,-0.107214570377706,-0.241701518029831,-0.226463133537831,-0.309958675734786,-0.314336810678852,-0.269225104338957,-0.390538245704686,-0.359510247986009,-0.158417711123601,-0.0606247203335419,-0.266172887211872,-0.225107085453566,-0.252004348155532,-0.338668310511739,-0.136430425972211,-0.253018822389468,-0.277654740052756,-0.226725194485158,-0.275848349404402,-0.161076610604534,-0.166244101237921,-0.304740914564924,-0.357924258269125,-0.340945566108371,-0.237909475267256,-0.162643509846405,-0.136143866336619,-0.189505202236398,-0.344240079377604,-0.334330134618214,-0.260177291216695,-0.256058513000048,-0.289858307968645,-0.137977810673409,-0.276355448583739,-0.327864567264932,-0.179674270115055,-0.287203749412771,-0.291132080480791,-0.372793088263897,-0.305003143346678,-0.321294855586032,-0.257917893183736,-0.17123125438595
stable,-0.0876820016846187,0.027092486474298,0.117193206426873,0.0160156404603165,-0.0434612051929678,-0.0294858337409757,-0.0236410461803492,-0.229962550343055,-0.129033724236164,-0.114532118030558,-0.0955043757143344,-0.011871265820953,0.0471166636043517,-0.23116389844083,0.0543822920391479,-0.0637450128991578,-0.175059178370828,-0.233665578874096,-0.0749332732809745,-0.0120666405417563,-0.0940396786531064,-0.16148816047456,-0.0578901816033738,-0.120923126012486,-0.162233975436235,-0.115754534386401,0.181374803731161,-0.121833214584365,-0.297669708602256,-0.146697813594811,-0.190674580404492,-0.251405223160508,-0.166553831984535,-0.0345472669246115,0.0132586178772737,-0.0653799902316188,-0.20146615309766,0.0097293639253309,-0.154702272806902,-0.0578270105875416,-0.0570073522166823,-0.100461387938649,-0.169774124400688,-0.043820019776955,-0.0376307214014089,-0.0891679739411278,-0.0115770336736677,-0.14216511531922,-0.052663806462345,-0.217108339541165,-0.139902481874736,-0.0497500977343001
