group,CD252,CD90,CD45RA,CD7,CD49f,CD294,Podoplanin,TCR,CD32,CD152,CD95,CD1d,CD58,CD96,CX3CR1,CD11a,IgA,CD79b,TCR-A-B,CD122,CD124,CD226,CD29,CD81,CD127,CD71,B7-H4,CD26,CD204,CD144,TCR-Va24-Jz18,CD158f,CD336,CD150,Ig-light-chain-2,Mac-2,CD85j,Ig-light-chain-1,TCR-Vb13,CD101,CD88,NLRP2,Podocalyxin,CD224
progressive,0.300893840981532,0.270390153040569,0.230804313000662,0.442017164418739,0.162263211631611,0.33320886379425,0.182296141453588,0.27204179001574,0.264243655058684,0.264578467294491,-0.0522757919756859,0.239501773583345,0.184529963574736,0.298869779471206,0.14186725796675,0.217103314518822,0.0092106451651654,0.344933808901214,0.366882268246985,0.285830893014055,0.387993169775116,0.393867283938234,0.248068973212102,0.218992717097644,0.22138576282963,0.0697174260908624,0.184557807063309,0.228149326534109,0.219815372604017,0.234918948581402,0.268320838130431,0.312188793249439,0.173391685666777,0.252522641750798,-0.0106889314253153,0.233963676995852,0.325946949593922,0.0849553572140693,0.249197701104539,0.148704273725762,0.230414378662563,0.0890897814462251,0.325916365325131,0.0883623351978362
progressive,0.134772137802699,-0.0513277965865475,0.216016224084755,0.285897414753956,0.171170178215171,0.083970280118262,0.0508996147049482,0.100247795037311,0.0579221006647998,0.128536549222196,-0.0639053568027248,0.101725974499852,0.065999178564866,0.12743301517771,0.0701141596635739,0.078707353702685,0.0988866001701112,0.0643821438042253,0.111462859614173,0.105440461304539,0.190834533599974,0.131041178410485,0.064756447495525,0.199822562614752,0.245543355799056,-0.185045477210273,0.140190608860904,0.154545136208491,0.0363440638200071,0.15563179353989,0.172598135168462,0.203735846582332,0.0741254121036867,0.152235282333556,0.212938489915983,0.0975642978979683,0.168922395584313,-0.003105034983066,0.0610344273109482,0.021176835614673,0.085976502741317,-0.0078361512835545,0.0963560000075536,0.149298355581725
progressive,0.142946364940748,0.0991479695248665,0.412833875633945,0.422370193553358,0.106742826420636,0.101479275925849,0.0432464373592335,0.0878945706134562,0.143792178064425,0.116605732075253,-0.418623519532788,0.0731891923513665,0.0331696689891572,0.106112274736243,0.108117895773045,-0.0306607662582882,0.117287002276951,0.0755429449633459,0.282126050284049,0.0919705079563489,0.123662295743335,0.0640261684399237,-0.0337159408860241,0.213215059823081,0.301491043098098,-0.383818500204808,0.0342451800957611,0.275611287702054,0.0155404271780254,0.0593593368900699,0.134944402420044,0.0799633533254949,0.0677213241072014,0.002552641800359,0.07200336828201,0.111875174591381,0.0557477237020532,0.103314028987164,0.0894904950504402,0.127359332512035,0.11514656685978,0.0953171770922012,0.0733319504540725,-0.085517708023114
progressive,0.391554888364156,0.448746718671583,0.475967348927279,0.413506517606357,-0.0152426248192747,0.275879101628445,0.371211906581957,0.404078745438784,0.370302943314103,0.407891447707825,0.0049066244044092,0.306824263778296,0.261632716881357,0.34156699479629,0.257802747822387,0.166684883108713,0.381534283389466,0.341154223506874,0.452744421001344,0.347861089817547,0.422959207176731,0.313930044412214,0.0772301894730687,0.419715504218091,0.245185609830245,-0.100792199569292,0.308550945075904,0.169338581556435,0.27580680077506,0.409177502208881,0.387533831844966,0.352592134247938,0.321418860914538,0.275966202070517,0.355987123860564,0.318216965212877,0.365476834808393,0.355627939580548,0.324697334549743,0.2936589215085,0.342603044257845,0.360088109539319,0.446704148609508,0.285542957996707
progressive,-0.153885307709961,0.18075968950266,0.120310202775138,0.279951081579824,0.218408650275013,0.0083926607722361,-0.0351234718464846,-0.171375802315175,0.0085964655878136,-0.0788076204405589,-0.174984422992126,-0.127761895831148,-0.0801532105334647,0.0306792148286589,-0.0505360187790774,-0.0700758765395034,0.136146212001318,-0.0586637061053774,0.231303235688634,-0.0727143075480635,0.0277931300339488,-0.120087751600288,-0.0193767392648136,0.130402709329202,0.358125778107184,-0.503457733271115,0.051423449871504,0.249142849070815,0.209139479616628,-0.009047636214153,-0.10671703493132,-0.0016689891849552,0.19240729071553,-0.0611959917324976,0.169202830624334,-0.0478562463029915,-0.0316106767910003,-0.0310277105782306,0.0379929105638995,0.0522150582191877,0.103381294802019,-0.201698540705876,0.217228074340578,0.0949086501515257
stable,0.172909808825105,0.158203854075233,0.40348473304192,0.597833054668074,-0.137368172599208,0.276297272136657,0.143882578544108,0.213967202864545,0.201226315911835,0.233019494434095,-0.20792288497384,0.233578307836877,0.139378853814645,0.131491478665932,0.20974334104487,-0.165017369984617,0.238407211645497,0.179456138915067,0.389295435292542,0.178108440158593,0.128597692278878,0.0126437979948459,-0.153181202945304,0.267601058766776,0.148979387271598,-0.178616376147452,0.142526095719308,0.160084808748935,0.154729885027635,0.161504431645749,0.202701305363466,0.235097333962067,0.138891687311107,0.147728776357782,0.202325619328217,0.147466408964247,0.144568504352608,0.237970472284411,0.118181594712808,0.242298047405968,0.200974138585222,0.1998958300343,0.25143251096444,0.0901261007729655
stable,0.211339577359811,0.18082738465994,0.371167512656585,0.507485335818156,-0.0232487917777932,0.198436454414934,0.196836397798476,0.184783155260121,0.134843605238038,0.106873638937363,-0.346061265871467,0.108678309405441,0.060704182394254,0.0980651416079137,0.197397116648727,-0.225205395986333,0.195778272260462,0.184947588467591,0.337136450170075,0.0718785491534136,0.121599954376609,0.0734573631505227,-0.105171845297385,0.105653816794198,0.0738585340656882,-0.19343198367113,0.165378001954966,0.0443779672922507,0.177835406039415,0.115921612127547,0.192005194885297,0.181084872854949,0.161982626488183,0.0016358194860606,0.148512853778182,0.119181027217653,0.119639863769322,0.0949391744000377,0.119114833076965,0.0952887895218539,0.18269080818722,0.164048483862794,0.183981187255989,0.0011719683690965
stable,0.103646801050447,0.097689220305606,0.505609614517333,0.555817857974636,-0.174158859709014,0.12137924194367,0.0889734796739578,0.156514783591124,0.022506087715559,0.08092550752367,-0.440176752306144,0.116501632942542,0.0057175023564204,-0.0071794385135308,0.112772937091264,-0.29443958677128,0.0868216394042005,0.131055770335763,0.318711092852989,0.153611767358426,0.0971888523027276,-0.107373238128453,-0.252031105622196,0.0817980936812683,0.0034022502697609,-0.231104947338973,0.0789802734711084,-0.0611459829578702,0.155835721818343,0.121222415519398,0.0350771535962982,0.161883481792573,0.0604739350435046,-0.0546239790136804,0.138308293254851,0.0581494934295902,0.0831685648612563,0.0409461997745766,0.0822344515727118,-0.111493056918216,0.0902275901766104,0.135640810130133,0.110186517927995,-0.0742800069581015
stable,0.068117764109691,0.0846583932299492,0.364482852596989,0.635612822436888,0.105023249349197,0.123217578629506,0.0990431878175627,0.136521541233473,0.174070930231237,0.191473368222079,-0.336219927034951,0.135865647914339,0.142523429874809,0.180135637136603,0.164645939804739,-0.0831538678317626,0.0890764588042423,0.214673300117215,0.299807287130527,0.22081521019593,0.110958243682113,0.0926843438012224,-0.0869924836145846,0.183258437385075,0.14404691910633,-0.275792723265397,0.136479638458996,0.192503665833359,0.17358595151225,0.13770428416067,0.175812835496972,0.18304889107096,0.174814160654025,0.0878053868472123,0.0992063149755275,0.148437487861646,0.125537812909483,0.137244325119398,0.0812965842620933,0.139455892912269,0.123243838629383,0.156846045388701,0.19973362770662,0.048870595697415
stable,0.330612384738969,0.297281221785645,0.0747113759104729,0.361999964152052,0.130644063245285,0.207943033276591,0.247797805955774,0.264789225584798,0.259512779697707,0.315261359399984,-0.146738188773366,0.299906829264368,0.259540892662906,0.192966286436722,0.336179690607656,-0.0357082530356462,0.272622713204787,0.24304950637872,0.31800216043702,0.252833121637452,0.286097623088452,0.269505451475551,-0.0194204941939101,0.150082304946758,0.217309474417526,-0.160712057088841,0.247247089362095,0.16839172009966,0.299139989804892,0.314435373153485,0.238821142231136,0.330882352751987,0.234049361766944,0.219272361116632,0.302702288314494,0.224431066549038,0.239704545671979,0.24928164082052,0.205363057413764,0.274679514214799,0.264525756943783,0.327784042731178,0.320034049167511,0.171145805368889
