group,CD3,CD19,HLA,CD45RA,CD7,CD194,CD16,CD31,CD5,TCR,CD195,CD161,CD107a,CD95,CD66b,CD35,CD66,CD41,CD137,CD254,CD226,CD49b,CD81,CD127,CD15,CD71,CD193,TCR-Va24-Jz18,CLEC12A,CD150,CD328,NLRP2
progressive,-0.0383520169466812,0.0100792099699685,0.0773765334231008,0.0726219269256576,0.0518096905365289,0.188711764915107,0.0690061563113019,0.0824655586556488,0.350454306955623,0.228249326479507,0.121787391812435,0.180273499727087,0.144399075381596,0.224145035457957,0.0726263385082429,-0.0148067843338181,0.131992227853355,-0.0566642297856117,0.0391043581133276,0.192958891739804,0.140609368979111,0.0919706118396328,-0.0757775098242123,0.358262097039118,0.229835680905019,0.0259624746342539,0.0757392646833472,0.249503297793179,0.0758490757814177,0.099405567384804,0.211916482138786,0.202778317226103
progressive,-0.253829085315157,-0.0845321446711678,-0.327586241052109,-0.231745799126781,-0.166925173596229,0.0968406772503419,-0.563711780613214,-0.372979509163905,0.10091277895361,-0.172049387639713,-0.0931102956522651,-0.195699575118548,-0.409520805858596,-0.240077370314699,-0.571845263136353,-0.431650494143971,-0.375141980632536,-0.276048543756445,-0.134468522507827,-0.174685134067103,-0.0832645884204602,-0.171016541962106,0.0425606242223111,-0.0817602081460688,-0.356183891256116,-0.280435282840118,-0.444211644665232,-0.0996221746989372,-0.490843620258419,-0.0756026090308835,-0.193991178224042,-0.213207391468565
progressive,0.246663770249715,0.0737620388182466,-0.0214816078080288,0.483388405481981,0.489056846871354,-0.216828851852823,0.217015538172078,0.164857152241863,-0.030402875489977,0.130269800081558,0.0258908456715665,0.118918098434382,0.0974105936216741,-0.338196601986471,0.197672719461183,0.161322009647134,0.204907747362841,0.0919095933065559,0.0643165703523598,0.162662242037443,-0.0235391890465047,0.129507299969232,0.206762908913698,0.0475971946666876,0.159629141124321,-0.138349498242854,0.0261009144932507,0.0749417075474116,0.174763333386116,0.0417021044415473,0.190071951659598,0.125664596514081
progressive,-0.131399016517632,-0.24503600459251,-0.21780995934084,-0.0607550190650512,-0.0825706351109492,-0.163442606899705,-0.114393722001867,-0.0904875600185317,-0.146004771834336,-0.272694179890952,-0.249016478171279,-0.246563259153995,-0.282184612994055,-0.228311060494002,-0.12879864586791,-0.0871414086812632,-0.158701093595251,-0.116186113366729,-0.180570806250396,-0.234263339256404,-0.239379790743461,-0.231509032578306,-0.16367070634764,-0.271449100114986,-0.189375592230257,-0.180924195590265,-0.227039040992068,-0.215759600591922,-0.143659880432623,-0.183556254204351,-0.28365262291361,-0.272358714558696
progressive,-0.357019098549266,0.355662332105926,0.388532983765033,-0.0437491646455047,-0.143843978242651,0.153724882063339,0.212357689858157,0.295388960691075,0.0071154942672867,0.365725225697466,0.488894837189331,0.10733375685981,0.336637657088296,0.291106955526798,0.314986739754235,0.0796191988773717,0.138615399792645,0.555778413028693,0.0365938685921291,0.216971333818968,0.406631327526735,0.359466269920019,0.0765667284134763,0.110650369969143,-0.0024759537795857,0.377161688865726,0.257333193644694,0.356178180502906,0.329909037888097,0.382846583905433,0.397004051894839,0.381970094895255
stable,-0.279910464995214,0.0241153068094929,-0.0437187181000055,-0.363947132779053,-0.444963514467493,0.0255327797222995,-0.199760513771824,-0.270200467800126,0.0566576935254315,-0.139882871416226,-0.0904126142258157,-0.101335670745494,-0.114017744306432,0.140511813028156,-0.199463328653013,-0.197462671715207,-0.173814718098722,-0.139366774787556,-0.181856794427625,-0.0882822062635331,0.0140063702234777,-0.180864677244927,-0.142692317359461,-0.132845326121335,-0.221130987104397,0.142492974964512,-0.156311483012616,-0.0802049970724658,-0.13836998939914,-0.0355878793445018,-0.143064134248093,-0.142894613332599
stable,-0.320977927606416,-0.0614054582820188,0.184549968027689,-0.345471261830809,-0.424161768002545,0.436597593026875,-0.0626886605725359,-0.104934438293812,-0.0541387273209036,-0.0077611669691342,-0.0162952959479873,0.0601587046025929,0.0455493358722112,0.485494498295814,-0.0357784000448749,-0.0385460703649804,-0.0272401347300438,-0.066493443823967,-0.0360886129349558,-0.0320274685751943,0.0649404003382226,-0.0407160602226527,0.0443841238761425,-0.0083939397316633,-0.0248765039790551,0.287302333131496,-0.0489727819738747,-0.0571088769592143,0.042136539792258,0.113844420355422,-0.0658075311308265,-0.0396908840963552
stable,-0.294455673144935,-0.115503235457788,0.19962383939074,-0.500619365681316,-0.507831748724842,0.286137953134845,-0.0581395832388716,-0.029735632068813,0.0070074236225378,-0.126895253887465,0.0775373276935336,0.042939719774755,-0.0049288530627905,0.422619018829577,-0.0252858637189273,-0.0590593927405104,-0.0616238892168991,-0.0133806271134948,-0.191841999413291,-0.0840938870408979,0.154864273679921,-0.0210494255600214,-0.0180633285614607,0.127521605220125,-0.0918607546182875,0.153155289530734,-0.0558945671179038,-0.0404092152030695,0.0347716549409927,0.0658567825808065,-0.0700214897127682,-0.109815892087168
stable,0.26500203493974,0.202672015261454,0.0404139443554145,0.280787616778455,0.293729643499051,-0.0650025099046053,0.0369944969446644,0.160428344979606,-0.179045389430095,0.076973641961406,-0.0513436994824218,-0.157640753806756,0.129050792154665,-0.0473352999414574,0.0592658209484494,0.0495723597360545,0.0057340280808482,0.203984050416042,0.0936654803840425,0.119244116108005,0.0934127472496776,0.127991927572648,0.127666057586059,0.0352304398514797,-0.0524103315721684,0.0274075208854334,0.271240023884079,0.0974756508657598,0.131056467206979,0.0715159157244331,0.0657569134012579,0.0668788770937129
stable,-0.139731551046877,0.039034172645966,0.0316872836592102,-0.0843724900059273,-0.168962225185154,0.148735922846087,0.0026305252044953,0.0077147510634516,-0.0661246117851011,0.0276904058082014,-0.0742074035971121,-0.157598219408898,-0.0188792037326339,0.0412709688856655,0.0396199004449247,-0.0069177653634091,0.0333368351269443,0.0098582742264965,-0.0944561909099961,-0.0147445384703478,-0.0293354221899975,0.0244731427706136,-0.135565183351488,-0.114942526048075,0.0344284331793542,0.101206696383192,0.084905139713592,-0.0434802199827199,0.173836576548264,0.0825354998002551,-0.140951835269824,0.0037202650173198
stable,0.019125595288659,-0.0875947357473919,-0.031876812354483,-0.0165694665966528,-0.0668992145280086,-0.0513740971929848,-0.0585628566572256,-0.112634889926943,0.109064980679221,-0.0455100978292154,0.0111883855471205,0.0204343572776181,0.0842696117733059,0.0649804136268763,-0.188643696416482,-0.0700367159708925,0.0188460252306871,-0.0234670650666832,0.0643107009789513,-0.0328477422625177,-0.15664843721634,0.0724941736728122,-0.0177385769097034,-0.217443830477915,0.0404379435999207,0.0798405260818239,0.0266471959329835,-0.130978575104026,-0.0315257009904052,-0.049147724188443,-0.104405417050801,-0.136217126307696
stable,-0.276782902414084,-0.230870339656837,0.0767136792743244,-0.35174017681089,-0.421155153844361,0.228120137809832,-0.0188877773890804,-0.0910896061622615,0.0273419094735199,-0.0993353547416453,-0.142658667896656,-0.351600975945997,-0.215763227287401,0.218507183882985,0.111777152209546,-0.144555225350768,-0.138233002397339,0.124312293032327,-0.39231850019225,-0.358641354089471,-0.10883476307269,-0.190358333282757,-0.426922747819198,-0.184389442073153,-0.141666027047289,0.126880219501209,-0.0319799251860497,-0.0711500025644823,-0.101761218849324,-0.363420352796657,-0.363988480132672,-0.0180122196135825
