group,CD80,CD275,CD252,CD47,CD10,CD45RA,CD7,CD16,Podoplanin,CD32,CD107a,CD66b,CD35,CD278,CD58,CD24,IgA,CD66,FCERIA,CD2,CD15,CD26,CD193,CD158,TCR-Vr9,LOX-1,CLEC12A,CD94,HLA-A2,GARP,CD82,CD101,CD88,CD258
progressive,-0.229867699280067,0.0900098426545615,-0.105229435992434,-0.0044822445459202,-0.0674178412196095,-0.0149399173824731,-0.0004831515811667,0.0294632848763083,-0.0907001958784473,-0.127110241606141,0.0101620396842165,0.0294325119049603,0.0712722568577683,-0.18235138151867,-0.147549252759086,-0.203911385919903,-0.122193715435769,0.0753064231247865,-0.0813900597041772,-0.195947333796357,0.0230979015070054,0.0645998737074801,-0.16839447467589,0.0419246924322433,-0.128238512837604,-0.15946736252091,-0.0613969449930052,-0.0167196929859314,-0.161072307038337,-0.15909255963091,-0.0873495354047272,-0.137546381427103,-0.0870021974065339,-0.199599732628555
progressive,-0.0193764300410019,-0.0724508197653384,0.152938702848523,-0.204805023389858,-0.138642066602492,-0.0700773127652643,-0.177080015845818,-0.064370512195109,-0.0811138371590177,0.0303717436959478,-0.0468072421223913,-0.0220129959406227,-0.0136932490785444,0.0029690553405919,0.0137514180899545,-0.0163003106002811,0.00863070027277,-0.0697205220396436,0.0574856443721996,-0.28966974564508,-0.0502532025479265,-0.189373784337289,-0.0883686294985861,-0.0337567055682858,0.0037026427215983,0.0512519841940456,-0.0299889236899794,-0.0477804926374829,-0.0102490980270321,-0.068655890596223,0.127368275525585,0.0149594059179891,0.0040444003847953,0.0649553459173789
progressive,-0.115807093217868,-0.0905647819900266,-0.208941756319047,-0.26767661567082,-0.243714630246961,-0.540809832342113,-0.524468400781563,-0.24827579272666,-0.138058685239718,-0.275511100666365,-0.148077820796691,-0.276529383139764,-0.211236205777146,0.32550650023041,-0.145630977421045,-0.235396958243842,-0.21215068409628,-0.194124329584516,-0.127113135272433,-0.031908594430219,-0.238342846284704,-0.233384885576938,-0.0968807447484798,-0.0794198094884927,-0.140376943197896,-0.161450792215604,-0.236719029402649,-0.176834092654095,-0.158524188268688,-0.211383086206236,-0.0595316201650797,-0.281139863990403,-0.244379962296222,-0.192316982065644
progressive,-0.182603885162059,-0.136987457952356,-0.163910202212392,-0.069900745056047,-0.0025202100067764,0.155890624851936,0.0704624260368073,-0.0038813672925502,-0.140988728971252,-0.028189921189363,-0.138898316864381,-0.0655190687361808,-0.0561133014759871,-0.127749410606016,-0.165585579231723,-0.0809084580496499,-0.123376891569964,-0.149350105045889,-0.144533342324782,-0.0829971887349723,-0.12180843522498,-0.0295489742080622,-0.217926041326903,-0.0206776944321706,-0.221932970465812,-0.101231760144303,-0.117659220068621,-0.100536488444944,-0.0680903213369473,-0.132641192742401,-0.212448399914419,-0.093749714318489,-0.162339085618041,-0.119833146557805
progressive,-0.575480562850532,-0.5153365126075,-0.517676117609977,-0.472850550956907,-0.543445349380999,-0.338455808804781,-0.061461734249119,-0.725741067699978,-0.548271839965688,-0.489998538505379,-0.611827053526646,-0.806689941234795,-0.509376991417021,0.0640118620470327,-0.68438985542557,-0.456589794870074,-0.450567364037029,-0.562162454714616,-0.453092140324423,0.26655958769569,-0.562103406810452,-0.140324680458022,-0.557190994149868,-0.461150592434726,-0.456410411587195,-0.54670386087809,-0.643527036165873,-0.554960075738735,-0.454912857308352,-0.54693877830835,-0.530000652921708,-0.589646587543931,-0.554763543134133,-0.47859701832764
stable,-0.14289055465873,-0.0444282132379415,-0.146843785215729,-0.0344735247954482,-0.119835345055033,-0.417686111082031,-0.570477147622287,-0.0723809892215162,-0.103342565578003,-0.19010591358218,-0.0968238403447864,-0.0617336320674512,-0.0840656780630664,0.187797210861787,-0.117906953150048,-0.0646692140802521,-0.185318768738961,-0.0328184503835663,-0.141979408457064,0.215424790661932,-0.113939902692469,-0.1305284198906,-0.0899574390303685,-0.158443327197337,-0.14462409732994,-0.05901700528184,-0.0173829894727937,-0.126539070596555,-0.158475754497679,-0.181597592652022,-0.0392552780125631,-0.223276936523439,-0.159287250889355,-0.0843905492274958
stable,-0.164525168974805,-0.125651269027437,-0.0671608944064782,-0.234882715240804,-0.137087954773799,0.141689103934089,0.0137342452923588,-0.144974583945581,-0.194160464533198,-0.166252337557325,-0.196041855870417,-0.133799602982441,-0.035061189332204,-0.256308036333399,-0.269757090420012,-0.110235774098082,-0.214075812588538,-0.134961332679396,-0.145596446608258,-0.485092099734872,-0.0633122483373941,-0.35411925292218,-0.103428380760754,0.0014066724482539,-0.0651713499981655,-0.068414260741307,-0.115916874678838,-0.161666962840393,-0.0468425364706767,-0.0617590740493666,-0.265069898706571,-0.146393779141891,-0.153048777242143,-0.127266143847366
stable,0.100589413770318,-0.0142316401886823,0.0473294217993938,-0.029287168967639,0.0737660803700009,0.529212989595565,0.490525940747388,0.106402064286201,0.0622560176999553,0.0043946105269104,-0.0082306465654495,0.069098075164305,0.0873173307657608,-0.0094438999906334,-0.0294479227301805,0.0429201532730499,0.0444818307880752,0.0585916501993271,0.0286558199530376,-0.418871602002662,0.105983153883927,-0.320146213837931,-0.0678553072243487,0.0325769208674779,0.0599129540984601,-0.0193668357410508,-0.005575024462035,-0.0218690309522616,0.054561811033277,0.0316168449906568,-0.210141938523405,-0.123080743996021,0.0957399677059709,0.0335650184872669
stable,-0.0077717090799561,0.0679112048222811,0.0300093200886858,-0.0239062272122433,-0.0028740161612938,-0.184340701323038,-0.33407132918127,0.0995205712658918,-0.0092382109356898,-0.0347045893963733,0.0765052166486143,0.191786476630696,0.0642415070088002,0.48354666351071,-0.0183137992666024,0.0763167772089468,0.0997942737699297,0.113663684745414,-0.0325666164658957,-0.0715547468343827,0.196187749363075,-0.208302939622614,-0.009969950625626,0.0127846782490258,-0.166373241335283,-0.114548040418689,0.0881876038622917,0.0402665779616155,-0.0617234252945187,-0.0258124394618846,-0.0055818695400506,-0.0072101786603295,0.0109048099945971,0.0179439900826033
stable,0.0747039141766933,0.0146736005040906,-0.0536849086568287,-0.130399936816385,0.0359496262203216,0.213638016162638,0.211880276779027,-0.137701653034186,-0.0245653124547057,-0.0738257739370654,-0.168671297480631,-0.197737309082935,-0.142542159102794,0.34324062746047,-0.0908798406409465,-0.0125626159959597,-0.0589660576710797,-0.0607510271080491,0.0005524422662869,0.0808834309024648,-0.103546507688662,-0.127946557922988,-0.180666283695574,0.0028617470607645,-0.0629245368010917,0.011306046002619,-0.195984462991127,0.0142791130457805,0.0149624615007605,0.0241208885847063,0.0343613324051504,-0.0131150557494466,-0.0458865884160415,-0.0403612370719735
