group,CD80,CD273,CD252,CD30,CD3,HLA,CD45RA,CD7,CD49f,CD4,CD16,Podoplanin,CD95,CD314,CD66b,CD366,CD272,CD58,CX3CR1,CD66,TCR-A-B,CD2,CD29,CD15,CD304,LOX-1,CD158f,CD337,CD336,CD94,Ig-light-chain-1,TCR-Vb13,CD82,CD224,CD258
progressive,0.111802485824417,0.176481266680473,0.101353447535866,0.152872564696158,0.160422441477337,0.194772781915217,0.0249833224419226,0.141534899418066,0.100524347344497,0.110262106087278,0.0182117640088016,0.0804797867949727,0.0370349883647094,0.0309316643828343,0.0136358943174769,0.170746079018198,0.133450200139116,0.152244462222689,0.0484881410562141,0.150665745733653,0.212052019898986,0.185155686759301,0.194840053011233,-0.163040727620557,0.342097958820771,0.0848702745581152,0.122015311167661,0.156135031579109,-0.0077102801422134,0.175438585145576,0.171164159320258,0.0399533098523134,0.0470558303464487,0.114877208632449,0.186772800491434
progressive,-0.119817942953497,-0.183984808316141,-0.285551096766603,-0.214079859679582,-0.236899861096471,-0.159770877395813,-0.0579993558075168,-0.0563492460649329,0.177437010011606,-0.132100930410836,-0.183926638160803,-0.26743487562578,-0.138939908292537,-0.199151205371226,-0.255083324480454,-0.187304881321314,-0.194935463770282,-0.18392044928632,-0.131701635000591,-0.177784228045305,-0.134435312635118,0.0951515880874939,-0.0695042370297726,-0.278510238738146,-0.157705751562324,-0.339196836283426,-0.175075596661553,-0.186681211230015,-0.190592242726284,-0.201031519456838,-0.154967072032928,-0.188489104203371,-0.23354770019287,-0.197566778482052,-0.235558513404787
progressive,0.0237815783537882,-0.0031747573135345,0.174004984112242,0.0556837977515978,0.14542950088823,0.0076181195207261,0.455785556009121,0.420760757169037,-0.147698357543785,-0.233161863174039,0.207088385623715,0.0653879145663277,-0.243689898540617,0.23158748301551,0.27648226067648,0.105005837398862,0.173412596923752,0.0838731228453895,0.141693533438424,0.216290949795777,0.184339361418445,-0.195088499567488,-0.0345207355576923,0.204484338577585,0.0244375927912258,0.101088011759132,0.0946897094920488,0.050559807380645,0.110252402702118,0.173885824994882,0.175270092766095,0.152323513213887,-0.0169538659822429,0.0341709776809322,0.171484530931596
progressive,0.155483454053081,0.137471965708992,0.0199732355149933,0.0583786594916064,0.0462247769424262,0.183268446120378,0.111636652837134,-0.116795040990996,-0.0927894785873347,-0.0744586780394564,0.332035494032642,0.140637384536782,0.0847174175467621,0.0334902133168046,0.373846772901193,0.0527378581434035,0.0572356274141407,0.166964678759667,0.156106174855132,0.269646342537255,0.0602447417827217,-0.0684241463179375,-0.0583597680835058,0.275456933620325,0.0229203490079075,0.231432444751222,0.0708780705775197,0.0878239204157459,-0.0151278955459645,0.0986139068205715,0.227288538333822,0.0433153933758447,0.106157313770971,0.0873623300712656,0.0817145086277186
progressive,0.527191585675237,0.452587448655188,0.44655213588884,0.41490795461408,0.272207298521885,-0.0343851066582931,0.219279349625639,-0.0023520099712653,-0.0785234039428536,-0.0861070391186319,0.424591628148798,0.446913771825218,0.009543440346203,0.280533919969361,0.430201669680038,0.43186349323267,0.389253106795877,0.36143046321446,0.285485260119947,0.484719173558062,0.150253584369167,-0.312030422645874,-0.033446473508054,0.68738666805749,0.47944350151158,0.437628203148343,0.406367959329473,0.436110288535983,0.48863770417389,0.422158104872588,0.162012955833635,0.270529324080405,0.435598343693731,0.329861660298625,0.333841542409138
stable,-0.158029603451283,-0.135521437852743,-0.223124293865039,-0.196188922046496,-0.4136317723092,-0.004910801786521,-0.462792887416727,-0.50857175541798,0.126486168685545,-0.106039607187731,-0.0402895990558914,-0.124460201843189,0.151809172719347,-0.0503891216014508,0.0024238470133318,-0.119171487411466,-0.190191451354193,-0.172592015756227,-0.207270176614187,-0.0811802513760533,-0.443590586305717,0.120148769752499,0.119418263749231,-0.0414890396506716,-0.0719262277198949,-0.127677579749306,-0.240159353444684,-0.188813918985292,-0.136977861973635,-0.126192014169391,-0.06326078996624,-0.132089829026137,-0.0996822371747393,-0.137190078299565,-0.156971829468193
stable,-0.17973010239843,-0.167979752281456,-0.261942710216478,-0.254294103192433,0.0271139878004058,-0.375489786658371,-0.131440792300732,-0.0979320838525845,-0.449415338253046,-0.467560268328757,-0.240225831925878,-0.245524115288419,-0.309996162849989,-0.104786014971492,-0.214882367364724,-0.102703574452366,-0.14888007785209,-0.436289527119638,-0.269743125188528,-0.203130190572769,-0.0323125626328834,-0.408513293695823,-0.499971570389914,-0.110737368017936,-0.14413538328051,0.0019064537236906,-0.263711381113332,-0.24997791174542,-0.130463329326092,-0.22435581098742,-0.273447050490744,-0.307269416620612,-0.292412409544337,-0.420423114232745,-0.277129446964966
stable,-0.115001102781357,0.0814941175717494,0.0511178679356441,0.0351737973182494,-0.0914604052542238,0.082550600100139,-0.199768936607018,-0.19399076714913,0.0554874028970831,-0.204073907745474,-0.134141004855045,0.0278565081601687,0.125796753507407,0.0109908752599227,-0.170797278074822,-0.0591895159089744,-0.0110859268722062,0.0621586466747982,-0.013793009938146,-0.031683534400417,-0.0763813497686172,0.150111018723381,0.152727446048673,-0.125756535603758,0.0338588356162927,0.117258232925708,-0.0808054436222132,-0.0625378049325499,0.0041469467921555,0.0086525996748921,0.0312371398434529,0.0548389404108436,0.0526156358468398,0.116570490792859,0.131260295332233
stable,-0.0628937238359435,-0.170022934072551,-0.158857591470983,-0.216732618880337,-0.096789005430837,0.035696588548818,0.0406419509073705,0.0496026172959828,-0.135769844011663,-0.178882402328475,-0.149912432307969,-0.184525054039617,-0.184800835193025,-0.13008960473623,-0.193627403074552,-0.0433876465387266,-0.0887962689859962,-0.122433299133097,-0.0939987357529271,-0.133558002138926,-0.181110772044473,0.0888116354921642,-0.121955924666945,-0.0935991380389578,-0.101519429039561,0.0213010455213817,-0.0940154002474372,-0.146229844792798,-0.186290634983634,0.0036082918403867,-0.120339649658711,-0.189442555007557,-0.102092859980237,-0.114543290233029,-0.0620192482417464
stable,-0.105670873351875,-0.230535618973144,-0.287700590979479,-0.205118558574935,-0.1118057508361,0.0915431875027678,-0.154160602974997,-0.299915981659995,-0.0359755422895168,-0.0766534897677189,-0.233219100314809,-0.232792327642574,0.153556360985726,-0.114615980575947,-0.208468941433873,-0.12988998902886,-0.181936570682882,-0.261764694158393,-0.329736900328518,-0.097195901656406,-0.357095576736856,-0.0233902579252583,0.0561190962087709,-0.136776539383291,-0.241349188109498,-0.139471165111157,-0.316088941943925,-0.37028949563331,-0.237483614776922,-0.17351893729002,-0.224208118396762,-0.18968278143393,-0.243721698079233,-0.206606342846467,-0.183219589793979
