group,CD275,CD3,CD33,HLA,CD10,CD45RA,CD7,CD49f,CD16,Podoplanin,CD62L,CD107a,CD95,HLA-DR,CD1c,CD66b,CD35,CD58,CD39,CD24,TCR-A-B,CD2,CD38,CD15,CD71,CD193,CD305,CLEC12A,CD94,GARP,CD224,CD258
progressive,-0.069644693757473,-0.375041954096085,-0.20511126789506,-0.403732320851684,-0.132773687908685,-0.204839366686328,-0.349990253086595,-0.254512119350794,0.0362823884323729,-0.172808474613168,-0.120879654502646,-0.084520673449149,-0.219834206216535,-0.0563174393382558,-0.0222486354148207,-0.0084523811091217,-0.078259888893324,-0.193939378629237,-0.172833273052445,0.0904016442529716,-0.309484371120139,-0.46033793077808,-0.115421238331856,0.0406465660623795,-0.108058583989218,-0.0852102736085901,-0.217652894431871,-0.141645807020818,-0.165066315220344,-0.0336734868797384,-0.114913612768612,-0.0885200838929549
progressive,0.524965441281402,0.353777074984475,0.43487412291386,0.183488089365251,0.401218396852171,0.332944717447298,0.156952349334346,-0.158800813583256,0.452255837969244,0.423571020140175,0.372593142423656,0.483753111517266,0.16063399197081,0.263374253457007,0.184737631970287,0.488998163854294,0.354351412111364,0.410785107359211,0.119966861208927,0.47494115920345,0.357552174905753,-0.0805755123020657,0.246163414141768,0.436553770538492,0.0130523342094185,0.427022276437251,0.417752124753199,0.533265182280837,0.442442245320095,0.437996944037559,0.440483819651415,0.417998157942836
progressive,-0.196170525093634,-0.212685466033437,-0.309710055600251,-0.204681172706586,-0.0816735817680087,-0.254842429098138,-0.243914041300399,0.26886800435564,-0.182436319357357,-0.239560439512675,-0.202275360775832,-0.275810002066886,-0.262552652877604,-0.428091621974036,-0.126610579093284,-0.218003740501971,-0.22185064979899,-0.271266361576615,-0.428695711695721,-0.224649772456435,-0.321848881844538,-0.0325899868490017,-0.355302845683207,-0.219462234968135,-0.503535056007169,-0.232018750475339,-0.250687747208049,-0.256701190158646,-0.209507721536826,-0.227367662366383,-0.272686622368622,-0.190330576324896
progressive,-0.317512675970288,-0.0332112705299545,-0.371959884233575,-0.258666554961726,-0.194795974104422,0.0568353052635161,0.048979002104418,-0.138372288291907,-0.358597857313868,-0.278826185287573,-0.141389538355671,-0.360564140882947,-0.471567448419147,-0.332155580256974,-0.119426988455157,-0.457429558182925,-0.406058047482017,-0.364928787018335,-0.424092555128189,-0.388532187778439,-0.0940057949245745,-0.211955427934847,-0.403632873959243,-0.320031830216682,-0.246350759713315,-0.281659344545715,-0.179485217184614,-0.436679410904133,-0.247651935533386,-0.242475911081535,-0.354971778271241,-0.319938398808103
progressive,-0.289542174454878,0.25089366943223,0.14584350603408,0.0834353676989799,-0.241689841954669,0.189535252930677,0.335347105903048,0.342490444241314,0.034526687337078,-0.142345740031623,-0.132550057625226,-0.0862745930934414,-0.17235837564854,-0.188453051700566,-0.408822534612179,-0.180116043886154,-0.021066558457826,-0.0701494970462372,-0.0986374572367685,-0.181898070840461,0.138844287298811,0.306447373334119,0.115920911650264,-0.0760117810332821,-0.209962193696025,-0.0932294244386139,0.265546088437413,-0.140053386155649,0.0325974097095757,-0.10198529702077,-0.172381313760556,-0.100796370742225
stable,-0.179292959808058,-0.424944701442318,-0.08318941558374,-0.0255292685577999,-0.198858770855045,-0.489482292510049,-0.586065465149687,0.161899039312183,-0.23996293999273,-0.20962089917617,-0.210901491118068,-0.195299467783812,0.0386883489656071,-0.108396579888441,-0.157627174504865,-0.24292436582343,-0.214950856580564,-0.237176377416977,-0.139467676399158,-0.168231085338276,-0.500225340715922,0.142241973131493,-0.0798663982534919,-0.261274118761189,0.0858227612979464,-0.16317752504193,-0.208521655674078,-0.15581089427938,-0.214147216200238,-0.24711298451501,-0.146806829312603,-0.231815095114765
stable,-0.0715667634351857,-0.118431154574347,-0.0418366764603662,0.186232142118903,0.0361869025527135,-0.266515551946059,-0.0713310801463745,0.419377629389665,0.0561520352276712,-0.0412934820893548,-0.330334789647224,0.0383494878557366,0.226202894135786,-0.0837360907027577,0.019499998335238,0.0327147859558228,-0.0245807032260152,0.0119059898070553,-0.188004764121492,0.028069324406179,-0.232900693193722,0.367305291404137,-0.144952132185522,-0.0332010225571884,-0.0606716139830002,0.004597754776997,0.0282008848456475,-0.0096226249040329,-0.0396614640000455,-0.0694169622584802,0.0572140872265093,-0.0336181410204032
stable,-0.0952993970484221,-0.347058838563095,-0.177054083753257,0.0056409886453333,-0.240500245601804,-0.527492734897249,-0.436022087872669,0.301500983975279,-0.240749363545563,-0.220801055518924,-0.407033203859439,-0.15494634070563,0.161115979027829,-0.190342404147646,-0.0316585099785317,-0.228869356710632,-0.212823106932371,-0.155885252553069,-0.12506413377985,-0.181411204132497,-0.447504930117367,0.2380450867264,-0.439753927894029,-0.245716367394043,0.0028833676928981,-0.051822077068271,-0.0674167049223059,-0.123096098243969,-0.153989010343319,-0.178412912927775,-0.0671159781210737,-0.206246006467766
stable,-0.0547147168918845,-0.242361656693996,-0.168189862712015,-0.116472814622543,-0.190755967430232,-0.269368406370001,-0.250260779738467,-0.0306783611301282,-0.220642566729232,-0.191519180990223,-0.44568086304762,-0.142048094256973,0.0090636567278599,-0.0560457982315987,-0.0693412891143702,-0.172968613930453,-0.162027722799139,-0.267074328277425,-0.141979256569261,-0.110414869313933,-0.180815562340853,0.227277244848393,-0.208651519663026,-0.210655497466668,-0.254947103778363,-0.140447432699889,-0.0390967784550568,-0.203582422608236,-0.228049258071093,-0.186090073302365,-0.100927105138235,-0.0769204401734092
stable,-0.0752619653862144,-0.17632149499941,-0.0580158611718796,-0.0438919139606128,0.0748001347495117,-0.173347040507344,-0.0634939587236583,0.294259321736901,0.0311607679124114,0.0092889048225169,0.0037535889279798,-0.0009732220101918,-0.0737867552655443,-0.0667903979173037,0.123543182017302,0.0613372369935802,-0.0110622980426427,-0.0092486031772065,-0.101123166759196,-0.0318430708921583,0.0156537906202659,-0.0404653708262201,-0.209097758652098,-0.0115726759236296,-0.250408491930078,0.044576282903524,-0.0224512822356598,0.0550351617591679,-0.0863922775718522,-0.004949624596601,0.0222724649173715,-0.0489395101161571
stable,-0.355826824891159,-0.15014376890521,-0.149343833868233,-0.198622754102495,-0.191608967826556,0.0003246018245504,-0.0062786686984382,-0.0527599164274931,-0.176105071000708,-0.303622190773302,-0.091818827928546,-0.320102969017323,-0.222066628994203,-0.196871938161136,-0.226940905549539,-0.151579525400493,-0.235515683811665,-0.311303801599436,-0.0746061644421006,-0.282517623890254,-0.233883421261222,0.0750714672880537,-0.195066653757229,-0.224637852685131,-0.0528817779632551,-0.243109099360233,-0.182798727743495,-0.221924996794662,-0.292372371493819,-0.188140016938798,-0.257130657681942,-0.342048890127193
stable,0.149547901608614,0.144917762678715,-0.0240109636388168,-0.40866421671853,-0.0522212978596516,0.340570651983031,0.225948458547141,-0.510777080328485,-0.138164617235003,-0.0673031889951164,0.133749255628542,-0.0400643789206445,-0.534814386128425,0.0541415287820224,0.0363674049050084,-0.0483896560046608,-0.0053211813007982,-0.0920113826444313,-0.0213057104876513,0.0700742347450402,0.2876924006425,-0.401670486398459,0.0897541166964193,0.0777073409511405,-0.385343589928789,0.0675903873333537,0.0149600803845267,-0.0043092220408252,-0.15916770312363,0.0050615410704861,-0.231899704319958,-0.0218101862109787
