group,CD273,CD40,CD3,CD269,CD45RA,CD7,CD49f,CD194,CD294,Podoplanin,CD5,TCR,CD32,CD62L,CD27,CD95,CD1d,CD58,CD96,CX3CR1,CD11a,CD79b,integrin,CD54,TCR-A-B,CD309,CD184,CD2,CD226,CD29,CD303,CD81,CD18,CD204,CD49d,TCR-Vr9,CD305,CD158b,CD158f,CD337,CD336,CD307d,Mac-2,CD23,Ig-light-chain-1,HLA-F,Podocalyxin,CD224,CD258,DR3
progressive,-0.0284727026870826,-0.0453764608854212,0.0358069646546821,0.289166925213471,0.114646040814825,0.0916213808246732,0.196747112622421,0.0621287196869206,0.176226600079353,0.0526909724411897,0.362685492019858,0.0751363160285795,0.136531040322442,-0.147724705118139,0.0081489536336336,0.0033999980439589,0.0992443433546254,0.14001095624335,0.199136599863244,-0.0009621981710296,0.179453358213907,0.285654876188345,-0.0288515211171102,0.0847556334017273,0.149790835474806,0.0979356682356626,0.0672783922520697,0.164813558905816,0.225912502175407,0.185326980899032,0.0333821495184836,-0.0169669830589602,-0.0479852438891929,0.277510724059254,0.0536520185475825,0.126546880307266,0.0696766159410931,0.376948682468299,0.236999585572577,0.283649161928875,0.133538054962549,0.0768227704195024,0.206255778370493,0.106038940858324,0.143784866215269,0.0114152245509397,0.161236988371417,0.0326893314854983,0.148356930526691,0.0573650677563364
progressive,-0.0323421827101548,0.0602328142003977,-0.152844431706418,-0.156932685738621,-0.0912566976540787,-0.103535941490674,-0.153681140603491,-0.213067834910847,-0.147042660423138,-0.127546721054652,-0.279075261244811,-0.15675317674475,-0.0720613290494962,-0.133249731134643,-0.1686199027393,-0.190312850362216,-0.209257554953504,-0.136387544555073,-0.215850344239511,-0.118033128305801,-0.139683286000938,-0.218903995661502,-0.150381037995573,-0.0323009262286035,-0.213021568975588,-0.0126307514338823,-0.0370108340161515,-0.114101368403819,-0.12804524793007,-0.133914644275118,-0.0511760207248599,-0.0572836395159554,0.0589045921840386,-0.10125257501723,-0.13507296846127,-0.094950970875766,-0.11575762821687,-0.179660899588381,-0.322584689383548,-0.324182316338454,-0.233686293042226,-0.129753977091784,-0.0928776363288106,-0.0271625287377375,-0.202578586711833,-0.0691682755891261,-0.180023156120436,-0.22010260066981,-0.126652945857517,-0.213410387785281
progressive,-0.0911319790880366,-0.0797711569514292,-0.240965443574618,-0.195573496838118,-0.429210246884369,-0.524540247226043,-0.135424742870608,0.228244350366517,-0.260333257248185,-0.242327173160685,-0.0609438152410651,-0.236572536856864,-0.23142043647893,-0.0985178223760222,-0.218575882085294,0.157578920419408,-0.22491047996522,-0.163300261415308,-0.190831150847872,-0.250151266372842,-0.151436936942243,-0.215412217520072,-0.383301811016207,-0.194666782653223,-0.215606958404403,-0.23941971274659,-0.0170194988199484,-0.130174099268387,-0.197305778343509,-0.186672534547851,-0.154960565224895,-0.245889761176626,-0.14412811290777,-0.187013148594583,-0.119838201246491,-0.214694130418931,-0.290808144581296,-0.0368677988483364,-0.211137990549627,-0.22152641900187,-0.226590042734574,-0.241193770955727,-0.227663844161234,-0.238437798366264,-0.277547278123784,-0.171088393157235,-0.233732058147126,-0.119837122922386,-0.242776345302718,-0.132469539699841
progressive,-0.138899288685846,0.126348082455829,-0.116081994809325,0.0229924156153103,-0.279175812768722,-0.129492178111661,-0.0650236517858605,-0.198863083424834,-0.0764235192177096,-0.130208572232265,-0.157747349137319,-0.144990911073964,-0.0905764755909459,-0.0617054409820719,-0.161248635366452,0.0806189430442556,-0.114982953777742,-0.0989406486686244,-0.0363495262205345,-0.0992864526997607,-0.128165449139651,-0.034172912734583,-0.0132093488153393,-0.0795965778981774,-0.101484224530553,-0.0577422741619784,-0.0245968523133839,-0.147026840637458,-0.093697108152719,-0.0631344663318601,-0.159488906201022,-0.0775110013995174,-0.32637206400596,-0.0792989969597032,0.0446197509148222,-0.0218936297202019,-0.190558588698641,-0.0432482189876549,-0.0567472766014992,-0.0534102451123728,-0.0821570102836466,-0.0818229783036449,-0.123598766253481,-0.121786986472087,-0.0752083877934873,-0.109110036569824,-0.113050008407577,0.0010798102207611,-0.0766162856404499,-0.0577626877551337
progressive,0.188904443958676,0.527575590056668,-0.193783262702383,-0.0891530021143462,-0.333854143621031,-0.0261196896808945,0.0003086611790206,0.223891331299611,0.0216965822926697,-0.0540123688324676,0.240008715328741,0.0734291275505382,-0.160859043121607,0.113596580093255,0.180610797051462,0.0555312938265641,-0.0694627783159639,0.0371125420112575,-0.235497130830515,0.115652111435737,-0.26124237424718,-0.154703866311649,0.120537547918192,0.0601728455862081,-0.0695780083634814,0.0211645244914122,0.168947725941095,0.0978274307181995,0.153304826335998,0.0338167296723498,-0.101818152549583,0.434339878779736,0.130408655922377,-0.0462758267990585,0.352476437932977,0.121377130617318,-0.389213588281198,-0.478653439212058,-0.107433451979712,-0.190685635491798,-0.171345320708035,0.0397104791782218,-0.363332128794477,-0.285357728792023,-0.157058431190405,-0.0617549260387124,0.127752121146494,0.0198473463834787,0.0738636795426746,0.0356694817139916
stable,-0.287904509859422,-0.222521981239326,-0.380329364930046,-0.359164677771535,-0.416847027751263,-0.467297782945756,-0.0717165363157365,-0.0976665882723553,-0.391204003347701,-0.279409243412045,-0.0029753423626661,-0.329372511465307,-0.384328087661045,-0.143661510489952,-0.023516112848742,-0.0413096245937759,-0.342962300621111,-0.3097270739361,-0.215135893270516,-0.379839630377761,-0.0963220306060858,-0.338064854232447,-0.149795014998775,-0.0897830853710381,-0.389818927279422,-0.324012621382137,-0.158403163998345,0.0077995702837963,-0.219567987044013,-0.101903883158098,-0.214468331410917,-0.335207894515489,-0.222348045003514,-0.252709352429354,-0.202552554156656,-0.318196164849223,-0.239514419913699,-0.15879076537218,-0.36802952578741,-0.341588827736764,-0.2288316037444,-0.280484850494389,-0.281010853761928,-0.192887782085607,-0.298058416349254,-0.353769687395544,-0.33124808526089,-0.265192827847521,-0.272585142578081,-0.278582505120565
stable,-0.161725409586741,-0.0750127994988116,0.163949347839274,-0.163558744448521,0.0388448870628525,0.191071096487303,0.0589778280015037,-0.366620358308615,-0.121085415311812,-0.147042644877859,0.0589250067166674,-0.162704078458617,-0.205264327808438,-0.0504054019621418,0.143199534343916,-0.512285517576398,-0.221491104168088,-0.2965900711695,-0.174383092752383,-0.202102005010869,-0.364866580838297,-0.16809077036735,-0.298643020830781,-0.397295495348197,0.033061706265275,-0.15326998082601,-0.102399587015974,-0.285939989498656,-0.165124092813217,-0.140903033042136,-0.0883820498394623,-0.142033504185675,-0.353332250132274,-0.175176879877621,-0.201465086525349,-0.182129226101497,-0.23577708277128,-0.111497628513669,-0.191018814293109,-0.16689698061859,-0.173703115551811,-0.175522805892093,-0.1942671316574,-0.0403211121474763,-0.184085240207896,-0.167083912030894,-0.185624809881677,-0.284338980724613,-0.144232622189079,-0.138989754836832
stable,-0.0556432557750493,0.002160814767829,0.136385450428121,-0.0710724892734937,0.431299463954033,0.307159489018604,-0.318878014247884,-0.212236402472636,-0.0565442459913458,-0.0304896065773992,-0.150271903726858,0.0181896772205876,-0.0947021492996581,0.249833575215003,0.144356328984738,-0.489213808793606,0.0215341567770565,-0.148702513547297,-0.154610459976161,-0.0165105940586969,-0.42803180869175,-0.0246023340365046,0.0378310172259612,-0.326552950621462,0.231519976575356,0.043611209518221,0.0129962191673962,-0.543255116127519,-0.261765143038654,-0.412424380016484,-0.0598931853181847,-0.0523517206340774,-0.445819599167653,-0.0087100185831959,-0.267339187137655,0.039982152091603,-0.178127605199999,0.0110347147545265,0.0052240079346447,-0.0020448798405435,-0.0464810145011626,-0.0364078653871429,-0.0790436967466776,-0.0255774358220282,-0.116491317345433,-0.0636863118620836,-0.0058259446218388,-0.210175892331116,-0.0379048280671341,-0.0067886560550771
stable,-0.367159592186131,-0.109067711797457,-0.357767435011817,-0.297590020436651,-0.338260287827929,-0.495208077921993,-0.19143471623203,-0.0102724599557575,-0.346835770584566,-0.357638008696635,-0.244608977989305,-0.377772637286116,-0.351782812759667,-0.360387198055997,-0.350799551462653,-0.0382355889629575,-0.35334171829638,-0.35323281717689,-0.37124804061238,-0.37864005283579,-0.1079940032132,-0.365623198339357,-0.201347879950434,-0.231560918278038,-0.433096809520729,-0.100681419312147,-0.359496021100826,-0.0060620843456628,-0.283048154694125,-0.178603578948279,-0.370363596714929,-0.274748211695239,-0.00336512387623,-0.372783393078207,-0.0614919619175154,-0.378040153673002,-0.14642987385433,-0.0324033148207972,-0.400518731121036,-0.353746283473504,-0.350615651598441,-0.443698830153367,-0.299842116487263,-0.360374223221802,-0.352396837511345,-0.286326471252709,-0.362852932763232,-0.260427697277801,-0.286848815081233,-0.357829317651432
stable,-0.25777107656467,-0.107136456062506,0.243457143092659,-0.208921814933727,0.0251891211324871,0.182905049330516,-0.350411816600029,-0.303684539415059,-0.306757902710189,-0.354744079877681,-0.0602621738974666,-0.341699036782276,-0.299404732894381,-0.0308939436937678,0.0090034349865333,-0.22417717806167,-0.280389478269491,-0.35673777406866,-0.386902537235511,-0.30188374117511,-0.324003218220557,-0.263263039829663,-0.169573744619166,-0.231550332956632,-0.0490718952153995,0.0293211246283834,-0.29890424332555,-0.164785287653365,-0.453476500567427,-0.491199495044963,-0.297920097916718,-0.128366652961468,-0.246762920820887,-0.282738276810772,-0.281043621994925,-0.222627524730092,-0.260316148558422,-0.178483401318129,-0.346928018238234,-0.275229430432976,-0.395814074048864,-0.290134302565422,-0.342917622182937,-0.360759685282988,-0.25676933676346,-0.361789264439571,-0.318255558117292,-0.368446455298763,-0.358379356674316,-0.339154855994708
