group,CD273,CD45RA,CD7,CD49f,CD194,CD4,CD25,Podoplanin,CD5,CD185,CD107a,CD95,CD141,CD314,CD66b,CD278,CD58,CD96,CX3CR1,CD11a,IgA,CD169,CD309,CD2,CD226,CD29,CD18,B7-H4,CD26,CD307d,CLEC12A,Ig-light-chain-2,CD82,CD101,CD88
progressive,0.162036578488002,0.0110913548691856,0.0122815547829055,0.426874628738264,0.179831454889095,0.436249873763083,0.199323108055063,0.207630348422969,0.353754986392104,0.255997610423515,0.126240442369869,0.395844936677883,0.256746830170947,-0.0042804150392013,-0.0793148962867422,0.255279130237498,0.183564327103799,0.119807280202418,0.0529952798573531,0.231590146440168,0.0099146535984355,0.0941769513696051,0.0066373947138942,0.184275932924759,0.297543719995546,0.335954576570852,-0.100223152845865,0.140233889700404,0.0320847151260382,0.101947876505481,0.155715278666185,0.0027335316712956,0.0761733991429894,0.175944429256593,0.195465643930417
progressive,0.184956857373698,0.101699097940465,0.0266215985889763,-0.148165389771423,-0.0816469078812654,0.153918670889256,0.0307899838506836,0.181660739546211,-0.0424533061293589,0.004789486008603,0.372869907505393,0.200850580255738,0.231119701727987,0.085011245633018,0.361990185543892,-0.0296312316208927,0.239694816235335,0.0639737312578683,0.179309689112851,0.104780043570173,0.154191681911214,0.160079303102388,-0.0434872049248954,-0.0831356578977721,0.0262920748325274,-0.0819294280468245,0.127089038487927,0.112017883414045,0.179849911991101,0.0866632367879788,0.368729052412149,0.160227895179432,0.126771530697029,0.105188460019487,0.213819441663166
progressive,-0.209115508008457,0.0658588008576659,-0.126035085661235,0.0620645489453632,-0.450105791301342,-0.183716931834904,-0.377489446579864,-0.156000533744998,-0.222925124686071,-0.134595328371536,-0.118706737361759,-0.323314767896959,-0.0946557485007356,-0.123904363155901,0.0859841075354453,-0.357455626467005,-0.11024904362539,-0.0833406027264913,-0.0928148009254317,-0.0681403137782538,-0.129196187340974,-0.130569558647727,0.0140240465440668,-0.0390720013434995,-0.0473045665829026,-0.012873674343701,0.0583209205722099,-0.181653739652396,0.190908394692656,-0.106813567057171,0.0849606893773391,-0.149494529800055,-0.163389949764562,-0.0964917155837309,-0.114489342375584
progressive,-0.138838412762995,0.184650448774681,-0.0279064204397775,-0.103327783367394,-0.0178412842380413,-0.129742829586822,-0.147304491400638,-0.147188956718534,-0.112138717783814,-0.124765739310106,-0.177087118752693,-0.311316877540979,-0.150120714245992,-0.0859549347157188,-0.274071656734194,-0.348061233391821,-0.175524513545551,-0.104420295194228,-0.129397256697587,-0.19794249205602,-0.200406460337708,-0.0459270592692357,0.0610990311964874,-0.157443660671424,-0.138936334931454,-0.143565105248516,-0.235343829820529,-0.0831569075261034,0.0269201699527665,-0.169090414262123,-0.182836990499641,-0.164525281450891,-0.129058927303474,-0.188055041867708,-0.21236737644175
progressive,0.0170318583891665,0.208675512463086,0.225050217250551,-0.0870424524838236,0.19094579420301,0.055177786561652,-0.0298037894147877,-0.131049438892947,0.0735061494742315,-0.0508487663771938,-0.126725458144411,-0.286431310256511,-0.0347250563441605,0.170371056812237,0.065519219807592,-0.126710980829429,0.0650858889848011,-0.046764066327895,-0.105643755638414,-0.0653260151895547,0.180004565232232,0.442982240343576,-0.359732390364705,-0.24856976213559,-0.173679611954556,-0.130947263439282,0.0372305523148129,-0.068564599828672,-0.167064981277548,-0.0491889554875321,-0.0458998492442884,0.102040233134631,-0.0369077790498378,0.0267261909368354,-0.0334723188666036
stable,0.023295750334859,-0.249680224464372,-0.350756050420726,0.325561838784966,0.109207084494193,0.120614812923972,0.087527210837322,0.0090807767102628,0.216291735350702,-0.0625706219890388,-0.0595350888856179,0.261089289431961,-0.061907627938383,-0.0076073637390741,-0.200124268318441,0.321000011783008,0.0321404021800521,0.0782222095550485,-0.0581314067980391,0.343195150612024,-0.138066026560941,-0.0830554107482405,-0.0003980182999067,0.305547844965075,0.195970371642968,0.358796820914122,0.0261901079994108,0.0291631282357787,0.0314587152704464,-0.0558128188405345,-0.093933548751608,-0.143564384344123,0.122033193599838,-0.152405532476031,-0.0507831751189058
stable,0.0758879266030788,-0.388551727663208,-0.435344200387025,0.540405287434581,0.443768079258746,0.128325856813653,0.0338396660404703,0.0438827499837259,0.153667191760513,0.0877335859927326,0.100590031667105,0.435637900550194,0.0248815545811526,0.0178171602533673,0.0397819010362237,0.169309922009902,0.162684045311042,0.166839284319201,0.009093683739809,0.347571988298842,0.0302063011875952,0.060426281712568,-0.0978687938483777,0.438655413516695,0.264507552380858,0.535779535160825,0.261138589914988,0.0518445276204843,0.103098742912148,0.0823424107592502,0.0170699113952569,-0.0094552508376285,0.357062830027138,0.084911138774095,0.0594330548466911
stable,0.0154434256775523,-0.516888048034953,-0.475977821003345,0.370866901578922,0.212047475062166,0.0640280921536407,0.0930676759784093,-0.0227981406255728,0.171510576211779,-0.0896458940687833,0.0609738398919769,0.518950472842646,-0.0455716366802011,0.0397478924992121,0.0109236182324374,0.174115049155747,0.095275919361776,0.1069068400185,-0.0410262215411317,0.43536877291951,0.0014805541039914,-0.0150712314137734,-0.0670647881601261,0.471001692553926,0.23640391277255,0.41649654798216,0.404975519980978,0.0148371462897933,0.262408376748618,-0.0182665950577262,0.0634981377330758,-0.0626101470915134,0.253667179847656,0.203567384969821,-0.0406425950172184
stable,0.100207006622216,0.0444204650477918,0.186702327520189,0.0965714181175144,-0.143974223947736,-0.13448021519103,-0.168984189935032,-0.0272434751390799,-0.0360817000516554,0.106466826920731,-0.0196266258565151,-0.101707356277289,-0.118618100503059,-0.0818438994751368,-0.103522712792055,-0.226398798851217,-0.0109414367512382,-0.0570603280199073,-0.009604025836299,0.0937085166968599,-0.0570217160509589,-0.0258657987013154,0.0488154718323056,-0.0088448463132319,-0.0126869029969757,-0.0429606113687874,-0.055983763450234,0.015355666485162,0.148820576407187,-0.0153302082546898,0.0187159386360372,0.0278419071410731,0.0347187766365808,-0.0350198875281664,-0.0358610645252393
stable,0.0395057771142728,-0.104907259731696,-0.421831914736666,0.137883633684524,0.127514972282605,0.0571434394081077,-0.113336317388904,-0.074374929811091,0.0229048744776171,-0.111633976177171,-0.0483344036531126,0.245368754235031,-0.043640785397249,-0.0785285141984594,-0.067481588074895,0.204793674132132,-0.0786205077532478,-0.0113701133390906,-0.127182862439112,0.197623999489016,-0.0679700300644765,0.0810659649838796,-0.0826823080095103,0.182046902183669,-0.0294143497660408,0.29108177383754,0.135146186555582,-0.0350225191696111,0.0362819687259629,-0.132768028908465,-0.0620269766901775,-0.0543892763404897,-0.0625143748640657,-0.0757522445011299,-0.0768418984751374
