group,CD137L,CD30,CD3,CD34,CD90,CD45RA,CD7,CD49f,CD4,CD32,CD152,CD95,CD1d,CD58,CD96,CX3CR1,CD11a,TCR-A-B,CD226,CD29,CD303,CD49b,IgG-Fc,CD127,CD15,CD71,CD26,CD158f,Mac-2,CD85j,CD101,CD88,NLRP2,CD224
progressive,0.241928928795649,0.294253479544418,0.0667191094614333,0.421907503451806,0.165502142426026,0.0522863945417896,-0.0176976048026081,0.415600589026793,0.300792604744064,0.230142995125139,0.181799175920193,0.297187449915869,0.300595588426188,0.392319102014174,0.28156058421846,0.252470988188943,0.222498138015555,0.252191197308668,0.352225053374567,0.421012354004978,0.350094851257255,0.418996675518903,0.377665800626091,0.0690950219023655,0.0293774690689375,0.0990612234692801,0.280140860208396,0.220918245130756,0.42456399973308,0.2791919721985,0.28859793334808,0.251745818646061,0.25025469037706,0.290919697172205
progressive,-0.0047021045066374,0.038692037293559,-0.23301606314679,-0.0002849256109352,-0.122199604675111,-0.0565141598808019,-0.120760127520837,-0.188283675344668,-0.0290286886026434,-0.19827801665051,-0.0813596501193544,0.0981891910868896,-0.0234076152962585,-0.0040459154141342,0.0145515104184564,-0.0535095638697531,-0.0013799569533191,0.001732050029357,0.0056166367910717,-0.0464749651258527,0.0265174576461065,-0.0682122158222071,-0.0212952034130089,-0.0679966675379484,-0.0635434270674687,0.0324594599501792,0.133746246878914,-0.0243145889444544,-0.0840276668663484,-0.0253145938983126,-0.117955033084113,-0.0662677495971365,-0.10363942020185,-0.123577486166495
progressive,-0.184952926311291,-0.0926601778858608,-0.284664525787833,-0.19735938010248,-0.133947538721716,-0.365607605805831,-0.364394446453585,-0.244890452808085,-0.149898593747884,-0.293917950772629,-0.19513180725902,0.298273964563333,-0.145122454389698,-0.143422288391626,-0.162576774946148,-0.199328455323538,-0.0821146240671814,-0.261375553823491,-0.183231532190043,-0.136443252897824,-0.0801264992775551,-0.288628647360212,-0.133199334461375,-0.363441587324066,-0.233039778138204,0.322578791199621,-0.341261832833247,-0.188716656890713,-0.171712748633885,-0.15581887956707,-0.236027768618147,-0.239204671499767,-0.161010815224891,-0.0422771554666935
progressive,0.0329192341870815,-0.0438200401968388,0.1538173693803,0.0127364908472707,0.0914159175781506,0.208672725921732,0.312182746308111,-0.0038626196985207,0.0494882717226569,0.0497977374676745,0.0900538574597605,-0.139976573103279,0.0350890891975938,-0.0125228515612385,-0.0285602259247036,-0.0425219489332678,0.0549877229461991,0.225916968753515,0.067564144115115,-0.0269916836147756,0.0010885145101963,0.0369383029739262,0.120304773392208,0.101550014672222,-0.0622932554694789,-0.0410322282917769,0.0032864119190766,0.0186101013941998,-0.0012812854125844,0.0129299216780052,-0.0408326986583952,-0.0448606427910943,0.0447477192955836,-0.0630062498085933
progressive,-0.0248686621118187,-0.0074278613387572,-0.219524055104429,-0.0539517425850776,-0.235474785564972,-0.384339079042749,-0.15758466807478,-0.118834553922951,0.0315478376081194,0.0221405372693331,0.0982302859507124,0.274005622825884,0.172230478020921,-0.0506978319321838,-0.0974406641015501,-0.0455318408804157,0.259515151938108,-0.0455124965101626,0.180100756513132,0.185004663426468,0.219826023765435,0.119573496425677,0.166002098345634,-0.1723432309583,-0.358641904972994,0.504852169092625,-0.213860507711718,-0.117447387089443,-0.07850926681079,-0.0068665070915871,-0.116308423521413,-0.159950748827497,-0.072517344539939,-0.0861906568802781
stable,-0.202401780341002,-0.124668964928219,-0.0547667837925009,-0.0847275310400572,-0.149782201112152,-0.281607015347039,-0.412955915703062,1.45150977137357e-05,-0.034415063665007,-0.18530062971067,-0.21958202996514,0.124956847561192,-0.198494157850094,-0.123800509864626,-0.178845624143362,-0.189101941799051,0.0141850347804183,-0.176151881821873,-0.0984469464100758,0.061072953305722,-0.136387554773854,-0.21342742729027,-0.0493934489018882,-0.211784066730469,-0.077972614301329,0.202643911428261,-0.196632421229652,-0.197481138744663,-0.170805149531822,-0.108782637771673,-0.233947658061107,-0.196557429026573,-0.192080264822789,-0.0985646495392812
stable,-0.151779303197099,-0.0224865758704441,-0.236327564968014,-0.112387076794003,-0.0976524323566496,-0.104205617798557,-0.292519882567489,-0.187571059287184,-0.163635526946749,-0.0692623482693557,-0.0647227690104768,0.276901075120233,-0.0428937202493671,-0.0417993032214985,-0.107410121906581,-0.121758816950633,-0.0646070536550944,-0.147031349557215,-0.137761402117301,-0.106361156891886,-0.137313470036592,-0.111816667657833,-0.043045755906136,-0.410970727399003,-0.0620044672307939,0.312174796958517,-0.283819348656274,-0.105513744620689,-0.0757122824682505,-0.0675462491886618,-0.0573845085407595,-0.0665733270423936,-0.084352520512955,-0.0091984050663406
stable,-0.189514748282682,-0.129538770957545,-0.245411506043493,-0.118221880126357,-0.167811283129305,-0.424778993334301,-0.464935837194591,0.0740900510607474,-0.151306990098274,-0.174172581522973,-0.173717698899557,0.357462061248322,-0.200082139182762,-0.146131391208434,-0.10854585703141,-0.218133012493611,0.161278185789546,-0.303989427386031,-0.0465182097207736,0.0965912075218767,-0.195987858632372,-0.172911801309396,-0.145841792207353,-0.0412854598450276,-0.207936492833155,0.0682879903883856,0.0370692092724893,-0.246035650911792,-0.0921045431034344,-0.193532612813431,0.0334407337590789,-0.193076806641725,-0.25845214100566,-0.0399755736474525
stable,-0.184696800666606,-0.180928143055365,-0.383546649619243,-0.0432797345400179,-0.132115725088205,-0.415349257668706,-0.610435392527156,-0.110069379830672,-0.0626688292342818,-0.205047011978174,-0.204969534981094,0.274068239495609,-0.187082132972025,-0.180884755750827,-0.253982237966143,-0.20809139312159,0.0441751532270634,-0.370595220145378,-0.131364760377172,0.0535402487563406,-0.318500365583385,-0.176451601934714,-0.119791887459246,-0.150821699555949,-0.0489515374198182,0.246271758196516,-0.179954564492296,-0.233371998473519,-0.206765131001223,-0.184878301276243,-0.188421478648393,-0.174808716841674,-0.199173416331984,-0.0851759319459221
stable,-0.374707553858277,-0.389733372822656,0.0023752388082515,-0.172206809169767,-0.377507775053849,0.0185162300785638,-0.0740342822608839,-0.386307134010179,-0.0688756320045774,-0.262155276978887,-0.390070516707177,-0.163764672713365,-0.364911189299202,-0.383048379774476,-0.296144869537552,-0.367737010501634,-0.219359267196691,-0.177714322611015,-0.455160757095586,-0.321517333833087,-0.285404202839085,-0.340599987509321,-0.241280119087089,-0.232791497057553,-0.301740902772499,-0.0093945265912384,-0.357523131971687,-0.384026172833931,-0.402472057092572,-0.366340524784129,-0.290465488868458,-0.381938474264585,-0.355887140058559,-0.32763859699914
