group,CD30,CD269,CD45RA,CD7,CD49f,CD4,CD16,CD294,Podoplanin,TCR,CD32,CD152,CD1d,CD66b,CD35,CD366,CD58,CD96,CD178,CX3CR1,CD11a,IgA,CD79b,XCR1,TCR-A-B,CD122,FCERIA,CD2,CD226,CD29,CD127,B7-H4,CD26,CD204,TCR-Va24-Jz18,CD305,CD158f,CD336,CD307d,CLEC12A,CD150,Ig-light-chain-2,Mac-2,CD85j,Ig-light-chain-1,HLA-A2,CD328,CD82,CD88,NLRP2,Podocalyxin,CD224,DR3
progressive,0.130629894379188,0.270505514084236,-0.0271339409596881,-0.0184088672942274,0.0931655864150041,-0.170445974282501,0.0233847676831929,0.0178786808160769,0.0848335101440961,0.0558581377715995,0.100331585588226,0.0053759994972867,0.0305239118002281,-0.0037340346297247,-0.0223524729892782,0.165384752393357,0.168055572176317,0.0098785121469004,0.03984771129336,0.10121913292909,0.0222336909771586,0.0112941937193604,0.154421112300521,-0.0180418366520022,0.167157451941144,0.0856942116341979,0.0586525545519806,-0.0433932634605449,0.159416558286187,0.121490550364576,-0.0933279853285514,0.0565426263141903,0.215777650983777,0.018645110554927,0.0576912639956056,0.0094482262896924,0.0353308410454743,0.0262238349292769,0.0199092050875645,0.0940738128929754,0.125136787673092,-0.0650178733923168,0.126515670711724,0.0599929850487616,0.0084635261299773,0.0292486714963902,0.0781771717739547,-0.0186992979246611,0.0128938462831605,0.11151054585919,0.0599206582406391,0.0578683314017964,0.0593054713281149
progressive,0.0653681879865259,0.0534307213526969,0.173065217088415,-0.139798621880069,-0.247008818246091,0.0672640293280743,0.445398679522081,0.0839438605230491,0.238068246870917,0.158283677432343,0.313949000688852,-0.0619374988969024,0.10194644054873,0.466307799848894,0.444332259932196,0.0320909961905872,0.212511780476123,0.0444306118110202,0.10659301145166,0.120978016872662,-0.0434642492621848,0.0802209518560055,0.0460200245669972,0.0509271437557411,0.116250257657964,0.0722454242643069,0.125759226920416,-0.218209057099944,-0.0858677060981594,-0.103592134216983,-0.0883941750075099,0.101705125893387,-0.0383721408064274,0.0966588687459481,0.0494409194340435,0.445112366147575,0.0241122605994029,0.234044969132998,0.0587478161657782,0.437062973958764,0.0206834558050488,0.0662253801500937,0.102553798953715,0.100950305083361,0.168719618281177,0.164303643888525,0.074749572407725,0.184147223129367,0.267484734078674,0.174064845840997,0.158078057315318,0.188929610816391,0.0661014513600242
progressive,-0.260151855042313,-0.369346655489915,-0.237111821859908,-0.168082666089894,-0.271659760048316,-0.34118789258923,-0.251578631848192,-0.342442940226221,-0.333226843047543,-0.368567118507561,-0.292542961626536,-0.360691556855775,-0.253613671463386,-0.288393738394632,-0.204780743359076,-0.253068079592792,-0.254619978068058,-0.32883481025502,-0.293542893933578,-0.270417642260953,-0.398006979613285,-0.348511351257032,-0.206326045296308,-0.27833426563708,-0.16087817232131,-0.304368474657716,-0.38178969611589,-0.318448750721781,-0.387961539054416,-0.344481915423315,-0.310521416255951,-0.320914091200628,-0.300647570605872,-0.346904963530133,-0.274868806115427,-0.159481923171053,-0.28137304909615,-0.283535440034527,-0.395408406844198,-0.171061852713436,-0.295358183310474,-0.275053315714739,-0.29425431294964,-0.320013122279356,-0.309436545665233,-0.162853405637537,-0.216479762112553,-0.362114961677152,-0.29995261177367,-0.271365469523665,-0.322378536327173,-0.269506932897484,-0.219533879186411
progressive,-0.117549779663393,-0.16606592421907,-0.418161650241393,-0.404860425982178,-0.0664461524259547,-0.10792559409088,-0.238638605301322,-0.122557090289944,-0.195534275719274,-0.193608277604023,-0.243782004185461,-0.17311338260576,-0.174074291525541,-0.176023931843435,-0.193136271070869,-0.0687193732333099,-0.115167259283913,-0.12440611396941,-0.124283314625068,-0.136365059474525,-0.124335148913959,-0.222461303666828,-0.235920812133318,-0.0565547767933414,-0.271718082198753,-0.130365811270784,-0.0860264180434623,-0.126543027235252,-0.212664470501975,-0.0790658209429109,-0.112639019635059,-0.182148890602154,-0.165016152946933,-0.0565599439635785,-0.1599576385067,-0.283187969031877,-0.161798538310992,-0.193197899242911,-0.104586275272689,-0.0892888038110849,-0.130918245368645,-0.219920652799032,-0.15808665342319,-0.186748089958727,-0.181020707465017,-0.170526823960036,-0.21569317086725,-0.0599332724006472,-0.217397494864108,-0.209331712332496,-0.26842298716988,-0.14902734192144,-0.139654292353763
progressive,0.196652628943597,0.0648780551598132,0.0236752339163936,0.223874212264918,-0.407864881957888,-0.136583579291623,-0.0495006270065634,0.0141742715264432,0.076851884795911,0.0649684122650682,0.0662360765794852,-0.0351841895982653,0.121435821377373,0.0533425346169357,-0.18643904235176,-0.104268732436323,0.117018747273433,0.0717918468460114,-0.0267037447083055,-0.0059308775095249,0.228918642463114,0.128857077238997,0.0813123521334028,0.0566227129053681,0.117584340298858,0.275333253345955,0.210113481225449,-0.0274810093900839,0.0275985732469558,-0.0921320755489384,0.152696230622541,0.0936552686065556,-0.153880527401254,0.228653382483701,-0.0080611357007969,-0.0685821852919582,0.0630507025427537,-0.0366106596306755,-0.0345066098319338,0.0323343067550857,0.0954484041090879,-0.0468533193884966,0.154641360602608,0.188426852261031,0.344525257378637,0.129144533794675,-0.0026694564865485,0.155235231480976,0.0368689563899674,0.0556730083188772,0.0051323456220517,0.0353047812615773,0.0117864374359276
stable,-0.382227449818333,-0.364492966916378,-0.313363225080846,-0.366757292220009,-0.249365561602858,-0.345074728431148,-0.298925782877112,-0.400131065967163,-0.338511839482266,-0.401452512818272,-0.410112046487849,-0.360260903149051,-0.438944912162488,-0.224557652154263,-0.227696755247178,-0.302614272823951,-0.440140878838288,-0.338881903793005,-0.360364519571406,-0.459927446570843,-0.328988080903915,-0.302114225211793,-0.402842147105517,-0.380060925943414,-0.401209132184575,-0.363296261551659,-0.311953339818518,-0.249484113948979,-0.347997939306846,-0.266647366392841,-0.36338882525392,-0.405021439905693,-0.349286623745398,-0.348272417006446,-0.371762289927624,-0.264141373022498,-0.519396394130945,-0.267859524227338,-0.395998037731434,-0.216443134154646,-0.401872818108315,-0.26746912075272,-0.36160761097331,-0.395139238721929,-0.300991650599233,-0.34597220896443,-0.325235405998365,-0.367797312322852,-0.388537124716606,-0.378893655180708,-0.451208605020028,-0.426664377221806,-0.373545162496484
stable,-0.156679893328965,-0.205476314982992,-0.0439783416901974,-0.158187076424654,-0.381830830668529,-0.291286007437835,-0.204096437925293,-0.232320907423096,-0.191248816900543,-0.265996253636855,-0.166490168682781,-0.166474868507503,-0.172769634871024,-0.200776414935631,-0.149318567712461,-0.190935901561576,-0.207568847200719,-0.218006929524785,-0.228236480703058,-0.240628649760525,-0.216161483534513,-0.209540144926844,-0.200417572369253,-0.16616706269402,-0.0521394238003544,-0.266739949961949,-0.190069787247114,-0.261815120383627,-0.272820466212446,-0.33556235659837,-0.432836833055621,-0.142067369410744,-0.342035224229211,-0.264761042820252,-0.234701125033996,-0.098011316561133,-0.258419913598288,-0.251600918251455,-0.252381746946903,-0.0752217627556139,-0.23773934311753,-0.151174607743697,-0.164311222735797,-0.182557506400249,-0.120535088081046,-0.168335020010122,-0.171278388584331,-0.192158622059666,-0.201193463167426,-0.126572170729871,-0.270710259573639,-0.186353500119793,-0.189174571659062
stable,-0.208449327620438,-0.305544186179874,0.0592093802985787,-0.260498207073637,-0.376090955081227,-0.334660855361354,-0.183153807196211,-0.28366026922957,-0.255516277689605,-0.339850749065262,-0.246275636334402,-0.267477529925346,-0.257608398372832,-0.223378668991554,-0.169981087998005,-0.266863961150814,-0.330462400242875,-0.348469305561056,-0.227342475399415,-0.262949545075108,-0.405187901565467,-0.270238805174514,-0.266872244746839,-0.212463561545051,-0.0887693114462924,-0.242460421287505,-0.308798217343552,-0.486411615559554,-0.369211549431981,-0.404398815843396,-0.488437415578089,-0.297232339276232,-0.517733038567302,-0.306633919043954,-0.239635493329527,-0.199785409311731,-0.316351004037387,-0.213010474015932,-0.254028679668011,-0.104842980784602,-0.336992186285468,-0.241440366417945,-0.256389545041537,-0.265668191380463,-0.294900334309359,-0.198578913745628,-0.191563197578465,-0.340621682442294,-0.205795983607104,-0.283708727679121,-0.323587323745914,-0.351606608115607,-0.180396529816771
stable,-0.40178034598241,-0.390600365980618,-0.255248189818319,-0.28931611002458,-0.280704929085151,-0.331018618579295,-0.355579022868757,-0.403883246224917,-0.447899147914813,-0.482154168527754,-0.471385819718865,-0.434376388512778,-0.452520015169964,-0.249368423707996,-0.356475766019935,-0.400412032081261,-0.41638311832441,-0.442678840484779,-0.404411772833523,-0.402202888974876,-0.316733534359935,-0.322255332944818,-0.453669213972248,-0.260118294445869,-0.359415581845167,-0.407878952836494,-0.436864504984936,-0.224949481924823,-0.388128496179501,-0.302185228020429,-0.304831930724979,-0.4088434367189,-0.338476717086728,-0.392014767192848,-0.391718170857764,-0.165610148845372,-0.483401523374445,-0.462119533529052,-0.454818782406272,-0.303241420395692,-0.368187571413506,-0.304137638372602,-0.422632426398137,-0.436515168211277,-0.351714804182011,-0.437501382567003,-0.402444171046736,-0.381654612797284,-0.426908642652094,-0.441895384640369,-0.448086054951574,-0.412400259023132,-0.40184974388966
stable,-0.288735298607633,-0.147745668090295,0.0811960933331417,0.0701857283008089,-0.438971735815713,-0.291710896482558,-0.220019627757734,-0.222422846202853,-0.279451644940933,-0.272221874167542,-0.212075295548164,-0.248297138580683,-0.229894382790647,-0.239622742144996,-0.271493317828459,-0.117081639576381,-0.33251881934076,-0.274736263475184,-0.177332464322053,-0.252725200389141,-0.338693976770329,-0.260294230914817,-0.178761085915179,-0.228603774349434,-0.0674012617505371,-0.278247146373424,-0.120484139198728,-0.317256250322926,-0.310109870273574,-0.463777546260538,-0.239679643522828,-0.185926030407179,-0.294371182800869,-0.21295300887693,-0.263160557658355,-0.161473807510361,-0.319109911966195,-0.259039552023785,-0.263944006171309,-0.287125793352466,-0.302115115402018,-0.270827456908489,-0.266364504518766,-0.217535437672295,-0.2341835632578,-0.190787614697094,-0.106219682568311,-0.198696494770879,-0.292997368893756,-0.161208898975273,-0.222960604735326,-0.273961307317971,-0.180174968602142
