group,CD80,CD275,CD252,CD154,CD45RA,CD7,CD49f,CD194,CD4,CD16,TIGIT,Podoplanin,TCR,CD185,CD107a,CD95,CD66b,CD58,CD11a,CD66,TCR-A-B,CD41,CD2,CD29,CD18,CD127,CD193,CD94,HLA-A2,CD82,NLRP2
progressive,0.0796156944884173,-0.0371453371026308,-0.147454219329891,-0.112988529879884,0.164810005362212,0.0602577147409963,0.0708803198824004,-0.0889830957817261,0.253500979754229,-0.0900660854332877,0.0984333806272062,0.125605947310023,0.0139582049088748,-0.0083883742603087,0.0465570966691663,-0.0646147597319296,-0.0450052779266312,0.0293268545255218,0.0650729838011989,0.06092096948432,0.133876064971619,0.0626382147824546,-0.0410424978089655,0.0869018742060005,0.174536965333353,-0.163524724568737,0.0442023093131481,0.235184636749161,0.160263368726886,0.0030378035292225,-0.0161612245535084
progressive,-0.180957163956658,0.0363246819372375,-0.180112047227885,-0.0897860459785403,0.0134895068054518,0.0980166863795933,-0.044002782435829,-0.026981885662436,-0.0029759468449176,-0.227535116955822,-0.0467171715969867,-0.141703588826521,-0.125937923437092,-0.0979789441871872,-0.243094729939041,0.100250264831814,-0.180223890170056,-0.135105408923473,0.0016553623750006,-0.252404780839971,-0.014191635724409,-0.148807724595389,-0.0475405222330139,-0.0230058115479754,-0.142132893518019,0.014817451635163,-0.278523424976849,-0.121658091075794,-0.171407329072778,-0.165421781957423,-0.233535531857561
progressive,-0.0191169256905728,0.0026002090523002,0.0568961990516878,0.0513993377202732,0.437285200140365,0.476740693671955,-0.0625534197652298,-0.392272143753753,-0.0613320596905082,0.103951390592691,-0.11496102841386,-0.0142791940675491,0.0115214374421062,-0.0427717955701579,-0.0164556327906628,-0.427492223956991,0.136932092668782,-0.0221460808169048,-0.0609543854943506,0.0576339779712483,0.18004624454793,0.0279346081972864,-0.0473133730412114,-0.114411656715569,-0.0418092922155362,0.249833248652887,0.0517594536088808,0.0302012792004098,0.0225498879833379,-0.100484273294144,0.0123344718919426
progressive,-0.0450855853851408,-0.0928445234568551,-0.14157068798111,-0.0960935412896259,0.180075269904582,0.109615315247359,-0.124028198884564,-0.0949273120947337,-0.124834709443866,-0.325186818197837,-0.11513356344677,-0.161171815575124,-0.115629849675469,-0.196129167226438,-0.0926655184145425,-0.258159783050059,-0.216653084098814,-0.209421242798509,-0.146485311414191,-0.226990641908897,0.0830073710950415,0.0726284227811507,-0.0940373067445628,-0.160329853864153,-0.168392142393875,-0.0779746852813192,0.0311217946517652,-0.125469867226675,-0.186854616165926,-0.155464077182326,-0.126339584379605
progressive,-0.501243380377896,-0.460926738263582,-0.479607145670465,-0.401041221536977,-0.317714970078025,0.119271663542852,0.287672218847247,-0.0067903015389941,0.401214264169143,-0.523654757945683,-0.406724862933749,-0.402777950436401,-0.422912250181737,-0.52071632415222,-0.476949665326162,-0.18657746126503,-0.633249440498849,-0.454427947854982,-0.049719327896866,-0.487638046223946,0.111973210592126,-0.433708858436061,0.343481600435428,-0.0417772372047095,-0.418487683669782,0.16319169659995,-0.47932288144059,-0.433848637007522,-0.417369403278961,-0.451424795011584,-0.477276835498984
stable,0.0244575341423808,0.0673154838572953,-0.0651452921583497,0.0267878580636081,0.244463729368211,0.486424190493788,-0.186843360296367,0.0411591974062427,0.136379097750892,-0.0955983553193137,0.0369171112393836,0.011588278133991,0.113163201281356,0.132918429210327,-0.0284615235295507,-0.12220742811579,-0.0723443565526984,0.0170810805127117,-0.199790689373676,0.0614607398612158,0.227980558904556,0.0838898703219738,-0.106194664241698,-0.116434117992065,-0.14346898697882,-0.0637871578354533,0.0091038944582118,0.087166377885611,0.0507103015097606,-0.0262294863864676,0.0802946383057589
stable,-0.04164124989679,-0.0073734708907405,0.0003337003639039,-0.0772914244398116,0.276348778825923,0.36275945407503,-0.225991287741213,-0.444295320323245,-0.0630102751002286,-0.0815153589164122,-0.168358398086732,-0.058754141594126,-0.057026549440155,-0.134484777650868,-0.0975316624208328,-0.569496783591998,-0.0181723443319477,-0.20033574417312,-0.404954100015267,0.006527795850438,0.156315834639042,0.0034750265584269,-0.37197635340085,-0.352937629718584,-0.281550605076417,-0.0277303030066461,0.0132618757393678,-0.140436477806397,0.0242759372698002,-0.314690998946054,-0.0298945800992234
stable,0.0127948790996215,-0.079069796540831,-0.0638549347339967,-0.009129952079333,0.500735203320027,0.373503665295656,-0.528217198181048,-0.231796336352092,-0.200006960361969,-0.0610104712896226,-0.0826941116364309,-0.0892268967391869,-0.0890346742859053,0.015439251724821,-0.13583650689778,-0.515320466348306,-0.0881131466190471,-0.198126388732732,-0.497214012849115,-0.0372592298386863,0.220122854603796,-0.0756891933698217,-0.535626209059364,-0.527521632675948,-0.425231601091431,-0.41272595800929,-0.128034374472543,-0.141954655598685,-0.0545525974395905,-0.363008879530662,-0.0755979545539353
stable,0.216490232154645,0.0706279985251529,0.100044916092356,0.183274461926806,0.235182910517378,0.484670369459666,0.0725846151977221,-0.0343650794606728,0.163220003003159,0.184776287193573,0.10394499013118,0.17640432129987,0.212255906233289,0.168263029510936,0.0875706552527462,-0.166472359236071,0.0621977232790505,0.198644592613573,0.0850342594834141,0.060137106377975,0.459065789723254,0.150105972657894,0.0122932429415349,0.03133478770779,0.0262942249608362,0.102390522760388,0.11395142851973,0.137948527797892,0.219376207915793,0.209876744702043,0.183785183413543
stable,-0.0211316416004752,-0.200996307856604,-0.218629637107556,-0.227956096993672,-0.0885825527901244,-0.0620611599282188,-0.354639571086175,-0.11960902651913,0.0326113723817106,-0.20510467553407,-0.195551067590754,-0.258810415112885,-0.283116668834035,-0.0649082913525181,-0.255763924261671,-0.0934102224154006,-0.21874125622524,-0.263587299335242,-0.189975031259185,-0.226139023664314,-0.058093948137986,-0.21952025580827,-0.124691947341438,-0.223685814336226,-0.095085087922243,-0.113507790784878,-0.168828858787037,-0.191052244785212,-0.20186268008446,-0.228148284361709,-0.226881966904908
