group,CD80,CD252,CD47,CD30,HLA,CD90,CD45RA,CD7,CD49f,Podoplanin,CD32,CD185,CD62L,CD107a,CD95,CD66b,CD58,CX3CR1,CD370,TCR-A-B,CD122,FCERIA,CD41,CD254,CD226,CD38,CD204,CD305,LOX-1,CD158f,CD337,CLEC12A,Mac-2,HLA-A2,CD328,NLRP2,Podocalyxin
progressive,0.0751802707288941,-0.0924554986056783,-0.122904491083666,-0.0159322542605542,-0.138111551218408,-0.210119303855314,-0.242233930150205,-0.243319888586234,-0.107248240990701,-0.0715032986683905,-0.183436884847991,-0.0921567687070288,-0.0128221795672461,-0.0623788256947719,-0.113008832470775,0.0309693084702552,-0.0701321189703224,-0.138835067677782,-0.0143898091264984,-0.339981069930831,-0.212490229459544,-0.101836163714733,0.0165709816391978,-0.0376969823390516,-0.133566165177369,-0.0582084395443068,-0.057148318277122,-0.0537923123744482,0.131266710171668,-0.142462762441896,-0.0710516882743476,0.0027675306486709,-0.140385520344973,-0.123345644807228,-0.0720523995588078,-0.0534725872079128,-0.133525443887924
progressive,0.0044760777672155,-0.0593135112072748,-0.0228236195345831,-0.0806343939735695,-0.0453207167232779,0.0053140548750375,-0.0707616075827383,-0.0924416515626032,0.375646102943979,-0.130805117593817,-0.181931001773851,-0.0954084675544605,-0.271925376020247,-0.154625930846683,0.0059055949030992,-0.321667725549286,-0.0968760558805651,-0.116050314888274,-0.0642802006758524,-0.19591279635963,-0.0598811855653913,-0.102261767472655,-0.0478593983753344,-0.172347311956946,0.0747487586302392,-0.129855561713439,-0.0259722215734597,-0.19136616586989,-0.277741883344678,0.0422573011672133,-0.0924200752389188,-0.279665243246175,-0.0771711456748328,-0.0746976647297744,-0.173368159947741,-0.0789963998112569,-0.117558838117793
progressive,-0.0867659109776235,-0.194699446108824,-0.173661974317813,-0.0157297481771928,0.0778332927454913,-0.163783376609146,-0.39412140679553,-0.35754485732927,-0.107797498128742,-0.111865479298135,-0.115883223819389,-0.113323839680307,0.0729930973131949,-0.0808312107637358,0.378937140787756,-0.144844631782261,-0.0478044876898244,-0.148259229999401,-0.114078371703148,-0.24587210711741,-0.113785191289226,-0.076428001340823,-0.100102639680927,-0.137322808374156,-0.0938026856658737,-0.036384581913002,-0.0880119477537187,-0.103778117321446,-0.168773836385186,-0.100620414748215,-0.0750912546763117,-0.0382373813689931,-0.153527921385298,-0.104444351545188,-0.115246984504656,-0.156983439432838,-0.13277344445486
progressive,0.0032736186579275,-0.0364217186328937,0.0936795126583337,-0.0055651120406336,-0.00537656616683,0.024126354667438,0.0095306691432378,-0.0135615838948344,0.0199664311686288,-0.0411170433627673,-0.0812889956514868,-0.119332293420515,-0.134206421329215,-0.0256798914947963,-0.0700269514054366,0.0574169486385676,-0.100162245071517,-0.0300994355059988,0.0538041365462638,-0.0134204183153014,-0.0573468026068677,-0.0018646804145577,-0.127360679168219,-0.022213490373332,-0.0385957115346301,-0.094396133321047,-0.0322894444085582,0.0636546949191779,0.0150670247779043,-0.0409736188171192,-0.10414198688412,-0.0417181083256006,-0.0106759324961385,-0.0498115901008754,0.0513106877846678,-0.0092301383302857,0.0439930654383714
progressive,-0.422386151596222,-0.42965322639374,-0.454292539745943,-0.366441159378689,-0.442201208313367,-0.147281046249922,-0.087164875292187,-0.0008046349901697,0.0929070148852159,-0.372222381782605,-0.5358875850245,-0.452335651821663,-0.374595287090886,-0.446812226937043,-0.468653375927301,-0.447323201648626,-0.48999670692068,-0.290860117862954,-0.49817326663473,-0.0603508172901882,-0.495339053211701,-0.408919850214638,-0.4009177464573,-0.425154113179886,-0.355817847029544,-0.514840048916279,-0.0301691133214745,-0.488212166485126,-0.44229926719464,-0.304930505532749,-0.321413096252549,-0.495668817345203,-0.217010873758271,-0.409328795331974,-0.400108071065245,-0.285300944744235,-0.10784109355251
stable,-0.0696585766001249,-0.185890318828884,-0.128607061023862,-0.254497751391473,-0.0925678067354735,-0.137323995019281,-0.402265323908413,-0.60678755370416,0.0934896851388562,-0.170830770080203,-0.257813019759745,-0.250878494734318,-0.255826634327968,-0.223537307617473,0.0095024574515142,-0.211746656661594,-0.219393267344649,-0.26574786055344,-0.166140412503216,-0.436447171126407,-0.264270829445747,-0.15824196354628,-0.0637159933090802,-0.211768378871738,-0.0269847955040527,-0.0896044170142366,-0.152881603880967,-0.219645112777413,-0.214594454212265,-0.289457907384244,-0.26902541849967,-0.137685236735822,-0.166315485946833,-0.227949681247497,-0.121479039985653,-0.239186718579173,-0.287869459216425
stable,-0.0945627481291703,-0.18622256790031,0.093812077651245,-0.158481783573873,0.044039285252962,-0.16104032009674,-0.309468311490749,-0.305181930112605,0.0094927939800759,-0.171684949049327,-0.117676044680296,-0.0484481195642051,-0.531072086106233,-0.0876603584873427,0.112733144356141,-0.187155896900877,-0.152637869459972,-0.208205636666298,-0.192382506888836,-0.238371194680024,-0.130344709477259,-0.112276999017518,-0.072339716425364,-0.209522887433276,-0.0575742784041033,-0.277182057444031,-0.188024430152804,-0.0236647460583314,0.0320621148061371,-0.185463622012062,-0.211759792538415,-0.153220185526418,-0.107463604498129,-0.179669744136129,-0.182293023292932,-0.217740377716848,-0.182451987461136
stable,-0.0161198547571432,-0.133618069599165,0.072131879158779,-0.099256238881757,-0.0268786385901737,-0.063329184890095,-0.295078135255282,-0.110931305081046,0.296862366807816,-0.114284940912942,-0.0264205452796546,-0.181401941507193,-0.121609397683216,-0.0801595625851993,0.0240163274540881,0.04355405318492,-0.078911221945719,-0.0723184292650388,-0.0943013213980909,-0.172555164230976,-0.0552915392512226,-0.0468278129815412,0.1817990042691,-0.160192575670024,-0.0116011809442325,-0.149533953291065,-0.0856634506559063,-0.196867777184189,-0.0247694950620892,-0.114158132550955,-0.0663781308029047,-0.0629558120168427,-0.133302559683005,-0.125357742061697,-0.0657474681133251,-0.0485825540741302,-0.159589189438356
stable,-0.0171953003161172,0.0425167202656231,0.0753072536409711,0.0812461957470425,0.108965130295661,0.0049318487598253,-0.330761714073272,-0.597417166792714,0.101509113781676,0.082996227002667,0.0048934076531173,-0.031117945732633,-0.207391907644887,0.0462704521562821,0.470741031817588,0.103294054709099,0.0114888781144374,0.0068363072642596,-0.011441302636265,-0.1962757957902,-0.046812241774183,0.0169853469407433,-0.164409193357708,-0.0314590028739266,0.05749956881929,0.125290577187114,0.0174639831336371,0.0286619848850689,-0.0458568792711711,-0.0012584035556437,-0.0279985769952735,0.0172284468866447,0.0361700375507564,0.015846203078117,0.108875018307764,0.0287302980277968,-0.0198582253044299
stable,0.258981336029227,0.361262444174267,0.136332275006006,0.40191362905708,0.133170148441859,0.406314675793795,0.154002165196431,0.211462068717333,0.162713892869991,0.40026688206587,0.30079754422142,0.262286491800638,0.18420005574879,0.425805675428931,0.0794101777457112,0.281440786344649,0.445414813196633,0.417004052746608,0.256125082842003,0.283536865083921,0.392946944251509,0.308371628446924,0.158929387212881,0.245557709902344,0.411207227904543,0.0799096253674901,0.446952048446701,0.124752676510152,0.0644132680445451,0.428181276875362,0.482339807640075,0.300254401925442,0.407383140702091,0.258635423159894,0.266691390655301,0.403286545414846,0.438935315598773
stable,0.0658827842554451,0.0360136809023377,-0.0806011818138765,0.088440468941272,-0.121466003250643,-0.215198356442453,-0.0603083139862726,-0.238525962138576,-0.137831536067744,-0.101373911402099,-0.046581312473248,0.0042775476843452,-0.0862181289276404,-0.11663473076988,0.0324672137792281,0.0138044638685328,-0.0389944568438683,-0.0625298470752039,-0.0203059453932642,-0.0247297480035791,-0.0020487522187812,-0.0794618617563831,-0.0301964368144658,-0.0496460588647495,0.0241270955147681,-0.103556212894558,-0.0374683766783318,0.0293940548463424,-0.145068486314185,-0.0258857796189185,0.0492453075471729,-0.043260977994761,-0.0640460934277998,-0.0270561765951167,-0.0612427922677797,-0.0859752761401764,0.0096439679612789
stable,-0.203803072760914,-0.0402470031796631,0.0695269655660068,-0.0620667829815506,0.404568230362917,0.0215538160475375,-0.267505126863884,-0.425811935748962,0.415683738193272,-0.0374670316394239,0.207562568999848,-0.126774543443688,-0.326994087584215,-0.0954222255066036,0.40902150536731,0.0417801999389268,0.133054953894924,-0.0594679431803612,-0.110951484770418,-0.357053144995018,-0.0489665617411015,0.0796046587592056,0.140884413092393,-0.0020993019603179,0.18734576440581,-0.162739954487096,-0.180686089472292,-0.0027552378262149,-0.0581146454998739,-0.129855793068296,-0.144005937114764,0.0234534707795734,0.0318393212308126,-0.142846145356389,-0.114101113041357,0.0166628843947733,-0.224415565212693
