group,CD70,CD30,CD52,CD7,CD49f,CD194,CD14,CD16,CD294,Podoplanin,TCR,CD32,CD95,CD66b,CD278,CD58,CD96,CD39,CD178,CX3CR1,CD11a,IgA,CD79b,CD66,XCR1,FCERIA,CD254,CD2,CD226,CD29,CD18,CD28,CD127,CD15,CD71,B7-H4,CD26,CD204,TCR-Va24-Jz18,CD158f,CD337,CD336,CD307d,Ig-light-chain-2,CD85j,Ig-light-chain-1,CD82,CD88,NLRP2,Podocalyxin,DR3
progressive,-0.154034239735415,-0.284804507726343,-0.165348727821489,-0.0072346008891435,-0.109206671986782,0.0411568520990322,0.0374418519499195,0.0586442905821562,-0.199027661160876,-0.0868592338397987,-0.167946273438774,-0.0858223191150135,-0.0057280431262828,0.0170349453983615,-0.0459739626464545,-0.211369908434944,-0.08215446949966,-0.0712306543557468,-0.272301697893201,-0.0062194717305043,-0.210913414485653,-0.0751200728920561,-0.0774016301763654,0.0192778544105471,-0.110338162795634,-0.0632067341978223,-0.0293936191613935,-0.202270465410753,-0.124577062751157,-0.22505572095863,-0.0827880886787481,-0.0859274366652699,-0.219949997086174,-0.100506567765622,-0.0446725719146144,-0.172456357152666,-0.0371833257970571,-0.172285324641223,-0.180426351363429,-0.159949360737717,-0.206598616395533,-0.166834537321188,-0.108825255998223,-0.0785447422124843,-0.235890181585991,-0.0099736816068296,-0.0520152507219227,-0.0484077256590258,-0.218774566578044,-0.185340036367678,-0.231669248064471
progressive,-0.222647284339728,-0.110207888192016,-0.107472478331748,-0.0107038319867013,0.0474471927958545,-0.177620637823888,-0.0391171896404271,0.0855019350626385,-0.240259798865907,-0.120698515907084,-0.16273444379971,-0.0362787469164646,-0.218522099802263,0.0509990709203824,-0.137742218743006,-0.163828767809894,-0.212743082317833,0.0371651470208579,-0.125553080066943,-0.120323923097353,-0.200401391946979,-0.0972097113942877,-0.167485943411019,-0.0152084187366371,-0.183267647800389,-0.302332997327862,-0.213357959339527,0.0090707339935131,-0.196667299413472,-0.163902844261045,0.0504771607340137,-0.10613653100704,-0.258279855632948,-0.0115837890618949,-0.0135525656127603,-0.0843183280899632,-0.131871492032029,-0.158375591708614,-0.204550089518968,-0.0781163349590287,-0.130424619601661,-0.0018933393644062,-0.167404397602648,0.0005570085094518,-0.161508165312983,-0.207347662182043,-0.241746327418702,0.0040619974858169,-0.190598360833493,-0.166504036428727,-0.0094730250474393
progressive,-0.193538112452146,-0.261658177674366,-0.119142355088659,0.260818483308612,0.0171100986060606,-0.535029854584619,-0.136589270774515,-0.166286460607865,-0.203047274288225,-0.209787658744635,-0.200916631062262,-0.141859172680118,-0.489002671023872,-0.132867380545084,-0.549995052184517,-0.262281346741254,-0.153172359261473,-0.420531084378194,-0.110936274440022,-0.201382617668334,-0.200899263449661,-0.179125153470313,-0.198748116424053,-0.210125016585354,-0.20357190638383,-0.167878602887278,-0.126308944192015,-0.0658447820431794,-0.21527898185452,-0.203226236661558,-0.193214004863796,-0.33681251747854,0.214044041644317,-0.10426352155116,-0.431214482337259,-0.260308933938862,0.164071092070248,-0.252931292442827,-0.132217592878838,-0.240113769756887,-0.216928709347176,-0.205347876812578,-0.163529098068598,-0.232690543434539,-0.216925307450561,-0.136693244787404,-0.264384940829446,-0.201358435730396,-0.203704672134901,-0.254901075751935,-0.206297578282459
progressive,-0.184170011748762,-0.186323658665593,-0.155201044852763,-0.108203620077018,0.0355825435988871,-0.227039599430041,-0.41001147181999,-0.185620491867235,-0.210091834227875,-0.265449111364992,-0.295231770242687,-0.237343341527816,-0.0215439476207363,-0.154286193175715,0.0272341963950241,-0.231227577524304,-0.183882970033242,-0.0090016820849621,-0.185491891219288,-0.265393652222839,-0.0766904128815704,-0.290802846854743,-0.254787519738015,-0.17213447955128,-0.200492600866846,-0.161732551349227,-0.174457829988701,-0.0485284316138441,-0.180501197148704,-0.0548806186968268,-0.201232372292492,-0.0499692119617507,-0.0466695964727526,-0.24184969358198,-0.044136800724118,-0.238567714878468,-0.112775648338859,-0.234794510084689,-0.245940696193593,-0.268434744083376,-0.287829130116814,-0.199884549407912,-0.185965305864336,-0.309647296066725,-0.222574183974176,-0.242094200866564,-0.189161175332512,-0.24428615803465,-0.267704899729806,-0.311993791938805,-0.167294221337626
progressive,-0.140543852680526,-0.0296495465105392,0.0639225760753146,0.192926712643005,0.205321416284537,0.158251749756001,-0.199221005048269,-0.182533562086703,-0.0765286326712791,-0.0574691604377455,-0.221090224248046,-0.133152448996855,-0.165633132451551,-0.212504790281605,-0.322934843100558,-0.150117453626235,0.0006210367374222,0.068507701812683,-0.0231018442592783,-0.175825806167793,-0.0514465502059383,0.105012958440218,-0.119988318711315,0.0702392550024558,-0.0515659987429262,0.0415008295264932,-0.16131048891798,0.178595544094925,-0.166332340776955,-0.0660290159660845,-0.47382489803934,-0.178452480709737,0.437097759912807,-0.0736596249426757,-0.386789936204728,-0.0294380618829624,0.142986330771076,0.0429305863075603,-0.0589082993519778,-0.195148105811248,-0.0229891447155312,0.135911653518955,-0.0895808937468155,-0.0179017952867773,-0.0668092581884155,-0.0034062356922209,-0.107755877527416,0.0634244861180847,-0.17773251821488,0.0304848962851992,-0.232937224062675
stable,-0.194227185801427,-0.272703783867614,-0.301422958792702,0.191090510881701,-0.403525643021543,-0.296840634943353,-0.128359024631062,-0.300322755144102,-0.0937576280840259,-0.247041859261093,-0.194685430991387,-0.235291462810526,-0.416196322495437,-0.283635578750525,-0.386928244739748,-0.267813491203183,-0.263185719595128,-0.252374484401027,-0.194660328822188,-0.242766368457651,-0.510220253064953,-0.155918041468292,-0.205895898562493,-0.175876838618765,-0.206075518737941,-0.135306843871858,-0.171329162262695,-0.424536633449255,-0.270650759737705,-0.484100916286694,-0.27451532557464,-0.523553370902521,-0.211283675943786,-0.186428164651185,-0.287940269850876,-0.210572322746279,-0.112904732415066,-0.167511667363775,-0.18485317753703,-0.225002127698195,-0.175585064293669,-0.184497135493186,-0.165165558134463,-0.172050561376937,-0.282583520267364,-0.146745365686549,-0.324614623776372,-0.183434593461825,-0.14270472076116,-0.173970861488634,-0.154923859737755
stable,0.0305701214622121,-0.0236832028966442,-0.0075920127049141,-0.269814012892541,-0.104157825802174,0.231261819530886,-0.115997188267842,-0.041815108201968,-0.0972274414969112,-0.0939856415636862,-0.0597690640226082,-0.045183510987128,0.325423441221239,-0.0800072834385949,0.112497578343135,-0.0021073439846197,-0.0889618328369099,0.135015763104325,-0.102454740603355,-0.118264389905064,0.10642041002042,-0.0975981092228988,-0.0926613594602122,0.0007437760312854,-0.0005050441920714,-0.0573927196836304,-0.0802875069265061,0.172822970847433,-0.0322666524425084,0.013952528626646,0.118584684951147,0.110890896857422,-0.288424412836575,-0.0666380019528004,0.28216594671908,-0.015921473379209,-0.122794751186763,-0.159681251340497,-0.0904398852176384,-0.0758434548172619,-0.0911416963931575,-0.159818063218822,-0.109248501867185,-0.0456527344413776,-0.0636132885433665,0.0088560070235483,0.0728343802767019,-0.0799907238472848,-0.0716228772197802,-0.141161972717288,-0.0715351674053135
stable,-0.260987856805904,-0.260024035609965,-0.409760695356646,0.2382920401401,-0.494449823152354,-0.385164265806631,-0.159908490718997,-0.190203278853942,-0.237284666397517,-0.249842567886585,-0.249046363253169,-0.260153302606843,-0.515547457860137,-0.203267345848009,-0.29999023954619,-0.355777972024219,-0.280751234090043,-0.120172979119282,-0.183569751519908,-0.271574428731199,-0.528838871406162,-0.269270220323149,-0.21680832515768,-0.143484916938326,-0.142405294735622,-0.214548483511147,-0.233906390594145,-0.554908666683289,-0.408921319178132,-0.548121749409039,-0.443012592931939,-0.356257550046939,-0.294306854239731,-0.236895469844146,-0.222904751703941,-0.244085223760404,-0.453543411374675,-0.252957016072948,-0.231146427348079,-0.254235669636346,-0.186837581323536,-0.22975011428019,-0.20887370472839,-0.215517184927364,-0.259208312312563,-0.296876369890752,-0.486194741256906,-0.212069196199621,-0.236478416711228,-0.267943510516892,-0.161235115387388
stable,-0.19021454092801,-0.433317039524897,-0.133144879284256,-0.269181567701714,-0.12238531511341,-0.101878333146472,-0.219294223752006,-0.547342684316485,-0.403463667421858,-0.429539537504017,-0.47766181671435,-0.450263199889573,-0.0280959206427893,-0.401361200656732,-0.144562433750822,-0.409096833545725,-0.405635071199889,-0.0568609258520098,-0.40179214021233,-0.492876405917929,-0.178860497312467,-0.471775833616976,-0.402146841657118,-0.433160831305674,-0.430630705381806,-0.409902174163054,-0.405641567842708,0.0356439853665114,-0.297790614828736,-0.213500262939198,-0.0371218460054419,-0.108306935145734,-0.204784052623837,-0.436591830436589,-0.0270079141139644,-0.432862708271257,-0.296872046341959,-0.413048048240993,-0.403586741367739,-0.447516872374414,-0.450260877899073,-0.44228940535761,-0.441279456829901,-0.435113800901516,-0.451303828146283,-0.405921381003676,-0.348613005832035,-0.486651965254666,-0.465907874718329,-0.433552964620567,-0.455067016984151
stable,-0.129962257908525,-0.104099676521368,-0.241271986773635,-0.0418497088757981,-0.0427051179863194,-0.185506178863641,-0.186493128668845,-0.0209849623032813,-0.225124820442871,-0.125183752768703,-0.0826953955343394,-0.102411174550339,-0.215692263102578,0.109736164304923,-0.398822587048316,-0.0796161178028491,-0.133020463515517,-0.0653282753045762,-0.0278106085799065,-0.0329654667643798,-0.26700804262751,-0.0028884855779226,-0.123883914358428,-0.0210283658195111,-0.0355335017915163,-0.1635019555045,-0.0913954022905217,-0.297560652461173,-0.118801014865654,-0.244016412445895,-0.0626374443820374,-0.367787616302125,-0.0469660720134471,0.0437177637406278,-0.357641454000115,-0.132849572611024,-0.0232138776930923,-0.101298287814331,-0.126761511551098,-0.0613444111756487,-0.114341828958932,-0.127304878033596,-0.0612475410545322,-0.0049313786432677,-0.0558205581032262,-0.0198245102829241,-0.120106155951322,-0.125215612487873,-0.0377907330002359,-0.145207597157332,-0.109992489259937
