group,CD137L,CD47,CD30,CD52,CD3,CD34,HLA,CD45RA,CD7,CD194,CD4,CD279,CD294,CD31,Podoplanin,CD196,CD62L,CD27,CD95,CD1d,CD366,CD58,CD178,CD11a,CD79b,TCR-A-B,CD267,CD41,CD309,CD124,CD2,CD226,CD29,CD49b,CD81,CD28,CD38,CD127,CD22,CD26,CD144,CD36,CD73,TCR-Vr9,CD158f,CD337,CD307d,CD319,CD94,CD85j,GARP,TCR-Vb13,HLA-F,Podocalyxin,CD258
progressive,-0.412432566776153,-0.400451224839193,-0.403519308908284,-0.415357782999342,-0.466975022041135,-0.42483325037158,-0.497132310939507,-0.507884232473028,-0.490053520311533,-0.13881318341289,-0.500880599500395,-0.434111604539098,-0.444356115130776,-0.409105858835736,-0.412445257428239,-0.164777390204146,-0.471906646633568,-0.460905716890421,-0.137403982846143,-0.439244911076302,-0.467310670039898,-0.40097817004044,-0.464318472406563,-0.402248662012463,-0.476838313976111,-0.429774965997214,-0.459161047839599,-0.464924863388354,-0.477342009222303,-0.470060733508106,-0.310407270525454,-0.551018373256745,-0.482875000001442,-0.511670446052805,-0.495821511275917,-0.289826923203747,-0.511642405849994,-0.201813417062851,-0.275204493640068,-0.426164434485485,-0.40960544379456,-0.400500113105709,-0.264333378080813,-0.507922242512534,-0.460364371967165,-0.426858216419683,-0.422442004844522,-0.474721605104811,-0.448135048505644,-0.413986587862545,-0.424779407624011,-0.416632183672251,-0.412894546323321,-0.454363653262149,-0.501854511650799
progressive,0.0292023892001852,0.179078320856515,0.114299466713784,0.0423452421625007,-0.191906874050509,-0.107387275571439,-0.0608428850746977,-0.0112433013956268,0.104134839385706,0.0902335327515789,0.142898276014832,0.160447363082613,-0.004855334498011,0.0768750170567263,0.0462950399376322,0.155973234696805,0.168965425879311,0.078523243226819,0.301644027040826,0.0148358953158629,0.127190428619418,0.0816635312813728,0.0436105116411753,0.127357428458235,0.106657378594069,0.16337142857548,0.166484322876995,0.0634695287533675,0.162701765731664,0.0418115639127257,0.0324294906514679,0.152346875799582,0.150539239006217,-0.0483720566020456,0.139911834389714,0.0729567379499947,-0.0924931666603097,-0.11026058963091,0.003910939776282,0.108532707203453,0.0221221075770825,0.0434450469499238,-0.18487057430493,-0.0195626887743048,0.0739935283917466,0.0747963963959008,0.0391162518157659,0.0067149270894226,-0.0072336766501451,0.0428364708988601,-0.0226260067760352,-0.0684248907862532,0.0064635546039881,0.0377584788264536,-0.0835215630813649
progressive,-0.283692426185341,-0.259740068556957,-0.129654312632288,-0.219081691580315,-0.366777008607054,-0.282429625133369,-0.0121486538316339,-0.489957503257489,-0.451869431320777,0.119729167361405,-0.21658500822562,-0.154975745809729,-0.284271332189532,-0.0790940356963683,-0.282087918697413,-0.238824609123969,-0.0908003509798428,-0.210622104079779,0.196921454286988,-0.241351458660013,-0.258818503966867,-0.21278650553775,-0.286935612085334,-0.146367404906517,-0.246822782965269,-0.331982581321006,-0.257445659000341,-0.192950103212547,-0.232882342302794,-0.305325587926642,-0.0880451510725529,-0.241455794797284,-0.106445420829265,-0.27021448574703,-0.302229620822655,-0.0063430829552945,-0.206784428976357,-0.344163540994919,-0.0877025465664317,-0.28202893830178,-0.285024185615169,-0.178789355653797,-0.113410196433518,-0.292374745073791,-0.266959932261692,-0.248439024299964,-0.286533761470119,-0.220631644039616,-0.269051127561682,-0.259265691805663,-0.240534996387632,-0.28573390978959,-0.193305689419018,-0.296815000433512,-0.344444216597643
progressive,-0.196068447489009,0.0388122021187464,-0.149137088922955,-0.0853360582623256,0.0015810244983415,-0.264197843775779,-0.0970511351355029,0.155161058994241,0.127099116628502,-0.177879958330757,-0.034631288658405,-0.229306098771161,-0.183820470963665,0.0222032110103267,-0.199170609411624,-0.179781687235969,-0.308410692638712,0.0930468431784668,-0.347776745520957,-0.231682289445804,-0.171873184191376,-0.244879472105673,-0.15476340909219,-0.109914303933717,-0.0908207184306994,-0.0805512334782363,-0.189814806849071,-0.0197405544511693,-0.119916017897547,-0.19201760069939,0.0576450444892772,-0.131261248196085,-0.174704818113392,-0.170587660949482,-0.168461041960818,-0.221487776355708,-0.272498084617964,-0.0438673129653035,-0.218807598893775,0.0698468248792609,-0.204511285734306,-0.0507022094970738,-0.191855203904639,-0.224689692718265,-0.186406851850309,-0.279352078787775,-0.161567695889585,-0.0919821491060915,-0.187979794812344,-0.190326801217902,-0.19477416729185,-0.155660041981831,-0.180217384999206,-0.159228543490252,-0.178828184628091
progressive,-0.227344112589388,-0.172071899867645,-0.19615743818768,-0.163295391708966,-0.350062127629794,-0.253510455565463,-0.234205635732439,-0.0216745099234589,-0.349830535726103,-0.42508545097351,-0.47804252752068,-0.427900299484238,-0.120916482977772,0.0198843542548183,-0.198271689931298,-0.450496399036873,-0.297849238723725,-0.488789387625495,-0.110165888560196,0.0211489351836997,-0.290529753574818,-0.223478019199236,-0.211829007441931,-0.174141020661108,-0.184902061015683,-0.476447257987209,-0.292378280559487,0.159315308198696,-0.150151977108281,-0.161835781834451,-0.237155527987113,-0.234865710584832,-0.269731615689491,-0.106149444851901,-0.334412742273004,-0.231292794239308,-0.153973210909372,-0.401579567123406,-0.496496972088602,-0.39930944580269,-0.262567360543605,-0.018929772695038,-0.428407407591189,-0.251851315172074,-0.0730028232382276,-0.223926696093985,-0.352686049862116,-0.309012831964205,-0.209872886422373,-0.203087772807933,-0.247554584196921,-0.308212846121797,-0.340768146093136,-0.39203700293745,-0.246418645917724
stable,-0.223699482734822,-0.0135395403199456,-0.280280034930434,-0.233668846755828,0.124174345353501,-0.25282270967679,-0.0586279420719075,0.0393502646733574,0.0796055210036593,-0.104428456053689,-0.0756592991401626,-0.239751766963268,-0.283180434255015,-0.0871138394474966,-0.216714936210677,-0.0407089290719184,-0.165755549531257,-0.0964794265971416,0.0452719401697384,-0.278705046746584,-0.21938640241364,-0.24036265049469,-0.230195301707294,-0.278744289179959,-0.231550038789695,-0.0253793426191853,-0.3110683266655,-0.175806573364859,-0.181503680072015,-0.332977853427984,-0.173850757965826,-0.346981624855372,-0.274980376993843,-0.263423073264261,-0.158261116729236,-0.11057582352684,-0.151637694863092,-0.151743531913765,-0.127758798593989,-0.324343575720085,-0.29387897229024,-0.118086626613697,-0.122219639367915,-0.222593395232982,-0.32123921629104,-0.337643435405758,-0.263475287924419,-0.227039258121828,-0.218403178889571,-0.217133010829014,-0.20932075568212,-0.228737389316213,-0.25706215659062,-0.327928069521167,-0.193077282501806
stable,-0.246094414014686,-0.121352704816346,-0.17615207794892,-0.0971388618986225,-0.368545002517799,-0.182180801620803,0.0406048883400609,-0.353878055086348,-0.423945802083222,0.115109853062599,-0.208928717650391,-0.108351971922973,-0.263443760392618,-0.124223395745733,-0.269300846655217,0.0059044385995334,-0.360485525371298,-0.234917835140192,0.283796274703916,-0.194464629049415,-0.197104185690557,-0.11944190410414,-0.225994883752117,0.10526951794554,-0.252981156133987,-0.399241739202799,-0.165223713284395,-0.0635649971316561,-0.116817941759874,-0.209956409516756,0.140120948817506,-0.125849406661056,0.0010377617617373,-0.126265703144385,-0.151182819585493,0.0193227956093846,-0.100356708087693,-0.226214904878525,-0.0395563082144012,-0.0723474364098208,-0.183728984557174,-0.0736727740699218,-0.167219348067514,-0.16061225005134,-0.239095835278223,-0.223980729703566,-0.223353175826371,-0.220315150550627,-0.114847379435717,-0.181070095696176,-0.162115514476214,-0.197441926246132,-0.199894978131594,-0.262527291151497,-0.234942139480161
stable,-0.174896784661129,-0.136282136141262,-0.115604163166136,0.0500006424153104,-0.269940262137848,-0.0962367798153062,0.154708917513515,-0.466561056535682,-0.466530182393298,0.0935051028695219,-0.0718328640470124,-0.0713561217349966,-0.189476814945697,-0.0509586103263644,-0.159646641870943,0.0701190035475809,-0.197548113508675,-0.146871067801655,0.329646206756147,-0.19843363921724,-0.147864415532836,-0.091221699251942,-0.189025178203483,0.263367013578311,-0.189554932199371,-0.313580014052466,-0.136277970281044,-0.0844633847521512,-0.0928764751871552,-0.15952363213343,0.26990539901413,0.0342499145207876,0.21992804001536,-0.0691829983820988,-0.0990614726019633,0.196751144171083,-0.166439166861834,-0.0250988889430078,-0.0038545238554583,0.073222022152222,-0.188271516937999,0.0688366326485222,-0.122179765136186,-0.148298981945852,-0.234387178152027,-0.177508668736696,-0.184569889414577,-0.0103457781026884,-0.0931768165362083,-0.140531173548682,-0.0316385139489933,-0.145690013147633,-0.13772765759588,-0.160044821351895,-0.137279121257443
stable,0.0226680566542383,0.0717263293949622,0.0985980297706267,0.206875577741304,-0.127173982188009,0.154630745379235,0.14675367336552,-0.242394751818637,-0.387786953022577,0.386773449200485,0.214041744188793,0.219620355716582,0.105996666681761,-0.0845181895625077,0.196808838572728,0.0541414128524047,0.130435594831699,-0.0432768322582535,0.492702001606154,0.103015215684774,0.128196410745462,0.116371774473906,0.092515657427295,0.273549951111778,0.014467785106683,-0.0258196875047514,0.147805329934419,-0.0604325128333506,0.125678428688377,0.116591844911037,0.242808575199663,0.102740068509659,0.236681028373191,0.0069917155181158,0.0349592538268801,0.419938625709901,0.275126151220437,-0.0419383957886164,0.0752744741899862,-0.0532937593211847,0.109079525786367,-0.0576831651348821,0.0515057010107798,0.0407916868228619,0.087183197671444,0.0525003516981988,0.0596823380964512,0.0910172166749055,0.154425204957499,0.110555044408774,0.0431066363677343,0.120138613283733,0.124651449637491,0.0794286642284922,0.0920773111430349
stable,-0.188225438201774,-0.23849353748513,-0.303557004142636,-0.143923060710135,-0.222319868542484,-0.256799903137659,-0.0831154573898718,-0.0583335495045017,-0.301159591094191,0.0259918291137933,-0.13226279037997,-0.100631695818108,-0.225883656687699,-0.0862135482108754,-0.190215398623537,-0.0738000827003561,-0.0355259517277357,-0.179064423914611,0.0835456427119263,-0.317506414397219,-0.177592817700722,-0.227738835462961,-0.212297433303782,-0.0252290621924827,-0.248081748645161,-0.260185093345972,-0.127340660082951,-0.214635425545478,-0.084687149537664,-0.224386902171059,0.0033517234496644,-0.299377563623672,-0.0448546075210608,-0.161545839430604,-0.237330418557171,0.0806016734411343,0.162674730078565,-0.224265846437329,-0.0710367739888233,-0.159470137255991,-0.240150948839585,-0.223781677159578,-0.157592138600098,-0.179184417997127,-0.290523348749585,-0.335872472309548,-0.301957955874326,-0.0918682335211125,-0.0689836931450507,-0.24724239738722,-0.146900432775425,-0.207655723355569,-0.232170358451805,-0.252116368522002,-0.225614238961451
