group,CD273,CD47,CD30,CD52,CD3,CD45RA,CD7,CD49f,CD194,CD279,CD294,CD31,CD5,CD223,CD27,CD95,CD11a,CD244,CD62P,TCR-A-B,CD184,CD2,CD226,CD29,CD303,CD49b,CD81,CD18,CD28,CD15,CD26,CD1a,CD158,CD73,TCR-Vr9,TCR-Va24-Jz18,CD336
progressive,0.352060538574391,0.386414975121054,0.19176750156059,0.42399088758982,0.551296748321903,0.483665316458777,0.563435532921273,0.168928526501053,-0.0324565375946235,0.333078484464473,0.381002055125982,0.360200216923768,0.166182722193573,0.261007660965075,0.496127376752309,0.216148134836189,0.296378609810834,0.36088947266657,0.332890274781378,0.485809873307286,0.434361896720283,0.295443529628009,0.41509972738459,0.303893230293457,0.377378307948125,0.377589855395711,0.462279251456263,0.157422791917778,0.353128843885961,-0.0206788806864236,0.29583219192771,0.36600304351014,0.351213499998879,0.358928790399208,0.378076678771108,0.388221796161324,0.230535948716258
progressive,-0.141874572997018,-0.17973675205211,-0.139799031203511,-0.0228793529554931,0.0276886735956342,-0.0449732055825071,-0.0787903024846654,-0.0199740593961277,-0.271771707215127,-0.207662128128875,-0.22348335590573,-0.0049416097427979,-0.145589815719832,-0.0016650899082243,0.0134854162441956,-0.17667898333503,-0.174856074163563,-0.0941318510834078,-0.0390888880297172,-0.25689624883638,-0.132794454754122,-0.116814358512702,-0.20877707320466,-0.141248938052235,-0.199335262807149,-0.0800096278991993,-0.319959746279297,0.0316926377242508,-0.229033473162248,-0.0635111193393549,-0.113318188178392,-0.228936683143961,-0.0631483984575807,0.0667424600529109,-0.109773333617961,-0.225323560391754,-0.0158258475133521
progressive,0.0006735822573137,0.170792136250305,0.029383502132024,0.0946726507812903,0.315960408492832,0.53890282177641,0.495192989397793,0.0203757496013412,-0.297291219248221,-0.0215786459499606,0.158487591929944,0.0442191392275747,-0.0365251435619775,0.0773861342583788,0.214647859530876,-0.417556507620104,-0.0022823001913604,0.070534494341463,0.0692717549230496,0.301938455620315,0.113059164917654,-0.0535236521645033,0.0309947418221036,-0.0373524148831861,0.100294518692839,0.145096254836194,0.242190647396312,-0.0613162059455485,-0.108589731885497,0.204277211887703,0.246240589755829,0.0188846202154874,0.0658108543722399,0.13528187113192,0.171346135656902,0.156370576191512,0.116996746342795
progressive,0.0965280157762357,0.0364217784860078,0.139939775091702,0.0697929273177232,0.102555210988582,-0.0141837628136729,0.0030285408274765,-0.189461063183328,0.0988396597858344,0.177761796194948,0.119050847901626,-0.117462430032674,-0.007139067023259,0.292076490284468,0.0727791118871097,0.215664930425279,0.0932988413923214,0.0627468979297816,-0.057200729152427,0.1306961119276,0.0905989614930949,-0.0435934929067563,-0.0061271882752348,-0.0477821582045154,0.078240046466489,0.0229137391066204,0.110998764140086,0.0448406625936089,0.111834591387587,0.0600244214035389,0.0095171496600776,0.194646151318604,0.0538140400700486,0.0493095663411553,0.104179997466479,0.144540237245954,0.0268317015092189
progressive,0.144646476173688,0.0826904581168801,0.0955718158920095,-0.0166971251346826,0.179047133391138,-0.126245683954177,0.239100382078899,0.341564460704252,0.282992103953819,0.10046354857456,-0.0328246287980791,-0.0430827675521064,0.440170662760676,0.354098078348164,0.234661743640284,0.169412078628907,0.123866514164897,0.274801550891464,0.386375557986648,-0.0392155620614962,-0.0806029246821708,0.142926062380933,0.308029713487835,0.330577045355434,0.162782561902253,0.102669135184625,0.165411838439311,0.0105791733353567,0.229926769682727,-0.437748628230758,0.267588704728729,0.166095516870653,-0.0829830719070581,-0.053321907094376,0.178950266495348,0.135117036092589,-0.0416903112207185
stable,-0.102223755549981,-0.106630055665542,-0.0742868223215561,-0.19119978688621,0.164704132229337,0.322843463534119,0.487665621189739,-0.400471947723982,-0.194159539121843,-0.0291586818692035,0.0754632912662385,0.033819835393764,-0.224183567552035,-0.011408610216724,0.109367314015725,-0.267735044242249,-0.478799948559118,-0.0339983251015153,-0.0120060052993442,0.27814904443508,0.0062785789737858,-0.402530514239424,-0.265414231234616,-0.445342261141633,-0.0164885232981724,0.0012103256312621,0.0671117228787964,-0.082834171602333,-0.3082297042073,0.11785153745893,-0.109311320260431,-0.0692999908394173,-0.0207310260405141,-0.0166649528026616,0.0214743457675802,0.034037696925294,-0.040148164249497
stable,0.0774815198576409,-0.0519178835056008,-0.0027870448921283,-0.071710129566062,0.309700030458667,0.508139937409672,0.476281748770805,-0.272693213911098,-0.356215470317782,-0.0602292465792775,0.120060045807079,-0.0095229866276639,0.0961585703905909,0.14083886506244,0.219561831443696,-0.32734340447054,-0.223330630250053,0.118139965799606,-0.115983783570786,0.316927835415682,0.170802744299368,-0.338064511932734,-0.0856690314484341,-0.303932380210394,0.0644987376850657,0.0465406273174801,0.0479870918863821,-0.226003264175699,-0.190861259796255,0.120676488955518,-0.157217777060354,0.112009705943968,0.0786915133213978,0.08796288861451,0.099087394476798,0.0338025776618024,0.120278196577499
stable,-0.092380924807254,-0.0962257569571014,-0.0925089653654493,-0.234650456730029,0.146705643538969,0.445445113899246,0.433605138844032,-0.350490929004089,-0.289727108423337,-0.160710714768736,-0.0176636968683539,0.0462503156959809,-0.21772258232678,-0.0532990205942801,0.165412041247428,-0.615465862171735,-0.461678748406922,-0.129368481126866,0.0608811053179712,0.228590954123313,0.0088785544690001,-0.54589425124391,-0.28392262049244,-0.429843244086014,-0.0205124509807286,0.0215139664383925,-0.0750116100382032,-0.403298187735843,-0.312811084484903,0.0386958407044632,-0.321114241785196,0.0082595828984721,-0.0113139981523337,-0.066698689073324,0.0224841044601559,-0.0759917261354463,-0.0578286749987795
stable,-0.266940938020032,-0.4162587244643,-0.365071098134166,-0.243371746076267,-0.0158195778345647,-0.117452328963773,0.0135371000087047,-0.241246498664117,-0.211475641739674,-0.250697422073008,-0.270877201128934,-0.143807751559101,-0.0333033351694763,-0.223845672313999,0.104792702785554,-0.238350045920793,-0.295543405068925,-0.210051176437315,-0.162965791464062,-0.212721731282029,-0.0677206692244303,-0.286912583441188,-0.309079456645201,-0.37023509694395,-0.251569002588277,-0.246757422569177,-0.246612613174187,-0.158197506820107,-0.196374328139723,-0.195805712064957,-0.381203546438851,-0.220211154383783,-0.082801863449496,-0.119682501602247,-0.251704638567094,-0.248980255976857,-0.388405813870589
stable,-0.272177827209067,-0.0788179451272955,-0.196478368126003,-0.17861311202125,0.110385841504079,0.0422467293844383,0.255239711470463,-0.345935391348705,-0.147417730057008,-0.35427322516498,-0.297318233151105,-0.0753448851999277,-0.142865098735279,-0.198794016737317,0.0752004221738197,-0.199745920594903,-0.276185874836133,-0.225119815316309,-0.107602300592427,-0.0317016008762992,-0.273995780343276,-0.167232712543685,-0.263791762210925,-0.384115193895785,-0.151483074396268,-0.122273431550058,-0.0215720639198028,-0.0619406270695861,-0.206703837212586,-0.237948724047963,-0.318694586243325,-0.156087858523466,-0.201823638681085,0.034728565080087,-0.27099294466175,-0.321077917702931,-0.251272007972808
