group,CD80,CD273,CD30,CD40,CD3,CD117,CD45RA,CD7,CD49f,Podoplanin,TCR,CD185,CD62L,KLRG1,CD95,CD1d,CD35,CD58,CX3CR1,CD11a,IgA,CD66,TCR-A-B,CD106,FCERIA,CD137,CD124,CD2,CD226,CD29,CD18,CD28,B7-H4,CD26,CD1a,CD49d,TCR-Vr9,CD158f,CD336,CD307d,Ig-light-chain-2,Ig-light-chain-1,TCR-Vb13,CD88,NLRP2,Podocalyxin,CD224
progressive,-0.0197974118937666,-0.0310429887160258,-0.0450340724649309,0.0054582513348567,-0.4170662766893,-0.0874994583369149,-0.357352543268472,-0.477962057954004,-0.0350174428224019,-0.0156408025661164,-0.0124122162232415,-0.0804633493552347,-0.419850247153482,-0.06583360289863,-0.107055547694578,-0.0875752550278171,0.0205813189306641,-0.0120878690033944,0.0261755884026823,-0.106304736192723,0.217048173039312,0.168879198403921,-0.313881163648985,0.0217660122475853,0.0048006523571215,-0.0751507583070589,-0.16498365843648,-0.0575596779097464,-0.169263121732288,-0.0864701088383145,0.0282332104784153,0.0257334688590785,-0.0580384713731987,-0.1036240997437,-0.0610825412851107,-0.0025517188154823,-0.169265389337544,-0.0887021545409354,-0.0343322389792656,-0.0997854178544668,0.2850545176924,0.119386268233007,-0.0314417863664691,-0.0076254950946573,0.0496385000714945,-0.0484655407202318,0.0424092358409161
progressive,0.0161604622255975,0.0096580654067364,0.0816786142289453,0.0065346776012582,0.0033285477485098,-0.0459097246287286,-0.0103472741009971,0.023894264547384,0.250808231718181,-0.138380669583611,-0.0425197719759903,-0.11795300710615,-0.146702701671191,-0.0033426285583974,-0.187823266409708,-0.0046092101952195,-0.0409944768419725,-0.0683522055134778,-0.0125480411245302,0.10043508356641,0.0216089985429987,-0.0546598726261374,-0.0572517521588311,-0.0352843217711455,-0.0480572335931606,0.0606378992383742,-0.0285169958609496,0.270267310424347,0.0535397987224083,0.167040666868608,-0.0358704455346003,0.0514013381011326,0.0227680058456934,-0.0397053652108845,-0.122649808380435,-0.0754615395309155,0.065934161712794,-0.0144034323317849,-0.0533839381659756,0.026837344291742,0.074639140266551,0.0561430238431513,-0.0847995515204576,0.0022876231328066,-0.130548634380748,-0.139668231780276,-0.126909174610703
progressive,-0.103669052086683,0.0038203951963711,-0.063668267822135,-0.107703627176219,-0.385097352485156,-0.0902239511598266,-0.463512826092588,-0.365871594146484,0.0530651752849825,-0.0962834873702618,-0.155016616470088,-0.159769246349226,0.000477888169381,-0.0797733780763985,0.35027865530459,-0.109252377726799,-0.15956997094459,-0.0505692480952218,-0.14501818617832,0.0242836101976363,-0.184961058017879,-0.107614960931437,-0.356960085770381,-0.15311611428473,-0.115587382677104,-0.071033106599669,-0.192503579771955,0.0651939712647172,-0.0126565955374836,0.0504288080962996,0.0875963925306325,0.124181782540818,-0.0451467939072638,-0.111185884190358,-0.027015473987862,-0.0728121782029443,-0.121108022506904,-0.126922477946929,-0.0934622356691166,-0.123667898263865,-0.0785597941973832,-0.135727205901518,-0.125973718921483,-0.166523178605471,-0.0989322352067002,-0.0983923494856467,0.0134971407569522
progressive,0.0390909870924293,0.0752622079051753,0.139771201034564,-0.111028408645192,-0.0024731624223285,0.02217268561188,-0.0939538071719929,-0.135582278710399,-0.0608714438672292,0.130754265899362,0.0922045477168263,0.0533990464287928,0.0188874521103777,0.0616610558115351,0.247199113861652,0.100347370276606,0.199247170055376,0.207370454685722,0.164929207227016,0.137345941289575,0.13139752349582,0.212360738038654,-0.018721274897378,0.0347467623905678,0.141695101309837,-0.0080045752344193,-0.0623789872290399,-0.0304684946138028,0.050959956402375,0.0638764034619172,0.27749890065345,0.194108336061335,0.0691074779014497,-0.0739111980493892,0.0615360774096714,0.0227846930034737,-0.0357385859242811,0.0172974342656095,-0.0372454436436225,0.116846604149334,0.192460074255329,0.137243062682741,-0.0209129519523756,0.108162706825151,0.0640473950211238,-0.0579926307100327,0.0814853479273936
progressive,-0.362895144329149,-0.475648833554388,-0.372569144983164,-0.416795684452253,-0.148752687296346,-0.27925385974283,-0.156990142645607,-0.261073106810457,-0.0233347851339612,-0.304197661264457,-0.232082978414569,-0.342839228518626,-0.37186101492234,-0.298103786296414,-0.147635100657705,-0.0146988200543602,-0.379631775503234,-0.322588884304175,-0.275538684296681,0.121090621168174,-0.433209339730146,-0.46149239957847,-0.144704800548065,-0.456122364610483,-0.407801564389074,-0.370788475734706,-0.341992595574689,0.0773562499084304,-0.0710030407919443,-0.0920703661882225,0.0193273359011324,0.0604155406160662,-0.278419475572406,-0.279782777093188,-0.384828246814536,-0.120235234753826,-0.396220314987436,-0.142482224863772,-0.192717025568581,-0.204871380097316,-0.318837147090362,-0.0953126678241456,-0.204691446490846,-0.310205641451937,-0.24331395960497,-0.327233410022868,-0.391258591634433
stable,0.0194891492313319,0.0338083143406654,-0.0023158373121804,0.02662015421732,-0.29754091673491,0.0002195616034026,-0.369781657304664,-0.565646174354945,0.399510184381005,0.0362823768719364,-0.0322907588978037,-0.0234812708056956,-0.114601583745785,0.074575539467659,0.266622477767042,-0.0551045674286305,-0.0157389519405085,0.0615097591418273,-0.0099144348969513,0.473067311723417,-0.125343398085634,-0.0421502183002818,-0.339811798915464,0.057673856528547,-0.0177445729152776,-0.160531756954939,0.059646680143842,0.365659731405502,0.270835594314856,0.426259588666295,0.152065221476051,0.289972039286096,0.0503380065412657,0.0564201276625445,0.0327714937668821,0.0609215437947063,-0.0321011553976004,-0.0089583453851211,0.0218536706608173,-0.0350146398538608,-0.102639235321574,-0.113812220431836,0.10912795038436,-0.024237642378089,-0.0382450186898683,-0.0315945542216132,0.132135888648068
stable,-0.0313412187404652,-0.0538699517007069,-0.0576479048045983,-0.130244181153616,-0.121510399782449,-0.0025124707564803,-0.141345814648994,-0.276090052659403,0.189572691582269,-0.0843673681458558,-0.0533056428093455,-0.0093725042625005,-0.441280913272463,0.161121432892623,0.0498125407124282,-0.0192980655997683,0.0773387568621062,0.0215222207042878,-0.0572989251050766,0.216140598858452,-0.0368929366450967,0.0168197888902238,-0.176848555756196,0.0050231609704656,-0.113062801207772,-0.169412962684648,0.0517225033039597,0.315558377293384,0.173058559791876,0.334092492808375,0.159348613996007,0.0902241296561771,0.0614333192834536,0.429686938663571,-0.0051667081030778,0.350303069739081,-0.0620072763220275,-0.0373887811998425,-0.0176684610537337,-0.0006419911396977,-0.0154659220427611,-0.0188776222192142,0.020222063013117,-0.0460308700720865,-0.0999915157856575,0.0217183868843252,0.0566156837102014
stable,-0.0810289993885191,0.0060685692386768,0.0352116115961152,-0.0023740007947437,-0.23872587173481,-0.0227573486799633,-0.504503426133716,-0.450421849143016,0.425403406798464,-0.007751748250696,-0.0384828921837784,-0.0964820037643299,-0.31883513557578,0.125794390455553,0.46753145166121,-0.075360124281748,-0.0306165571449192,0.103511886138916,-0.0366133988744197,0.424324798533499,0.0114349129454047,-0.0356844274159583,-0.334280769696581,-0.0062885517550263,0.0110366979769015,-0.0784320411239865,-0.0667273575541598,0.490181858119076,0.278066292678583,0.455270916242867,0.403313328722502,0.259673246757149,0.0134033856204264,0.325744403934433,-0.0076062296570243,0.166588265443468,-0.057383845168914,-0.0456586962850419,-0.0008104709452635,-0.0165129531471284,-0.065540108625144,0.0094754809937916,0.0014042314405835,-0.0673772010453192,-0.0018101049063056,-0.0369450237022156,0.184155148451919
stable,-0.050806352356326,-0.0856576859568324,-0.0298461439617271,0.0016470503957666,-0.302837962670201,-0.0549098169032497,-0.36190768762909,-0.61736764861678,0.0023305880073994,-0.0027968466827462,-0.0205618677068543,-0.0838195949437246,-0.155928476567079,-0.0329557512339699,0.400424572808553,-0.0245666904676266,-0.0807577464611755,-0.0457064087046321,-0.0560085021546284,0.215537628159364,-0.0238804896335956,-0.0439653734262643,-0.259690346491686,-0.0741390263566962,-0.0874380055908935,-0.0662884988756716,-0.0211089859031229,0.278323306892269,0.0192867290544681,0.209863359941506,0.12199085230706,0.376712547747912,-0.0461861604808162,-0.0265916164829402,0.0670627107007079,0.177963259232167,-0.161780199641733,-0.0902310652042716,-0.0785914911151916,-0.1563465722152,-0.0421323166900079,-0.100381114735052,0.008436590945424,-0.0259508728923335,-0.0378918268712019,-0.102916359689444,0.0864296983010883
stable,0.000677820761126,0.0764717347990435,-0.0453200013614579,0.0116584060065446,-0.320477333070898,0.0854408220477547,-0.226536655742597,-0.496286167419386,0.236225803880778,-0.0198745631072905,-0.015526388861686,-0.126137101081188,-0.189402174661694,0.0559723401572746,0.20066557325723,-0.0508912859116098,0.134550921440329,-0.0290769799712507,-0.0750121981535354,0.192927864694131,0.0149431361701896,0.0430108224696976,-0.241206260372922,0.0224384630289025,0.0346042125460404,-0.0446614658284793,-0.0282916786396688,0.234483130792002,0.0798538117799704,0.333867452746248,0.168643961832772,0.246424893768334,-0.0161177612277923,0.131645300787494,-0.0845714578928364,0.223102465656191,-0.0326326898230743,0.0009611858057837,0.012205800712498,-0.0621779825539093,0.0070765476615411,-0.0123785010860926,-0.026608755882265,-0.0351504669622125,-0.0953294336260472,-0.0651267488462985,0.0887655959279813
