group,CD30,CD154,CD33,CD45RA,CD7,CD49f,CD16,CD294,Podoplanin,TCR,CD32,CD152,CD107a,CD95,CD1d,CD66b,CD35,CD58,CX3CR1,CD24,CD11a,IgA,CD79b,CD226,CD29,CD15,B7-H4,CD26,CD144,TCR-Va24-Jz18,CD158f,CD337,CLEC12A,CD150,Ig-light-chain-2,CD85j,Ig-light-chain-1,TCR-Vb13,CD82,CD101,CD88,NLRP2,Podocalyxin,CD224
progressive,-0.173779881829035,-0.115321369202565,0.0401049084221451,-0.0445063620935584,-0.126916791906566,-0.116215543465883,-0.314419349941924,-0.184247846067107,-0.3313086930288,-0.205784227840884,-0.136727604185949,-0.116416555485493,-0.20558246038238,-0.0045903261792714,-0.151637883861932,-0.353210781656372,-0.29974636070429,-0.275790525131269,-0.247107682923121,-0.163779457342179,-0.265007071006364,-0.289782527465365,-0.184407841824731,-0.122211925805154,-0.151147928294416,-0.280781822102625,-0.165061114684031,-0.345112408338624,-0.170139062439361,-0.143254374083656,-0.122224200848661,-0.109287869028934,-0.253541056517743,-0.291798943653357,-0.233747014088925,-0.235807849759897,-0.301882139845995,-0.236629224027172,-0.20656588350979,-0.209871395527202,-0.260873617009315,-0.221975720008451,-0.108033417410387,-0.244311323364358
progressive,0.140819719734822,0.201830744614559,0.46332658744273,0.220075964190217,0.0857627657233971,-0.106151798327159,0.601879093919591,0.128921753617683,0.420470997510205,0.274607593676684,0.411487950984693,0.154812885773153,0.503737038794906,0.183275626389795,0.107569794568791,0.650091537770638,0.484482853912768,0.358666440632104,0.319945717116088,0.482852471312812,0.0873064485179538,0.247760316627927,0.140610531467521,0.0353678094385598,0.0469383071557546,0.58446148690968,0.290955541335181,0.119716488079694,0.130051267069371,0.0517353729415595,0.23727836743805,0.227607375127714,0.630473296046413,0.189693232091735,0.25314864105094,0.245989901139132,0.151994103755191,0.250941162117406,0.17041033355378,0.16555154163087,0.371023143639538,0.222430888365712,0.288343342348214,0.338145847316745
progressive,0.0777274060547141,-0.0078528957160362,-0.0097847502858801,-0.429780999753254,-0.438937603510378,0.0201273992719205,-0.079613840591159,-0.0331100709634386,0.0030585013304644,-0.0346696535298841,-0.0771197008778579,-0.0612385890450907,0.0277083491668632,0.480354218175154,-0.0304916752665557,-0.0879835768377815,-0.0353982861994568,0.0443016716792327,-0.0409911934002279,-0.0581174109209212,0.0675914551993851,-0.0515642819598781,0.0200031517114535,0.0685229476784874,0.129325365456031,-0.10000317397039,0.0506220053085875,-0.250692245799489,0.0101401462048959,-0.0533124240145075,0.0041860580194101,0.0278350708570835,-0.0535943332978077,0.0752539594664389,0.0322252932832539,0.0149640349204089,-0.0414400576691098,-0.0172134024732727,0.114336379507929,-0.0978382475812544,-0.0553378448991339,-0.0140743610344362,0.020707789799565,0.115943459556273
progressive,0.0343457445546614,0.0236710064485021,0.118586718298054,-0.237167203636339,-0.121518915128867,0.0440823638239251,0.0487876828532354,0.0439428465648594,0.0016018924215669,-0.0209689389878195,-0.0118320913857464,-0.0755801903203598,0.0711032516161564,0.373155593147892,0.0134156354003744,0.0488449521298681,0.0601129951360605,0.122009173386243,0.0517271791732678,0.0314894833107869,0.106256607998461,-0.0012714579831174,-0.0673141412944526,0.0116519950867884,0.104651558048651,0.0383041816218453,0.0669825863466467,0.0374039432439418,-0.0677670308231362,0.0008125262626958,-0.004052216958609,-0.0095145379587512,0.131968795674537,0.0052701380485416,-0.015742722507332,-0.0101811898984544,0.0757231129419212,-0.0110203812048842,0.135468086234175,0.0680696606981639,-0.0066994246759789,-0.0145521126473019,-0.121905572549643,0.0317171925445528
progressive,-0.131782639918451,-0.552036424312487,-0.0882804939179739,-0.298708092145146,-0.224059897262649,0.328538958949581,-0.175479722738267,-0.150570551039673,-0.208456879482564,-0.302918310038175,0.0135440716815194,-0.0649697469301301,-0.214358706247198,-0.105554293225118,0.0223893419393419,-0.1984119769645,-0.0053286000805089,-0.230949928655746,-0.105273075794068,-0.322151550694415,0.101597683680072,-0.0288476774068128,-0.0232055799467474,0.0750162561410542,0.0870719079702291,-0.250876016716525,-0.101728998658845,0.010770398941198,-0.032286427860094,0.0202768567243124,-0.0783188628643813,-0.140917243823851,0.059465391733491,0.0536394016602661,-0.063458777775197,-0.25591657511618,-0.23608309924993,-0.18414804859636,-0.243640799389298,-0.148045775258905,-0.19157035631772,-0.380174191401098,-0.151682455552928,-0.0451357098440481
stable,-0.190912439734626,-0.188841652616489,-0.074307648053795,-0.446935751779448,-0.588551937246905,0.106313698631064,-0.161756317607839,-0.309985494758677,-0.16894635692784,-0.231604294605161,-0.246537475422303,-0.25402141957543,-0.151716423186685,0.148045634292761,-0.291754770950944,-0.149582889256325,-0.134917916001072,-0.18098907991279,-0.229814419179686,-0.146137943577736,0.1543243704494,-0.282651414768457,-0.1941930326785,-0.0502951578193711,0.124175322226482,-0.217914176899346,-0.186098098495894,-0.114134640474114,-0.167577069950167,-0.224567151763272,-0.282080697197992,-0.227831464922974,-0.0973579169288513,-0.183158459681097,-0.248590849026075,-0.183477197392774,-0.278594438539288,-0.148614229139382,-0.0780379095826465,-0.266065747274681,-0.223334257767552,-0.197178955920011,-0.270181336798632,-0.116440354494346
stable,-0.109798805417497,-0.0764525375423243,-0.110418482023776,-0.298624364835067,-0.464782479003346,0.168875560728917,-0.130074458660315,-0.079934421536491,-0.158448463952643,-0.141434689457707,-0.0870090380453875,-0.107946197665344,-0.0926792744503418,0.24035470965803,-0.0744779000224583,-0.14990697754557,-0.0846239979318752,-0.0090430867532755,-0.158264527320602,-0.183328898272304,-0.101539830768499,-0.172538135887868,-0.132112855879512,-0.120055641753483,0.100798908019709,-0.129461046005679,-0.0760253368058226,-0.303597955163378,-0.140507535033299,-0.0713971706712238,-0.14195277721902,-0.128279236418583,-0.11918904985404,-0.0901186106431747,-0.136265442371673,-0.094308099876088,-0.0945591360779481,-0.0919013086064359,0.0597992289347874,-0.0442832436150303,-0.124197076906117,-0.177121184471356,-0.0999520462393934,0.0448452813196588
stable,-0.158668941914055,-0.200104587186104,-0.0826702794344931,-0.477678369574479,-0.610748969388321,0.0815710734130673,-0.215563472373588,-0.219797397055321,-0.210008603318449,-0.289864003285092,-0.144076613262504,-0.176492325615851,-0.0955870902601229,0.311004237847329,-0.218304620335731,-0.184713984522735,-0.163723959686625,-0.149242025846585,-0.246295906874902,-0.149570026166396,0.130940337204045,-0.219056313961136,-0.240125004344975,-0.0383640285029199,0.106200002237166,-0.253627260339577,-0.209194776627296,-0.0529570886969815,-0.205264730351642,-0.135458014505256,-0.28825243913168,-0.242504148737585,-0.0414612554689123,-0.0746981911784285,-0.244218920229631,-0.218196900750885,-0.165150378551637,-0.217313687221075,-0.0176222943998694,0.0066320784556927,-0.199381401277729,-0.223791095692972,-0.244404779836521,-0.0778329442381765
stable,-0.207701788887719,-0.237995269931133,-0.0929306326014022,-0.411029389038194,-0.53472252540736,-0.133003235040455,-0.216684665147407,-0.21452245510038,-0.223367200912759,-0.261969911306641,-0.266102931008152,-0.256841118517428,-0.146813560990656,0.219518158277333,-0.230917046558122,-0.0933635584133214,-0.190164137798261,-0.240713130103394,-0.270256528337479,-0.183968169327174,0.0048794053059874,-0.193157706543944,-0.273295194333548,-0.179918257863065,0.0101856079029503,-0.0909771718629266,-0.237170269571502,-0.167273899728301,-0.245360001305066,-0.265587822352607,-0.293223670252825,-0.212621315148326,-0.129824592017297,-0.172091959083728,-0.192749375876536,-0.24276351881726,-0.239822703763698,-0.18102021873651,-0.226180274756045,-0.23207367059057,-0.237993786507136,-0.258019165947596,-0.277201217767386,-0.137757198015464
stable,0.0429688037748046,0.0621323301380634,0.151598308217533,0.035160390298243,-0.161874012694062,-0.128825954834576,0.0126446091932482,0.228989546082028,0.091496450441571,0.0265713717572862,0.140843636006541,-0.0018374012198492,0.0535557414989609,0.169099159682271,0.0764428407256631,-0.046175974602047,0.0141137924534932,0.0713101414557654,0.032778598259679,-0.0142222495359646,0.0917283305495161,0.0778730831986664,0.0784149054170356,0.0119517772074572,0.117901109984016,-0.0388693243661303,0.092019137525706,-0.043949420220534,0.0754722494395177,0.117763495641866,0.0022763078482637,0.0288823370476563,0.116434716567581,0.232547513125969,0.0391585060981953,0.0816247657439598,0.0131738912375855,0.203520337501063,0.101563030992525,0.0504368155856896,0.0737240272810059,0.0117632428573889,0.0492853802504194,0.136239617446688
