group,CD273,CD275,CD252,CD70,CD30,CD154,CD10,CD7,CD194,CD16,CD45RO,TCR,CD196,CD62L,CD95,CD1d,CD66b,CD58,CD24,CD11a,IgA,CD206,CD169,CD137,CD29,CD193,CD133,CD94,CD85j,GARP,CD82,CD101,CD258
progressive,-0.302739782935774,-0.195941412075524,-0.186968032854154,-0.183871439007683,-0.0104544515315124,-0.0632546557106855,-0.21953644003619,0.0464791821082461,-0.174707157605924,-0.116054799172076,-0.0423943831558505,-0.26853048101531,-0.23960142684971,-0.0489650550990171,-0.0619809121176055,-0.209773986047871,-0.0406409661931647,-0.251804748397451,-0.195385124412883,-0.142582671754842,-0.179496837821111,-0.0704528031268486,-0.179308276798575,-0.289579639847217,-0.13481043287978,-0.130086340062246,-0.12695608773484,-0.280224212028655,-0.143517039316987,-0.181583415534203,-0.321086002985648,-0.21777543088138,-0.243941328526275
progressive,-0.105144792705964,0.139775052832078,0.135431242203455,0.0174645798576789,0.221568830863207,0.0793886955172863,0.0199887334046732,-0.134041569075373,0.237960762214068,0.0021811568553609,0.0963366117995949,0.0310996566921341,-0.0057921433522023,0.074629853831687,0.0208280102305523,0.134701816317437,-0.0222270559784095,0.173032565238566,0.119518901874311,-0.013196021481421,0.103990557090931,0.156252370164925,0.244224862353782,-0.0590425552220288,0.0190234161264139,-0.114404334665115,0.144750932088317,0.0081746427184566,0.163456344537424,-0.0267658087711296,0.0808133600090901,0.103268630453089,0.0652459016396733
progressive,0.174721740796596,0.0700572366162704,0.0082018762335692,-0.071313716821275,0.178309341368145,-0.0521972949990157,-0.0506265119659645,-0.236955047907718,0.229075128914714,-0.109667980415065,0.0182438802903484,0.126391494441838,-0.0853539899580863,0.0550998131174088,0.183599543130769,0.0718669880423142,-0.0512725896300113,0.0183386390313211,-0.0298840168386759,0.02865373133592,0.0556592265818115,0.135861606088773,0.139832483252835,0.0173062737828764,0.0648153869682292,0.158056441371846,0.0450537258811646,0.129438028047093,0.0134635064210305,0.0339846197895027,0.128646373244595,-0.0208000673423425,0.0543808821942696
progressive,-0.0413526882719014,-0.0299602122761175,-0.0453436464937601,-0.0959215517531597,-0.113647100527076,-0.120177182169765,-0.129314956341257,0.148895949879767,-0.135409099573131,-0.130780213949878,-0.252395044271733,-0.0374836226017066,-0.0425206108695144,-0.0693161309495968,-0.321811934757602,-0.0834382717676107,-0.0030412046975607,-0.112216917240419,-0.106748849176228,-0.161609018379625,-0.0641434043556204,-0.0380351814016366,0.0334050844929005,-0.0651802681499226,-0.125872258764135,0.0597730699533431,-0.0239530645943206,-0.0030047792899809,-0.134452344429799,-0.0175524934604438,-0.0747143071764371,-0.125396382535485,-0.143225630196501
progressive,-0.456938653353151,-0.441690330629405,-0.424701165003234,-0.54085625869183,-0.409027564387564,-0.495126765256287,-0.401596060880775,-0.34054628583953,-0.401759507723817,-0.435481766090242,-0.407876144696456,-0.419145070383097,-0.444482883160538,-0.236203829832856,-0.24364595353662,-0.452562404796061,-0.402757770062518,-0.556564627533218,-0.497233915202249,-0.334094143783407,-0.474596799821291,-0.474545398336805,-0.531633326986494,-0.423380352282774,-0.239123772774371,-0.442543155389455,-0.547774761882664,-0.422529232876872,-0.424733672890426,-0.441977618517369,-0.456865137652096,-0.410358390009327,-0.418602126896918
stable,-0.110866526861099,-0.0739658891445098,-0.100939937247277,-0.111337055592803,-0.0917863921918613,-0.0189673117524829,-0.0536650993991514,0.453152493827809,-0.246789676693905,-0.0334514970507302,-0.0670719514652423,-0.0392977893822873,-0.0679829361209633,-0.0303204345690861,-0.27674949908664,-0.0348169630404625,-0.0005809261599455,-0.149819599563296,-0.0013339867428394,-0.498901661900838,0.0080564334665224,0.0180350406385113,-0.040674895255797,0.0566516987491345,-0.41881248302181,0.0045999139465062,0.0191998046294533,-0.0473927239170391,-0.109371204427532,0.0739838719623232,-0.216669556223298,0.0330801119272885,-0.10174819616075
stable,-0.171824653588696,-0.0747576265290945,-0.253519040174424,-0.106493083539501,-0.213329015094288,-0.0773849611924183,-0.220744777628591,-0.542594849411031,-0.0014339188886085,-0.14858871909566,-0.0505432470212454,-0.306795869463209,-0.0912956585164705,-0.438456827039037,0.107878927918439,-0.206800524634136,-0.26671687892631,-0.198044595729377,-0.164486516433912,0.0076541567110707,-0.299359544370083,-0.134125803713923,3.99021076269265e-06,-0.219344418553625,-0.0347622632163085,-0.213414302098396,-0.0892575529218745,-0.0984106137469466,-0.246163421969348,-0.237247628277205,-0.108869656925976,-0.168032792951331,-0.211368626749983
stable,-0.156570263645858,-0.167676052308301,-0.0873428041372758,-0.0627220771467953,-0.150475260669911,-0.0599004778093129,-0.0479235315881525,-0.361015948958652,-0.211555989143787,-0.102236619860836,-0.102461008817158,-0.175371743123313,-0.0715325163487368,-0.217454176670808,-0.0952708277673802,-0.218062784389225,-0.0320344677002155,-0.134640142471426,-0.0291286914979026,-0.0624406166296667,-0.160485578803079,-0.105317724601237,-0.0953841801447386,-0.235885077807224,0.007317671551201,-0.0817854348420462,-0.0276653290090152,-0.055672770988604,-0.166705781610303,-0.0559537560815635,-0.201812416270552,-0.197807258802224,-0.130699650518747
stable,-0.163247799536977,-0.220037920376182,-0.221965350991769,-0.0525753382114593,-0.182876622947951,-0.0946806323748216,-0.140853282549409,-0.474233453440797,0.184105027593149,-0.157593081360809,-0.0756305432760743,-0.195832606222142,-0.0719370703157823,-0.210674388919025,0.224098508249601,-0.173130997736163,-0.0244168250632647,-0.215288788103827,-0.0638292988287163,-0.011402241016889,-0.161324582135492,-0.119461224465211,-0.0357862299334191,-0.168085255369285,0.0118798261386752,-0.0524318143871132,-0.0613933803946099,-0.195325723615476,-0.21209632173735,-0.195285505171661,-0.0940268363640288,-0.191124574072675,-0.167842843661986
stable,-0.0348561587137273,-0.0020077628271589,-0.0266870499725636,-0.0734114500793252,0.0816800240095822,-0.047408795528864,-0.115813038780282,-0.0592691408732681,0.0964580148038192,-0.0689728648159482,-0.0056641022191264,-0.0119269654667713,0.202764911249693,-0.0260845287586906,0.0366928595457225,-0.0812130544991203,0.0022308704607539,0.0655487655002139,-0.0341447712215455,-0.0060702881232298,-0.0198519204178032,0.01204018221465,0.0516233110220718,0.0572590498167875,-0.0144767079182488,0.0898003463644622,0.108474397101199,0.0024456144437136,0.0251048492312213,-0.003026070457898,-0.0656070120628273,-0.0681833649244311,0.0227265412875165
stable,0.0959511997685366,0.101333434638306,0.165630777809241,0.0319159839765821,0.0490299992187702,0.161668913744011,0.184763977628129,0.028679676212428,0.031922856917926,0.157945461798707,0.0365314121357547,0.11087171155117,-0.0953278970345605,-0.15037256702968,0.253853592425224,0.0766632096246332,0.234920135967214,0.106516137576469,0.178177784441981,0.13430811143461,0.12222504658232,0.252240715870312,0.205045355971107,0.0119139080998086,0.059614163500479,0.111567132078766,0.0758864089802803,0.115057065730494,0.05202291644149,0.067784863999507,-0.0137152124396672,0.113337213231653,0.0886400234236342
stable,-0.0012928851933117,0.0858964068709986,0.117987156292973,0.0460601103216342,-0.069382425354532,0.0169929256443484,-0.141827096171131,0.476259239268878,-0.377269627639793,-0.158005544058189,-0.0280398629419473,0.0560802531848911,-0.205733729766558,0.219546957465709,-0.53570724343892,0.0676943787077044,-0.145626004869592,-0.115794491002329,0.0732459115651835,-0.315425111189621,-0.0315408931108741,0.0308365421475961,0.0382173768973201,0.0507989083935278,-0.26697490726932,-0.0734758281103873,-0.0585534436638443,-0.135724343274002,-0.0798806828658997,0.0643357772505879,-0.292610617621195,-0.0349031133722458,0.0260711398736965
