group,CD3,CD19,CD33,HLA,CD117,CD10,CD45RA,CD7,CD49f,CD194,CD16,Podoplanin,CD32,CD196,CD62L,CD107a,CD95,CD141,CD66b,CD35,CD278,CD58,CD24,CD11a,CD79b,CD66,CD244,CD206,XCR1,TCR-A-B,CD2,CD29,CD15,CD71,CD193,CD1a,CD336,CD307e,CLEC12A,CD101,CD88,Podocalyxin,CD258
progressive,0.0985552844827469,0.0720530612737465,0.187496479893579,0.254257382219683,0.310478854247901,0.412914007284862,0.289210933409123,0.0749059202198467,0.268031151101426,0.317843419298742,0.0466886576265349,0.374225548638225,0.342108308086565,0.193347453142533,-0.0088029560363948,0.337584196614774,0.10778717203189,0.276440886827758,0.0297532070559826,0.236072259363682,0.244306197673387,0.422496033236242,0.240708683898883,0.181162061466168,0.432962643417448,0.227621670952939,0.264588919382695,0.136087325443107,0.192808984997824,0.186731191614854,0.0861810026601975,0.282328685281012,0.191750055803651,0.187090944164719,0.201962303707145,0.168656150943004,0.39586998716591,0.441259983813716,0.228574532180564,0.282743209747051,0.303134405269015,0.312259131579284,0.279587531292522
progressive,0.231746075984537,0.0979498975841467,0.415913836199158,0.226928315171859,0.203796839171707,0.372896613952228,0.108572731981459,0.132189095684367,-0.0720186891887114,-0.0083321625206075,0.658559855534577,0.41255816775083,0.441204992037412,0.145945427042992,0.351683954183781,0.520721028693322,0.0990069816943193,0.139813891097721,0.674550096334743,0.538991217970757,0.0432989708910702,0.394360861899948,0.501222756233172,0.0966878119245945,0.24998898668678,0.394502717349153,0.106169134139566,0.240725856459358,0.170401905043273,0.344569151341048,-0.0856722889529898,0.161345665463105,0.576701758029983,0.234509717025904,0.525069177506156,0.225875078961003,0.435450414005689,0.0481509255171554,0.676236111237899,0.162093499995982,0.478916835703245,0.333873554695357,0.404512263559574
progressive,-0.0353325815578013,0.129977103171215,0.211368733237389,0.300360910489342,0.198185146614904,0.0453441429037606,-0.165756602202433,-0.0712040840461173,0.0814546510501424,0.367073488905779,0.12414797457496,0.18115227741667,0.168664193805315,-0.026496065074418,0.226991551131183,0.172332071505363,0.468646869581367,0.155547364272717,0.137628576378931,0.163641025949427,0.442717447165966,0.259569462188409,0.191464586635997,0.30346073153417,0.169172090387221,0.160777956099577,0.232239769570853,0.205346284388351,0.165426939226814,0.0605775942181047,0.239520884298806,0.279331095995125,0.175013517928349,0.4215250660601,0.0822192156054517,0.253839769800948,0.194633872292035,0.146754873192805,0.212152519229364,0.109607156484983,0.183537110738961,0.204618269900995,0.129721000901642
progressive,-0.16746827202522,-0.451494121714244,-0.215220057392818,-0.20023051591402,-0.289011719918036,-0.329458653485865,-0.361289294583311,-0.2727640816648,-0.203758601960897,-0.213992096601971,-0.285571652667724,-0.252643716522226,-0.36002219343124,-0.241996919950111,-0.196937170301785,-0.350823791305044,-0.137004280539542,-0.302059639655495,-0.370245289303317,-0.357582692373559,-0.200463456248249,-0.334647593419484,-0.370575563342754,-0.212869787242682,-0.355989560176767,-0.25461270896208,-0.41213386687252,-0.40738088344289,-0.417592806710066,-0.222173147337608,-0.0190303540046612,-0.318263970547589,-0.33103740902508,-0.143607257121126,-0.393390609627552,-0.404854602157141,-0.367563034759103,-0.191045739317063,-0.405979339813232,-0.31969747021532,-0.325613805749949,-0.435194838567918,-0.364665342978591
progressive,-0.186320330261495,-0.147684911993306,-0.0935721609510689,-0.200569388021332,-0.43179534479002,-0.357415530079305,-0.171795500193323,-0.15288064813225,-0.126612815634271,-0.183526761040035,-0.421621590528404,-0.31870384032232,-0.330933002592741,-0.423273923940774,-0.325316245507762,-0.38598153674589,-0.103953044844883,-0.448291702118116,-0.409742366136347,-0.513962065904901,0.0778894337017605,-0.368099605539278,-0.48629126742051,-0.0315218071405689,-0.0570547858957362,-0.408828484245063,0.0837502435118349,-0.379237907210785,-0.217376280415096,-0.322764649908372,-0.0202230452848022,-0.172415953840411,-0.486896310755535,0.331012503344303,-0.352810614921747,-0.248306287818949,-0.243389647527791,-0.0049001721812767,-0.482474933554335,-0.457067357966065,-0.44421843101011,-0.326553219639223,-0.364551001799889
stable,-0.308115422992882,-0.0399911352679459,0.0123713449846751,0.0948633625913422,-0.0936806311249543,-0.0769501108162055,-0.34140890214473,-0.57810561513091,0.272159840016351,0.11281289082091,-0.0928544172965435,-0.0489024976101985,-0.123922001581431,-0.0005217016482654,-0.166400581880535,-0.0669685837125655,0.184004692482747,-0.0083097324960203,-0.108671391582131,-0.0990535869159344,0.212536008761789,-0.0337472843312664,-0.0586650066528026,0.325239739386163,-0.0849460874347091,-0.0829123062524699,0.0017410339510027,-0.0728081495098742,-0.107417182770181,-0.35107865746864,0.264551638383317,0.278118113696901,-0.11153403993083,0.216844171331374,-0.0626425969340347,-0.0745416607488962,-0.0349191005122063,0.016553272031071,-0.0235520640744512,-0.176697373020209,-0.104993576712435,-0.129459293429604,-0.0661945363375561
stable,-0.366929773360458,-0.0074605475621603,-0.11045744014958,0.218077848196375,-0.0406600336251225,-0.0015360840270011,-0.39967676183454,-0.364223497179373,0.287992576774927,0.108534732807003,0.0068696224392288,-0.121201965156693,-0.0120575900513976,0.148712006850479,-0.41092129177775,0.014697866707282,0.309989902525557,-0.0357151646214476,-0.016378330861226,-0.0864333193753706,0.0078086622824495,0.0627075429238384,0.0034088280832868,0.333150425891807,-0.0785323093502108,-0.0444235119557624,-0.0070266888705967,0.0133676159330934,-0.0268924494948155,-0.349704935057189,0.432399506947938,0.39199223746071,-0.125553252628345,0.101709610780627,-0.073856611493082,-0.0757353386489836,-0.0849008265574289,-0.049039661168965,-0.0164332820507019,-0.0186532684760109,-0.0619766684693035,-0.0208591740426554,-0.056161067015681
stable,-0.0793991061303628,-0.0100403599493579,-0.0198890760245592,0.356352127543231,-0.0415411534511421,-0.0055639486295742,-0.463890754699117,-0.256375643991021,0.469247393492962,0.165345815555826,-0.0587474785798732,-0.0054366997051219,0.0354993677057817,0.0870743228760338,-0.257717406513644,0.0476855520880098,0.472672516640866,-0.0360713911049713,-0.0350214627969171,-0.017416438970965,0.242363210067857,0.089726246767311,-0.0260963194021417,0.465194423791298,-0.0272758572017575,-0.0534659818424276,0.0605670822762298,-0.0687700877659658,-0.0423978132527582,-0.205079767523414,0.570519613811653,0.468064707740191,-0.06811619909656,0.1621707482267,-0.0087224763598322,-0.0326626203721166,-0.036643787674896,0.0236989028801875,0.0108354207689714,0.159270305838601,-0.0498832519535028,-0.0476010320939009,-0.0199352446793161
stable,-0.420781616621058,0.0551536645431189,-0.0611530879160175,-0.0337556898990561,-0.0730803434255637,-0.0494589118273892,-0.280697956354344,-0.552476145583126,-0.137746226102786,0.157831973419066,-0.132652272918804,-0.129684192201346,-0.205735366930335,-0.0196162936259564,-0.180067404189483,-0.0762758037712781,0.22618549900082,-0.0467927684628553,-0.0099503322209911,-0.0954011727892534,0.0984684752749965,-0.147903831837321,-0.117432885588577,-0.0267795503472944,-0.198302966068905,-0.092532923713689,0.0046866527552801,-0.033016697100301,-0.0226820970315548,-0.427042016031097,-0.105464143545111,0.0050645271799217,0.0108122463160719,0.224965090469441,-0.0923694918190255,-0.0337999776106782,-0.202065894150206,-0.112806009884768,-0.136715424582724,-0.146678923746829,-0.16623871011178,-0.224224294566189,-0.119254360884639
stable,-0.156917900823827,0.0378838736560166,0.0025836472994445,0.157228774083222,0.0461976682479044,-0.0780723830588356,-0.1099158636497,-0.385717366352945,0.0751807290928609,0.185205953075155,-0.149378481378535,-0.0790556642615007,-0.117219856341139,-0.0355609452144316,-0.151944703100325,-0.0648024789147853,0.275234897027397,-0.0574676833543128,-0.151711419858522,0.0568860638081587,0.168514272213573,-0.10434030223556,-0.0862806300025014,0.219046074604431,-0.105860766025211,-0.0438617054996044,0.0097200080283445,-0.128357411010167,-0.132123951520686,-0.269915093794117,0.215423707762629,0.250085234603534,-0.120609932330448,0.228848246897787,-0.0969323727335393,-0.123346096795068,-0.0865464896275459,-0.116505787324019,-0.0889589549814957,-0.125872696426293,-0.109711064863534,-0.181840278916778,-0.0346989380393317
