group,CD137L,CD52,CD269,CD10,CD45RA,CD7,CD4,CD45RO,CD326,CD146,CD5,TCR,CD32,CD196,CD161,CD223,CD95,CD35,CD366,CD272,CD58,CD96,CD39,CD178,CD11a,CD244,XCR1,CD268,TCR-A-B,CD122,CD267,CD137,CD124,CD2,CD29,CD28,CD127,CD71,CD26,CD204,CD1a,CD158,TCR-Va24-Jz18,CD158f,CLEC12A,CD85j,CD101,CD360,CD258
progressive,0.378048372735459,0.450704914873931,0.296029395978429,0.356831571618613,0.154307293186787,0.318548965929222,0.438299832316508,0.374005418088525,0.429701190629185,0.465626594828892,0.384684219826851,0.350284324867142,0.37098575890515,0.143798070751428,0.295495492403134,0.362937650808531,0.155886950936175,0.254187635794427,0.402354116115066,0.375864325162464,0.371568998963298,0.362037720087656,0.360382344755399,0.413025547601516,0.425218944770893,0.363526453793426,0.392198046415002,0.0054133065412934,0.472003849563694,0.385333597961573,0.470509648630564,0.130474473939419,0.374748777192498,0.369019482752563,0.364474814209974,0.407914846703077,0.32729034943,0.132189160587088,0.190905643352161,0.247037012029732,0.352719881117916,0.0571126471142376,0.350420188581182,0.413916485398782,0.333248479675104,0.411617964557988,0.309905703811599,0.262238006876363,0.382716065674976
progressive,-0.141447879540392,-0.15012454869636,-0.109131519641688,-0.190128198099378,-0.232448505464007,-0.0111060330240513,-0.175809782838211,-0.0792940565095576,-0.0228041023378825,-0.0126772602775276,-0.28114057307641,-0.162546796205829,-0.215303221260737,-0.223322848697413,-0.222628415121775,-0.0532348744712287,0.0219898160750558,-0.138117455221487,-0.199436554899627,-0.0049604377020563,-0.199549594617062,-0.234329292621413,0.029162222079568,-0.164491247052459,-0.230572934845663,-0.209790947068731,-0.184677874523652,-0.502795649475128,-0.0615421782926713,-0.147408220088287,-0.129422212348227,-0.156106487725804,-0.224790216391196,-0.17537732159979,-0.0411758572269118,-0.190882296970392,-0.358228239350528,0.0459379172068888,-0.167076856990342,-0.0543809002799282,-0.0729127371541089,-0.156095526477375,-0.260580585415698,-0.233985400314965,-0.107037751169648,-0.109068696520152,-0.269069691217206,-0.216186115408694,-0.191937001278906
progressive,-0.0079599140829359,-0.125735178653621,-0.0387199148396503,-0.0006324193999654,-0.259107527865275,-0.186078565830324,-0.151139962895596,-0.0330848937618399,-0.0095385250816241,0.136937650319087,-0.146309495277389,-0.0326480151249938,-0.080864641983988,-0.0055143166465522,-0.0359076557087876,-0.0736138338549525,0.0212004069774278,-0.0005592620597915,-0.125144062638451,-0.113795581087544,-0.0410407151438408,-0.0828264921302446,0.0975658432659733,0.0116365254131325,-0.187654079331554,-0.183446467419324,-0.0570646550114057,-0.0538324990463466,-0.146191794835122,-0.117736660465065,-0.0627562410807581,0.0586074568960727,-0.0496726905397722,-0.179263565733884,-0.155280677708005,-0.0879395008614951,0.0493791872740243,0.0356816435360558,-0.171085986601679,-0.0765009209947845,-0.055643780204762,-0.0877931889477728,-0.0607063360093805,-0.0544389117129932,-0.0408297009017128,-0.0696720588948292,-0.0834461591450371,-0.0748326535084617,0.0041948000473428
progressive,-0.0674555288518638,-0.0210478092211347,-0.0391289010692188,-0.116636403074908,-0.387802121047406,-0.296053262916306,0.135886234847923,0.109829094652615,-0.0613581051698233,0.0039956319315414,0.0147841629803932,-0.0969278230106571,-0.103464626736681,0.0286146832621076,0.01685648933406,-0.110873914660615,0.272096012254635,-0.0647055169852845,-0.0511928206944967,-0.0777237504337364,-0.0039738417324032,-0.034299795904791,0.0194531275262669,-0.0754756817710212,0.0806110733470828,-0.129173176785259,-0.13705440528161,0.012064132843228,-0.153811011639505,0.0180348774172619,0.0358466900357741,-0.0315937127919552,-0.0826287242770559,0.188895027418813,0.040594946662365,0.097618885237594,-0.133513629184215,0.0757882547277411,-0.154633216445093,-0.0962609606527414,-0.155714101110028,-0.0318782952121364,-0.0182512153377129,-0.0785126508586074,-0.121333344230104,0.0088915544643614,-0.038186766645386,0.0389355029042998,-0.0454335266894323
progressive,0.276091639316037,0.245098844327766,0.386474539109892,0.264090363891931,0.182466028155642,0.0166497547965891,0.0518992857906122,0.192551635994412,0.281111266957219,0.0589354643735529,0.163532620421207,0.0616952888334631,0.165497423834456,0.443706945628108,0.0571641276166879,0.0803011035022595,0.187089860746706,0.381180787154545,0.207351883833574,0.209416559128513,0.214215321525878,-0.0601163561824733,0.116633510250249,0.308831912638147,0.137931038681628,-0.160384864830559,0.193091566721393,0.06391843922643,0.128557216169802,0.127669185583961,0.154067596941526,0.392140147770388,0.24914110734468,0.10216980240512,0.15192844608271,0.142190737935038,0.352494064655892,-0.486525298295629,0.462570064871105,0.381419364928786,0.2364644648543,0.51579798125157,0.240717913773029,0.0964923006561162,0.402382484063289,0.264267732389732,0.437888841321577,0.394588475807149,0.187414382209284
stable,0.267648502602814,0.11977828624399,0.32112318560825,0.157877225455078,0.28218504354944,0.256232499212716,0.0865693156829851,0.134045020524579,0.0626069113066757,0.0209133912593138,0.0203837042534515,0.237875123471446,0.264624050223358,0.104754745424945,0.380956071148959,0.165306051610792,0.0276870114258553,0.15698362256546,0.0578064839850537,0.175842147057075,0.221824183906773,0.171508397440147,0.0486259377276634,0.177581862577218,0.0421038390380208,0.0744648791754929,0.28919555181804,0.231399205104921,0.268064448079241,0.243624264599774,0.240560793969148,0.359648598017284,0.24722896015931,-0.0421151123113284,0.10845225118218,-0.011375151886617,0.125621405937095,-0.248061599543532,0.242895187352281,0.21751190639119,0.241986687243958,0.0845162368568344,0.260266575963917,0.338353154511533,0.0664452531730091,0.214212764535487,0.305749548865651,0.199718188548747,0.179176142996729
stable,0.165025131071009,0.0827721996323332,0.114967960659082,0.0863860247316223,0.229849771372562,0.148790458248302,0.186200812724751,-0.0201165745751854,-0.0430424530955462,0.170272410561106,0.096581223570607,0.18419506297728,0.0651407402721966,0.0842117198924193,0.112891363561784,0.118500280030941,-0.0466624628392268,0.211891445978611,0.0681593880779812,0.0816444280810212,0.11643414213917,0.054592910038886,0.0432973621818602,0.15483853884777,0.0378946281905826,0.195540383254646,0.0934644717524446,0.140540953707115,0.185005811727414,0.0946778656476085,0.233391279403765,-0.0380704798762304,0.139712979591563,0.127328493349434,0.0561275135078064,0.0338295128713524,0.106728742441766,0.212714042300981,0.332045976341679,0.243833473757067,0.181105808412036,0.0239362758694414,0.0218579711175062,0.0952678619535293,0.134667699312317,0.106683077455792,0.106839443385609,0.144390776526847,0.151568136159009
stable,-0.0589419123011204,0.0919793594400124,0.0369293643320754,-0.0161667832711933,-0.51267404290522,-0.407339565168784,-0.0813223771272728,0.0505446857398942,0.0504246901401334,-0.0322261968642856,0.135829522316877,-0.0904901991534172,-0.0103719800729172,0.176183708438663,0.123886495549611,0.060371180364393,0.465140339583199,-0.0976036484544833,-0.0525545726922248,-0.0534875170997927,0.0657200201360005,0.0652631749170664,0.0097912689466323,-0.078358346070232,0.370174816315348,0.117109699817046,-0.0314514804226123,-0.0282809076785344,-0.336304093868089,-0.0800648577428102,-0.007491368684437,-0.0033904686884915,-0.0382411923736108,0.354743473605263,0.308990264410669,0.258133445632964,0.174527503833304,0.105483273350635,0.195566777800006,-0.0539653909716206,-0.0433987700860963,0.0347198354020935,0.0392625275544279,-0.0716795286594113,-0.0135456043912024,-0.0306992267328892,0.198879130910848,-0.101691312587272,0.0431280098843104
stable,-0.128912748781348,-0.0641910074458686,-0.0715058897123469,-0.196968571247336,-0.21353913287973,-0.387439404132768,-0.0064853989714007,-0.0169717553568252,-0.190864296213802,-0.0301599200000249,-0.0080213662378833,-0.135628657507858,-0.168644894185299,-0.0091321561358271,0.0324346245979892,-0.110866335870078,0.0994549203198624,-0.292981151463955,-0.223394938524751,-0.119399876082139,-0.225936886709488,-0.0534294953496791,-0.0267299998326818,-0.0570399337171187,-0.163382284154468,-0.113091635656785,-0.119682597289705,-0.0788614440544767,-0.102909601772871,-0.160077268949935,-0.133514348969119,-0.155549579339403,-0.198233661304629,-0.123030784062832,-0.0883513968701612,0.0767140541341626,-0.283384937566424,-0.0335216586856448,-0.176682591974025,-0.128586295635385,-0.0897766399809741,-0.0393715461337001,-0.108600781117613,-0.17575547300103,-0.221969773803415,-0.114960308962908,-0.123018615571187,-0.0626494066155983,-0.254663502584093
stable,0.0634619631085773,-0.0751000950326281,0.0671517385228036,-0.0211163006117511,-0.0527114479941884,0.0332559121154027,-0.021257725522159,0.0072943530337905,0.0531901345848256,0.223639213089464,0.0270261664670728,0.0177670918447288,-0.0057741015527177,-0.0712201152317949,0.154703875619864,0.0810927471673179,-0.194864480049631,-0.0275087790021587,-0.0932318665403381,-0.0051688561053548,-0.0030335748797531,0.0673974211311426,-0.152766046607481,0.0658687020353533,-0.0846150611025255,0.0510302668535496,0.10522942101845,0.0065050563296953,0.137569217008009,0.149984532407802,0.0287568878553723,-0.0803924193579744,0.0116471211716215,-0.0347137100988278,-0.196563576725602,-0.0849670458678624,0.0485869512995835,-0.304536836502385,0.0129806037622133,0.0435317532204945,0.0052844587541806,-0.002476184246427,0.0057023672600794,0.097252827243131,0.008092187851182,-0.0042539690063208,-0.0025818618737663,0.0138598404193814,-0.0039424911912589
