group,CD154,CD3,HLA,CD45RA,CD7,CD49f,CD194,CD4,CD5,CD62L,CD27,CD95,CD1c,CD35,CD11a,TCR-A-B,FCERIA,CD41,CD309,CD2,CD226,CD29,CD49b,CD18,CD127,CD71,CD26,TCR-Vd2,TCR-Vr9,CD158b,CLEC12A,CD94,CD82,CD224
progressive,0.161437324394513,-0.0908836109487858,0.139973672310233,0.237871341622649,0.0945218744152188,0.321075025064793,0.4073824304525,0.154185715710357,0.207313048786033,0.0472869420383855,-0.0832995226873626,-0.062798029635907,0.224772045197982,-0.0113185329831902,0.0925813674266426,0.0806274325372794,0.393519920975921,0.257794778926847,0.35622092109564,0.0593635695560697,0.373459078852325,0.268096243728611,0.362961927355418,-0.0021841273733989,-0.137041752410356,0.144591244008588,0.175328672993693,0.128696267211309,0.351628163747244,0.360435447507589,0.0717446198279958,0.367968094718274,0.345913229219519,0.259762504982594
progressive,-0.0146604737140113,-0.0447921518668148,-0.183989947223704,-0.0976086719687478,-0.292473548503328,-0.308714813724845,-0.0100246330326059,-0.335140333394162,-0.278555999605332,-0.0667263807649397,-0.0248947763711693,-0.0828050710991533,0.117285462249477,0.0525089203445664,-0.19275449672795,-0.0727608045439394,-0.0084661478811783,-0.0768858519044859,0.116648704418795,-0.226353906061714,-0.254856360114293,-0.259360100054308,-0.213064640419891,0.0567875864326059,-0.109233548856681,0.0799567404823002,-0.26974396543423,-0.0835703462111441,-0.111598123303207,-0.0483272920303471,0.155947697427069,-0.0487685070092101,-0.023561132024039,-0.0675781383199253
progressive,-0.148741077364605,-0.335950456333774,-0.0644296721539769,-0.552087159035631,-0.539583980364216,0.217690428406391,0.166450617711343,0.0947352142329632,0.167249038808368,-0.235051545846471,-0.33851781599643,0.276600578486348,-0.0968857072285045,-0.17625845470119,0.0575239813773506,-0.355659081257499,-0.0744700017458531,-0.214502542141332,-0.0148250524768126,0.139970113756123,0.0802275747850629,0.0991942877264001,-0.220583367510373,0.0548861388185635,-0.0949971019809972,-0.146596584692153,0.0540932469759117,0.0813701222994685,-0.109080611651315,-0.0916895095026952,-0.201510208593123,-0.106587943772566,0.0368149180823229,-0.0064614295298843
progressive,-0.351213659853699,-0.342605894976573,-0.193747551209838,-0.369483970087216,-0.418158399620894,-0.144861770854346,-0.171650652542119,-0.181015823059928,-0.309461318002082,-0.244100795947161,-0.352355938403909,-0.0869251262410435,-0.422289270612931,-0.379155352529029,-0.239941065797818,-0.344511779523647,-0.182029255966324,-0.161835669616583,-0.28353426094421,-0.155347408313788,-0.228240334062878,-0.179980093929436,-0.178740959328504,-0.17983922363154,-0.328253221509456,-0.0864641710677302,-0.317668414401544,-0.180601999399109,-0.18541807244602,-0.0666489164641244,-0.403522337018518,-0.268350321346145,-0.275332246749278,-0.263334590493924
progressive,0.0455149957776093,-0.492363805528084,0.153828108734469,-0.0444160726431496,-0.276113591626707,-0.127785728114549,-0.178308288560993,-0.250588804216651,-0.337398175995778,-0.122482964641031,-0.126559850462639,0.15589754229972,0.0551293927931156,0.0380437261561916,0.161125166832027,-0.248884775436396,0.0330515588444526,0.367136714116917,-0.192416500101803,-0.100308785967868,0.137437190263364,0.0980561741776712,0.200987883285156,0.422556596491073,-0.274610027494269,0.328356435112855,-0.132711122585796,-0.369802867630432,0.0303442826543295,-0.262622302423287,0.204536170316654,0.0273397629822248,0.0768448397972336,-0.0260303203347181
stable,-0.0321307005759152,-0.342266370709838,-0.0133889380489317,-0.271724879748691,-0.593341086510998,0.178266594980852,0.0040343531626986,-0.154475652467968,-0.086637102683315,0.0155762716806734,-0.109768824414381,0.140611149320585,-0.0918708141146571,-0.188464862169477,0.192213478693338,-0.284506365761423,-0.0802037869808312,-0.069404724254116,-0.0989423902709215,0.0987962851880916,0.0794134967920897,0.221648427412165,-0.137258925645785,0.0710467545109779,-0.170991411491103,0.210453567374836,-0.063747358655231,0.0529684333500087,-0.0979746811784586,-0.0419789340016794,-0.128950544867849,-0.0537758618974975,0.0108967935064497,-0.0752397466515871
stable,0.0188773887976011,-0.112825581692534,0.167143882383238,-0.0556670056750499,0.066120569894729,0.306370688842457,0.433046722554246,0.172064278956435,0.232124433381053,0.359133825317991,-0.250125659990822,0.281890475438643,0.0661625761070609,0.0113716618298504,0.137750352590235,-0.183292882185935,0.153267605409156,-0.0127130775203255,-0.0267836780749741,0.312940642484269,0.200280629430978,0.311529605702672,-0.0680015770296473,0.127381772276396,0.257488156392118,0.100826256074885,0.0958338072605527,-0.0313004719171167,0.0710593321511036,-0.0223300205028592,0.0150119021278856,0.12258903592026,0.267750959593942,0.240480573447607
stable,-0.0288716160173027,-0.0323575809982985,0.302304170913813,-0.3916647891285,-0.148680217469894,0.477108511362446,0.0922324904394551,0.144673549895416,0.248951803847358,-0.277019666793961,-0.106424634690267,0.384998955800079,0.0447967512000049,-0.0060533826373417,0.423348762444525,-0.231907279781276,0.0177383203330998,-0.0491929165377541,-0.0405478468712293,0.573656708981845,0.284754057031518,0.462813951369634,-0.0577531635411187,0.406769572883836,0.45422486950041,0.0717787799801749,0.487239196941105,0.108844624279175,-0.0392722889322497,-0.0180247934882948,0.0395695711657232,0.0928212906608986,0.297027176207006,0.20925772532266
stable,-0.0297718705514613,0.0870696654892585,0.0761649261246929,0.0128414531258412,0.0240839516300497,0.138073268988673,0.147597432160309,0.308801607054713,0.213812754296049,0.0585884852993569,0.176238850515096,0.273144082566432,-0.0081667022190528,0.116703368613913,0.196934434310644,0.176893988362073,0.073460849422985,0.0215596853220773,-0.0128100435823888,0.338512216775325,0.0399833553025473,0.176587732788896,-0.0066714709235766,0.0930336835110771,0.024042902720108,0.0315099843478252,0.134856868518648,-0.0431576486039052,0.0898442163799957,0.0479561913256267,0.176613564704621,0.0581197746649394,0.125370097548852,0.103346526538859
stable,0.146567286560615,0.124727582219388,-0.0996129297735247,0.0488640153144488,0.1972540093706,0.0958236537752147,-0.0643415260887204,0.0175944647563961,0.0788575980286726,0.0846991359170682,0.181320886680413,-0.126502858187899,0.171543544252918,0.0917233164620004,0.0461863037209549,0.308513493708028,0.232411170508694,0.0277524354694971,0.19867674956034,-0.0038518024984706,0.254278311554581,-0.0073929048748091,0.138426465646379,-0.030351245217025,0.149856567481094,-0.316448635712623,0.219948207058832,0.0169504923357401,0.218098425606766,-0.069518919503302,0.135863951495174,0.157034822858809,0.182243375635921,0.191177678993024
