group,CD275,CD137L,CD30,CD40,CD90,CD117,CD45RA,CD7,CD16,Podoplanin,TCR,CD32,CD107a,HLA-DR,CD66b,CD35,CD58,CX3CR1,CD24,CD11a,IgA,TCR-A-B,CD15,CD193,CLEC12A,CD94,Ig-light-chain-2,HLA-A2,GARP,CD82,CD88,CD224,CD258,DR3
progressive,-0.395204137509224,-0.37314246691106,-0.262480954971857,-0.533381443131525,-0.314534702110028,-0.21168620326729,-0.114665938596023,-0.191507029842616,-0.171825551232467,-0.453276250669745,-0.391095577877548,-0.343893234782603,-0.384342914755569,-0.305442751656627,-0.319309176433948,-0.3637479824543,-0.394020838417874,-0.411566024592912,-0.186173446482603,-0.356916654083135,-0.319839732462441,-0.371226699118143,-0.20164778964238,-0.329480044694533,-0.39536310903598,-0.309724419930107,-0.336649927988106,-0.359609560971724,-0.312829093705999,-0.39576903922808,-0.42655439687372,-0.448252042512906,-0.302848618473037,-0.292315997537206
progressive,-0.541527575997279,-0.565844383796246,-0.508085220145281,-0.317403898019515,-0.510932921059741,-0.51133995843242,-0.173758717665766,-0.105209332667969,-0.663675606492379,-0.529429314185718,-0.533778240762996,-0.610922706834449,-0.549845665363231,-0.525261983175634,-0.651557702413013,-0.591567766558571,-0.552180902539322,-0.577344816901769,-0.566816173256192,-0.193044551374189,-0.531975374387612,-0.523373175084721,-0.564612793583036,-0.66456181846888,-0.592004765942329,-0.589582873733352,-0.52538801585741,-0.575062753609837,-0.503877252086181,-0.501109855613458,-0.612857170129074,-0.582514636531779,-0.536063568008095,-0.512786927100225
progressive,-0.135133286934004,-0.266910594073083,-0.137720088158532,-0.141263440468584,-0.149510533683242,-0.187366536048003,-0.543312286991794,-0.521562079053402,-0.273672809971906,-0.21712247764886,-0.284348613634705,-0.289620852865124,-0.218594543513138,-0.0299567421460677,-0.362228548219521,-0.242380555757295,-0.199805369615611,-0.262697625294896,-0.260184769159358,-0.0959532016751537,-0.30098443826755,-0.417889397518078,-0.339759938063801,-0.168395795822949,-0.241853567958014,-0.233344245666722,-0.219185418352001,-0.196326073134278,-0.277213191271864,-0.118819262024119,-0.285837697981644,-0.100546596161736,-0.302030397813774,-0.200675355863847
progressive,-0.28855891281348,-0.17656187674159,-0.156251347765198,-0.322432255988866,-0.132964506735131,-0.219795699006937,0.117735801613111,-0.0456895574916253,-0.365855667793565,-0.24902633052665,-0.178181040708599,-0.275881132748805,-0.310194213198662,-0.041366141116131,-0.370956599907196,-0.327752163137225,-0.30220844463307,-0.245273045757884,-0.285329622696718,-0.175852930435189,-0.250951380695942,-0.142695525646417,-0.302661272554242,-0.129968694442209,-0.258318565769367,-0.208250940264132,-0.232086197412603,-0.201619270677909,-0.134730529988009,-0.23552494654939,-0.281482503057339,-0.29543770017502,-0.228241855452975,-0.210248912904397
progressive,0.0776926754933752,0.0174451808844102,-0.0866583822855008,-0.143749347516969,0.0678317286799894,0.111427031613203,-0.0274099187032049,0.0927187088672511,0.379917312275374,0.0438271792812023,0.156677625395892,0.162714395406747,0.146672983963438,0.180016707055643,0.26121153104423,0.083274866374465,0.313079181359527,0.102801876831766,0.0777865933741949,0.495342683637511,0.0011736742413906,0.152248652709338,0.125840350847445,0.114085839550802,0.318387618239733,0.135461721563512,-0.0341986020306023,0.14312282145636,0.133417847531123,0.0730118711186909,0.119685154914166,-0.0703004138255927,0.191748378494269,0.15756605835398
stable,-0.13978163558006,-0.271012767380464,-0.228521688056101,-0.139175452590049,-0.162963123065138,-0.222308454893445,-0.309148383747379,-0.43520989613672,-0.284637763998459,-0.268858927409705,-0.273571698806924,-0.296634532331311,-0.218238696280837,-0.0286979173045352,-0.236371089055677,-0.196734422734735,-0.252684488311153,-0.258370366097385,-0.0911630422739425,0.0530458833355263,-0.388658600715791,-0.327697525751482,-0.29320801198207,-0.146809997197429,-0.136183619761739,-0.162228199388008,-0.334779286038578,-0.164923297719308,-0.192682884135219,-0.156504166015763,-0.274740094970227,-0.208045052432426,-0.261234219167051,-0.263850153161422
stable,-0.150158698085314,-0.156812193465337,-0.122924456929686,-0.133296112568336,-0.184051227553397,-0.11157314031253,-0.359647524772186,-0.451742693459057,-0.158392750657296,-0.220478324944692,-0.220410923051988,-0.165179818824954,-0.109470143643328,-0.0408687994841374,-0.177840122687891,-0.165993137031757,-0.0674128907595995,-0.19746488118062,-0.100598822994429,0.237232387712326,-0.222880312158102,-0.426223729043524,-0.236974005804384,-0.118774427286634,-0.114436479830845,-0.0861579619229059,-0.206352930746603,-0.188696112855486,-0.150727937872654,0.0720668842100645,-0.206666203413695,-0.0084469583561745,-0.180491931425329,-0.19773402719107
stable,0.0704693962348697,-0.073045941409359,0.0036162977069118,0.0694898219387249,-0.0473223678579919,-0.0128289698355321,-0.46478274209631,-0.466476246462207,-0.119070155350146,-0.0307686175860255,-0.0600929753488867,0.041788820470314,0.0494796693719387,0.0264027537517439,-0.0446654797512788,-0.0337067851884598,0.0632720053465406,-0.0402039896524931,-0.0371898466250777,0.416335248947289,-0.0281735988089108,-0.326632694608751,-0.123248049804223,0.0700681726846641,0.0489820336652348,0.032479727045586,-0.0894815703418958,-0.0220412601105744,0.0272936207146305,0.172306652220583,-0.0735476982408897,0.143730041088053,-0.0056711557360151,-0.0442073197449941
stable,-0.139576619212127,-0.205494490086199,-0.248061507984864,-0.0424580421307603,-0.110451578228916,-0.159095101379969,-0.403222487444257,-0.583384050407291,-0.154404735480807,-0.249298910514945,-0.255383766177322,-0.27867322243798,-0.113872051499976,-0.0865345313906245,-0.0291875830543208,-0.16819462027301,-0.272847622939554,-0.27916370605041,-0.176528909382777,-0.0042227709354494,-0.194164924459995,-0.365760902627038,-0.104950196981958,-0.166269370669782,-0.147561650315058,-0.241921564616967,-0.204806759608943,-0.22220568435456,-0.260822563966769,-0.181110965290676,-0.220435026429782,-0.148858027940864,-0.182440919934174,-0.261968011959958
stable,-0.210536790446484,-0.347869462335711,-0.366406992295678,-0.164459036439688,-0.35312182766044,-0.237945077293265,-0.0956837137719322,-0.269188968230343,-0.27398894502755,-0.349464735706262,-0.38451682260723,-0.329539001633416,-0.308237251270108,-0.123109458906166,-0.322196444248692,-0.21067281204339,-0.407473731820046,-0.44028837799383,-0.255808261924705,-0.101791276071239,-0.380042061052518,-0.331055439102575,-0.283313253989464,-0.235579058374052,-0.263644105493723,-0.198051664517733,-0.401826088396496,-0.294001465786073,-0.157336062735754,-0.296865305512555,-0.371640719682711,-0.318323943123015,-0.277753673966824,-0.298034989069186
stable,-0.349700922780309,-0.387780858318814,-0.400455808830895,-0.188470249581868,-0.326641523050042,-0.228429652569875,-0.100975304493945,-0.360226260473135,-0.275539989840049,-0.494949226736338,-0.401100511979297,-0.448530043457577,-0.362810223881091,-0.239089311903568,-0.20654638896603,-0.22425945574279,-0.458987300231686,-0.499621213502253,-0.26875309794497,-0.526864436313005,-0.436433604312223,-0.334220146718121,-0.255276004702866,-0.349834267390862,-0.2643196139048,-0.382522178734096,-0.41575983847703,-0.294773517910154,-0.248753739759158,-0.413301508120533,-0.457931067513969,-0.434307161803129,-0.392921609667037,-0.307744361815724
stable,0.182544995983165,0.175258531835535,0.0938711685433957,0.111967412423624,0.0831108923906525,0.192794997849192,0.274980006825312,0.0718124788446331,-0.0893016918336412,0.0128139773128468,-0.0554284831841169,-0.0453148332442526,-0.0058019416925502,0.0012627144823429,0.118576454353763,0.0336654816958868,0.0059194760996951,0.167409697053634,0.0565025729945611,-0.228849629615905,0.0053386609558218,-0.0998494461787584,-0.0156554539674292,-0.0088139793805454,0.0046412440669216,0.004469773127956,0.0655380634885627,0.0806521341507173,0.133662698616579,-0.0707171007035741,-0.0445259731473305,-0.0755839441541263,-0.0566278635867284,0.016132501247741
