group,CD154,CD33,CD45RA,CD49f,CD16,CD5,CD32,CD62L,KLRG1,CD107a,CD95,CD66b,CD35,CD24,CD11a,CD66,TCR-A-B,CD137,CD2,CD29,CD18,CD127,CD15,CD71,CD26,CD1a,CD73,LOX-1,CD158e1,CLEC12A
progressive,-0.119029695793704,0.0007598344171702,-0.172900111567438,-0.179339716662917,-0.0647259794513441,-0.235047616936862,-0.128437047684812,-0.0019493392736449,-0.178612625052239,-0.183704149354699,-0.155383856448046,-0.0554469215319456,-0.089541854063814,-0.308888490113087,-0.275684490496675,-0.049770399446089,-0.0721226299553174,-0.106164670100616,-0.150298413206885,-0.204316749286596,-0.174059079644228,-0.0794842485180456,-0.180101442030184,-0.030769535539946,-0.239328149556735,-0.0843399836376438,-0.164970475598552,-0.20719253215297,-0.227656282771152,-0.085472715059441
progressive,0.15222403653999,0.398861010889903,0.0584044092420754,-0.177727467103295,0.478066194091015,-0.358947675914006,0.36853887041166,0.379437326471778,0.0913141331116056,0.465624331425212,0.0178193857449162,0.532766110758482,0.496294273613973,0.38433407813879,-0.0789886188141895,0.377745676106103,0.157034301558053,0.0980069053610203,-0.382120100893935,0.0035689066480415,0.21938174645378,-0.11429709872032,0.434726915366966,0.169844000675386,0.0943587364929336,0.114086746055433,0.0434067592009271,0.3782034794303,0.188658631103705,0.501549748370573
progressive,0.0421777418763844,0.12477515357171,-0.0537372660881065,-0.192592905814039,-0.026067275365112,0.0009305652841407,-0.0026247233176729,0.177779043135658,-0.0146041944736595,0.0599947645933385,0.287235835990657,-0.0300301790408667,0.0398241032594328,-0.0032942811827966,-0.0041621902227777,0.0046102130592005,0.0849879941362234,0.0373303678061243,-0.034616971441886,-0.0017450392965772,-0.0054106472551265,-0.281558691257953,0.0154871018878978,0.481799379237942,-0.318130031025098,0.0568182266864578,-0.0043160790162889,-0.100954222255728,0.0282764623958646,0.115659395061943
progressive,0.0742435916970359,0.161128426143331,0.0424592073133486,0.108542536474954,0.176259642723448,-0.0392927408098439,0.105268751380475,0.110983628878465,0.25661183100055,0.13600351834426,0.148952264938292,0.168261768411907,0.153347962306353,0.2768548991001,0.151822517435695,0.128460488926902,0.111714156934528,0.148013604973917,0.106239000912027,0.147232038868696,0.267023612064334,0.0597865985023594,0.125960921642227,0.170638429016854,0.194826435394025,0.149855123376699,0.212683810233764,0.165956449107,0.0761228239204262,0.0784317127232821
progressive,0.0268633961093023,0.163396352778004,-0.0392141902615195,-0.275572700629637,-0.0178202257223628,-0.261726441309764,-0.0266552278298395,-0.126025089950285,-0.217806887989261,-0.0273583713245487,0.125473823075247,0.0162561837824497,-0.17268381888812,-0.112302830948597,0.0143112705608845,-0.160227478254939,-0.186663581577297,-0.409712762808605,-0.21618807612741,0.0099352070752706,0.219517846708651,-0.311920129109081,-0.0909913013997758,0.513882801079551,-0.388477148017002,-0.273477911502967,-0.360807359497608,-0.106108900835477,-0.372579917560606,-0.037227812949821
stable,-0.234454872524819,-0.104459405144372,-0.2489455422419,-0.114978358136887,-0.0149569625496583,-0.0415721056538244,-0.233576513312981,-0.0443139833388982,-0.191214050568628,-0.120477548282587,0.112555861661113,0.0231824324116447,-0.0188080192658035,-0.0484780513558125,-0.15485576276242,-0.0062521403106563,-0.208998109135247,-0.209918544287315,-0.138354092848559,-0.0995754063213896,0.0289719540735581,-0.25667679316153,0.0251225085154019,0.154356076937539,-0.338370723044444,-0.200114197281673,-0.123322244943562,-0.106760180865731,-0.117659264917931,-0.0148824955366958
stable,0.0045973529790469,-0.0019813667718793,0.148005846963101,-0.150818266565836,-0.174540081786321,-0.0448521512574191,-0.0725802044717952,0.210085339811625,-0.302721266960722,-0.111131551724826,-0.0563311817815147,-0.142746916806027,0.0184475162434582,-0.088843248087284,-0.245553312752837,-0.117166740510952,0.127819765360271,0.116807296873344,-0.338218886419827,-0.275716514754813,-0.230152189833054,-0.266414220260583,0.0089585075259631,-0.0877276398550692,-0.476641908996024,-0.0511806927975769,-0.207233212262417,-0.0472680575303902,-0.0472983629176696,-0.0958478294574496
stable,0.0665693612585045,0.0249936726867103,0.438080475313062,-0.411266285653427,0.032150374531718,-0.20226712982561,-0.0756679208244813,0.295777647529873,-0.199097909653767,-0.0337550418195807,-0.420428561322213,0.0285958172784109,-0.0271548585737015,0.0382820565373675,-0.469450253522529,0.0184600683098712,0.244652242836138,0.0423944081355112,-0.590588968990537,-0.460386630118087,-0.433891582005868,-0.450993011803152,0.0685797145695237,-0.0994443644274527,-0.455530172281685,0.0103645043795251,-0.109113456491284,0.0192388591382925,-0.0736711964183066,-0.0355871711190086
stable,-0.13126364696796,-0.0068571165734565,-0.0200234453073458,-0.214725385009006,-0.0712262323348104,-0.085393005546355,-0.136034445863132,0.252508685623273,-0.118989798321156,-0.0248557136734226,0.16402235497062,-0.06002852317177,-0.0382600693695212,-0.098424484846706,-0.136122301389337,-0.0797208494516429,0.0083244562902797,-0.156579688579005,-0.154228247208107,-0.0954513088615948,0.0983020785366911,-0.205091556755442,-0.0291380022320474,0.311216220767823,-0.347296698439947,-0.0869256827829498,-0.138168942533534,-0.154524243910995,-0.0646870041553887,-0.0901975802292465
stable,-0.086209329026532,-0.0017927685920445,0.0854921415241842,-0.14427860221744,0.0481474268284195,0.0459352464488038,-0.0014419859327241,0.0448260118142319,-0.0196517064016453,0.0016291694182554,0.150274978617245,-0.0211010715601871,0.0807722168694702,0.0103058905024687,0.220307615418506,0.120851326349207,-0.0076082748339186,-0.0311669483208412,0.170233717424372,0.0412006763321794,0.0796148714492359,-0.0981861118249338,-0.0498358351721367,0.207794482470274,-0.0491736727086083,0.0174868025516951,0.0165426092977622,-0.138305559107281,-0.0661829429942386,-0.0193348213589552
