group,CD80,CD275,CD47,CD3,CD33,HLA,CD45RA,CD7,CD49f,CD16,CD32,CD196,CD62L,CD107a,CD95,CD66b,CD35,CD278,CD58,CX3CR1,CD24,CD11a,CD169,CD62P,TCR-A-B,CD267,CD254,CD163,CD2,CD29,CD18,CD38,CD15,CD26,TCR-Vr9,LOX-1,CD319,CLEC12A,CD94,GARP,CD258
progressive,-0.17804873097487,-0.230242894710287,-0.267111658354482,-0.434114792916054,-0.305228420360019,-0.343413579273151,-0.403120756319639,-0.306601656994271,-0.254236640778993,0.0617192305345305,-0.351532277187761,-0.245510555455507,-0.310425538325582,-0.258351720976611,-0.068823654796018,-0.0405742870033481,-0.235104007279575,-0.225037945756915,-0.321480960312643,-0.310060447800406,0.0241808538159463,-0.222735238374333,-0.117288855286699,-0.309458234748357,-0.424016770368493,-0.406642554564638,-0.268539073303432,-0.190597742693905,-0.247705391824255,-0.349948202846621,-0.0850170717485992,-0.397015406229482,-0.0191368944415306,-0.419310694595938,-0.468280589631777,0.0879647627318072,-0.420113690353813,-0.253529941936824,-0.44451316226531,-0.272087370073165,-0.422603073905816
progressive,-0.142087848215601,-0.492537557904082,-0.387866852979723,-0.419069182416868,-0.522448865168944,-0.292937384083564,-0.183958699608742,-0.27003542785759,0.0599397816484855,-0.470781012927612,-0.302616479599789,-0.129053801936569,-0.500028553833842,-0.458338769218529,-0.181344312778153,-0.520335966920424,-0.437381252669649,-0.19810806718629,-0.378699443132255,-0.431546434438698,-0.538529472896478,-0.0911474751969375,-0.288303619366529,-0.401720374365635,-0.397412850878477,-0.0715768651013128,-0.338379850950519,-0.209598739005262,0.0409358756732524,-0.266755977265779,-0.282667104226697,-0.299441430309691,-0.417057525154907,-0.165505241467207,-0.240851602704864,-0.333034148305438,-0.209266033815582,-0.473749110206814,-0.380153232116834,-0.25048011929037,-0.311657698489358
progressive,-0.0540108072009826,-0.0853324853992606,0.0429114180664637,-0.315060909292043,-0.138796428593637,-0.0387209361224106,-0.467034487805283,-0.436702456821227,0.424662035309988,-0.0848543585147316,-0.0496856654031337,0.0123934160812478,-0.262124668167363,-0.039484124977142,0.115393740606589,-0.122580904606018,-0.0458040286849874,-0.0591660038664153,-0.0096253071736063,-0.0367161834138895,-0.0293447021797105,0.100394989060997,-0.178233118042207,-0.0917056971979479,-0.319808189014766,-0.0513660931013223,-0.0601206643922619,-0.0278285052944127,0.179333249272524,0.215134887095975,0.0829642439116129,-0.362211848311197,-0.0945579824697212,0.309225957632577,-0.0250440425723409,-0.0035032457034546,-0.0035543088854455,-0.146782580373063,-0.0648431383709786,-0.104013297342311,-0.0356003603372032
progressive,-0.0956049062448621,-0.104807185301229,-0.142655767819443,-0.199049195729322,-0.11897197075831,-0.101446402159072,-0.225660331830025,-0.309647865754925,-0.0332972324487814,-0.174137662640613,-0.191635602802568,-0.137319627640591,-0.218960157313338,-0.122058857234233,-0.0816345761756899,-0.163665316100232,-0.198964845113376,-0.164521760890285,-0.144341601024583,-0.0633463191780385,-0.208519334116342,-0.17162493693843,-0.15237286321506,-0.158060334763454,-0.213725161201077,-0.253810134426054,-0.166596294521696,-0.0429958823743696,-0.0671125670851309,-0.171267338426942,-0.160076514893913,-0.363104872723069,-0.0525743244420281,-0.170138228138526,-0.0841712317991556,-0.0686562364811867,-0.0071667046501927,-0.193704919711814,-0.16574106653065,-0.183996700965231,-0.115164287507336
progressive,-0.519090682558018,-0.269371960624867,-0.423046908625443,0.0999906456698652,-0.124289642752937,-0.39121639499245,-0.250757407114478,-0.183518672757944,0.109636450788135,-0.570494726250644,-0.462230099304456,-0.475067754230502,-0.249315907732023,-0.434460817761174,-0.195544452194349,-0.598759134222777,-0.41649825280443,0.0830778951762758,-0.513400456375366,-0.290551217992666,-0.444521617602212,-0.194250823259592,-0.456846778547361,-0.223189364410284,-0.0251253919090349,-0.0611518302795504,-0.469470866510907,-0.442980082289523,0.35650871549619,-0.21129285109147,-0.291741049286567,-0.428844372610513,-0.473030969589855,-0.0539757923949691,-0.435786268756429,-0.506052979177884,-0.0416956960829571,-0.508491042437737,-0.314840256967249,-0.486305574365302,-0.244313562007874
stable,0.0497377336948494,-0.0773907773723861,0.0644390212222842,-0.242866688133294,0.0484561413865812,0.0968565813864565,-0.325029027959193,-0.304989307412467,0.36317060763701,-0.098604213102899,-0.0812288697303816,-0.0562671937967714,-0.0453379358118255,-0.104049855334129,0.159056330356905,-0.155473670261617,-0.0890916017993482,-0.0728488913394707,-0.0621175259072096,-0.136498675694341,-0.119148786644009,0.3398654727204,-0.0456615968254888,0.0470794991933471,-0.271037497925484,-0.0590616420528823,-0.0628655390756793,-0.0241337823279057,0.308696365550515,0.236530608078741,0.216123593890317,-0.1052176924323,-0.197978893126877,0.0595173487530751,-0.127732116865412,-0.0570178066820513,-0.0735246390763696,-0.0416996478166504,-0.155240118226046,-0.0894717322626156,-0.0848939606786846
stable,0.0887129989661464,0.0322471132966801,0.116046501616713,-0.222806474052162,0.0318384788744637,0.305235005506303,-0.367271841786438,-0.367299903369776,0.458925751964204,0.086313788030149,0.060870787138162,0.184645065152488,-0.0643230433970065,0.13364388289896,0.497226581043928,0.0533216807386393,-0.0211874580015587,0.172645986207808,0.217062606122143,0.0729137101506699,0.067409137719291,0.45459724474016,0.109969368575438,0.0554187629532812,-0.264580989721028,0.0544269660212541,0.0229587038732543,-0.0040350365111053,0.558042218560689,0.524622661562066,0.346329858140647,-0.0834801525300336,-0.0086981813747188,0.202096626524832,0.0743622232719856,-0.0358687814946023,0.0640452056643634,0.0398051777514084,0.119625566197534,-0.0551529086498059,0.0581737241084559
stable,-0.104031668657885,0.0630941080813719,0.0607859410001001,-0.245570190001454,-0.0502953178304633,0.251651568056382,-0.521161944887864,-0.439290295638928,0.410228715748294,-0.0518844768922247,0.0279169425207927,0.146875208499651,-0.308445302289704,0.0603268105121929,0.525038821160394,-0.0399309179539954,-0.0574753608749954,0.144237482188744,0.0899850710776219,-0.0330351199363856,-0.0075582045308612,0.429095252032211,-0.059829742744331,-0.120776571770332,-0.30568644553933,-0.0108481776283329,-0.0379456187467338,0.0279538956271653,0.477519049033577,0.434826642663304,0.40150825773076,-0.156513148241688,-0.0940604698012361,0.299934973493211,-0.0328859445120114,0.0195801379206848,0.008956773729279,0.0294761834212102,0.054041047184439,-0.0110546292818971,-0.0017658644141872
stable,0.0675098591430435,0.128567143014417,0.0773201657751721,-0.182392729059004,-0.024803720315843,0.139579010984791,-0.0729794018267162,-0.399561056047805,0.2452785788951,0.0036944549819786,0.144872527054001,0.0043187658717552,-0.0901692063885572,0.0743365293107935,0.320153658748214,0.0534165117710572,-0.014581586610047,0.140725171535051,0.151186523704319,0.137166580255696,0.106412504811827,0.367623457567807,0.0677702319662189,0.0288829902137377,-0.0752851169137108,0.175596351386414,0.159055608509972,0.0949860285878094,0.363200756485098,0.311620551681623,0.0810307107430273,-0.0430112737316193,0.0388775464553218,0.279544260639063,0.106555677965408,0.0861152789436066,0.140480917009756,0.0118622469382597,0.14591128978283,0.0415347144947034,0.215716513128943
stable,0.0521789044809905,0.102904305735435,0.0779847273126918,-0.18144846238257,0.0394673542900122,0.136210165960009,-0.111543234138783,-0.378581570138019,0.392041850907211,0.0451662996980084,0.0470721493777882,0.0650546050795769,-0.205943917638169,0.0580012843837351,0.245565650179702,0.035349153283583,0.170548586582725,-0.0456948059168905,0.0636352189764988,0.0385333047923113,0.0539157800477364,0.30848374031927,-0.014077177882254,-0.0150288466702721,-0.134568951977566,0.0697634786459497,0.106917327491775,0.0348901381065918,0.231789955295734,0.416373945670113,0.184736467582536,-0.0520107762255763,0.080527836945827,0.252686367491433,0.13835487710715,0.142469271486891,-0.0568741915901202,-0.0087220826795526,0.0406105200480208,0.107123494602879,0.117509115475407
