group,CD275,CD154,CD45RA,CD7,CD49f,CD194,CD294,TCR,CD195,CD152,CD95,CD66b,CD366,CD58,CD24,IgA,CD79b,TCR-A-B,CD122,FCERIA,CD2,CD28,CD71,B7-H4,CD1a,TCR-Va24-Jz18,CD337,Podocalyxin,CD224,DR3
progressive,0.0524674269461855,-0.287070004845493,-0.335823144012752,-0.430218761217,-0.0209173729346945,0.0282258463965807,-0.273417865655239,-0.110477269257784,-0.148336222935069,-0.116405454601575,0.141547113924855,0.0877244122024105,-0.182878686375807,-0.131209417262356,0.153928588747416,-0.0734810779777463,-0.282082346886984,-0.316515113702354,-0.169467007043826,-0.140487855282986,-0.171667713105026,-0.110135500665381,-0.0801906679667547,-0.117552188244212,-0.254275865502012,-0.111555581102565,-0.173808453928886,-0.112461379561971,0.0058183306319029,-0.124748402602346
progressive,-0.455777264264709,-0.466988628390336,-0.248810209350875,-0.233129812963234,-0.0104799265809295,-0.314039087047115,-0.522359430017274,-0.493630451653408,-0.47687411845805,-0.462995516240429,-0.316518159527988,-0.426665640248351,-0.466838860021618,-0.525021338370619,-0.506170643568062,-0.4709888058501,-0.450669123220658,-0.469059144452762,-0.473830009472374,-0.468039376659469,-0.121743594062644,-0.352344942237626,-0.117396899528716,-0.464570770111288,-0.463174449950235,-0.465024912673116,-0.544610435422985,-0.486424263595054,-0.501747587178753,-0.476271325093226
progressive,-0.0233017138900758,-0.0012775978139973,-0.452026164191109,-0.500105993724459,-0.003364018098516,0.312962092452667,-0.062788068686886,-0.0547860965380032,0.0518234226426902,-0.080731430117521,0.454592171736899,-0.126028000340991,-0.0179134510815897,0.0077910096124029,-0.0507417261958189,-0.0956511828708795,-0.0502700053009659,-0.187356302687868,-0.0541714202119205,-0.043436757570937,0.104539457675262,0.181425533436394,0.335274585077955,0.0044473290745526,0.0599189760064312,-0.0798902207103358,-0.0023046411745312,-0.036708682913818,0.10275262264946,-0.0181891747650797
progressive,-0.217647476647128,-0.0838746432921389,-0.411349281370029,-0.312538376571498,-0.0746612560084168,-0.0335243880749737,-0.111964165533518,-0.180520485565342,-0.0717249341975334,-0.123890775721444,0.123993829524477,-0.377473157783528,-0.117880051076289,-0.108793524573918,-0.306677330423385,-0.214940269747962,-0.191205105812917,-0.206200665465922,-0.112630061053255,-0.0747163014975713,0.0682497745124199,-0.0281968582946145,0.106516982365808,-0.0920737567081304,-0.173205351370192,-0.16162009217427,-0.102743140681552,-0.290454166918354,-0.199601430847495,-0.0771581677399427
progressive,-0.345072516233797,-0.208796064546236,-0.160658136632654,-0.0545294943338105,-0.167973413623038,-0.185790194886366,-0.242143805243405,-0.216087903531819,-0.175203419915017,-0.112564585416672,-0.0481015013422718,-0.46469197595611,-0.194996881426397,-0.360689447400591,-0.435517381713238,-0.331964493328077,-0.11008727126737,-0.283860817275028,0.0062716866459047,-0.287958600082778,-0.0549620187801679,0.0223531291076915,0.454519676106671,-0.274382610546262,-0.164483540969706,-0.18553013859065,-0.255738701754396,-0.319380302866235,-0.229326503851472,-0.186721982537591
stable,0.0156440453168309,0.0164535041963723,-0.164290641761304,-0.419094666376545,0.230261834677273,0.0726433257691967,-0.0816422354780972,-0.0165671193090715,0.0380881320811615,-0.109258458766879,0.263688867922572,-0.0480304910083161,0.094126588922327,0.0410812708547118,-0.0533188723206809,-0.189244970092213,-0.0214493577393374,-0.191076891101987,-0.0180578918129934,0.0003522746474923,0.209387793894462,0.24959948184902,0.109085540340929,0.0035687839026194,-0.040619550364049,-0.0313929151304519,-0.1123041623233,-0.0544362986302073,0.0987950626755836,-0.0712384921650147
stable,-0.0207932755246086,-0.0186051783992259,-0.276088726674781,-0.494266047634873,0.0076655083457198,0.243404183572702,-0.0587747132730132,-0.0449621703483975,0.0312698312384671,0.0022693589232646,0.409253019817149,-0.0783171095072638,-0.0042482581295535,0.0730736203618919,0.0036286144426452,-0.0605891939375475,-0.061148390620904,-0.300635332125471,0.0029837800605499,-0.0192269684392917,0.180786751206095,0.111492665387566,0.267200916909019,-0.0759346789143554,-0.118143109207993,-0.0719808582246546,-0.0320205320668872,-0.0402331659742025,0.120067283889617,-0.085322131228685
stable,0.091095676909668,-0.0883578540864337,-0.525662866602044,-0.436189626647481,0.218182594754948,0.132508243886595,-0.0958468310718535,-0.0963564355800806,0.0491311195193775,-0.0473947072250579,0.441086223321537,-0.0419055286241082,-0.0693705852445897,0.0090251877365858,-0.0554686155705638,-0.0734282526544236,-0.0938509725421318,-0.319689293293643,-0.137722145507907,-0.0469358473948283,0.446720401173258,0.240430084518,0.161830666923237,-0.0667360848001082,-0.0847993308079908,-0.0163880728119147,-0.110511182866262,-0.0805789330088859,0.118435451050237,-0.0545302789939028
stable,-0.0114732569023777,-0.15383561031052,-0.360886146731435,-0.614512261824934,-0.0680958700998344,0.251173996892699,-0.0740551143978538,-0.0784755126029818,-0.0700376426273884,-0.102943901513545,0.352996048480705,0.0378226408496143,-0.0541761982630965,-0.0751707527595574,-0.0274560292099253,-0.0074283950056997,-0.146478504988384,-0.290639016751958,-0.134260181170412,-0.0739904527767054,0.0797609407353055,0.233269243919798,0.286401933139922,-0.0483576117131783,0.0735233000044228,-0.0909357951719137,-0.105499873474355,-0.125598701274968,0.0236466418719179,-0.0996365724457195
stable,0.0765590354239107,-0.0354051725231355,-0.0990429445110932,-0.350968558961261,0.181210780061902,0.216601222026231,-0.0117686907820536,-0.0749545536791151,0.0785865392758848,-0.109974356459406,0.331991267584227,-0.12649170994,-0.0618764734746511,-0.0534688550572496,-0.0767636176373604,-0.106224844833069,-0.0821126352691579,-0.178720320807998,-0.0924424738372856,0.0119750349447141,0.292674911105295,0.285594737501173,0.233258662933997,-0.0631502676587106,-0.0566917688098145,-0.0176661850332196,-0.140378449943624,-0.105747793629165,0.04499526197751,0.0192131199958758
