group,CD137L,CD47,CD30,CD52,CD3,CD8,CD33,CD117,CD10,CD45RA,CD7,CD49f,CD4,CD16,CD294,CD146,CD5,TCR,CD32,CD103,CD62L,CD27,CD95,CD66b,CD35,CD278,CD58,CD24,CD11a,IgA,CD79b,CD66,CD244,XCR1,TCR-A-B,CD124,CD2,CD226,CD29,CD28,CD15,CD144,CD305,CD158f,CLEC12A,Ig-light-chain-2,CD85j,CD23,HLA-A2,CD328,TCR-Vb13,CD82,CD101,CD88,CD224
progressive,-0.178569575670441,-0.220246731910273,-0.194644378847933,-0.190120465386293,-0.264199608048908,0.0033213321945864,-0.0688677391493625,-0.203749149850426,-0.237994232248604,-0.196714439364006,-0.324538461432146,-0.213090591339106,-0.389042211526982,-0.0635683176848494,-0.270466338640587,-0.194674081882427,-0.457390940874921,-0.188868548158776,-0.174177775761349,-0.402007167452621,-0.288648135374284,-0.371829334482881,-0.159332983769898,-0.174805846503019,-0.165203838350517,-0.267290778267494,-0.305326337057059,-0.178221021981103,-0.272305020049556,-0.228679341581788,-0.331853562915005,-0.119959999747121,-0.345190011418959,-0.175210068744025,-0.135551638017618,-0.1737883590124,-0.389699245861467,-0.267912271835928,-0.210927662242373,-0.3951957320986,-0.128997434608955,-0.239829858529788,-0.0913161019594209,-0.235656045124328,-0.232101029926231,-0.197200265129467,-0.234330626803245,-0.22198682556269,-0.108248635300577,-0.111237256871874,-0.133344033020835,-0.262441808341137,-0.251703982079873,-0.207457158429489,-0.227234617927034
progressive,-0.0064378595118984,-0.256010020323661,-0.144011209811111,-0.356717287665851,-0.21910822699086,-0.0210314542049686,-0.276572877947064,-0.171274494316219,-0.204586068377515,-0.240279538532141,-0.193561451055182,-0.169395162654851,-0.226374465472418,-0.372397353103608,-0.173829194458416,-0.0008471322811478,-0.114888837995851,-0.238831407105795,-0.298333021499026,-0.160907113656636,-0.28433376988565,-0.264998421709927,-0.220021885528803,-0.397148813668051,-0.322501449899898,-0.125524897116734,-0.210936249963149,-0.29415160719107,-0.200448269465563,-0.250897154023261,-0.111905379350111,-0.171081411548086,-0.0421260269327491,-0.0392684844151968,-0.161874631521248,-0.238919011218727,-0.342057202536325,-0.168751207471209,-0.145005527547832,-0.231799925870619,-0.38813917142686,-0.126548698147507,-0.174396116714699,-0.272729812244906,-0.277729904702824,-0.278123143640522,-0.215441042577561,-0.332515555747586,-0.116916291229057,-0.211779122743611,-0.121443688331094,-0.0043241952847612,-0.12536134806274,-0.240282548749467,-0.275603368379482
progressive,-0.361300750191128,-0.328856456578998,-0.350164919314512,-0.365619695947496,-0.387336424356474,-0.393357473402688,-0.383621722985885,-0.422034741016458,-0.385525811253186,-0.263327950965103,-0.318270093489612,0.0019890071531347,-0.051966823548758,-0.45268763352741,-0.355137635839779,-0.179186438217005,-0.118117700682728,-0.365672327021853,-0.414264010855835,-0.0818112108204881,-0.300253322548209,-0.20889650762279,-0.186689375679942,-0.47699595462439,-0.399172932316688,-0.201144297998704,-0.36903518239239,-0.440751939459409,-0.21665497017845,-0.413815222019258,-0.371708028754205,-0.380916988300399,-0.354646452107139,-0.310802019380809,-0.455627439381475,-0.283175157211392,-0.145454877695991,-0.267318756954744,-0.222002701391773,-0.283285066232782,-0.485276344427531,-0.357792487033185,-0.35405966028245,-0.386183781553576,-0.485040298269478,-0.381557405599357,-0.361342955943915,-0.361223939177036,-0.346957766295922,-0.390864682651755,-0.36016082221742,-0.261834701443909,-0.419175837139519,-0.464018980984195,-0.347790227617955
progressive,-0.0862291405284861,-0.136511059217495,-0.164442095602543,-0.178440973001737,-0.0282367614981483,-0.151148562758367,-0.228391319874446,-0.162818678603438,-0.0423292304815589,0.201165117293521,0.082461293690547,-0.134414402188266,-0.170511569020658,-0.194505640808826,-0.142021230727654,-0.192354588848544,-0.237855788425375,-0.102369928191058,-0.130990924519716,-0.188771337632718,-0.173031019829883,-0.0454356637543911,-0.522073005260226,-0.218340958119283,-0.185797990140817,-0.401155329037304,-0.243093354192716,-0.175730722401233,-0.269209126231229,-0.157913024653323,-0.0372072779543281,-0.211076736298742,-0.0799188005853778,-0.167710590298634,-0.0191689292820826,-0.0387268685840647,-0.200137135128583,-0.162061180213316,-0.221025830985191,-0.30756584615583,-0.188227089790001,-0.0584939384737558,0.0205476805077939,-0.0927500821230123,-0.25397410361559,-0.1405882880934,-0.156699367780896,-0.058956620982347,-0.116421215426592,-0.0835957658055749,-0.0429483000056516,-0.295873617369832,-0.198858632465239,-0.158091369899698,-0.154213137272373
progressive,-0.1715442786967,-0.37002401945126,-0.263750976370371,0.122985541103968,-0.259495015296304,0.0452378457225742,0.11577134948015,-0.156908725927886,-0.183175459165644,-0.192069503321728,0.137468793320537,-0.0901907965098342,0.0618585051139597,-0.187978631057425,-0.231015758737996,0.0528147576880769,-0.0349587327044956,-0.0143276346440074,-0.235011289451021,0.0492405088613675,-0.183009807644768,-0.0960695728997138,-0.0783330707611164,-0.358006906722239,-0.459932539507183,0.0779519452857908,-0.12158834479229,-0.106987830597466,0.0834001629237752,-0.222195065593802,-0.002165854128363,-0.359580270967479,0.277068474775995,-0.119550711371312,0.0818601478326623,-0.180094497305184,0.169476563552391,0.0401938952657007,-0.0231410102684875,0.0463206508731607,-0.345766945319148,-0.11402500434275,-0.118178341887273,-0.0932161367004633,-0.385472013289078,-0.250501673357733,-0.0603139136423195,0.0411573647296187,-0.124196467365761,0.0058355560403619,-0.0810597928969192,-0.112887109790626,-0.241711175903278,-0.309094014626109,-0.295175176432172
stable,-0.170960014889625,-0.186854208300389,-0.294264166279432,-0.320569996167507,-0.0129946175877728,-0.0509637781955319,-0.196090374287014,-0.226400856118086,-0.202427127579933,0.127748630771278,0.203040892356733,-0.540305276122449,-0.308855963726968,-0.201893439437978,-0.184073926399876,-0.318909166932954,-0.342614586664793,-0.235828664528128,-0.268785813685098,-0.192720609701673,-0.0588551120834509,-0.15976530499614,-0.321998487344601,-0.147290908917336,-0.172727881338014,-0.214164778184303,-0.332808164409461,-0.090457276111555,-0.613250767327162,-0.133745846872021,-0.251206426911213,-0.0998984584715422,-0.135394728181824,-0.353950049410843,-0.002570840047899,-0.375474149068702,-0.523704410642215,-0.423609067504482,-0.534085746208069,-0.436770135297712,-0.119898259881127,-0.348990380864087,-0.144995535914353,-0.350555454590948,-0.161267140602447,-0.133548525581455,-0.302772470854633,-0.318472035802326,-0.242323711862008,-0.270997095857006,-0.329100990904916,-0.385824477546435,-0.173049864932238,-0.253706865927716,-0.418871065502981
stable,0.0541232905282797,0.0219064504894774,0.0320050397948045,-0.0155630313744825,-0.2429472187039,0.0895838655736569,-0.0261241326225802,0.0139040229791801,0.0048056716719747,-0.230194751350506,-0.172320914557566,-0.0014982554701244,-0.0579677324667657,0.0251153019909812,-0.032751040046287,-0.0508497258079289,0.0507598914938659,0.0229693167332056,0.0244289796958996,0.0313203078417534,-0.433700065145674,0.0189724948608727,0.431644400467864,0.0162994468063764,-0.138610002488787,0.0551223783216308,0.0576873884588017,-0.0012494368276513,0.241252572256199,-0.0450415743032531,-0.0062112105819905,0.0241491078422723,0.109594585033455,-0.0394703108062432,-0.226137743258443,-0.0477780602508504,0.154636622992032,0.0262106930774816,0.0555282904025239,0.05795232834406,-0.0081291772610778,0.0388855889957471,0.08516415695424,-0.0311065232299845,-0.0748265262547415,-0.0417974782409089,0.0141652206561809,0.0184089009474342,-0.0537652027504004,-0.0852404921320529,0.0212440633568146,0.196049053132958,0.051591892929137,-0.0543187625425045,0.0689143319634158
stable,-0.030239783454336,0.059776620665903,-0.0659826438246759,0.0332677798344247,0.337988966800062,-0.0674118772399712,-0.012572425057702,-0.0396114929953417,-0.129164892630992,0.320535452752742,0.400703804920001,-0.12330115013841,0.177282436860035,-0.131701327164338,-0.0764248363945517,-0.106633068620593,0.135727607415945,-0.051610074360098,-0.103383499167552,-0.0292140955645404,-0.0073741540367602,0.476733040941176,-0.314259225111307,-0.0022033227177874,-0.0672147810560763,0.0061447794045465,-0.133401108135644,-0.0455660833819089,-0.170158281950983,-0.127087825662229,-0.053781021617985,-0.0959075748899047,-0.119787248306541,0.0214750902574867,0.242964437920301,-0.0878157358046883,-0.0788033516941044,-0.226013880452878,-0.198495873842832,-0.166809743718432,-0.0295349962395288,-0.0470679429527362,0.050752292621077,-0.0747699667068238,-0.0772491593508738,-0.0987932840627021,-0.060636592956588,-0.1512355245426,-0.0453721216326777,-0.0546370940548314,-0.0811567807383219,-0.194060163343105,-0.103299863013576,-0.0606116261926683,-0.229357462019748
stable,-0.0055856819905877,-0.0353481602246236,-0.0075382776136269,-0.181744879645306,0.253774772252988,-0.0599313347944408,0.0724197148293424,-0.004426666852824,0.0394396459646178,0.382578089994142,0.535433079479603,-0.12524764660371,-0.194060417713728,0.13834308945418,-0.0532309851058352,-0.087030697619969,-0.203650365479856,-0.0358391462934265,0.0778501028074517,0.0534394160639144,0.153613634231584,0.219346550760035,-0.35973920421722,0.0637316288364974,0.210991864281922,-0.138721557165802,0.0239211334439966,0.0703615437628998,-0.240961812254715,0.0643748628876393,-0.0291893814451823,0.0516299986304677,-0.0034976198590901,-0.0531368439387769,0.146924159867143,-0.0566418572732379,-0.370725213415743,-0.0829675199816687,-0.219073772007082,-0.342315087313292,0.0934319693701363,-0.0684130255618554,-0.0286801966750554,0.0224876769705302,0.0927530903992757,0.096462979446333,0.0091541860426222,-0.0430847423598279,-0.0439536889974989,-0.0994752714381455,-0.0438951478670658,-0.0427085007669277,0.0450710501939345,-0.0005985978004931,-0.0879995137314
stable,-0.201355295962371,-0.306776303900883,-0.296377241819302,-0.152690045162359,0.10607297557912,-0.0739823971497906,-0.0718735473446407,-0.134456908136631,-0.234900802232835,0.122371319344698,0.176338231087433,-0.46543786201013,-0.138196270632536,-0.152942157911044,-0.17804170105602,-0.125271426414959,-0.0179071213513485,-0.247598382261225,-0.158413133226368,-0.146497471912845,0.0743782388951504,0.0683008071452623,-0.184781457298107,-0.23766776133504,-0.284221556345439,-0.0243670548625263,-0.239026545728783,-0.159405543904897,-0.208073458523505,-0.227615314090711,-0.177214236650479,-0.123294149460293,-0.160444128377842,-0.259753906112121,-0.0392971739355256,-0.28494681284378,-0.12168882010935,-0.374145770542814,-0.39488215325867,-0.150597224470322,-0.215455731402335,-0.18011066019434,-0.0652831761913631,-0.294756710624076,-0.251901848452005,-0.26602676137905,-0.227715192885512,-0.236934735007292,-0.189301900770661,-0.042281347144739,-0.155823858836318,-0.136086794971344,-0.201909272217315,-0.279379345582443,-0.217730056317571
