group,CD80,CD252,CD16,Podoplanin,TCR,CD32,CD196,CD107a,CD95,CD64,CD66b,CD58,CD24,CD11a,IgA,CD206,CD254,CD2,CD38,CD15,B7-H4,CD193,CD304,TCR-Vr9,LOX-1,CD307d,CLEC12A,CD94,Ig-light-chain-2,CD82,CD88
progressive,-0.0151125157971482,-0.0048822852139238,-0.0049731880818183,-0.0403087363512075,0.0024463649007051,0.0336314429690456,-0.0499667428576706,-0.034062915710756,-0.0588242408195391,0.198699419146322,-0.056455047377981,-0.0567113550349141,0.132913402411923,-0.114318728319425,-0.0181697457440613,0.259188738155387,-0.0931577822793763,-0.18564708079301,-0.143805933054673,-0.0120185629035761,-0.0214314665498816,0.0487649734641903,-0.154238351361903,-0.112793588659667,0.241421491681699,-0.0558687997520124,0.0351173123101866,-0.183136084943255,0.0812766919788776,-0.0653920505006547,-0.069751829948265
progressive,0.0419509116421692,0.0733665586090977,0.313910687425581,0.240801663229604,0.0623635050289142,0.2866335146234,0.191580882485344,0.357353597342408,0.0456665138827801,0.244524938209828,0.343539969684241,0.147912095495406,0.343412278118765,0.0679636124121942,0.0509310991300389,0.18803456146684,0.285458987521239,-0.063198266880922,0.175647240862572,0.259163783730362,0.248717025778927,0.110232819020399,0.232192181453324,0.113714761419535,0.379009757030114,0.184118987031284,0.333898841119805,0.254628358604072,0.0456717661513196,0.195600020430135,0.208719215217075
progressive,-0.0075908476450037,-0.0900598398913603,-0.0752430152847615,-0.0743487201483637,-0.0166808746578974,0.0646279903091485,-0.0779440396138707,-0.0540619286508246,-0.210302314676897,0.091306557588017,-0.170728262434437,-0.0839824503275732,0.0649682453648847,-0.167192263680324,-0.100277162101846,-0.080328263807549,-0.0723403681329982,-0.188026194644222,0.0717436455554271,-0.096981166606904,-0.100494438528521,-0.0520338859234401,0.0461593922176895,-0.0823608610726264,-0.0842478373606767,-0.0254145322627898,-0.0027491891176181,-0.131013191549724,-0.0370137506522464,-0.135448534091556,-0.0357088671573049
progressive,-0.130639917649576,-0.188884336045315,-0.290563528282125,-0.14234484269752,-0.118260507242283,-0.184201505035432,-0.156021692790001,-0.156435063729303,-0.234065044229516,-0.232242246548925,-0.208344175073741,-0.191837182569373,-0.33731809325616,-0.215029775729892,-0.153577942922038,-0.0797787020460348,-0.108568298553041,-0.25340068185872,-0.204244616680226,-0.175151497856972,-0.144511593134003,-0.05413860943051,0.0537339297124363,-0.166675835533122,-0.148389612184833,-0.147951673206215,-0.251027759505563,-0.119360004754861,-0.187964241566515,-0.0924237112557846,-0.222959863707261
progressive,0.634844993506399,0.454846838717937,0.608424581694423,0.512716269168544,0.463301358186827,0.583879364133445,0.484120358775523,0.556678011556393,0.202461845196966,0.479615503117322,0.596348521418535,0.598740777605912,0.462405030548369,0.3083091821694,0.454829654703132,0.553605172164398,0.548006885072211,-0.129464710151479,0.478740765016496,0.628768462325798,0.468711082343286,0.46371179228476,0.461385365861427,0.558222645380161,0.650982209587316,0.499757309720305,0.458874606210106,0.485930266941986,0.473286429185248,0.460698106330639,0.512521723752663
stable,-0.148902490642476,0.004063060233814,-0.206005659933945,-0.156246782653767,0.0701149413623238,-0.116789939161269,-0.102796183406441,-0.103895868357881,-0.20095470547123,-0.181397317049724,-0.272346094778992,-0.0902324201586959,-0.175065283909371,-0.233572437016643,-0.0415596274264743,0.081319543975535,0.045012735523899,-0.204378591673796,-0.116692859689461,-0.165630138703799,-0.0256169608377246,-0.040262187601467,0.0352817538429082,0.0158046455501794,-0.134424862241647,0.0342541416166136,-0.255252304129707,-0.086857105218118,-0.0016805777956785,-0.0812818982289176,-0.0851179821429566
stable,0.0546875730795698,0.0742791001392685,0.0854962421694926,0.138472308279026,0.105238581629707,0.0366487027555252,-0.138652570131231,-0.0034042023151127,-0.441873340192779,-0.0138417708365302,0.099873857933881,-0.0621211982076386,0.0266000234186881,-0.294977206911705,0.11265183578537,0.105300117847022,0.0841692067068269,-0.411287947626435,0.0301174001718607,0.128631212881958,0.0441596289655315,0.104430956547463,0.108379365860684,0.0631601880487752,0.0239529747208632,0.0641238676433414,0.0071929695346397,0.0055807293943231,0.070979179234775,-0.153556026265989,0.0692289846038173
stable,0.0665009023242088,-0.0496848252109328,0.0325243091634502,-0.053624610705715,-0.0470377354865475,-0.0850729499770573,-0.183915579790643,-0.0853286685268344,-0.547141863897956,0.0284038245031534,-0.0077706030249541,-0.170723101704653,-0.0306154355683247,-0.47594657856687,-0.0898368752971402,-0.0416511334687134,-0.0210357452543989,-0.499512512058803,0.13918499680272,0.0315684842240359,-0.0755875149106771,-0.0949332675050284,-0.0837201943863766,0.007339844288441,-0.016065580467436,-0.026713064383144,-0.0505732830389885,-0.122550676776982,-0.0168773798951253,-0.316966858771824,-0.0177779855355945
stable,-0.0075755224999797,0.100147312416257,0.0456500398793805,0.0772536669385707,0.137190850787014,0.0563467696554645,-0.0551562705324104,0.0330026499297228,0.341055352406606,0.113025753394075,0.0275889382684297,0.10869542277989,-0.0161972148424402,0.214791156832645,0.0249971594318564,0.107055696765099,0.0592365248942189,0.203519048712326,0.1514005033132,0.0496214155344739,0.126687540393926,0.0270717713691003,0.0497974501776979,0.0401635869758563,-0.0868091312953802,-0.0238778551861317,-0.0383999430635935,0.100758503738817,0.0214464742874939,0.107671891485048,0.0859163454143252
stable,-0.0136342038229894,0.0621989512130312,-0.0641316753746435,-0.0807140082156379,-0.0281254246963722,-0.0762473813526358,-0.0627211153549765,-0.153680931099978,-0.163210670680363,0.0043937195661498,-0.0807454053170654,-0.0889326414255893,-0.0475420385605971,-0.17045684435233,-0.0819434334052028,0.059138239670258,-0.0232610251858876,-0.0997345097693284,-0.185225620596238,-0.131316821805535,-0.0475078348128689,-0.0706113008768988,0.0658681443983455,-0.0698950209930291,-0.0515416769623812,-0.0139787905210846,-0.0854826986095569,-0.0942683803452898,-0.0620603487925466,-0.0642398355600301,0.0184777612660975
