group,CD117,CD10,CD7,CD49f,CD194,Podoplanin,CD5,CD32,CD62L,CD223,KLRG1,CD66b,CD35,CD272,CD58,CX3CR1,CD24,CD11a,CD66,TCR-A-B,FCERIA,CD2,CD226,CD29,IgD,CD15,B7-H4,CD26,CD193,CD158f,CLEC12A,CD150,CD85j,TCR-Vb13,CD101,CD88,Podocalyxin
progressive,-0.267907531277717,-0.35880612613436,-0.190874972528237,-0.299649441661431,-0.0956190368702224,-0.155607231762706,-0.256134939491979,-0.247386718570523,-0.103145266855271,-0.426757887992585,-0.12421814369558,0.0052232032022935,-0.0437080756062485,-0.149186840072702,-0.211243267586297,-0.102478852903004,-0.0362744687072835,-0.112847125425942,-0.093971925931739,-0.0518792957499682,-0.161312414166346,0.0151745647893259,-0.298046805981385,-0.266388160955348,0.124139397066226,-0.0744538570427054,-0.151769643969028,-0.0280566538607098,-0.0990503015209763,-0.185315214500948,-0.0302157821251911,-0.173547150107631,-0.15870567792702,-0.199573285560604,-0.17582397473746,-0.179456378434824,-0.258685377287253
progressive,-0.187541579897573,-0.0618157020250726,0.124101038327438,0.0736851500784001,-0.0646511900125262,-0.0987461323826506,0.134752795967096,-0.149119536568833,-0.0973427758727228,-0.0421252745970763,-0.26301627426728,0.154865106515533,0.0461165811784175,-0.141238209240645,-0.118018091032307,-0.0948729289791791,-0.100609008263674,-0.0863894070606525,0.0093242442895627,-0.0572664554697764,-0.264566385611824,-0.0194347677139043,-0.160663367749618,-0.192084596839253,-0.0141946484123763,0.125145453381917,-0.180283694667919,-0.0112632445824664,-0.019217393931765,-0.12482192742252,0.109390746359132,-0.202629195938025,-0.137877690202064,-0.179067584046211,-0.181388667794047,0.0091710224824184,-0.19618859655041
progressive,-0.164576554247124,-0.218952767074155,-0.10903089493857,0.212139604698312,0.0800564395963156,-0.151095717390338,0.165990418850937,-0.166246453191575,-0.0707294285318971,-0.133095218457811,-0.18184045786048,-0.273925848011651,-0.307519116447354,-0.101904248758606,-0.209709054838842,-0.175990231460975,-0.216432628291099,-0.0808563988343166,-0.275984219031403,-0.202889605017942,-0.181079206432193,-0.0344213858765527,-0.0914459156458044,-0.0298516646947754,-0.0601641770555197,-0.157560693830921,-0.207527149808396,-0.0296002314649105,-0.0421632989987444,-0.157138891808509,-0.242338534785718,-0.168394372343503,-0.111522008798217,-0.162639634090648,-0.20493413102608,-0.182843885423147,-0.117782628064493
progressive,-0.15484986836403,-0.190834095577641,-0.352136750876065,-0.023587637135992,-0.2175787325117,-0.288190678396145,-0.010735390301976,-0.243989318838498,-0.317032600740629,-0.222580415530476,-0.228538941055006,-0.110980694173319,-0.168470500034529,-0.120136531269306,-0.212763448287148,-0.235155629387891,-0.1562324004732,-0.137506100756562,-0.201651848368667,-0.38131482305454,-0.149972264720705,-0.0446088566811215,-0.180112598863957,-0.0977159882026902,-0.179225426980644,-0.163683267593867,-0.259806333833909,0.0104355234296118,-0.111165206451259,-0.197147446145356,-0.0978308715334225,-0.141612888304765,-0.239236576971509,-0.260025011989135,-0.237044316043898,-0.266548628331066,-0.305532662336435
progressive,-0.447766968582282,-0.426850942954087,-0.0789780190351217,0.0787703328860701,-0.204337777793804,-0.295617410672785,-0.0928726686538902,-0.248493516056369,-0.340789740279764,0.111990568183498,-0.495495156864459,-0.439905931481729,-0.478272837458702,-0.298094580909317,-0.34877144306087,-0.20010533597241,-0.48297720837804,-0.0466966888559895,-0.428204830452637,-0.251066881433458,-0.459988236248736,0.0707186246155659,-0.0340197178055316,-0.124776327367685,-0.457036482247107,-0.427163925823029,-0.24413717565807,-0.0724835468973725,-0.430054284064792,-0.160222961755704,-0.471263229487916,-0.204089871213137,-0.339799310397191,-0.441744932435959,-0.522954842567291,-0.468859492315968,-0.321977393421972
stable,-0.203876278561253,-0.195121645957381,-0.558064896758861,0.147959824333346,-0.0044908243347222,-0.1444321321668,-0.0028602924463492,-0.232942686139696,-0.102725140140409,-0.20816794255105,-0.141260706470373,-0.204327738173608,-0.193743845982462,-0.166364613654296,-0.166995193702584,-0.251781416094913,-0.193041819620257,0.137239439026093,-0.158049981997125,-0.421920998499501,-0.177773411232417,0.0895499095921079,0.028508389881263,0.161813074257602,-0.0191037776876612,-0.217214620846429,-0.134906444554533,-0.17537480899913,-0.187552819968258,-0.234504082327606,-0.119949411882592,-0.150693985308386,-0.178622200091508,-0.152759191245306,-0.244907886721698,-0.229655444938646,-0.262094827722305
stable,-0.0688470802014553,-0.257560470876174,0.265817467771909,-0.272355971487084,-0.406887027846407,-0.213104279294208,-0.12387923851598,-0.199887019359512,-0.191284038570646,-0.190699251510967,-0.140469835837728,-0.295911589484509,-0.153414975920693,-0.208798409466901,-0.296289468664743,-0.220265562287652,-0.131390853040291,-0.221036359959761,-0.249037124233846,-0.118083253451085,-0.178623869708754,-0.210057680739663,-0.189466072011212,-0.288432940968806,-0.0006257798697798,-0.236638057420498,-0.214963115424425,-0.176599154836657,-0.0583620135315155,-0.218018606363619,-0.160148327530728,-0.170906329679369,-0.199264125663131,-0.172901640557576,-0.186590094767038,-0.298710530802388,-0.256729263331226
stable,-0.0280842259185898,-0.14064564368211,0.33963834792455,-0.1853018472537,-0.11460205910672,-0.0073845700410357,0.0374240529103365,-0.106450592562822,0.423896188508382,0.0195444398013138,-0.13594201080259,-0.190471634248028,-0.059156425570654,-0.0351581919755924,-0.120182675056306,-0.04153089126996,-0.0415476324149775,-0.294968651335003,-0.0445850279946197,0.267340650292648,-0.0037685287373318,-0.359932512799205,-0.170855851049732,-0.277799030323351,-0.0993680597879181,-0.0200398648423113,-0.0787972850588904,-0.32097952257433,-0.0386452115505107,-0.0157050312218559,-0.122351058772696,-0.168195852128059,-0.0284773862461879,-0.0366096500382212,-0.145389119874836,-0.0420475609980495,-0.0215929323521384
stable,-0.0459651403252662,0.003336507811702,0.291919406860649,-0.0981402461006771,-0.169181170941398,-0.0003428280540838,-0.140232796558096,0.0353370788066171,0.17861817787314,0.064310300486094,0.109411164847924,-0.014679674544019,-0.0065913477863032,-0.0497868629659201,0.0223491279094894,-0.0141153321086912,-0.025535149281616,-0.224667580078074,-0.0619362726903008,0.0765580794497934,0.0918608767773195,-0.365478145291649,-0.0396472776828441,-0.215900803449388,0.0516748777600735,-0.0323206617508207,0.0134937074500956,-0.113550897027246,0.164653621924908,0.0301743122067473,-0.0574466538974099,-0.0776114170260451,0.0212360857151081,-0.0190999578943971,0.0335290353173688,0.0034674090212762,0.0165930275807027
stable,0.102277216327811,-0.0320154814719864,-0.298744188401584,0.240341876196415,0.24429379544628,0.0580998436775179,0.129852467516541,-0.0226276200325225,-0.165077209394432,0.0256917054744385,0.057046034857752,0.131528983417477,0.198317212281604,0.0360382659891744,0.0625279311956256,0.0276330812952626,0.0462996863382566,0.244533689516595,0.0286786216927742,-0.122654246282346,0.160801283836531,0.280565835188207,0.0649573950836449,0.308152497323589,0.0692590969469951,0.196584919145436,0.0494743860385832,0.186631535945488,0.0463728408289124,0.0605706860161926,0.0555105857441818,0.157505506259489,0.0458330627467766,0.0167439927361636,0.0570252758183198,0.0346515478098297,0.0869912878532777
stable,-0.22228948275623,-0.371945246473439,-0.393859541330282,-0.519729020890347,-0.267398326387382,-0.437043560627187,-0.42092677088574,-0.402011856913543,-0.173643067985333,-0.241758849108814,-0.305547473106496,-0.2536413992241,-0.154679100723666,-0.402128738653957,-0.421845526323857,-0.426365527621936,-0.325238394242752,-0.456907515259503,-0.306667709294527,-0.320837374218455,-0.282564123234404,-0.420432158211669,-0.508754562328105,-0.520471775753048,-0.0824524605204913,-0.307937944298342,-0.403358095635575,-0.503220953243876,-0.206873949467093,-0.424239150892979,-0.300144641106613,-0.426347396303797,-0.403745717053798,-0.422028481205536,-0.442778203531615,-0.345754508567098,-0.416034322658925
stable,-0.0729511876608876,-0.0539058558551242,0.168680545139885,-0.0012688459215977,0.0088130252917974,0.0602614630935848,-0.0791122462635453,-0.108097317091718,0.384601917976927,0.212956529839001,0.0403750161045679,0.227252787281406,0.0558406037701296,0.203932705798085,0.0220297090392681,-0.0487334041211408,-0.0380034847556452,-0.0079659522987459,0.126656839635,0.102620508585883,0.117696084146155,-0.120856358521104,-0.116410447482322,0.0803207995320993,-0.022672918217949,0.135797870369161,0.232936623242652,-0.110586902832421,0.0058499863145212,-0.034820881416974,-0.0192290203198792,0.076276269106245,0.0643198753306313,0.116469106570573,-0.0774399660273148,-0.0639052258786457,0.0625597487873375
