group,CD273,CD252,CD117,CD45RA,CD7,CD49f,CD194,CD16,CD294,Podoplanin,CD32,CD185,CD62L,CD152,CD95,CD66b,CD57,CX3CR1,IgA,XCR1,CD41,CD83,CD226,CD29,CD28,CD127,CD26,CD73,CD158f,CD82,NLRP2,DR3
progressive,-0.117848412652523,0.137683300026602,-0.0045409411168196,-0.104365520529438,-0.198508767510672,0.0378925525143036,0.0875256099209545,0.0423371180549439,0.0234173487941899,-0.0758744305805238,0.0801853747712199,-0.139330960546038,0.081575645388797,0.0532208091825791,0.0676300384614367,0.0227249029293706,-0.102299129943523,-0.109624123860568,-0.0794390459770615,-0.0566635394320434,-0.270383103901483,-0.150983863524647,-0.0291758231158402,0.0423541265444281,0.0709702150356686,0.245257375817027,-0.213191813546886,0.0096017838467764,0.110524796215086,0.0383118394990258,0.0323510025072881,-0.0443273356491535
progressive,0.0114446142862221,-0.0719041707199214,-0.0916982296084504,-0.137797951002188,-0.0874302853527022,0.107231477213436,-0.0985686541367179,-0.204448275240812,-0.1694406061425,-0.0886747248979607,-0.0664332350267671,-0.0225504966238393,-0.0619066157301921,-0.0876789033167321,-0.153639015483644,-0.200421774283419,-0.0745163173844336,-0.122121947690466,-0.0940230363954762,-0.126505286162587,0.114530618281049,0.0683025281146204,0.0543078356948826,0.0202844102584253,-0.0673562146668411,-0.0898869668305165,-0.0537763274133334,0.119638124660456,-0.0496965332164271,-0.0456642077182062,-0.0903890938754194,-0.19783764439579
progressive,-0.0772922205472078,-0.210316893803464,-0.0614685593900799,-0.37254475700632,-0.325386388780312,-0.0848788752891241,0.216328156699143,-0.252352258191491,-0.172785383928844,-0.211203968308276,-0.231935838631041,-0.18197359737333,-0.0908892745710229,-0.184544747092056,0.388395491463311,-0.286210803605197,-0.108901846083083,-0.169725648731364,-0.2471429137942,-0.121013143396544,-0.193361697593526,-0.116011534591968,-0.164838872578615,-0.0804137944622221,0.104574906433158,-0.289036854456369,-0.2454297997147,-0.106179146939665,-0.191867838486332,-0.0771536289217729,-0.144364308294007,-0.091092343937578
progressive,0.0520929403749596,-0.115282496964158,-0.0765860691172308,-0.04036640487914,-0.261872701863252,-0.0861587202763931,0.166450682984093,0.0481425922491195,-0.0395733124918066,0.0188670337222131,0.0383537521034103,-0.001322854978227,-0.179651626447176,-0.105164259740454,0.0596854644531911,0.0682121967835935,-0.0318748624525806,0.0653666625828656,-0.0178269343013937,-0.071137527503646,-0.0360724448050917,0.0302040509426609,-0.0170810053852497,0.0330083553959388,0.0298046095369717,-0.0311576576809338,0.0743047868077609,-0.0728968341168388,-0.0113879963098073,0.083944600877294,-0.0279358945108255,0.0156072112838289
progressive,-0.104553232885322,0.0758284400421166,-0.102193436608301,-0.139783916306369,-0.344445670791891,-0.195814651970701,-0.173089816081951,-0.122699679192519,0.111964311487387,-0.0155555622237507,0.0521972442885953,-0.114986842249286,-0.144978567482256,0.0399622894202519,-0.0714156777584994,-0.0847423116568006,0.163727362061853,-0.134556783497348,-0.0370016247680533,-0.152949996271391,0.114521411835257,0.16491201520778,0.0537770856780726,-0.112434455224491,-0.190063689440677,-0.26629045080486,-0.244190941511643,-0.264524674175536,0.148540037461017,-0.0388242633891091,-0.0940681864698269,0.0514260875493896
stable,-0.225532064582187,-0.231810836433882,-0.240392687918305,-0.171165826481745,-0.299333588872428,-0.1815953237562,-0.122848275521419,-0.189464739887823,-0.258395250832582,-0.178273670335395,-0.247683487184588,-0.329247627789273,-0.0546886467111303,-0.28025235277225,-0.0831879233205793,-0.157466930167024,-0.211143077840841,-0.257364902924563,-0.230463092827268,-0.301709530523112,-0.0439632927947514,0.0253287614020134,-0.225722371872857,-0.155460755250945,-0.141157523161873,-0.349485841065444,-0.371419015524523,-0.123543401656311,-0.333275239435295,-0.215766851355203,-0.253338953567173,-0.21814117672579
stable,-0.0043937948392728,-0.0137124840907062,-0.0322735010972298,0.264141622594758,0.0852844905676409,-0.291704325420432,-0.238246891233382,-0.0224968023094215,-0.0764451124903855,-0.0932896549391485,-0.0503795301695881,0.0003310602629708,0.563723355039612,-0.0736663378083072,-0.313827794418719,0.0180166236536428,-0.0986348033758468,0.0251291414290077,-0.0475734273740413,-0.029053478640096,-0.135468558598846,-0.0078486578252184,-0.203890738646052,-0.265210126030811,-0.251132996834505,-0.165724387377194,-0.125179050773431,0.0828621122948085,-0.0277584877590466,-0.135681772057062,0.0088587481243706,0.029745016894729
stable,0.0510438672075727,0.0209412358171361,-0.0709781283789417,0.10748873249978,0.0022274568971253,-0.230792259491068,-0.0220065636292346,-0.040947311079664,-0.0275890021015493,-0.0031758936580316,-0.0353617445400487,0.110768982654292,0.0805164310455564,-0.0358857533066604,-0.0975473506361138,-0.0107968442935318,-0.0999464241596198,0.0417955958308047,-0.0085517347248657,0.115575708443605,-0.0417497458660276,-0.0639983351304273,-0.102703507691985,-0.147039714073232,0.0984385460626665,-0.366246850403719,-0.0312804526443861,-0.103539782394641,-0.0228348879299016,-0.14934352850896,-0.0278945406043022,0.0258030733081636
stable,0.0074665151593015,-0.0264506389021216,-0.130321876755834,0.181614029459415,0.416198884282002,-0.0151690313427057,-0.293205119052554,0.142695235989016,-0.0749740725391661,-0.0120651569436283,0.0068900835031207,-0.0031664219163103,0.195834572757721,0.0229374299328963,-0.316961341266316,0.173137982214968,-0.0666305088713199,0.0274890334662131,0.0739276885237331,-0.0611668757440993,0.133689087458478,0.0805430359463206,-0.0782614560203389,-0.115093407298879,-0.342632463401998,-0.084674787630456,-0.026749557990668,-0.0328964064752784,-0.0151044272441028,-0.0434602526397855,0.0026497262591646,-0.0382765392581229
stable,-0.0726082087105652,-0.183035382580073,-0.0562734498244208,-0.0075854042794587,-0.0779672532717603,-0.308150615470841,-0.155776422731462,-0.14468336874868,-0.179895559024722,-0.155722775587205,-0.219336511070666,0.0150279871466192,-0.024297712472741,-0.305890815642357,-0.0060573365620083,-0.182051011794731,-0.0988227721823232,-0.224115342396529,-0.151226012520691,-0.168771851449672,-0.22280825288809,-0.0550677563988828,-0.303506643522329,-0.282222171118935,-0.0750672918267009,-0.156964834477156,-0.122987062573866,-0.14368135555865,-0.255301293278048,-0.136727703048119,-0.226933962838964,-0.167495944849601
stable,-0.059621419347968,-0.169209039513223,-0.284793959615365,-0.0753629720683566,-0.38492257520225,-0.367173234188273,-0.0839420677659487,-0.318146803458515,-0.0788411673558976,-0.217969322212858,-0.187901946952559,-0.107729242278536,-0.147772548192934,-0.120365209133252,-0.0672435578779028,-0.346634766847544,-0.0795249658975711,-0.189350129844701,-0.173071350923663,-0.110946028230232,-0.100834405196507,-0.0026498399947648,-0.202763192591157,-0.295388993558263,-0.155128094226525,-0.271758051525538,-0.312791654320853,-0.0399957488893409,-0.222338522793384,-0.0378380681632219,-0.20427509069968,-0.0431782263531026
