group,CD7,CD62L,CD80,CD10,CD7,CD49f,CD16,Podoplanin,CD107a,CD95,CD66b,CD35,CD58,CD24,CD11a,IgA,CD66,CD226,CD15,CD193,CD158,TCR-Vr9,LOX-1,CLEC12A,CD94,GARP,CD82,CD101,CD88,CD258,CD7,CD2,CD71
progressive,-0.205721190950189,-0.308087600091772,-0.19834994739355,-0.332950908670923,-0.229485912329416,-0.362928769456376,0.0103697949193272,-0.330216701349085,-0.214771319262594,-0.128524200720697,0.0717388702437803,-0.12045755484456,-0.331382691666261,-0.119391570973513,-0.224725300719011,-0.0750694475665176,-0.235644759371764,-0.500886962189901,0.0571475729518853,-0.266513358962244,-0.266657812441093,-0.440521857336774,-0.223347816984991,-0.152180841934147,-0.30441136823546,-0.264238543071358,-0.2037833442646,-0.233323573416869,-0.322885973111248,-0.429447271522685,0.402851788376877,0.283107954239883,-0.168178602666838
progressive,-0.141510178119303,-0.0933969242783416,-0.269129028072964,-0.322083830491481,-0.0640380381585069,0.223258816658011,-0.562398395840093,-0.321481438563422,-0.420000039169579,-0.160866353139711,-0.550060988879941,-0.476241029311703,-0.309091507526501,-0.410306063624911,-0.0582746152898453,-0.223199172984833,-0.361559024450339,-0.143520313493779,-0.351273116582818,-0.393445868398405,-0.0500624731819418,-0.164175060357114,-0.218501229549537,-0.477369781554633,-0.389077707170976,-0.161605494679672,-0.307458809672647,-0.184432801219667,-0.357969027531688,-0.282602126259914,0.0565312640526387,0.183398719223995,0.0078863642230553
progressive,-0.144987265379084,-0.325497953525461,0.0014603910582436,-0.111300778843143,-0.366040908465908,-0.0567854890657743,-0.0450509751009694,-0.0523851185192557,-0.0431074171502337,0.291145032105236,-0.0206725256777688,-0.0969941917846347,-0.0838644496839637,-0.060030305755722,-0.0269919559709875,-0.112996437343584,-0.0677034866794406,-0.0250843415440164,-0.091683966287895,0.0502674532674672,-0.0411703842274396,-0.0928126335959892,-0.211632206912156,-0.084438376285265,-0.0285764964468245,-0.126193134389177,-0.0521575376291079,-0.0996251734958784,-0.125523026428907,-0.0208410506225434,0.493213752901358,-0.158307154372472,-0.398708556195859
progressive,0.026261427486301,-0.216533992475357,-0.239849173815358,-0.308172905570566,-0.403887720375926,-0.0599447615628756,-0.237166045289745,-0.290768647882966,-0.231482024577719,0.145582976903877,-0.227510585454986,-0.270201226208023,-0.190008847323928,-0.276660626765619,-0.121447408794661,-0.312057683841144,-0.182723826105406,-0.309097462121818,-0.219917089198126,-0.247660448046606,-0.368169664646024,-0.286566109735273,-0.281436320650651,-0.189920788587974,-0.296494509033555,-0.315301216751903,-0.105264234247841,-0.246366812892845,-0.300340844772337,-0.307632492685053,-0.158660355239347,0.201030655250025,0.0013871375933862
progressive,-0.460870164369527,-0.0873102817456362,-0.607820887013802,-0.506959180685403,-0.208400462453961,0.175936872041771,-0.685645559824662,-0.589568153964455,-0.585703823119684,-0.253765843299708,-0.764720554207102,-0.579888001784686,-0.657651534808474,-0.521370269737972,-0.276293882940525,-0.528771131910745,-0.559988826133638,-0.137992866234779,-0.568231392414927,-0.503363958740567,-0.504919102922291,-0.537411576783557,-0.523096050698157,-0.650154949619502,-0.574196877294101,-0.551960546733081,-0.51510153273576,-0.578201343739963,-0.636900414153659,-0.50973987734689,-0.241885657044871,0.0227044005344711,-0.54323235503706
stable,-0.280360586151661,-0.337232787911481,-0.0945600415644243,0.088114801729348,0.0529855459095215,-0.203561638896991,0.107613008981778,0.0383756565161657,-0.0275877229231539,-0.0581100057565054,0.0823947857128517,0.044791128163968,-0.0180634904645468,0.114336094958863,-0.186743458132208,0.0968266537540978,0.0246559239595851,-0.149846198812353,0.196379951007367,-0.08447812677367,-0.0087328501796739,0.0131023781258405,0.10372763862878,0.123703580330434,-0.0234582235159003,-0.0794146179031667,-0.0719014092803476,0.0052645934787102,0.0013255850842618,-0.0291355155051837,0.673075289040241,0.0084713264904326,-0.252080678855772
stable,-0.420021952255084,-0.534129596593884,0.0023490746931538,-0.0311084230393692,-0.423215996850944,0.144497525398255,-0.067600223067226,-0.0659887891803127,-0.0159858741936283,0.288539331255919,-0.159203745414292,-0.081035395112667,0.0724372524245616,-0.0200571196514326,0.297069142452927,-0.0759899304436152,-0.0635369349894038,0.0598950463746472,-0.144266873439369,-0.0125379754186066,0.028421787963172,-0.04719023425017,-0.0805286335487312,-0.0320279371006853,-0.0005315552172346,-0.12509522828016,0.143075873655573,-0.0136160619259484,-0.0720524378089603,-0.0497425743758309,0.3103753650649,-0.590579109239912,-0.276092705797685
stable,-0.532901788811826,-0.310012618930108,0.0119748898473495,0.103185366950648,-0.481078463898917,0.409825200928236,0.0571056823192755,0.10392177735981,0.178413608420101,0.586237101330407,0.0774835503271525,0.0339565341970765,0.233831071620774,0.0951031141203865,0.509241809801433,0.138282379302341,0.0982516403814051,0.361652516337637,0.0342249878512645,0.143104135294653,0.031876190077001,0.027472165761931,0.076207620331023,0.1316719062146,0.181731309258293,0.141749616048449,0.367365623914853,0.289239741445775,0.0847366821338271,0.101390117926371,0.564672940824167,-0.13058789157993,-0.108379783686713
stable,0.488507121986094,0.179505679278438,0.247651384924156,0.178068042645496,0.591003023047434,0.0521172717994069,0.191179203914571,0.241479279688943,0.150946044355422,-0.169946034655206,0.0963465763973574,0.219465000160449,0.249153313026428,0.151642004861218,-0.0335849167754598,0.242923131987321,0.200867033848834,0.179555576360703,0.152294595825213,0.234254409645344,0.216076914164876,0.341387315415084,0.223564215497975,0.138506269830543,0.220570895713226,0.269497769487419,0.159731063434855,0.203298850571368,0.274880241996708,0.211707357014093,0.284870357799285,-0.100879446100087,-0.154627537757098
stable,-0.351937857039356,-0.20686805110916,0.13056565078148,0.0262233569814344,-0.306763543873697,0.0208419491640249,0.0060049698627262,0.0376797322333522,0.0664502286663877,0.264013499939158,-0.0653444989814083,0.114490933521145,0.0461335348056513,0.0456255073386288,0.239709330815275,-0.014071789665446,0.055349610186542,0.0631775299566971,0.0159053989022434,-0.0311846140063612,-0.0116317522760157,0.005389737010492,0.0121070914660329,-0.0058769576092874,0.132281798653358,0.073295924142354,0.0526004052108489,0.0270561770569915,0.0413605471358382,0.102300365057383,0.0355457466478928,-0.292142377766318,-0.249148206794404
