group,CD154,CD3,CD45RA,CD7,CD49f,CD194,CD16,CD279,Podoplanin,CD32,CD161,CD27,CD95,HLA-DR,CD66b,CD35,CD278,CD39,IgA,CD79b,CD62P,TCR-A-B,CD83,CD2,CD18,CD28,CD127,CD71,CD26,LOX-1,CD158f,CD337,Ig-light-chain-1,CD328,CD88
progressive,-0.0122615326337423,-0.54066087476975,-0.237446855623768,-0.436748436028704,-0.0819137116460914,0.0907894225206494,-0.0506231217945806,-0.211668816929747,-0.120992678112388,-0.0933741759355514,0.0013454694443013,-0.335035379467794,-0.12346201794635,-0.0081640000351629,-0.0055756503484665,-0.11915860254125,-0.0744882226467759,-0.0633123169043163,0.0102184055516667,-0.139269972720181,-0.376259162268528,-0.39824055433417,-0.125498018011568,-0.145099147301841,-0.128628885233711,-0.0821528136115512,0.0994404287509162,-0.0469942018165637,-0.219546810834969,0.0896003748609964,-0.0419251084752195,0.012384226577983,-0.0802632581931251,0.0704595450544269,-0.0926409795379787
progressive,0.116939506584234,0.0452971932731992,0.117410261462738,0.0011566949541306,-0.186136053212181,-0.0975744756541454,0.362215689449483,-0.185710038339121,0.173595401577982,0.246781794088959,-0.0251663236235122,0.0089336035504016,-0.128909148222071,0.0721465419930551,0.408279935632965,0.368065243698723,-0.101594489036918,0.10287962170918,0.0221249643201752,-0.0930343452413611,0.12147029363215,-0.0114832858482837,0.0828969064395408,-0.123333764863192,0.0736674287515517,0.0162900259905271,0.0170148411986287,0.16158091897574,-0.0120608247449562,0.207998870960786,-0.0464739411698816,-0.0546269445510673,0.040127734710267,0.0399570979103346,0.183763593118291
progressive,-0.236938712267326,-0.236838688135729,-0.19177257814528,-0.142281809583531,0.17465634109795,-0.285643914596629,-0.265349880529091,-0.286948875655089,-0.285889723876006,-0.28784841126953,-0.202603239248247,-0.310977678312,-0.362997375738008,-0.400337176313817,-0.320981167494667,-0.355287552162465,-0.455333978774194,-0.382970093910936,-0.266638546597066,-0.300373800227298,-0.269253675736725,-0.311682204089526,-0.199925365987696,-0.133824953747543,-0.259822226735462,-0.336519552376091,0.141775893753606,-0.551559741936263,0.163956287245645,-0.151775231114051,-0.359364166044132,-0.330658830298713,-0.237556850404145,-0.271970329042082,-0.308696323266946
progressive,-0.24670620190838,-0.14262282704614,-0.1808625907891,-0.175956868840989,-0.028493856999696,-0.111404304413807,-0.301863437522009,-0.104899564054837,-0.22374847894158,-0.246097108026297,0.0620509254063566,-0.31375559402476,-0.0061036011459066,-0.0828353909722204,-0.307300796847235,-0.298436429860391,0.0845097796414405,-0.0144948476999437,-0.217496176344931,-0.136806523335936,-0.18530194040768,-0.131011529423844,-0.244970867919725,-0.0899926389948384,-0.195163055564794,-0.086741104679045,-0.130415937380287,0.0209921633639143,-0.124438561505322,-0.212951826988536,-0.175821071080531,-0.235265669130937,-0.253780087183851,-0.231402693420162,-0.185074787722975
progressive,-0.521990161365589,0.121999971851467,-0.0770278737279847,-0.034104144583348,0.35946680908745,0.0651994694068229,-0.109705764603296,0.232430481516945,-0.0434568087520654,0.0612266254096082,0.242709093562734,0.207510277463382,-0.160124838023541,-0.0086224404826789,-0.124795570558046,0.150316090643193,0.153715985130521,-0.041377288557511,0.175989363880106,-0.032364048832397,-0.106298452173072,0.083730524401573,-0.189464050893861,0.398815822503047,-0.467518083166339,0.0384970556854687,0.365101423177535,0.0258302635508393,0.1631653540747,-0.0187473786723003,0.0275074143446327,0.0410697963701788,0.187838415536474,-0.122794998381234,0.015686289653353
stable,0.0816681369827734,0.289208274841524,0.329370051173801,0.591460460676668,-0.151024217609499,-0.0329500540915514,0.129372161137374,0.0746949012845554,0.0475429593307681,0.158664519881557,0.170239092097823,0.0675164431517284,-0.154443257501013,-0.0754074050443179,0.128842926825725,0.11053105164106,-0.21497076194379,-0.0439231756586546,0.206477174533057,0.0789280544612825,0.0718764681724676,0.269168976902107,0.0407176865854294,-0.100651329004275,-0.0810244997631299,-0.0694791412188088,0.0959270543505927,-0.194729827156859,0.139486346111958,0.0728298407203014,0.142046434373134,0.145265860037601,0.195092589891886,0.0152472093166202,0.142812580905593
stable,-0.218982451655074,-0.242490569784185,-0.0902636141127743,-0.0962693813964313,-0.044709739901311,-0.366510745829623,-0.26351005490996,-0.355674444470831,-0.367530466339809,-0.358522542842588,-0.181040587919043,-0.129877000347614,-0.425886310563235,-0.310120689962958,-0.327365621270856,-0.236752769294482,-0.456414291619675,-0.242203265807895,-0.405126392672154,-0.385215781500766,-0.289934816173267,-0.263691724336139,-0.207542192279983,-0.267108114161385,-0.217078105771871,-0.362287198788092,-0.108923126220088,-0.109443047868876,-0.05039531420588,-0.280836584722414,-0.363125203140629,-0.373995486043155,-0.375437746208691,-0.204423312004705,-0.352811189895428
stable,-0.0519863817033201,-0.273914091451502,-0.372408073475102,-0.21047020456282,0.362786409805031,0.158472274661322,-0.137387608729402,-0.0593557505480696,-0.100347164312326,-0.0316972962194903,0.0569837486068511,-0.241939220409418,0.145992554915839,-0.145099773185964,-0.168937231938314,-0.132444949869917,-0.029736453761902,-0.190311705488298,-0.07334437787423,-0.056025336317611,-0.0772677264402505,-0.340746633635863,0.0484051207852629,0.314495073796899,0.150711059117115,0.127577847165436,0.366107357675894,0.0373370903561163,0.337455756186579,-0.0111832495470974,-0.0756217292559071,-0.0888245549803076,-0.0544294377809218,-0.062678461922583,-0.160056782606407
stable,0.0281646341603476,0.0193914513885646,0.0995879699853268,0.222247773214761,-0.0272380003531448,-0.250481706693406,0.0029604825259848,-0.212184060028453,-0.0811377838302434,-0.0666832017064478,-0.088210911598306,-0.0258698444713202,-0.403732241428791,-0.0846333116168022,-0.0551182597726187,-0.151495160133937,-0.17218636863642,-0.381832434693422,-0.108271691230024,-0.0371984390014903,-0.133289085998174,0.0256921734645673,0.0871776706371727,-0.0561591981203464,-0.156175521778885,-0.281596569922005,0.114244745777955,-0.236971678608933,0.215546230907314,-0.0031433949994088,-0.134095852209389,0.0266269747143549,-0.122631050927122,-0.155341033661396,-0.0869181404253958
stable,-0.219339363682839,-0.126614821450266,-0.13622104590337,-0.262622326223274,-0.21246948607058,0.0154882078114364,-0.220700264838278,-0.134875099977221,-0.240889108321549,-0.176984859932013,-0.350469551363345,-0.375199935553846,0.0620888142659331,-0.0371556228441494,-0.274617708013365,-0.0986015957515639,-0.0246413072203366,0.0462420249245859,-0.284268722648174,-0.209233540259091,-0.0562568391956807,-0.279948966560421,-0.366466175946613,-0.179078263161844,-0.002597678648366,-0.119858411345352,-0.21862710882881,0.171468223130574,-0.278968302820398,-0.0688790448719663,-0.278689533260382,-0.305065092042828,-0.352376217976187,-0.171728067785709,-0.234730871138353
