,ASGR1,BSG,group
1053BW,0.6582305501144802,0.4546032981801811,healthy
Mix_donor1,0.7275507094739465,0.658809147207957,healthy
BP08191115,0.49054324147216205,0.4664137165435193,healthy
BP05191345,0.7678900293064489,0.5553509729554307,healthy
BP0219101,0.8529560776626083,0.423301228997762,healthy
7541BW,0.6995675116432853,0.513999416909742,healthy
6130BW,0.5286163694074524,0.4798881259629918,healthy
BP0319250,0.7342722950983095,0.5737743789033144,healthy
3577BW,0.378717530337387,0.6590022950957244,healthy
3283BW,0.528994501785195,0.40888841865793335,healthy
3126BW,0.5448116760406838,0.5711300916621201,healthy
2982BW,0.3386009462693035,0.4021096135059091,healthy
2773BW,0.4623055866351449,0.60224502033876,healthy
1193BW,0.45897307387749225,0.6308656689000729,healthy
5046BW,0.5528587239477442,0.4361459996401521,healthy
100-2,0.4533893348294612,0.5240231038909001,mild
93-2,0.360769890211624,0.5829968245948033,mild
94-2,0.4933155535681059,0.5569503502240536,mild
94-1,0.4651514699984919,0.5184147625765535,mild
97-2,0.43586948181270685,0.5148140831632343,mild
97-1,0.4946350933123509,0.29806714464007783,mild
98-2,0.3544680426042428,0.3763446898453078,mild
100-1,0.42597554116513514,0.48395507388216263,mild
104-2,0.4681482990905323,0.48754797240020165,mild
101-1,0.34705579260229713,0.5094269537080629,mild
102-2,0.1891942597474885,0.5117528715256823,mild
102-1,0.5301007418279231,0.5641680231419799,mild
103-2,0.3849962612692974,0.5784283111619335,mild
103-1,0.2407568875854167,0.6305750411258992,mild
92-1,0.32457189751237003,0.6209977337069951,mild
105-2,0.372876140601771,0.4193634752821339,mild
101-2,0.4590851152995226,0.47104038154262867,mild
92-2,0.2833258239605575,0.5085582790571048,mild
81-1,0.5786146337168728,0.5504166765643526,mild
88-2,0.48958594688338697,0.5324524023164136,mild
69-2,0.5107537046354254,0.5285736419989078,mild
70-2,0.38851108734662815,0.6054982801503794,mild
71-2,0.6458252010704592,0.444164719481635,mild
74-2,0.7652583365875968,0.3848933910870213,mild
74-1,0.4014836549132122,0.32781290929665236,mild
76-2,0.6575562572633082,0.4283871103817154,mild
76-1,0.6883154229710363,0.5052339333630259,mild
88-1,0.5775055198058625,0.5543627674213394,mild
77-1,0.607556354621974,0.5015790873603001,mild
78-1,0.3837690723493069,0.555849214273156,mild
81-2,0.4015621086880222,0.5499417306676148,mild
107-2,0.397975776152763,0.485980457006713,mild
82-2,0.4815475849950658,0.5738498930176313,mild
82-1,0.7118851882850995,0.7087618349074373,mild
83-2,0.4919931848300369,0.5465973038243351,mild
83-1,0.6203107650297652,0.5540524952295366,mild
78-2,0.5131353849045558,0.46380917356235885,mild
107-1,0.5942361754023922,0.6162684755840613,mild
112-1,0.2811382696901362,0.49378744853597756,mild
108-1,0.624463774352343,0.5248554413316583,mild
126-2,0.6955092458707572,0.6767519567791953,mild
126-1,0.6041575297025032,0.5687840228905096,mild
127-2,0.524993051083525,0.493255886332206,mild
127-1,0.4542008714342816,0.44686479094822923,mild
128-2,0.4303471359444015,0.44727559149830753,mild
128-1,0.46945028087389784,0.6226820819868338,mild
129-1,0.4671751119727833,0.33861668907730014,mild
124-2,0.7036939531670171,0.6252642329551612,mild
131-2,0.42823291524643914,0.4005309191524627,mild
132-2,0.3717959368970633,0.41661248541410917,mild
134-2,0.4779299646113352,0.5500439945109236,mild
134-1,0.8254595845251166,0.45862182658826023,mild
135-1,0.6393343315841719,0.48792947209650517,mild
141-1,0.6292186088806848,0.687160236807743,mild
144-2,0.42204960227076527,0.3972968037216236,mild
144-1,0.4379884343126744,0.6173858440786878,mild
131-1,0.5281673937407602,0.3507567491792318,mild
123-1,0.43255829026132453,0.45044933757621985,mild
123-2,0.4900196173139703,0.503069058185768,mild
122-1,0.39050371186372634,0.4044594572202862,mild
109-2,0.2135901749619678,0.4979665919609768,mild
109-1,0.24694354357955073,0.6865919366333039,mild
110-2,0.3558361349044582,0.4571904997512776,mild
110-1,0.5630466903571312,0.5602209037641169,mild
112-2,0.4840973293787792,0.5018284682886546,mild
