TF_name	target_id	target_name	target_synonyms
ZBTB33	ENSG00000132763	MMACHC	cblC
ZBTB33	ENSG00000133250	ZNF414	ZFP414
ZBTB33	ENSG00000137504	CREBZF	SMILE,ZF
ZBTB33	ENSG00000138621	PPCDC	MDS018,PPC-DC,coaC
ZBTB33	ENSG00000139908	TSSK4	C14orf20,STK22E,TSK-4,TSK4,TSSK5
ZBTB33	ENSG00000141030	COPS3	CSN3,SGN3
ZBTB33	ENSG00000141084	RANBP10	-
ZBTB33	ENSG00000142937	RPS8	S8
ZBTB33	ENSG00000145191	EIF2B5	CACH,CLE,EIF-2B,EIF2Bepsilon,LVWM
ZBTB33	ENSG00000146066	HIGD2A	RCF1b
ZBTB33	ENSG00000149016	TUT1	PAPD2,RBM21,STARPAP,TUTase,URLC6
ZBTB33	ENSG00000149489	ROM1	ROM,ROSP1,RP7,TSPAN23
ZBTB33	ENSG00000149499	EML3	ELP95
ZBTB33	ENSG00000149541	B3GAT3	GLCATI,JDSCD,glcUAT-I
ZBTB33	ENSG00000150281	CTF1	CT-1,CT1
ZBTB33	ENSG00000153406	NMRAL1	HSCARG,SDR48A1
ZBTB33	ENSG00000153443	UBALD1	FAM100A,PP11303
ZBTB33	ENSG00000155363	MOV10	fSAP113,gb110
ZBTB33	ENSG00000155366	RHOC	ARH9,ARHC,H9,RHOH9
ZBTB33	ENSG00000157343	ARMC12	C6orf81
ZBTB33	ENSG00000158006	PAFAH2	HSD-PLA2
ZBTB33	ENSG00000158373	HIST1H2BD	H2B.1B,H2B/b,H2BFB,HIRIP2,dJ221C16.6
ZBTB33	ENSG00000160685	ZBTB7B	CKROX,THPOK,ZBTB15,ZFP-67,ZFP67,ZNF857B,c-KROX,hcKROX
ZBTB33	ENSG00000160688	FLAD1	FAD1,FADS,LSMFLAD,PP591
ZBTB33	ENSG00000160691	SHC1	SHC,SHCA
ZBTB33	ENSG00000160695	VPS11	END1,HLD12,PEP5,RNF108,hVPS11
ZBTB33	ENSG00000160877	NACC1	BEND8,BTBD14B,BTBD30,NAC-1,NAC1
ZBTB33	ENSG00000160888	IER2	ETR101
