TF_name	target_id	target_name	target_synonyms
HOXA1	ENSG00000001460	STPG1	C1orf201,MAPO2
HOXA1	ENSG00000002330	BAD	BBC2,BCL2L8
HOXA1	ENSG00000004534	RBM6	3G2,DEF-3,DEF3,HLC-11,NY-LU-12,g16
HOXA1	ENSG00000004776	HSPB6	HEL55,Hsp20,PPP1R91
HOXA1	ENSG00000004838	ZMYND10	BLU,CILD22,FLU
HOXA1	ENSG00000005100	DHX33	DDX33
HOXA1	ENSG00000005448	WDR54	-
HOXA1	ENSG00000005844	ITGAL	CD11A,LFA-1,LFA1A
HOXA1	ENSG00000006007	GDE1	363E6.2,MIR16
HOXA1	ENSG00000006015	C19orf60	-
HOXA1	ENSG00000006016	CRLF1	CISS,CISS1,CLF,CLF-1,NR6,zcytor5
HOXA1	ENSG00000006837	CDKL3	NKIAMRE
HOXA1	ENSG00000007392	LUC7L	LUC7B1,Luc7,SR+89,hLuc7B1
HOXA1	ENSG00000007402	CACNA2D2	CACNA2D
HOXA1	ENSG00000008300	CELSR3	-
HOXA1	ENSG00000008516	MMP25	MMP-25,MMP20,MMP20A,MMPL1,MT-MMP 6,MT-MMP6,MT6-MMP,MT6MMP,MTMMP6
HOXA1	ENSG00000008517	IL32	IL-32alpha,IL-32beta,IL-32delta,IL-32gamma,NK4,TAIF,TAIFa,TAIFb,TAIFc,TAIFd
HOXA1	ENSG00000010626	LRRC23	LRPB7
HOXA1	ENSG00000011132	APBA3	MGC:15815,X11L2,mint3
HOXA1	ENSG00000011426	ANLN	FSGS8,Scraps,scra
HOXA1	ENSG00000011478	QPCTL	gQC
HOXA1	ENSG00000011485	PPP5C	PP5,PPP5,PPT
HOXA1	ENSG00000011590	ZBTB32	FAXF,FAZF,Rog,TZFP,ZNF538
HOXA1	ENSG00000011600	TYROBP	DAP12,KARAP,PLOSL
HOXA1	ENSG00000012061	ERCC1	COFS4,RAD10,UV20
HOXA1	ENSG00000012171	SEMA3B	hsa-mir-6872
HOXA1	ENSG00000013523	ANGEL1	Ccr4e,KIAA0759
HOXA1	ENSG00000014164	ZC3H3	ZC3HDC3
HOXA1	ENSG00000018280	SLC11A1	LSH,NRAMP,NRAMP1
HOXA1	ENSG00000022976	ZNF839	C14orf131
HOXA1	ENSG00000023318	ERP44	PDIA10,TXNDC4
HOXA1	ENSG00000031823	RANBP3	-
HOXA1	ENSG00000035499	DEPDC1B	BRCC3,XTP1
HOXA1	ENSG00000037042	TUBG2	-
HOXA1	ENSG00000039523	FAM65A	-
HOXA1	ENSG00000047849	MAP4	-
HOXA1	ENSG00000049541	RFC2	RFC40
HOXA1	ENSG00000049860	HEXB	ENC-1AS,HEL-248,HEL-S-111
HOXA1	ENSG00000054116	TRAPPC3	BET3
HOXA1	ENSG00000054118	THRAP3	TRAP150
HOXA1	ENSG00000054179	ENTPD2	CD39L1,NTPDase-2
HOXA1	ENSG00000055483	USP36	DUB1
HOXA1	ENSG00000055950	MRPL43	L43mt,MRP-L43,bMRP36a
HOXA1	ENSG00000058729	RIOK2	RIO2
HOXA1	ENSG00000059915	PSD	EFA6,EFA6A,PSD1,TYL
HOXA1	ENSG00000063176	SPHK2	SK 2,SK-2,SPK 2,SPK-2
HOXA1	ENSG00000063177	RPL18	L18
HOXA1	ENSG00000063180	CA11	CARPX1
HOXA1	ENSG00000064199	SPA17	CT22,SP17,SP17-1
HOXA1	ENSG00000064270	ATP2C2	SPCA2
HOXA1	ENSG00000065717	TLE2	ESG,ESG2,GRG2
HOXA1	ENSG00000066455	GOLGA5	GOLIM5,RFG5,ret-II
HOXA1	ENSG00000067225	PKM	CTHBP,HEL-S-30,OIP3,PK3,PKM2,TCB,THBP1
HOXA1	ENSG00000067836	ROGDI	KTZS
HOXA1	ENSG00000068001	HYAL2	LUCA2
HOXA1	ENSG00000068028	RASSF1	123F2,NORE2A,RASSF1A,RDA32,REH3P21
HOXA1	ENSG00000068137	PLEKHH3	-
HOXA1	ENSG00000068745	IP6K2	IHPK2,PIUS
HOXA1	ENSG00000068971	PPP2R5B	B56B,PR61B
HOXA1	ENSG00000069248	NUP133	hNUP133
HOXA1	ENSG00000070495	JMJD6	PSR,PTDSR,PTDSR1
HOXA1	ENSG00000070610	GBA2	AD035,NLGase,SPG46
HOXA1	ENSG00000070950	RAD18	RNF73
HOXA1	ENSG00000072786	STK10	LOK,PRO2729
