group,AHR,BACH2,BATF,BCL6,CDX2,CTCFL,DUX4,EGR2,FOSL1,FOSL2,FOXG1,FOXH1,FOXK1,FOXM1,GLI2,GLIS1,GMEB1,GTF2I,HEY1,HNF4A,KLF1,KLF10,MAFF,MECOM,MEF2A,MNT,MYOD1,NFATC1,NKX2-1,NR2F2,PAX5,PRDM1,RARA,RARG,RFX5,RUNX2,RXRA,SOX17,SP1,SP4,STAT2,TCF3,TCF4,TCF7L2,TEAD4,TFAP2A,TFDP1,USF1,USF2,ZNF384
critical,-0.183683548017095,0.198712924859516,-0.0206753332223774,-0.16970560906077,-0.0562651803248286,-0.186024985326467,-0.0637136016523774,-0.053252236466354,0.212558329628518,-0.105267487184361,-0.18596313603905,0.123318643497744,0.0479066909109957,-0.0162398557533032,0.0115481455220715,0.129282681927276,-0.0082436264514863,0.11574652359536,-0.0532257296288894,-0.148721029401306,0.251832627138547,-0.152264110009072,-0.0155418423667358,-0.100655297465523,-0.0182455397881236,0.0370035451005625,0.0706937355180518,-0.0655072309874811,-0.0232995101313714,0.0935691362499898,0.096608586945929,0.111081320201593,0.0826129767646274,0.0447612128651981,-0.0203307443353377,0.0280353984250442,-0.25911317182882,0.0870042761712606,0.0811374294790988,0.193040461642094,0.0256232762157668,0.0091625301502586,0.0023679441468363,-0.197590802073515,-0.0274345767758469,0.0210552645593698,0.0697041469193739,-0.0852106468361569,0.0796265397436174,0.142253361059947
critical,-0.0318095784338229,-0.0599156493306935,0.153706434136367,-0.089471233940657,0.0901959907972034,-0.0217861911077857,0.151285746235502,-0.0219673803219223,0.214354087892173,-0.0206845606858352,0.0902612189142926,-0.0414560921944559,-0.0126470071467352,0.101270275565233,-0.0629306378539266,-0.0536465025215669,0.0895147193520498,-0.201373692591426,-0.0519723141829446,-0.0411154564718791,-0.155829971726048,0.127600692163565,-0.0987336265673204,-0.114547821177164,-0.191741673967924,-0.238771146389222,0.116526407395535,-0.0166476649948715,-0.110221022743581,-0.0072620637025952,0.0895002242149188,0.0208947401742336,0.25122246918469,-0.124042135997922,0.183233028472069,0.0694317068571482,0.252150157961069,-0.137479128118293,0.013719647294424,0.0017539115928423,0.0704028810449204,0.207751552929035,0.0319037968251739,0.149633300602576,-0.142052343883101,0.169527876314776,-0.162193336926526,0.0752370092780851,0.0864127600060311,-0.033824402495022
critical,-0.188407324587254,-0.0295344055132822,-0.0057955297741664,-0.127578373466644,-0.0124086588697262,-0.148605800517922,-0.10427131291872,0.0986116843722384,-0.138364985425295,0.0904159635607375,-0.0396152078700868,-0.035222529478472,-0.0414783698625382,0.100976804125009,-0.0364653681252013,0.201344244680722,-0.0385762210648845,-0.144866324801308,0.192657525885328,-0.108223408298002,0.127834832235017,-0.0994183239172056,0.0668765557525783,-0.109014704155973,0.0180660954609227,0.0845831705467221,0.112975567356396,0.0746470372387432,0.0262793519147054,-0.0464957555104455,0.0848155178069572,0.212827898420078,-0.121134024928048,0.114882568454552,-0.0129106166300454,-0.0797630608744861,-0.0095547330883477,-0.0218954413442316,-0.0207731602381902,-0.0394179318944155,0.280701793827439,-0.12939331244282,-0.163445337798976,-0.0074833353437988,0.0930178144843138,-0.14747475159074,0.144075028943337,0.121914361009592,0.0258475367235137,-0.0032134064481573
critical,0.170578228599127,0.0450777333925053,-0.0185642744067449,-0.040402196632349,0.0256487218260618,0.132689725827688,0.0684929185497026,0.0211838544504749,-0.0113717348424657,0.0937930983573144,0.0097040274630468,0.0557413543873606,-0.338696809409826,-0.102141562084048,-0.0278590958924344,0.0965196675649357,0.0321221177320202,0.291687756161922,0.131363942580293,-0.277812254288186,-0.107117109695528,-0.133340484659604,-0.0142450005325358,-0.118208687345949,0.0484208690188403,-0.0451273675407023,0.146747219578146,-0.0308967057620901,0.253165039274633,0.0874873555741548,0.0295058466315033,-0.0077219704783804,-0.103702280299576,-0.0119695505829716,0.0271156866505506,0.220241054303963,-0.087417867766679,0.24556770565728,0.117550207646535,-0.0810569759299671,-0.0294617273886616,-0.135033560603657,-0.0755839838554458,0.296320276660308,-0.107653158496056,0.0831140356274645,-0.0118901359458565,-0.119552118290481,0.151431580186871,-0.102373188108967
critical,-0.128133953687062,0.134002097556339,-0.114620993568875,0.108052430780704,0.090037997854498,-0.140092325473069,0.0878256990740868,-0.0531891293653315,0.141365037898866,-0.150632776033021,0.0462105652587833,0.268772947584635,-0.0079523172376944,-0.0903540405374139,0.109487435395025,-0.0384376235978789,-0.130833129033047,-0.125323736317351,-0.32092853195989,0.204778575141233,-0.0149821315090399,-0.134975850687485,0.0533087130831916,0.0233786168416432,0.203326487138646,0.0462191069529161,0.0558712213230502,-0.166545952202543,0.151905488458817,0.089422995876932,0.129594583383782,0.149889648643462,-0.0939928022380131,0.116952876067146,-0.117183501808733,0.213388602827158,0.122436643700443,0.187917270922963,-0.0420593019102123,-0.0992117773531918,0.104029292844126,0.0122914978571884,-0.152614449071845,-0.148403393864344,-0.0570243500309865,0.223015092114893,0.0455272297281543,-0.031066141561219,-0.167724705992878,-0.0254029983511315
critical,-0.260949047465631,-0.0283979934947037,-0.118932597561126,0.167421928697715,0.0292542587632726,0.0315317478281261,0.0290247443613882,-0.100324276054494,0.0498487625939048,-0.118553016050317,0.080206455981622,0.0025511408517156,0.0256791305800724,-0.0394411672161443,-0.0483657464586514,0.0944981412374271,-0.0334296553821706,-0.0964754960844317,-0.0369165087954153,-0.300248975049847,-0.0497428328699581,-0.0240107374279124,0.0025423133747201,0.207525156688526,0.0089334067195026,0.356400556218579,-0.20980264575338,0.15813542289839,-0.0400767455598243,-0.133903998545589,0.0673889593840746,0.0480214748558247,-0.0698341705118436,-0.0033809236892979,0.120159616863508,-0.0119965412369606,-0.0044049110207824,0.0830047661892132,-0.0977201703408051,-0.0225718586776367,0.109663746715792,0.0477213406379758,-0.228967098310732,-0.0051993839503824,-0.0006532332976711,-0.0329176617164284,-0.0387261415795042,0.0556925523649629,0.129746256880682,-0.0262793990157703
critical,0.223932066172239,0.109016814890719,0.224316473964107,0.42678686990311,0.151451781474761,-0.491415063271769,0.320393809290125,0.160789345576643,0.283635180831866,0.109752686093309,0.141528317495037,0.153023706680281,-0.154701138923225,0.323727249301048,-0.160530870338509,-0.0285533414819022,0.179456928454404,-0.376993414464784,-0.0234786208919318,-0.258487767626627,-0.222429929918648,0.0773283904540478,0.302407399315033,0.0244675474505968,0.148727557461753,-0.117835770670055,-0.0507943376191808,0.196495071613496,0.142042547403057,-0.0901590260343323,-0.0934253126438175,-0.264742258387071,0.0112337257811919,0.0874289039143778,0.334400059797971,0.0853308569419658,-0.107847491277234,0.168857817726269,-0.144061400334084,-0.22528850324341,0.038907271623778,0.100093797375842,0.090751854859433,0.453565880152622,-0.137772934352181,-0.065431611179817,-0.0771850505144064,-0.325819387539293,0.0166271779451336,-0.0276421424083007
critical,0.0135141934295617,-0.111690878554979,-0.0351114145878055,-0.131798246193468,-0.1312671014143,-0.0661743501564146,0.0481009456595495,-0.058423581002912,0.0278277935431169,-0.155116343334491,-0.0881820327176199,-0.0285419632825439,0.0031439743550091,0.0463432440065451,0.123818523434819,0.155836305875976,-0.0543537237856446,-0.247557326879412,0.0875277219327915,-0.101099567535215,-0.0455566642413941,0.0446834682930912,0.107879214800865,0.019955927241832,0.10826691876717,-0.0044239077620933,-0.0003359825193596,0.0755650339877439,-0.161877232955381,-0.0739467733557052,0.0383255921868023,0.0278757910458826,0.109610159225316,-0.0094739898418765,0.0866603187865466,-0.0577578225378262,0.0573263967083694,0.106531698703105,0.163181303037707,-0.13394254842191,0.274504338662007,0.240741957334405,-0.225500543424573,0.0611521286960528,0.207757742416585,-0.188879276357527,-0.0033334817366183,-0.0499793306887607,-0.0284496922211926,-0.0100302367632958
critical,0.301885936631864,0.328043835828008,0.272398850265302,0.457287637765321,0.509603436157609,-0.190001467797447,-0.0290114881993599,-0.0556449855627068,0.0719342227893966,0.0474409171784615,0.0505323052652786,-0.522206787588479,0.164081367684905,0.0898880536012955,-0.045538524509651,0.248143343737968,-0.0537425928938963,-0.0054693789228301,-0.270496457596491,-0.632545562379487,-0.541468513360185,0.0613521635691382,-0.476549363537027,0.56596181897112,0.0234232097347291,-0.155045002508055,-0.0464897208440563,-0.0174782326446963,0.385829013143127,-0.0517213006832851,0.0724098209565992,-0.169907445233137,0.523157983922884,0.124844518890688,0.426730455522552,0.126746911559499,-0.0765713049196221,0.201059125184908,-0.611143644855369,0.0370966570418045,0.0227098124839252,-0.490698409011305,-0.500923769606161,0.497594582435743,0.459190030434131,0.1996323306833,0.009987561511255,0.396173273279784,0.209857691278157,-0.154807203424453
critical,0.385644799239231,-0.0605568101092827,0.311641029566794,0.151962160635462,0.262052476737299,-0.35125026241482,0.362146956213705,0.261403893798424,0.0396454683424326,-0.223458019234229,0.201193168312817,0.0931746798051001,0.174168736584653,0.396009460043682,-0.3443144646755,-0.264586653682764,0.150268011904684,-0.217514762896071,-0.380541493329368,-0.361671175745293,-0.214102351652907,0.313332611346626,0.0298163149912706,-0.0800686579993321,-0.0201276957221707,-0.17262881234098,-0.263838556019359,0.358785767309862,-0.135220467676273,-0.100541167834105,-0.0991260129636573,-0.316878296608571,0.0169994381700258,-0.0703901509612293,0.306773027493594,0.0571822808391625,-0.206835144989256,0.0587941186025033,-0.317255573575553,-0.0486385216917174,0.0740579090014676,0.220001632750627,0.246938515894275,0.243309586228186,-0.283483444569013,-0.22329971096153,-0.206926829216963,-0.252362846245099,-0.228620961378177,0.0380046421835668
