group,ARNT,ATF2,BATF,BCL11A,BCL6,CTCF,ELF2,ELK1,ELK4,EPAS1,ESR1,ESRRA,FOS,FOSL2,FOXD2,FOXK1,FOXO3,FOXP1,GFI1B,HES1,HEY1,HOXA1,HOXA6,IRF1,IRF3,JUNB,JUND,KLF9,MAF,MAFK,MBD2,MEF2C,MITF,MYBL2,MZF1,NFAT5,NFE2L2,NFIC,PAX6,POU2F1,RELA,SETDB1,SP4,SREBF1,STAT4,TAL1,TBX21,TCF12,TFAP2A,TP63,TP73,ZKSCAN1,ZNF236,ZNF250,ZNF281,ZNF384
healthy,-0.150242956866064,0.287793169912491,0.252982853956453,-0.31283246210232,0.283834624183222,0.343466456466308,-0.324952676023692,0.411124932685829,0.350115951764368,-0.220182959738023,-0.378957841338247,0.184896701800025,-0.278189261878855,-0.374380335488807,0.327284444109832,0.266041167064428,-0.111294770687467,0.301073780805526,-0.366533389651776,0.258113487952163,-0.27726717622328,0.347319634535588,0.316035043772777,0.334275127676542,0.269954950916334,-0.392491402894992,0.33528687235802,-0.0830144969895662,0.0394597452767683,-0.318864098774097,0.299863256199723,-0.0250249491505062,-0.301742782673373,-0.198021113129937,-0.305959077972473,0.36093699980862,-0.262019645086154,-0.341541721505688,0.331599942568037,0.330855704158588,0.215057139678564,0.32039100549087,0.289602602296513,0.190150535632608,0.0901212002848404,0.329674726643224,0.271530823652834,-0.39424688355011,-0.349207610090037,-0.316333293104243,-0.333855297468032,-0.302330516622754,-0.30058298690695,-0.286729642135299,-0.261818428133441,0.309424725584821
healthy,-0.330073744928552,0.266226745834959,0.188870333767178,-0.346426672017495,0.236067108466115,0.061161903517463,0.247937917472078,0.290105412749375,0.35508705518892,-0.340786615616632,-0.15176017053141,-0.212951781502831,-0.336518162071284,-0.341691778030076,0.330055509930032,0.305292970678979,-0.342901095763509,0.325373013717592,-0.349370701390236,0.300224166182012,0.202040219343094,0.3210538808788,-0.152445367308256,0.260706378490699,0.344436368073454,0.0336561744672459,0.270891898113379,-0.0815243821788763,0.345884777506504,-0.350693422993173,0.223822529726091,0.125979812855114,-0.351626781233299,-0.270333327966744,-0.323623344924176,0.361754031602419,-0.346728360998244,-0.365349301829806,0.322484087137063,0.310256868242925,0.0375257334420034,0.345966246260799,0.276939218726387,0.322107532826439,-0.165403895567122,0.277507001843479,0.337230058959402,-0.215188337486223,-0.336904040735427,0.331557526439883,-0.342836159438064,-0.344456655702697,-0.312628054525162,-0.269195963691693,-0.280127272477227,-0.223571122242133
healthy,-0.501816168751217,0.353773139105426,0.300638649233035,-0.457430154007753,0.465342154562758,0.421473137293326,0.232599703316194,0.480346935047478,0.363171408158588,-0.535080107413193,-0.439977183632629,-0.346506695628043,-0.497338560776051,-0.495557615272733,0.527320051654116,-0.503407053560238,-0.504762089861393,0.466349289947049,-0.492708591394808,-0.294751468330011,-0.410722803234035,0.474683316583203,-0.0765220954047049,0.515025697497306,0.409496719564913,-0.209644782796394,0.409926849892549,0.490660999674859,-0.0625482835490381,-0.483148528252945,0.383581933285791,0.257921496141614,-0.464526101746715,-0.463764640581356,-0.537888657222095,0.520014721942617,-0.15415056587547,-0.472474598922905,0.489631052919757,0.515381930617155,0.3446222342935,0.425781538663362,0.437084926626012,0.396804683508692,-0.201061269565415,0.493958060256267,0.436821550406023,-0.450312047325194,-0.525538783867476,-0.492004150795908,-0.47286162975152,-0.45727049799378,-0.461457343527073,-0.46148251306854,-0.308540753331854,0.503389375140887
healthy,-0.391221418153844,0.467134007206683,0.375919724715208,-0.489738548287057,0.485272474347471,0.290781765378407,-0.572687851175865,0.497668084316598,0.0430234787813425,-0.50805355445861,-0.556970333081588,-0.4146883243171,-0.44345583983607,-0.342510179632488,0.429001287213839,-0.442188275853887,0.0114596754895794,0.435036751972275,-0.477534752839941,0.427876761385754,-0.486270688720011,-0.134341079090356,-0.0242930118432926,0.447996855971909,0.448743532697699,-0.518597188075247,0.527577831552619,0.503909589463824,0.311422783102453,-0.472336700179052,0.520969216261342,0.298806105282645,-0.483197289939714,-0.468296834058685,-0.466314656671954,0.420931235970777,-0.479829133703007,0.313031912621459,0.504153407634869,0.512981533597585,0.396256152364697,0.465065166575529,0.358919349629599,-0.528338865831499,-0.0369016956999672,0.452206580881874,0.48750387399733,-0.510186772057054,-0.482761799564524,-0.481628257452605,-0.489959144362469,-0.489814165587075,-0.530971424389618,-0.451379887083525,-0.482754838070392,0.521701426943853
healthy,0.358207187410762,0.54298181312183,0.514500363214905,-0.510671179890429,0.531486331906645,0.50018381090862,-0.527074799910142,0.63874628727169,0.64007223392079,-0.337724106572816,-0.57630034928995,-0.522402341075482,-0.551152168965162,-0.513836846912404,0.502781012603513,0.417519487184892,-0.323277210183266,0.522157694396184,-0.534702411884031,-0.504572335878256,-0.517320039912923,0.547406346296225,0.509939279576977,0.474596992524146,0.502153028998453,-0.551785425377242,0.514225647582487,-0.488793153354009,0.512304329052241,-0.510999637947453,0.574758289154549,0.532910569957483,-0.549286769361167,-0.521234979788886,-0.461009960240818,0.490733924539816,-0.589651784220511,-0.567571571605189,0.521281950365062,0.561938993729454,0.542755234802657,0.50321062979367,0.537834952202158,0.0930677372068662,-0.53559853480022,0.51015727856913,0.500075373208835,-0.436379530276297,-0.652113371717235,-0.537816638744631,-0.53956732909286,-0.509217387866404,-0.503116175497318,-0.548651670587721,-0.52836097468652,0.592931200303938
moderate,0.115511411644893,0.0400342622557998,0.327228332311125,-0.212424197901111,-0.0176305643688688,-0.318492075516063,-0.282776550789436,-0.0754415879638755,-0.133319783139848,-0.294879289171742,-0.361730817310893,0.178625038866753,-0.28726519290576,-0.0823365531865729,-0.0032005282695615,0.308515120107861,-0.345759786118833,-0.222369543153563,-0.168814036776233,0.412887903120786,0.159481138291413,0.387169090149704,0.158031022396438,0.367574744854944,0.325260600115765,-0.214411686443814,0.267018888148681,0.194588167519875,0.184038278038728,-0.258353754204054,0.399358756460318,0.481118424304476,-0.236301719299828,-0.0981060696357337,-0.331981709481844,0.14540276517481,0.330543447395276,-0.0735923938525732,0.294760751087684,-0.331637949038076,-0.220654692204193,0.3801239766872,0.270800253030126,0.350864826272258,0.108652007847413,0.230197007970849,-0.0870148562373888,0.0417135517799525,-0.115301994363057,-0.236704748785624,-0.307531254010181,-0.1714100208171,-0.331420629217304,-0.177870346398252,-0.299103196233669,0.31934159845181
moderate,-0.131559884883749,0.197397846626361,-0.0233918085200902,-0.10024110744526,-0.195974010516397,0.0482021493112165,-0.0106974125464175,0.377271829008279,0.271662277571883,-0.17686298715148,-0.392538645575777,-0.248674735091949,0.173216862102339,-0.181608357282507,0.237717199581758,0.161277783677453,-0.239652396221214,-0.31839414793264,-0.322789738693524,0.168336547434767,-0.0042341074583405,0.281656060534853,0.131609419999339,0.291842112551778,0.165857795376389,-0.335352419405275,0.224039812412651,0.0462458547442192,0.136988099812464,-0.217747091310147,-0.0104513026773739,-0.0442831603420586,-0.0627682915708314,0.173081017283171,-0.0707626251150152,-0.127666162542101,-0.327362528560119,-0.146070718476173,0.160021674134305,0.296917181836197,-0.216698516482811,-0.0506437353543813,-0.0644350474179376,-0.177543522528529,-0.231286793952119,0.0633211042436748,0.019767681681112,-0.0972712512163913,-0.321949598864622,-0.210171095614934,-0.205945482127422,-0.153537564689108,-0.222646292341427,-0.124144061209868,0.0628202339638685,0.244547076268021
moderate,-0.0763296544083194,0.0807704987603211,0.122144319003092,-0.106283259564379,0.159356616892905,0.225418146830731,-0.0788403987642403,0.109228604923114,0.0720405975350992,-0.212918637546639,-0.0736490267129263,0.0502589253852034,-0.1883844798645,-0.046682327325942,0.0735275742039334,-0.0465686087325141,0.0293042941381216,0.0767471732189868,-0.244714115992093,0.042922367889889,0.201965348226341,0.169700804047547,0.14117106530758,0.077720032219151,0.120585634670525,-0.342809411569987,0.174626294593857,-0.0559861902072636,-0.152185324913691,-0.119827635858603,0.157252541339893,0.190841349614422,-0.115676813340286,-0.0605419169943558,-0.0915500753266444,-0.0662046073757768,-0.198868778538017,-0.132835894122405,0.0170035389753928,0.243426832026607,0.0162032288875412,0.11719074608376,-0.0037639390236738,0.170386907479338,0.0609619887480253,0.0194064214894787,0.0699729014198658,-0.0155812869203155,-0.0465867045932049,-0.0592495646861456,-0.150865228121974,-0.148943275017532,-0.199768578316388,-0.116055324683614,-0.127649064807903,0.0017552234004428
severe,0.03398436079502,0.186922463986078,0.168771943750739,-0.143046110520984,0.215659935624334,0.0996184168948795,-0.221854159806311,0.354681206852028,-0.0607675792393057,-0.287675424418522,-0.428383214797516,-0.0869417438000217,-0.0173428421854512,-0.254379903894327,0.20874200825708,0.0180538567481542,-0.309401261774589,-0.0464701296622137,-0.31008308018632,0.355124528435565,0.0087629105784721,0.181976816690821,0.104264505932273,0.0987238895351382,0.129082301909642,-0.0931560069716951,0.168459163044756,0.130534430583097,-0.1732086089204,-0.147399745286615,-0.0679531995857258,-0.0668849325427736,-0.126260171569687,-0.129037912262384,-0.141168974586544,-0.0332990109219902,-0.116789326191273,-0.214221973859579,0.133168038378589,0.242084300111735,-0.0308339277447669,0.115664227259509,0.0606654953696621,0.003016278584394,0.0557595975457705,0.100869621845821,0.090322255660256,-0.285215966941275,-0.264823995368648,-0.16017558674237,-0.195514345072569,0.0107302630300516,-0.164680951153347,-0.124311338758176,-0.150083204175328,0.255858272146503
severe,0.110002331405677,0.438514789446688,0.250805102802537,-0.171776769714634,0.332540420688418,-0.128027372360878,-0.238351836864445,-0.138632131574067,-0.0607371647591493,0.306600857492225,0.0307285155413493,-0.0489859947618045,-0.096155320249698,-0.211370522976898,0.112075676309878,-0.0474849501485364,-0.0496883947059899,-0.0286848109723829,-0.286706112481468,0.387521777803584,0.0805071578134991,0.341651445189196,0.0710046459758853,0.0874229734863336,0.0404302601777526,0.0699138540025992,0.183689669541153,-0.198449257563886,-0.219766476117449,-0.0898249599256712,0.172273165874359,-0.0988274966539912,-0.208331386785904,-0.23048806937931,-0.165103258600461,0.353163295388911,-0.241944356041507,-0.125948527758112,0.105813633849439,0.147713128826143,0.228495105747863,0.347817574564852,0.157696339191395,0.245193558608364,0.339287251904574,0.146505502804184,0.237090720055684,-0.228154442258575,-0.229628624022568,-0.08254616414751,0.0166159021086652,-0.212788975383316,-0.0493605684528008,-0.222168462556786,-0.113804999868631,0.209958551371051
