group,AR,ASCL1,ATF2,BACH1,BARX2,BHLHE40,CTCF,CUX1,E2F6,EGR2,ELF2,ELK3,ESR2,ESRRA,FOXK1,FOXM1,FOXP3,GATA2,GFI1B,GTF2B,HEY1,HIF1A,HINFP,HOXA1,IRF1,JUND,KLF3,KLF4,MAF,MBD2,MEF2C,MYB,MYBL2,MZF1,NFAT5,NFATC1,NFYB,PRDM1,RARG,RFX3,SP4,SPI1,STAT5B,STAT6,TFDP1,THAP1,TP73,VEZF1,ZBTB33,ZNF263,ZNF384
healthy,-0.282024032492249,-0.315672363857683,0.328149926112895,-0.226853135808669,0.163835154061822,0.293122207162063,0.335139583122534,-0.278464856918285,0.28399722658489,-0.291336127191446,-0.425111860801638,0.26866018994384,0.360545133893972,-0.0154568374653992,0.355084759460552,-0.295870997498388,-0.282918827934791,0.125085032095616,-0.220749224075273,0.392928141569578,-0.322343550414216,0.0676251824783182,-0.0917519890141778,0.263607861552992,0.311875000454923,0.352866314885594,0.334564283045093,-0.242709878034564,0.1809980252264,0.318248023567299,-0.0749479638190682,-0.310030622974329,-0.300637149832966,-0.295551631053035,0.247739394076031,-0.275442150793711,0.331861933899268,0.246601314177327,0.255765909644351,0.291844597420266,0.306312353985536,-0.224073131852728,-0.233449830386234,0.215437812113164,-0.157553971229149,-0.332535081916662,-0.300538766876059,-0.263036918963028,-0.025546346176724,-0.276472778231246,0.315786324617454
healthy,0.0011173924842871,-0.272144088530112,0.153754748974024,-0.497778721216866,0.260127455782513,0.273043886120893,0.161939577876838,-0.319264892991529,0.31810409583492,-0.231663452767322,-0.060329382853956,0.143973567982212,0.286976611301516,-0.279016965965717,0.310225671531893,-0.295914179463099,-0.310945754093162,0.046563354476325,-0.233587832412838,0.273744536597699,0.0230025871002382,-0.103211119367049,0.150559203012432,0.192978125696874,0.215244405080352,0.249942820899801,0.280911546573212,-0.217366503010103,0.202150291825868,0.274218606429523,-0.36049294959128,-0.283889465889527,-0.380451446682358,-0.283900213864348,0.206418904798038,-0.337515890915728,-0.114642281190766,0.344074727450381,0.239935519663701,0.391085861291316,0.358568220676271,-0.0253834937235498,-0.217721964097627,0.138943658648719,0.198715115241003,-0.142652122735176,-0.243398383793749,-0.307796613346346,-0.151263663701878,-0.156996493763875,0.12276730563102
healthy,-0.0625064656344425,-0.0863890355802178,0.398664550609098,0.275943067989451,0.350436228186835,0.531235657612126,0.388403671783802,-0.45053524520427,0.441563050020048,-0.428911193708651,0.0334433620058437,0.0748943934291789,0.31562357305664,-0.349698978125147,-0.218053419407798,-0.466779689636112,-0.456934565372949,-0.405615814842005,-0.369707612120302,0.42275857122983,-0.392679846228674,0.490482356870135,-0.437166463981489,0.426287686450445,0.388588875684293,0.448828498038858,0.480041339724698,-0.356606631245365,0.160133008224236,0.488164213790493,-0.256686920065098,-0.43689350380994,-0.397522965138501,-0.315572422475523,0.334479430182751,-0.468144411957729,-0.312886722456398,0.415127961623486,0.391471929143136,0.4070922076861,0.470383272814681,-0.252606999554132,-0.282915269954472,0.307747742239672,-0.325722047019826,0.0001678395622677,-0.424972386915097,-0.432007849732397,-0.284059886919665,-0.182920501795281,0.406345470459973
healthy,0.128975471131394,-0.212623319497521,0.493462662298961,-0.463114744041961,0.447831336950259,0.719497665044481,0.238786030506378,-0.507887200648147,0.404176076280405,0.34841975052184,-0.322891240831637,0.45324590956887,0.231466521864566,-0.515365734307446,-0.207231395076886,-0.345221946809019,-0.399915466734568,-0.280432274283261,0.104912389646556,0.613237566627363,-0.390737636437938,0.508967650496885,-0.366797594423855,-0.454081523083977,0.394080109006839,0.501385303191415,0.655593147643789,-0.320959267562654,0.414086106978943,0.487990990928961,0.237194250660894,-0.505092114511375,-0.356058856772865,-0.383434650900185,0.210049205864922,-0.398852000282236,0.666451756550936,-0.19482659026683,-0.370295826051567,0.563478676301884,0.529054266042274,-0.0976025804108664,-0.114716305116223,0.229923104167707,-0.0574325506805732,0.24086681114956,-0.452574980550122,-0.424543058252626,0.022624442052065,-0.34027271777608,0.182878638856374
healthy,0.225501208029303,-0.668981436412108,0.685734926701865,-0.656411648829957,0.623923940620399,0.584608658012716,0.606342785530955,-0.635798110613348,0.602072100072678,0.0975950321727798,-0.614114314447585,0.218022486919679,0.493462573873162,-0.659187712910487,0.602588792166369,-0.544926356051315,-0.569667357367679,-0.657219819143481,-0.334779239082197,0.457803578809375,-0.654811473667422,0.200243510943816,-0.479183605195095,0.601662182006878,0.569408489409628,0.677478859281021,0.727213306137224,-0.439700265341445,0.623334860912644,0.629331178696111,0.151718840479671,-0.629058611487766,-0.615192364310515,-0.61335516335766,0.482748968088544,-0.560462650172629,0.522562776972069,-0.433309087733093,-0.0994530967098556,0.660331474885881,0.60186094747907,0.664332119075786,-0.436765962928936,0.383285988144658,0.0523784857788346,-0.631382439508516,-0.608227575964739,-0.611892731404843,-0.363414329248723,0.659462433921413,0.610161648415441
moderate,-0.44479206851173,-0.224874171657959,0.189192154965607,0.237592905565357,0.500382184238129,-0.0296625537523373,-0.135756082116627,-0.0282238902525571,0.299676768902028,-0.171315575269162,-0.289811647760678,0.315928923602842,0.199851702929638,-0.0001462377733293,0.273342112585996,-0.296937774931293,-0.216506999600171,-0.248782071411176,-0.0685222777354127,0.327469850579101,0.152695949589314,-0.487865021315591,-0.405533154931189,0.321422721033322,0.361511632786814,0.299494959778429,0.468644635053417,0.107350382740471,-0.0426302871116203,0.38381486940566,0.201369413874462,-0.250157496954922,-0.166252586414166,-0.4023277810347,0.1289777637042,-0.419046315661267,0.375008984027884,0.152221664919057,0.0440847601004091,-0.197413089250066,0.511476493149896,0.334647358588994,-0.321588720667912,-0.454269857172371,0.350061610372354,-0.435998040250711,-0.285432419305303,-0.257157148213468,0.457483135813363,0.276922961846438,0.325450188358256
moderate,-0.109561380289037,0.0840343748374979,0.120557071106159,-0.111708615716087,-0.138754139094194,-0.0407212274842092,0.133245014746322,-0.0018111818822394,0.155847185271432,-0.0185113678916358,0.0362915074361176,0.0157761564544475,-0.149275643687159,-0.147435332718179,0.0732278955831381,-0.201019807982755,0.086265329417551,-0.0580472867398271,-0.258544752331457,0.172457453615091,0.086271214081539,-0.12656495995811,0.0563539158306282,0.0648688676969514,0.201914629988777,0.115543376619441,0.125553405834113,0.315948982606217,0.13055105480369,0.129973710419823,-0.0132398858911482,-0.0807304890880518,0.173807709382693,0.0622140800009329,-0.100178107020185,-0.0355104752160781,0.118999596703991,0.0199772573066036,-0.343623811951205,-0.179389352406444,-0.0892313177608037,0.197002034029373,0.0114860990983388,0.0063999840134744,-0.0257486807439687,-0.101441230529672,-0.0506391813230146,0.227056209564646,-0.0074787998468554,0.236749898858867,0.118246752024454
moderate,-0.0513934042169221,-0.166804481524987,0.0627593373150847,0.130461750552471,0.0233226752236751,-0.0312609701282879,-0.000759370322174,-0.0539087621094259,0.108045763193206,-0.15746308555504,-0.176316615711401,-0.0611531444736891,0.379368156255997,-0.239908512955631,-0.0189412826184624,-0.054925609715611,-0.0412784879341204,-0.0570323068692936,-0.0710379826586791,0.244039296839948,0.0098270371620486,0.0487541869895441,0.0047259842880853,-0.14848891374643,0.0071112523458394,0.0922970862970869,0.16609480506929,0.0524042089888907,-0.165022558560597,0.0500305011357248,-0.0702695293186143,-0.0574727581707325,-0.063330779246436,-0.157373418903218,-0.147976699097027,-0.181184099906297,0.125408852686581,0.103911864058951,-0.0628600011745188,0.136638840781436,0.148339381749418,0.0932661166933843,-0.0154932264012243,-0.279363491215349,-0.075467117407516,-0.229094729759085,-0.167845988398752,-0.0660277224304917,0.0044169740141401,-0.0872704240903116,-0.293294663738151
severe,-0.442329867707602,-0.35879480569623,0.0860695483714303,-0.182783857393057,-0.144462563134459,0.120041677166096,0.0812310058827869,-0.138964118684851,0.301243296206934,0.625308622465242,-0.277959913320324,0.617941912394255,0.0927885837266404,0.106737695842509,0.282605733088663,-0.252980841299796,-0.190442010828387,-0.0968432284994199,0.0716278177799451,0.449176017175545,-0.52347897566624,0.0691881541166345,-0.532415614782209,-0.064789382144538,0.0935268139126557,0.289279059883,0.555169738488661,0.0054945054712927,0.0319557001451804,0.528669359186736,-0.273859929265889,0.0871523981290521,-0.0252498357487137,-0.0806893553333434,-0.430680708617907,-0.615150448730117,0.529761071645568,0.37231707206815,-0.147892182316778,0.313954256138876,0.569441272392085,0.557734833992714,-0.0799008211117536,-0.233524052753891,-0.348276584724429,0.0281952067843364,-0.500442927793042,-0.191960979341409,0.360680837751054,-0.211702728349845,0.0178811561885691
severe,0.0673213691529774,-0.166402757012256,0.527329155742564,-0.423876879870248,0.19051501281516,0.137643244597153,-0.18818340304357,-0.162592587663034,-0.0274577878669941,-0.238250500858923,-0.249233121651976,-0.0261533844187032,0.144236956940379,-0.200692292693265,-0.0589253507642784,0.100930477996586,-0.199024566860015,0.320201261051852,-0.357794653947732,0.229665564772355,0.106427028818983,0.342099861543746,-0.231153500500623,0.441378217610202,0.0746543612850195,0.226506671960102,0.188672896103583,-0.196087594691169,-0.130230354957628,0.19927021095967,-0.168305742754766,-0.30057175805772,-0.269488424013823,-0.216127728895119,0.42078911600045,-0.254747057708027,0.146331332149482,-0.0854297263418461,0.395590579982611,0.195869015768607,0.251593522696137,-0.450508986513183,-0.0866401473435546,0.280341131956825,0.0727230813854353,0.0436954303944083,-0.0436742477507031,-0.165445961575693,-0.241761558574965,-0.292155426977436,0.24634555724009
