group,ARID3A,ATF3,BACH1,BACH2,CEBPB,CEBPD,EGR2,ELF2,ELF3,ELK1,ELK4,EPAS1,ESR1,ETV4,ETV6,FOSL2,FOXH1,FOXO3,GATA2,GTF2B,HES1,HNF4A,HOXA1,IKZF1,JUNB,KLF4,MAF,MECOM,MEF2A,MEIS1,RARG,SP4,SPI1,SREBF1,TFAP2A,ZBTB33,ZNF76
healthy,0.134408209188417,0.167196814865454,-0.0081785608973165,-0.139597504475689,0.0733732461883801,0.120007162973701,-0.114719519632002,-0.158157913858568,-0.113342253340176,0.215791471527058,0.149859231739135,-0.0016129605632513,-0.299101851670199,-0.049485640488662,0.148716433970036,-0.203521582965712,0.128301273265528,-0.001998351007432,0.259182683030439,0.12831587257767,0.114255922119919,0.107131593272072,0.183657598442648,-0.147527834057864,-0.244881651458293,-0.115742471434834,-0.0934534506316014,0.0676296479852618,0.164360961382117,0.183038750180809,0.148677377745684,0.0985322887575572,-0.115167410357239,0.127427092947835,-0.148926920826978,-0.0852989982758117,-0.105424284465939
healthy,0.124703928626408,0.0963145130465695,-0.0769796751159294,-0.12396881827355,0.152242060760557,0.14446791782462,-0.18871644875022,0.133162679486986,-0.138188395286315,0.178182641768024,0.167716876979533,-0.166059321391969,-0.113015616717289,0.164331447579424,0.0836720028790146,-0.169824466023709,0.0197414835463061,-0.145846110468579,0.150198359755103,0.122969131222223,0.139592579252454,0.153185483682119,0.188995684363404,0.116289536501235,-0.121815565357155,-0.141353543058148,0.140386564008707,0.11411005351812,-0.0360052231373011,0.123135488417219,0.10897843064115,0.0901406429250633,-0.0468675744382013,0.138573935884705,-0.168473410675718,-0.157628583224004,-0.0863752913813893
healthy,0.0912741976495356,0.123897563351962,0.171956491114519,-0.181591795713779,0.0865023421516119,0.133955641045288,-0.167314643768247,0.0363007380075426,-0.112240444577605,0.269047454695534,0.232992512979806,-0.241490492853311,-0.251491027636662,0.0906793797771801,0.121984403637569,-0.275569152839165,-0.0759512041043243,-0.193106351376285,-0.0595311627138454,0.204228018064317,-0.15346440781691,-0.193601297736209,0.183369510213303,0.0993424759217117,-0.230411825522993,-0.180957103414092,-0.0593020800648347,0.176714292316959,0.189733202091652,0.158659375732149,0.101481980025411,0.157069772572174,-0.164911398696748,0.10761648666865,-0.221295945904988,-0.142586343656434,0.0068100124276218
healthy,0.106517687417719,0.063509846109057,0.117211008218074,-0.0386473103062472,-0.184768454351883,0.0654909866998877,0.0384178882285455,-0.28521576796634,-0.0397406391629579,0.141449267102354,0.0544056178314168,-0.167650457912894,-0.244721097212553,0.059932374924068,0.279424680198303,-0.108641382414947,-0.0092558311846323,-0.163973342287007,-0.0888818906232955,0.231894575325371,0.0985746969512305,0.124481668602177,0.0291334911450285,0.0608251838071605,-0.131911153439994,-0.0396568601566878,0.0834807279825617,-0.0149366559195325,0.0171995453367603,0.118763701394429,-0.0270230215150063,0.103432133162057,-0.0410901189574408,-0.220434152972277,-0.169062382932446,0.0012791396402516,-0.27807628435271
healthy,0.0702947969451432,0.0168428503443351,-0.408729267750137,-0.416064854375078,-0.384989882995292,0.0161012132535772,0.466193772074946,-0.392072893841455,0.0143700843445241,0.360328672972958,0.362107568410835,-0.528672741483428,-0.388811459717994,-0.0053190186836989,0.100208459106234,-0.155710292076535,-0.0768757166369457,-0.510267291639824,-0.162007962571204,0.413376572339891,-0.23623885989415,0.0471849837551236,0.232004424788835,0.0219932174981705,-0.441906102395512,-0.116007464945547,0.366391748945347,0.404141509651079,0.0575812649977229,0.0136053878373126,-0.113823583244399,0.415301542820581,-0.0028932282076535,-0.352428179215387,-0.438395376783279,0.0761476098958623,-0.51804980352369
moderate,-0.0296417039354253,-0.225429473233477,0.0622455713785477,0.0961057493608426,0.17131981707187,0.0649147295528277,0.028826908282224,0.0065946268877323,0.141441300606696,0.0903419732130741,-0.0827800273478958,0.0023480564390282,-0.158190769871764,0.121019230244686,-0.092421106948829,-0.208993078160279,0.1462457853204,-0.0487633122696658,-0.11098480101807,-0.0707186434175028,0.0156657509085937,0.0543705513214991,0.0899606649024626,-0.0431239630443073,-0.0161955687717591,0.207042385118624,0.163986656193058,-0.0408280856372574,-0.153021031934212,0.0665162244573957,-0.280394062765191,-0.0609571506658502,0.066536293315849,0.0916584903276061,0.0234765506185921,-0.155902920008096,-0.142737748862775
moderate,-0.428594896751352,-0.171578557132081,-0.102370019836151,0.108183539099587,0.184183018121291,-0.394017980387003,-0.0134877434606243,0.0728106347860021,0.387643053776189,0.278637427144802,0.216447172156247,-0.065460396563443,-0.376847059100453,0.0937347470644013,-0.0675227370477448,-0.380945956127704,-0.363928732382914,-0.160499925480244,-0.0379098508124778,0.175978891515011,-0.0263799114128733,0.0627825754469516,0.089852439090031,-0.386368573479962,-0.273942619240391,0.397918832282469,0.216924914855363,0.101331856168438,-0.0757095822977693,-0.411620047839024,-0.420082664868829,-0.120434777847079,0.187627156913266,-0.359137042354566,-0.161869847787386,-0.0160172132083518,-0.202959625971379
moderate,-0.0038390172616006,-0.010763662058752,-0.0230929621419517,0.0942965049579893,-0.160534882445232,0.160531627244446,0.0038153981303177,0.0148640416625138,0.0305396124511587,-0.0650707823867869,-0.0202776298251372,-0.0289742772360863,-0.0099566372220803,-0.0543816492855606,0.138974173594087,0.138253298024723,-0.0059629600719828,0.0655088718506787,-0.0295576773490088,0.0307383689549513,0.0774483805653664,-0.0104202005246795,0.0316872978351801,0.16480169365196,-0.121796062684598,0.0774822952154137,0.0975418265879031,-0.0902861732922436,0.0200298182025262,-0.0183038804649644,-0.0316962307117551,-0.0660146770611493,-0.242175469557457,0.0541920906165464,-0.0030206749245226,-0.122914224154516,-0.103553501118157
severe,-0.0999289112900874,-0.0760399580042503,-0.0020716284294847,0.0310348527626008,0.0009011480396651,-0.0685678028677444,0.0869239591727575,-0.227242643677187,-0.214883923965657,0.120188487231667,-0.127072118136171,-0.0675755692710101,-0.192467252012926,-0.0873904576743361,0.121107935000031,-0.0092141405975502,-0.0371371719998018,-0.16417074917237,0.0191664666394651,0.160409390714808,0.0864357736337814,0.0664888214998659,0.0674064516879531,-0.0416076759259373,-0.0490638446177331,-0.001407550690055,-0.0267076072092161,0.166923846279845,0.108006692436657,0.0470569055226566,0.101840881815685,0.132693852624646,0.109935227727961,-0.0386600151115257,-0.0641500913869306,0.0389576025732606,-0.155668480413809
severe,0.0655177004058284,0.0836710518766667,-0.202751182253794,-0.13232617164724,0.0211103966640202,0.159928064312675,-0.0857421005704263,-0.117879569640635,0.256899846205962,-0.0915867420696263,-0.195684622856833,0.332389220453539,0.0946461380973131,-0.357110488034317,0.421415597842536,-0.331745096230865,0.162094215433837,0.0654479327550636,0.456653444852095,0.0314483021647796,0.388379423306725,-0.440807941852721,0.356691729677571,0.27362620390928,-0.0699364707397556,-0.0649444525768786,-0.331975991952307,-0.0243475934846473,0.399569522505911,-0.125931150142643,0.335385404273213,0.0625057031396861,-0.475510016545382,0.143244573384051,-0.114281463127206,-0.428378559069162,0.106921225438686
