group,ARNT,ATF2,ATF3,BACH1,EGR2,ELF2,ELF3,ELK1,ELK4,EPAS1,ESR1,ETV6,FOS,FOSL2,FOXK1,FOXO3,GFI1B,GTF2B,HEY1,JUNB,MAF,MBD2,MEF2A,NFE2L2,RFX5,SP4,SPDEF,SPI1,TCF12,TFAP2A,YY1,ZBTB7B,ZNF263,ZNF76
healthy,-0.141431974180352,0.331119989041094,0.282212270601751,-0.226346934556507,-0.30412737775852,-0.337850503732845,-0.318102628212844,0.415448188556958,0.372125473778768,-0.25671528036765,-0.424148619618965,0.334254900739709,-0.329463087624633,-0.430934434606419,0.286542330110664,-0.151236361646068,-0.380375413884093,0.368725535713451,-0.304043689062028,-0.481615726325614,0.106075933571816,0.324211976023631,0.32871346258627,-0.298157561899211,-0.284437214732776,0.313029242422472,0.156325467502647,-0.349624058585458,-0.405407294036462,-0.384128425709459,-0.0014697049365938,-0.245041653630094,-0.433726807671947,-0.272553001344487
healthy,-0.28072328305447,0.287377653697101,0.206739599531502,-0.0958746524739947,-0.310112467391161,0.249658538905301,-0.257856612673392,0.329097372675375,0.319492906858012,-0.312702446034444,-0.226283532138247,0.184391809631743,-0.32203381185455,-0.32561764679881,0.281744839407422,-0.321135423219822,-0.304717648396352,0.0992280711874064,0.243763565108269,-0.0472915202170098,0.294960253557069,0.231128773856878,0.202942868996023,-0.291264032826664,-0.188533324157024,0.183315392271445,0.239837372108925,-0.177731049108776,-0.257304228923715,-0.318620474139186,-0.146737275441942,-0.174616910008614,-0.311215015080969,-0.257486237450684
healthy,-0.288076041159036,0.28453286063039,0.200894058380526,0.239168339968488,-0.237916557014936,0.0795445272943328,-0.175517699061249,0.399619033715173,0.413615934091048,-0.351547327721307,-0.378518242704718,0.0665047591089333,-0.267197906396067,-0.344715589073042,-0.305965912885242,-0.309355935306901,-0.267627369264283,0.335730373648332,-0.189056255550169,-0.245211231938294,0.036563032163687,0.215546634029072,0.30942490748158,-0.0789629268498283,-0.107635082206442,0.232855180069038,0.199133886284662,-0.230039488773223,-0.271542329126027,-0.332041586939862,0.230792185114281,0.136031317463396,-0.0641354243894953,0.0298676521170801
healthy,-0.118464373812791,0.245980288635938,0.147700679217104,-0.0856827492644291,0.241132906379276,-0.324422038803345,-0.126734229176109,0.233032255505105,-0.115032553826138,-0.181185466970823,-0.38807026125126,0.255035312120471,-0.163515531916068,-0.264003742236159,-0.100194045688785,-0.0652856468453877,-0.177966995792945,0.276087473163385,-0.219839750077532,-0.236829058283749,0.235693856507365,0.236350391984425,0.174094447298224,-0.190283418500311,-0.0231541574260478,0.123008624251366,0.0579970714514609,-0.170409535145263,-0.204921813211986,-0.246347194538432,-0.110073864195097,0.17459650683123,-0.130829531588087,-0.145357399573668
healthy,0.320535626196987,0.435569842221818,0.173615591163505,-0.495108496653301,0.513164932931872,-0.464269613148005,-0.119339995550816,0.483283008971478,0.453410465201839,-0.487368827664281,-0.543568543978876,0.180483342525098,-0.400353225804484,-0.367362458180115,0.423209235284843,-0.52342296400101,-0.287397675303283,0.439775140049208,-0.436884482985059,-0.566224795548407,0.462652500971703,0.434251391129351,0.211692006215514,-0.453675535297938,-0.0104285182642366,0.4274083301866,0.136021780448184,0.177531175335561,-0.197354042387746,-0.53935487390169,0.0025632205063139,-0.452811585641344,0.282990489749983,-0.537975242538717
moderate,0.143530018410131,0.0403694419311705,-0.208672072226568,0.0089478866041358,-0.138700238688149,-0.0520120897378031,0.0415049199452789,0.0938848405890608,-0.0572616764720436,-0.103944216235176,-0.153517427139859,0.102588839309885,-0.0032664983715723,0.0459068963309597,0.184179331682807,-0.181760443659794,-0.181864395872354,-0.0120344676847403,0.032509055396885,-0.126717747109688,0.0369550115648023,0.231989353136005,-0.112448306854924,-0.0009115809409039,-0.0177518393754974,0.0651380556544152,-0.0024988512634427,0.0796273948203617,-0.0085160851058129,0.0585570809670123,0.162781168543694,0.0780241318497368,0.0914339672698761,-0.139415909689999
moderate,-0.172203821358321,0.287766743669482,-0.239049328532743,-0.0529378002254376,-0.117087833615032,0.0142932890364582,0.192106553828346,0.390287566649441,0.347929839096271,-0.163693422136249,-0.384290721144939,-0.0975163185652224,0.145048591783601,-0.189298554184361,0.108219406463692,-0.24287835846815,-0.248384395529579,0.206505852008988,0.0645000573055747,-0.333524141618943,0.173560981068332,-0.122065136126424,-0.0652296945460656,-0.324702936189021,0.30407404988771,-0.0639581131981582,-0.182326451950971,0.218314061262671,-0.18279136966158,-0.388630638050634,0.25947541388128,0.286920157814326,0.203376654638681,-0.24371719471631
moderate,-0.0032042990509696,0.019033546121551,-0.132464291227503,-0.0502215539312438,-0.0757535916341014,0.0130776433242671,0.0257118997292161,0.0474061427047941,0.0787967204970112,-0.0647472892502803,-0.195904765750796,0.0927857223066726,0.0486023452882756,-0.0569854470961024,-0.0035711920617488,0.0378453800165369,0.0653954606470215,0.0643197040657487,0.218838337659665,-0.0163297979853384,0.166684392959423,0.112713736698288,0.141051201633645,-0.0847542747820162,0.176520015751817,-0.0970127051289671,0.0034547246435956,-0.245230162390442,0.0708586195624119,-0.0701722762790249,-0.133094333793123,0.0648134238267501,-0.0059086101943598,-0.193032716002273
severe,-0.105248439296276,0.267368392518013,0.165557118408711,-0.0743424560147126,0.0776102436418084,-0.209633151608014,-0.267074446059224,0.392202734486937,-0.164289333122989,-0.356472488945227,-0.41863906410486,0.214415890901857,-0.11308441035572,-0.212354610355018,0.125923056895513,-0.255921484095105,-0.404284603403472,0.177648022985568,0.106072779016042,-0.213289185130728,-0.293065112267292,0.0018086516984367,0.379758083808424,-0.188433603215179,-0.0967789041634375,0.0342327491278606,-0.417361832446982,0.0609707465870306,-0.365497635045581,-0.30147566918093,0.401536612672064,-0.158064338156818,-0.283632416815175,-0.342105460461753
severe,0.142195831257021,0.425280545650676,0.0883337348497331,-0.263965364473557,-0.132601182406685,-0.251189189070723,0.326141445521238,-0.117408999343015,-0.0780893598812642,0.229234835035076,-0.0716718477286341,0.406956725767882,-0.0755051710854854,-0.259804651820449,-0.003119557816163,-0.0560075205972217,-0.220564388663871,0.13007414455063,0.0936567098746176,0.016456682116509,-0.178741344778146,0.143907501901767,0.404320107196965,-0.206292321925189,0.279634316137532,0.132399856487617,-0.3113227038154,-0.447755000846965,-0.13588860385257,-0.169796518677965,0.0887047189932483,-0.198900027331313,-0.224579863385376,-0.025018403656489
severe,-0.421560760616185,0.314302253866367,-0.407560818560463,-0.173034393877972,0.206064973049247,-0.295266010422173,-0.127131396254141,0.127884598930956,-0.237199885832325,-0.262994300865312,-0.338660297197021,0.219853677733116,-0.271477539776978,-0.145418755409798,-0.123079732849685,-0.155424567114714,0.273879957665373,0.0205267540985126,0.0576478773209815,-0.10107778701106,-0.0214636928323598,0.15541024824832,0.123768629421762,0.0004001554948196,0.437746004119496,0.0924470713516538,-0.360278042849095,-0.109206963540679,0.0935238652567375,0.198840733723502,0.247479665180916,0.155083308375105,-0.348565270747594,-0.256495550770207
severe,0.0416833864680227,0.450214616308344,-0.258352544822622,-0.137417649258616,-0.0080047578628444,0.0761027964086069,0.406432514271979,0.226366378287279,-0.152930468382368,-0.227992482705219,-0.438932451705409,0.0436272247928226,0.0911336691917736,-0.428322431810028,-0.113989012412834,0.103417689048592,-0.109805205066521,-0.172945482613116,0.189691556159012,0.178146420159815,-0.0598801784073104,-0.240432521296173,0.29644908347273,-0.0799266447091549,0.219404996898023,-0.233958054735509,-0.429992569728288,-0.0671820494185494,0.190506079789411,-0.0332999551215155,-0.0620033819528179,0.293921616026794,-0.0779262515332639,-0.340742887705806
