group,AHR,AR,ARID3A,ATF2,ATF3,BACH1,BATF,BCL6,CEBPA,CEBPD,CUX1,E2F4,ELF2,ELK1,ESR1,FOXD2,FOXK1,GATA1,GATA2,GATA3,GRHL2,HEY1,IRF2,IRF4,KLF3,MAF,MAFK,MEIS1,NFE2L2,NR2F2,RUNX2,SIX5,SP4,SPDEF,SPI1,STAT5B,STAT6,TCF12,TCF4,TCF7L2,TFAP4,TP73,YY1,ZEB1,ZNF263
healthy,0.296196768576036,0.0233712437815965,0.327710440234403,0.214991086659006,0.31144693199726,-0.159067368228714,0.197046274218251,0.315839173300287,0.286975143786,0.317811632298206,-0.281413148739711,-0.250156647574027,-0.258310456499763,0.439331803783809,-0.372986923332029,0.311840692249977,0.193515229720847,-0.317928012217424,0.484085947822049,0.302542121952365,0.287135167516524,-0.224312051993179,-0.319926979056471,-0.244156402719978,0.238112625675624,-0.0863578475796048,-0.311360629644637,0.260667104249582,-0.213237080692404,-0.31620328529795,0.323369407212043,0.0508959715455487,0.250023421469922,0.169661577146336,-0.31883098318259,-0.34078126586555,0.335223527443194,-0.429706370704428,0.486166477414301,-0.303248451059077,-0.324235358642988,-0.314645646430415,-0.0816582471181389,-0.436227939296068,-0.446420905060805
healthy,0.243723459711555,0.0584951852148234,0.224216674863707,0.198356735922819,0.271591631953817,-0.224280097765758,0.106208651537586,0.0844425586290813,0.216670491417359,0.248483476180984,-0.266321583699678,-0.261121904892,0.0245583500065502,0.223231153700055,0.0221352272033871,0.299127733997745,0.255533980862466,-0.221729018980162,0.266381739505499,0.193943681901043,0.227826229388956,0.0386866856161335,-0.290959311456857,-0.268672322875694,0.275035325836494,0.236086733292512,-0.240887445727598,0.231203534607471,-0.246194098147262,-0.0887214713891546,0.177853217110181,0.294516544863361,0.276152577588902,0.254114506849122,-0.149756205394627,-0.246300231195655,0.191054696551033,-0.224821484158458,0.048841455085595,-0.252429779513247,-0.254819279772688,-0.246158540721306,-0.124991584254275,-0.231437433322012,-0.217374915427735
healthy,0.370597315772061,0.0455943150475685,0.336430388188054,0.204482218840712,0.337123274901333,0.38119747155706,0.229246295924521,0.312736000463568,0.332317584908868,0.369100190886566,-0.312053553195221,-0.351313216202196,0.130274493638248,0.254442540873244,-0.105326209089754,0.400920365838283,-0.29548870106045,-0.313300280761867,-0.207582623931257,0.333829056170118,0.311592810494216,-0.256926098972522,-0.508112248380376,-0.406238178209523,0.315106469816763,-0.110275417866956,-0.326070300331362,0.399292865806549,-0.116405691045502,-0.335788480240126,0.294223956018063,0.14427892254381,0.30756764981409,0.351577897008578,-0.378353351695195,-0.401311113947663,0.331702152902606,-0.328326588255608,-0.312914988205787,-0.303999403514427,-0.342378513491201,-0.327639699506548,0.0788557544211597,-0.35378389793792,-0.224348419658922
healthy,0.0860905873666216,0.108138911955244,0.100861692256144,0.105155248308245,0.0889357737825454,0.0701339826759976,0.236609199473582,0.185628717029934,0.0972020114122611,0.0786631394123479,-0.13132090776198,-0.116619967271462,-0.22137423550172,0.0904541612166355,-0.154024916412953,0.0496231035420331,-0.103448998492528,-0.085296552164698,-0.156626874991565,0.134326383418432,0.0198288151274801,-0.103452050295221,-0.115323585224918,0.0452958363989847,0.101635720292518,0.155690286489967,-0.100989892726416,0.100327114287723,-0.103565911042811,-0.058659891679742,0.114127568251786,-0.0536045998743639,0.135278608237136,0.0388295678231457,-0.085699752982236,-0.0901235817013323,0.107177916070891,-0.119411101088167,0.107847387310584,-0.0717913847166873,-0.0665947332940343,-0.104131959581189,-0.0540109256737829,0.10656284305948,-0.101282374040287
healthy,0.0896007123199846,0.0011338437470447,0.113717140860816,0.234273016692917,0.117685626367147,-0.265950099945677,0.20550262261409,0.0790445763744181,0.0702924225847707,0.102526021654067,-0.22237244298757,-0.31660750907451,-0.428334209266504,0.140755667758149,-0.169034348805586,0.135872417285424,0.41061474507567,-0.1597985687976,-0.172612360072748,0.098820742570075,0.10318572716714,-0.420670884975793,-0.22823574986339,-0.322461221536174,0.360280732579794,0.320547268717912,-0.151524974242834,0.137173863888574,-0.21963538994146,-0.143797910539395,0.111627093014721,0.0626757913564133,0.435166703750218,0.104496071300694,0.061488679036976,-0.151873666923068,0.118522380148776,-0.083476635801267,0.430596789056173,-0.135287867862328,-0.224050857426862,-0.235035168744951,0.0013180635324615,0.158784704740495,0.0971959511606487
moderate,-0.177441540446674,-0.142631810770854,0.0206377893516578,-0.0505813455382449,-0.35973740493415,0.119924317759815,0.183812593886717,0.0801733680880286,0.35890794354394,0.175474532007033,-0.13080211142,-0.422582929599074,-0.0691573308628088,-0.0167985680598278,-0.111989137126804,0.0834872638327254,0.224926230128135,-0.139069076609094,-0.126729850975682,0.0216528921006293,0.147889016058329,0.108031421350659,-0.13607511597205,-0.169241722132025,0.129324880182197,0.0530736795250192,-0.0854147741109281,0.251397897924271,0.0389767857075902,-0.0024212372961849,0.259305429844274,0.272730854917247,-0.0783841013748609,0.0102655721578868,0.156815600543448,-0.141699654160904,0.0717760589661866,-0.196128120623266,0.077716582446549,0.105930119162126,0.119474038719415,-0.144733112959387,0.311336357907315,-0.0951471210893941,-0.0206496388000893
moderate,0.0028816881349429,0.0235257218758218,-0.197949803525306,0.298009186443876,-0.208865044701906,0.279624083423663,0.26372748703344,0.0043126943524919,0.0850302971313506,-0.139276631887522,-0.0011779798468791,-0.183245073410283,-0.129470349141547,0.135924506766128,-0.212249284633584,-0.118638465651567,0.136724189012211,-0.216461644651876,0.128767500285059,-0.0519230375064901,-0.045327277429745,-0.0984477748994617,-0.0646513181462357,-0.0287094668926217,0.0831968191927191,0.445952748971244,-0.0944670444172163,-0.135072642842921,-0.181031048660635,0.204640832323667,-0.26033876823967,-0.0564090775127849,-0.134969061822664,-0.26170259152584,0.13316816809471,0.0100169066143948,0.0125146447854651,0.0819060072261527,0.170815546562914,-0.139414185761289,-0.081707118367581,-0.0359386241259058,0.149653607720749,-0.14123694572426,0.195251924761281
moderate,0.459553058017482,0.44327331065444,-0.325300319144505,0.455876796532699,-0.0519299753810596,0.26560649373423,0.20936359051322,0.404421487231185,0.152302777950857,0.12884139493828,-0.0923644835054046,-0.251332130536214,-0.276063796044732,-0.329473539633792,0.24443973805661,0.0261626679431738,-0.099271486888528,-0.255012609601394,-0.0210512617572735,0.24075003303431,-0.0600903909385339,-0.19645779449719,-0.356993402354667,0.0475799930847605,0.297601435198548,-0.165172310306863,-0.16398012836221,0.258731122204087,-0.426929019248531,-0.486384476052417,0.137128337907676,-0.0703929984251744,0.319872104888218,0.301801956989514,-0.116810859825613,-0.0277170346044531,-0.455002401739596,-0.0963424149595049,0.21885103761716,-0.201756807696839,-0.294224283009269,-0.0960541132137687,-0.282585342705108,0.467150916132486,-0.0113553833363725
severe,0.0325723331289159,-0.0167526787710114,-0.102422075362763,0.175043707394268,-0.142708551846995,0.0223160452268596,-0.0266090990674505,0.134815252364825,-0.0615372346611299,-0.0406638828472663,0.11651681305306,-0.266484370389212,-0.129419051756427,0.176098605606252,-0.111644694417397,0.0443361933530745,-0.054819311061398,-0.0692397573004479,-0.0544800107918134,0.0302495449951154,0.0200693460921563,0.0363061554105728,-0.0042523197406965,-0.0467717393883974,0.0010179829339552,-0.0034952075089887,0.0005432992698625,0.0644335030763075,-0.0504556295476029,-0.0462821500002505,0.0136513437279377,-0.048024600398357,0.0832746667815248,-0.0477859035004875,0.115652691683928,0.0082059911865014,-0.0303669019079162,-0.0758522732041827,0.136413039220665,0.0210075443929513,-0.0058844759933226,-0.0022019408999402,0.120179432785103,0.117981967708639,-0.198236726584279
severe,0.2590334023262,0.0069412492799572,0.0645954681471401,0.487596391822641,0.164009854287998,-0.413379931742664,0.185305268636241,0.148620333476431,-0.0702912566975573,0.160979494971018,-0.110159568115462,-0.147282781006757,-0.230512637336014,-0.060460256397494,-0.0491727932049074,0.245152325446327,-0.0098242921787045,-0.347990103323276,0.32575232214861,0.137820865408609,-0.0165772033600219,0.144223146123107,-0.0163374777391221,-0.262959337252719,0.154176093444166,-0.0896869200348508,-0.0501468372710795,-0.21251480294159,-0.191568376536625,-0.300595086502884,-0.0270468692637617,0.318162607334597,0.219639062470713,-0.159574419600754,-0.428932766323605,-0.0547715900500009,0.192044832588435,-0.190236069100112,0.180208531886415,0.0515167571164448,-0.401555570392445,-0.0531595015025002,0.0299086973836443,-0.303007953586896,-0.187977613031819
