group,ARID3A,ARNT,ATF1,ATF3,BACH2,CEBPD,CUX1,ELF2,ELF3,ESRRA,ETV6,FOXH1,FOXO3,GATA1,GATA2,HNF4A,IKZF1,JUNB,KLF1,KLF4,MAFB,MAFK,MEIS1,PBX3,RARG,RFX5,SETDB1,SIX5,SPDEF,SPI1,SREBF1,TCF4,TCF7L2,TFAP2A,TP73,ZNF76
healthy,0.0863182046669576,0.0173084446422086,-0.0809549883902565,0.124290973268737,-0.137921666196994,0.0952736768475592,-0.0969987439054337,-0.182988348911565,-0.0923371281843339,0.0552453130016646,0.177267787840496,0.0708093924320225,-0.117156037678911,-0.115716643929112,0.216985125901522,0.108922919739331,-0.20968702889177,-0.1932405921102,-0.0777249921180664,-0.0855946442913124,-0.121963066796199,-0.12103314775133,0.116500130490785,-0.110286468906039,0.0924624952360842,-0.0501970655595635,0.112272749033822,0.142359201024803,-0.0189208660361534,-0.0725440935170769,0.0913158267044599,0.20768771563014,-0.121374096854719,-0.141419377056208,-0.130584072040773,-0.158626521439849
healthy,0.0851014666822212,-0.0960582417968793,0.0102778672618253,0.0535656769320338,-0.0715651788431728,0.0853186046109801,-0.0742231824365747,0.0945538917804475,-0.0571972789748089,-0.0839640964621935,0.124333337024489,-0.0158671295323196,-0.127767376150611,-0.108471804896119,0.120568764834495,0.0818358903329043,0.0821335068451453,-0.168496583852659,-0.12575149974148,-0.091471375983007,-0.0247418771002675,-0.0905830584352767,0.0848195769668709,-0.0969119413093911,0.0502532223246443,-0.0145214945409294,0.097559634094179,0.175838103888348,0.0685448705578015,-0.02719625922331,0.0789524163116831,0.0389022277744782,-0.0685665763998195,-0.13895641172572,-0.109574779704949,-0.123928845080598
healthy,0.0865750815667498,-0.145908860722493,0.122140935435837,0.13156387817338,-0.145635889233053,0.118469421648724,-0.0433423437871044,0.0738926733789657,-0.0711531059937089,-0.106186106284248,0.160859121715038,-0.0394419308837456,-0.142325956347603,-0.0582829964352436,0.0272481542631655,-0.277892977952566,0.0542920051966268,-0.291960358105263,0.181332227569453,-0.156224135130447,0.0133350037895709,-0.134786855541955,0.198396718115951,-0.105092408917299,0.0655362096163496,-0.0337139793715742,0.0937795599649172,0.304526930613109,0.152449174127125,-0.156688706458175,0.044978605461006,-0.130442891533179,-0.136058842827482,-0.181901529851207,-0.115689129059431,0.0054352514139308
healthy,0.139423849460203,0.0045546372088421,-0.0371347203660102,0.0729364751362322,-0.043549332736743,0.0661107535674081,-0.0894432475480154,-0.295700298157919,-0.0475055975996447,-0.255535726633127,0.204596663972135,0.0750820597986571,-0.136405556128797,-0.104633074250977,-0.0813909903565104,0.140953909106791,0.0849275466623289,-0.131163349491419,-0.164904596347495,-0.0410265930387714,-0.120367471927297,-0.10191579944285,0.134787904660148,-0.0965248958995772,-0.0581883963316716,0.114192012475507,0.0736391751177687,0.0554209545567858,-0.0306546393705232,0.0006016237043913,-0.262778849507537,0.128739304899799,-0.0710928829141177,-0.235008154903949,-0.174035565715282,-0.274613847345447
healthy,0.0481197041185129,0.280075146302547,0.18833248777982,-0.114647222847991,-0.400949311394489,-0.0438700444084161,0.0564973092023909,-0.320219427462512,0.125946492015975,0.004817523554554,0.0198868133785509,0.246084538267402,-0.214723815562055,0.0289037355385625,0.0328217270073237,-0.0762916739587636,0.104181429395973,-0.480320794207539,-0.0880360655408664,0.0344241728705665,-0.25730061466681,-0.0404926821668783,0.0401923088892922,0.0773353972990835,0.17728280245944,0.0237878051481266,0.0523689906757453,0.422006938067674,-0.0871136565982722,-0.182007068278179,-0.263894945302415,0.167133960801752,0.151675957454083,-0.445110448288456,-0.0307713139011935,-0.488525080869609
moderate,-0.14562964162743,-0.0394108506080282,-0.0581439034650164,-0.134449342920198,-0.047951852673333,0.0319057228638408,0.106214822152271,0.0056159469899657,0.284877344908666,-0.199852304367297,-0.129643044824898,0.0327193406256379,-0.133516659144479,0.128793707258925,-0.0555562020957884,0.28771905377426,-0.044225086437589,0.0254444071750321,-0.105909219383206,0.165529541420849,-0.140811436930738,0.0668476290826807,0.0832509569339375,0.008763258624625,-0.185072243172504,-0.0397164533770935,0.260972858180352,0.142085443279699,-0.117926949055019,0.143506297712496,0.0943121896272482,-0.0324454887936184,-0.200348412758637,0.087731807924518,-0.0159826279354008,-0.28656014457209
moderate,-0.511764440753353,0.0077866443728879,0.0263423957358386,-0.215150868853616,0.137027801363964,-0.453527794649582,0.0285602966629381,0.0683673089139186,0.406645290311921,-0.158362546283499,-0.0678281012089098,-0.403703521506865,-0.163138260004062,-0.0108303142452659,-0.0418014792669604,0.0748228326342758,-0.425411955920154,-0.25801767567961,-0.0791541276065113,0.443955755802415,0.0779346063539925,-0.101373340874842,-0.470420037048696,0.0255701537499761,-0.446561296148271,0.0512201473094762,-0.269816765194011,0.192907772216498,-0.288648674131254,0.220971239949397,-0.412032625954916,0.0458247395188679,-0.274690912093236,-0.0760861041431546,-0.0380190707398332,-0.226505755138194
moderate,-0.0724134200151036,-0.0013094304134478,0.0243519311604113,0.003519826732577,0.0352583367441096,0.207472987697222,-0.0020964754586274,-0.00608400705382,-0.0400634003101007,0.125987389701198,0.167397339858288,0.0581285807086208,0.10257915890092,0.0630557804006079,0.0060855898113923,-0.0449032091732742,0.216785481036203,-0.225286698065266,0.0988566261449763,0.0776198633644899,0.107693086301735,0.0109739742581539,0.0204390906487499,0.111577587915912,-0.0050705146216887,0.153126670000547,0.141167692946564,0.0708426084940012,0.106323398046428,-0.264397316001544,0.169665808306439,0.0414069730654653,-0.064442200664537,0.029605216596997,0.0204656960498462,-0.0474730798848367
severe,-0.0705848876149265,0.181040377546339,0.12510671700769,-0.308241867932738,0.076006966421056,-0.132718550367542,0.0573961318428655,-0.445555992083265,-0.0415467915571974,0.247295655136662,-0.0055980430636098,-0.142065200273358,-0.438559498403409,-0.0213816746560307,0.168142823270104,-0.0676654207309319,-0.0896145121854171,-0.0661105620159096,-0.15998296458706,0.0801068018735961,-0.402630141385084,0.0598894803214034,-0.0121421513290546,0.0710334029684575,0.159752160743486,0.298702579570967,0.122749973444061,0.167731979253867,-0.0460741863953094,0.220664325237986,-0.132348589015712,0.0950723684692608,-0.138200491604737,-0.127425995088327,-0.0873175898819937,-0.201952169172275
severe,0.0384671218265073,0.174644890868607,0.0021057111560785,0.0542515655207057,-0.166299928465361,0.148377846054475,-0.0206010094807092,-0.151957869038711,0.366368329143432,-0.0835891895259528,0.40721500874205,0.151350180212905,0.0329203306752529,-0.259634978200122,0.432233461834803,-0.44836112680554,0.305582721943773,-0.0897866361422027,-0.0106187912560631,-0.0776768914395201,0.0662001784097121,-0.0077161499270723,-0.219852006506796,-0.0569035450653716,0.324409372460453,0.205192276152153,0.296107125492158,0.073700153297952,-0.381913620468568,-0.463913929684147,0.155164403197616,0.19763460201985,0.173057933405253,-0.142310821033292,0.120093250545165,0.106311237605182
