group,ARID3A,ARNT,ATF1,ATF2,ATF3,BACH2,CEBPA,CUX1,E2F3,E2F7,EGR1,ELK1,EPAS1,ESR1,ESRRA,ETV6,ETV7,GATA2,GFI1B,HOXA6,IKZF1,JUNB,KLF1,MAFB,MAFK,MEF2A,MEIS1,NR5A2,PBX3,POU2F2,RARG,SIX5,SPDEF,SPI1,SPIB,STAT3,STAT4,TCF12,TFAP2A,TFDP1,XBP1,ZNF76
healthy,0.240510253965563,-0.100652351932794,-0.192151830598312,0.162968089199442,0.27679747863941,-0.276374332043035,0.221451682422342,-0.234934820453198,-0.262755731134166,0.138655004809412,0.44205504584627,0.396134121642794,-0.135718429964448,-0.435843260421114,0.217136697040479,0.243655624136856,0.0370845637576475,0.365323997359262,-0.334205135141916,0.156682256714438,-0.295621571760742,-0.319296711920392,-0.0988238455754201,-0.157189944215688,-0.267428983681586,0.309930691278175,0.224024618712363,-0.390264130836277,-0.211494060000329,0.183234131050631,0.177434388918339,0.0991831084759645,0.0927335655705974,-0.216385363488312,-0.236211015789181,-0.261440869520126,0.0729283730485595,-0.362664481482816,-0.260425241291919,0.120026526401697,0.128179690324694,-0.137999504311922
healthy,0.268585952321455,-0.270925391829667,-0.23522323573065,0.241309315470033,0.203813231998921,-0.186124861533005,0.268724580608893,-0.197179738500822,-0.112054173361496,0.249667311268523,0.25413824785379,0.276893396652532,-0.251149340840738,-0.002487623449207,-0.18412177152192,0.307869101476451,0.0091006745043711,0.373888493880914,-0.297511818912074,-0.147327339249125,0.232783723333187,0.197841931030218,-0.298808408587216,-0.0998680686503393,-0.262398864728376,0.296969491993809,0.280700698644599,0.197403702102372,-0.26744860769209,0.262362163412223,0.258541486674546,0.279484103893438,0.254504373591439,-0.216110866875485,-0.0460318175951502,-0.103506918573881,-0.166283394726685,-0.218455155521323,-0.254413365103241,0.28536984769206,0.263983280830671,-0.170063741218416
healthy,0.0393330011245121,-0.0898052135585805,0.0641557140392078,0.0661448280765892,0.066785789244221,-0.0951983195882097,0.0820694604405911,-0.0323525367199946,0.0942081350250966,0.0405409842154564,0.19866430112293,0.246228602947569,-0.163515339635721,-0.191823857347027,-0.136960262961163,0.195698072789108,0.0044672051985186,0.0495517124098473,-0.107479401204375,0.165870209189672,-0.007564120499049,-0.262595567675825,0.0982741968619032,-0.102363730228651,-0.103677806204931,0.131450262432419,0.150557547906322,-0.165438623489127,-0.103739570083719,-0.0374387387581267,0.072205051507216,0.202323002390093,0.109558798206924,-0.0906863143825426,-0.070080195096677,0.0920488170705973,-0.237339777558681,-0.121065546985323,-0.157235276674659,-0.0732482707379819,0.0836519596592808,-0.0575813777527611
healthy,0.18273959643631,0.0293515763527345,-0.0650137258099125,0.0338780013328446,0.0954384140266296,-0.049288587773603,0.0563371060469294,-0.130773433954936,-0.0314069271152058,0.0253028761702886,0.135019240037163,0.218832725328568,-0.248695352917828,-0.234073447808823,-0.317259526659015,0.219333008328839,0.0544121552830834,-0.129376558581677,-0.318662958537265,0.0255087857759881,0.0899899319877575,-0.138526601464917,-0.206945665683687,-0.234399414817063,-0.13617365219987,0.0233176883642366,0.204019672555799,-0.0495044099771284,-0.12128629616368,0.0425808344046979,-0.0188820801786765,0.087750603830921,-0.010377372557658,0.029912697811696,-0.235416618917487,-0.40331978021509,-0.376497036337189,-0.198825479648078,-0.273711053443126,0.438000616262713,-0.0332146282973533,-0.324621420448756
healthy,0.0592909723240103,0.253671083320322,0.13950469608646,0.0692790392944792,-0.0906980736198197,-0.35837605272909,-0.0640872658988611,0.042524216652921,0.24772067916573,-0.0976067548084248,0.242963034897716,0.220940850590504,-0.351218133960415,-0.314686444097076,-0.0070095478924559,0.0382710497807391,-0.0955797247412699,0.0310237772012894,-0.0403898076222013,0.37807365913896,0.111403963397323,-0.463316053750448,-0.0745056963041981,-0.248366509765473,-0.0589317844476913,0.0370477622356791,0.0542720574136849,0.0501579288081702,0.0492779031090166,-0.170943903071677,0.172242063618877,0.39297576882887,-0.0720799307475618,-0.153021866440224,-0.232271704748986,-0.152969384691637,-0.118359291032545,0.0618518785677142,-0.426924560544684,0.229506383090606,-0.0078976325245342,-0.475326907351314
moderate,0.0344468264505759,0.191567502500949,-0.0522234119290275,-0.248018730936298,-0.155769355260502,0.238207825903403,0.350825794186761,0.0362841485771551,-0.463803324434675,-0.0791510469669576,0.1098402533264,0.0568621563948426,-0.0396110845568965,-0.136823205589647,0.143714151371914,0.258517150055268,-0.066439938835333,-0.139577213164326,-0.0690951656505185,0.168026071898456,0.106355268131469,-0.114384168263102,-0.05446771078472,-0.20142977352878,-0.0863501887188444,-0.242257837042637,0.29545720287546,-0.0508483837568778,-0.111325915949183,0.010285052678464,0.0800321713416397,0.194760096647779,-0.0046861592303719,-0.0256197777822361,0.460768779503035,0.193274434024996,0.224904033214818,0.0038801082329049,0.0123752535493466,0.174158381447813,0.0610307044454686,-0.0175474141164266
moderate,-0.389494893758518,0.011901684085215,-0.0128338987536901,0.128685799518214,-0.28182021288049,0.123010051621961,0.127189099864442,0.0232189225023083,-0.188178224054629,-0.136509898910136,0.148604705531322,0.291948267251502,-0.0496919831729239,-0.383614714876827,-0.159173242563514,0.0057749067873461,-0.363714343783484,0.0651782308980836,-0.359401000379461,0.0046544718641027,-0.412914887914125,-0.290271999576318,-0.133782296992561,0.0763036748872611,-0.116511208758736,-0.0562419386652584,-0.313631701532437,-0.0790569210088951,-0.0087197715578887,-0.250878556880443,-0.37074261348556,0.0465333906605601,-0.335909659477909,0.215809043391029,0.323414428278197,0.0127557356884641,-0.130302575764943,0.0912035629062201,-0.160738496030117,-0.16115120560815,-0.373470625554153,-0.232851911880434
moderate,-0.0892052994208648,-0.0688720061313479,0.0872120606866948,0.147070495231796,-0.0717528683984987,0.0977948937725872,0.156624567223281,-0.0689095675410288,-0.0270921641044663,-0.375864079658026,0.0257496259834962,-0.0606264863360413,-0.129736920854492,-0.0181578177360333,0.101518102643013,0.209274146770922,0.106388439976029,0.0077278648566778,-0.140759839675253,0.190498071242476,0.169665452078974,-0.249078025301152,0.190133597603848,0.198434631506649,-0.0620920587738922,0.0679172011191281,0.0696313262118214,-0.035914202610687,0.0529803307182585,-0.206806911650458,-0.039504365806542,0.129311400515962,0.14813516172183,-0.222507994900597,-0.0228424933115785,-0.120578071671684,0.0334946531676435,0.0102587059714915,-0.0768180884763323,0.0396969150770105,0.115003589635541,-0.024678448347295
severe,-0.023229157338257,0.181401073670477,0.119252927349291,0.0142243200096366,-0.346404933418117,0.0534879132456883,-0.01057988388697,0.0903071956948888,0.0176847210514094,-0.30339947130926,0.0321558433451871,0.158483496011085,-0.0995621172529182,-0.270568942065638,0.243124454225374,0.0058407549202172,-0.168412077859654,-0.0696533808083014,-0.178702904417159,-0.0053522373671,-0.104199875135211,-0.0591093521733825,-0.128347525880987,-0.371105222722681,0.0567878681881799,-0.0261933282555333,0.0100443524678911,0.144770790244388,0.069784576570383,-0.355858043446008,0.114636338013976,0.173575726446801,-0.0049551630140079,0.142499314900204,-0.147590760691459,-0.119850241388037,-0.101564350012192,-0.138387488747082,-0.0092872897432334,0.196159161053611,-0.203203938619649,-0.131243514385324
severe,0.0471994976643023,0.0741526727631071,0.0219292058611756,0.405033322527129,0.0676740506335051,-0.160873444862284,-0.0168252696621272,-0.0383066329169158,-0.0770701133553906,0.0419710256982215,-0.0974402396932823,-0.0656196731533269,0.200484243622532,-0.0107080180930667,-0.147801788460006,0.381643884041266,0.0897009846844912,0.431524539953127,-0.238239877933952,0.0696060607081263,0.227694832232034,-0.0390634325055048,-0.0271172938211787,0.0659813337494797,-0.0021688448681303,0.396067714086168,-0.191403974436545,-0.0459719702784676,-0.0682689689172935,0.207487913076023,0.298492455910185,0.111147778456649,-0.316013880095687,-0.45910926069007,-0.221315650883471,0.204108570055811,0.250804441597807,-0.140729546301257,-0.167557246470097,0.0562911749176698,0.194551993339864,0.0669884478818965
