group,ARID3A,ARNT,ATF3,BACH1,BACH2,CEBPB,EGR2,ELF2,EPAS1,ESR1,ETV4,ETV6,FOSL2,FOXO3,GATA2,GRHL2,GTF2B,HNF4A,HOXA1,HSF1,IRF3,JUNB,MAFK,MECOM,MEF2A,MEIS1,RFX5,SP4,SPDEF,SPI1,SREBF1,STAT3,TFAP2A,ZBTB33,ZNF76
healthy,0.0895146594263999,-0.0151278936830646,0.131588164116259,0.0173414025979854,-0.0788034990281591,0.0354229660800826,-0.0431350951797936,-0.133167906731466,0.0435492231043214,-0.294982357243386,-0.158919052644366,0.0832729411429708,-0.161059556319267,-0.0160296185428549,0.17103907762028,0.0425670211429952,0.136874315048163,0.034192056337517,0.151599073890309,0.0298436626734388,0.0026361156846,-0.231821634010607,-0.0942858788629948,0.0014881929878554,0.0791258132336783,0.131594558140281,-0.0305406306155626,0.0639472354233298,-0.0557578089629806,-0.0901615766317993,0.0320891374142939,-0.104791395596786,-0.105424180677904,-0.0399405115240339,-0.19281577077294
healthy,0.166555061335537,-0.17241115702443,0.127093454842586,0.0192136489124744,-0.127031676152971,0.118866058001399,-0.161769007489873,0.176429979894444,-0.148484476995045,-0.12113079488446,0.126036006958448,0.0463790886559633,-0.16269487788212,-0.151768927529205,0.158686473217862,0.162185021056571,0.038254778054953,0.164738466114055,0.148986726624624,-0.139398054621402,0.150875756962644,-0.0696997975591447,-0.165885246936261,0.0017205920907056,0.113241465643742,0.165985188657018,-0.101016177632519,0.103723735904405,0.151482379226707,-0.098963854624418,0.159132597940218,-0.1041656679342,-0.1533040882626,-0.166937533361755,-0.108429398046513
healthy,0.0702129201763583,-0.171035891606795,0.127532311449101,0.143466116536759,-0.179666770510811,0.0484203743443743,-0.147764242557994,0.0469869449328963,-0.247443764885903,-0.314640326887488,0.093802847007928,0.0494976597230384,-0.274961741190306,-0.194734888334673,-0.0578541183905378,0.0656750951312711,0.244554293244191,-0.207349688300563,0.18059583814039,-0.0608492475630021,0.11994401243627,-0.277459600640161,-0.174828012564101,0.194504758087048,0.14174523857142,0.155398985910322,-0.0222870007461391,0.148357200042864,0.145138671002766,-0.145573039977793,0.0776026022161031,0.156607757439214,-0.21850377565571,-0.129690782052779,0.0075101605591462
healthy,0.0681263152548371,0.001439964277259,0.0418986612865669,0.0978094960673844,-0.030089816246785,-0.15419964333201,0.0492847429598324,-0.26241009934561,-0.128332716592638,-0.250291045562367,-0.0089691897825717,0.262403279040905,-0.121901847976607,-0.180536213273186,-0.0601715368295921,-0.0357271442957565,0.248554200706827,0.0688794304853719,0.0506667159149968,-0.0323292735355868,0.0307124087189726,-0.118270908734406,-0.0568049329223685,0.0019780236719997,0.0017503990184089,0.0723146680961822,0.126176780847638,0.102874689265422,-0.0596911971717411,-0.0335003391189639,-0.187535584045548,-0.189085539845871,-0.153013247006295,0.0306895941068293,-0.299651698163169
healthy,0.0324307334461651,0.361502511379499,-0.0267939809224507,-0.403143102119622,-0.430838278986012,-0.372886320134022,0.481452983896568,-0.371242779863155,-0.536119296543349,-0.384540197391531,-0.0685756255154527,0.0460858698915735,-0.130752871347446,-0.524127494212837,-0.159549812368761,-0.143531612495936,0.422343562512383,-0.0104276735709068,0.205768347781157,0.188665062642812,-0.0049907208965539,-0.474350529460483,-0.0727412155015734,0.360493890547945,0.0127262582677602,-0.0267949319198501,0.002772752369161,0.369695440681303,-0.0339028082402359,-0.0348056359149219,-0.400834656935669,-0.154581751222075,-0.433446985687379,0.125514883747822,-0.516749028231821
moderate,-0.0753255943530378,0.14156774995501,-0.186469964627199,0.0103748478364768,0.145853960477754,0.150017368296058,-0.0018895770973651,0.0399108789433003,-0.0245763863984352,-0.0978935623272295,0.0986422626865629,0.0289774768704955,-0.12498146210036,-0.0807368361035637,-0.0884021016872149,0.0569368797074,-0.106133227657459,0.213248876950446,0.215154299558062,0.357894617271604,0.0698787002044484,0.0458014473789021,0.0044010904720602,-0.0546353193435234,-0.144412019044964,0.0508086286180417,-0.0902837560294548,0.0541639154135727,-0.129362745684607,0.0250477903283859,0.0812359696764526,0.0700015029088893,0.118496687030366,-0.0309542042742381,-0.100052513098852
moderate,-0.282318413531006,-0.0037629306304824,-0.156035274603386,-0.0414440784446868,0.0852459674244832,0.164900114018888,0.001831355116646,0.0601092324217468,-0.0397951858782251,-0.306369254759149,0.0542776886271609,-0.0381020226190361,-0.279685236548336,-0.131903677997612,-0.013560036887309,-0.0929358239205929,0.157419188586997,0.0436943129571243,0.106909282173083,0.118434060527796,-0.0106234207906785,-0.247612185841872,-0.0605472442689246,0.0789267808735507,-0.0392992093547101,-0.228533610499631,0.198368366464024,-0.123874680215988,-0.244242213852491,0.147529804443474,-0.247253462159796,0.0447527405131631,-0.163194215354942,-0.0311023428968628,-0.13666824527782
moderate,-0.0112407897937363,0.0178311487837944,0.0149787626204856,-0.0276444470920734,0.0068207974389232,-0.282181722159873,-0.0737896806162603,0.0496087350774471,-0.074582459633955,0.111141521428158,-0.151924159071437,0.154230688748981,0.220452180589389,0.0942571536435636,0.0341648428163401,-0.150193556159039,0.0212696231333154,-0.0637259973659105,0.109762880033608,0.023934173546455,-0.0440785510187187,-0.194258295172085,0.05422186970232,-0.119016058231735,-0.0554199765159118,-0.0085105288576964,0.150492715922232,-0.0304197946297367,0.134684706072888,-0.298460017630157,0.132292782823489,-0.0271224511283693,0.0682669482663144,-0.208296524185582,-0.0325501553738918
severe,-0.0835153533483396,0.111091996335975,-0.0304884511923643,-0.122645118079015,0.0487778364390771,-0.0266789269775742,0.182538467984795,-0.16601749072986,-0.0525966565905579,-0.238344279356794,-0.0761249191494086,0.0298748371058539,-0.0853042864392705,-0.17050627644248,0.0299356308865124,-0.0703640297463804,0.232958847078157,0.0254904867173823,0.0424193334777363,0.0019901119686035,-0.0192710526142323,0.0599433669810722,-0.0141940315449165,0.0981593740410254,0.118473669320237,0.0184310865825507,0.0992871439179486,0.137670642368187,-0.132759056065994,0.126881391599847,-0.0605007118578797,0.0338627939461489,-0.107241010598246,0.0941744198705464,-0.134430926166564
severe,-0.0067467887491993,0.122826078372169,0.0281550418604043,-0.301286734349691,-0.122670974224341,-0.0838781576806734,-0.084853680046454,-0.101537547267688,0.19570255839609,0.0401252676513771,-0.352894238738218,0.386191940847533,-0.391137099144874,0.0625342194137772,0.4422321425225,-0.10271401036456,0.0218954549745345,-0.37175145604829,0.41974263493299,0.130569063595358,-0.132547839528846,-0.123670609477853,0.0541616337101942,-0.0399905199734899,0.354547034945474,-0.141612144709967,0.181124439553819,0.0620369636087133,-0.330815616965301,-0.477660313554328,0.0999193736317619,0.128778163792851,-0.112121723945634,-0.38060694859339,0.149825096467798
